LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.84124,-0.58003,T2M,1981,    5.79,    4.82,   10.75,   11.99,   13.90,   17.64,   19.23,   21.19,   18.31,   13.97,    8.94,    7.85,   12.92
44.84124,-0.58003,T2M,1982,    8.43,    7.53,    8.26,   11.07,   14.61,   18.76,   21.38,   19.08,   19.16,   13.25,   10.32,    7.09,   13.27
44.84124,-0.58003,T2M,1983,    6.09,    4.99,    8.52,   10.58,   12.91,   18.40,   22.81,   20.12,   18.28,   14.03,   10.43,    5.87,   12.80
44.84124,-0.58003,T2M,1984,    6.92,    4.93,    6.67,   11.92,   11.88,   17.58,   20.49,   19.88,   16.48,   13.60,   11.19,    6.35,   12.34
44.84124,-0.58003,T2M,1985,    1.30,    7.66,    7.12,   11.69,   13.46,   17.20,   20.77,   18.71,   19.55,   14.97,    5.96,    6.37,   12.08
44.84124,-0.58003,T2M,1986,    6.67,    2.96,    8.27,    8.10,   14.83,   18.09,   20.49,   19.19,   17.86,   15.65,    9.42,    7.51,   12.49
44.84124,-0.58003,T2M,1987,    1.42,    5.73,    7.94,   13.02,   13.85,   17.12,   21.05,   21.36,   20.67,   14.89,    9.30,    7.36,   12.84
44.84124,-0.58003,T2M,1988,    9.19,    7.16,    8.23,   12.66,   15.47,   18.22,   19.06,   20.10,   17.83,   15.21,    9.13,    6.49,   13.25
44.84124,-0.58003,T2M,1989,    5.09,    7.79,   10.94,   10.07,   18.04,   20.26,   22.73,   21.72,   18.69,   15.28,   10.61,    9.45,   14.27
44.84124,-0.58003,T2M,1990,    7.28,   11.33,   10.29,   11.45,   18.50,   18.80,   22.94,   23.43,   19.55,   15.78,    9.49,    3.96,   14.42
44.84124,-0.58003,T2M,1991,    5.61,    5.47,   10.79,   10.87,   14.42,   17.34,   21.66,   23.93,   20.86,   12.47,    9.08,    5.29,   13.20
44.84124,-0.58003,T2M,1992,    3.12,    6.27,    9.29,   11.15,   17.22,   17.38,   21.10,   21.36,   17.13,   11.65,   11.69,    7.12,   12.89
44.84124,-0.58003,T2M,1993,    6.83,    5.56,    8.83,   11.65,   15.73,   19.05,   19.22,   20.63,   16.17,   12.26,    7.31,    9.04,   12.74
44.84124,-0.58003,T2M,1994,    7.15,    7.86,   10.88,   10.58,   15.76,   18.43,   22.00,   21.65,   16.63,   14.32,   11.74,    8.39,   13.82
44.84124,-0.58003,T2M,1995,    6.73,    9.24,    8.59,   11.18,   15.39,   17.78,   22.24,   21.65,   16.02,   16.61,    9.05,    7.04,   13.50
