LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
47.46517,3.74707,T2M,1981,    0.22,    0.33,    7.86,    9.38,   11.94,   14.82,   17.00,   17.50,   14.94,    9.70,    4.48,    2.12,    9.25
47.46517,3.74707,T2M,1982,    3.48,    3.16,    4.45,    7.54,   12.90,   17.05,   19.21,   17.03,   16.90,    9.99,    6.97,    2.71,   10.15
47.46517,3.74707,T2M,1983,    3.17,    0.10,    5.10,    8.08,   10.54,   17.05,   21.40,   18.17,   14.81,    9.79,    4.94,    1.98,    9.66
47.46517,3.74707,T2M,1984,    1.95,    0.92,    3.46,    7.99,    9.76,   15.21,   17.68,   17.55,   13.19,   10.25,    8.24,    2.27,    9.06
47.46517,3.74707,T2M,1985,   -4.33,    1.28,    3.17,    8.49,   11.99,   14.62,   18.68,   16.53,   15.95,   10.40,    1.48,    2.43,    8.43
47.46517,3.74707,T2M,1986,    1.53,   -3.02,    3.94,    5.78,   13.43,   17.09,   18.20,   16.97,   13.93,   12.14,    6.01,    2.54,    9.13
47.46517,3.74707,T2M,1987,   -4.24,    1.25,    2.81,   10.01,   10.80,   14.92,   18.28,   17.72,   17.25,   11.55,    5.03,    2.63,    9.03
47.46517,3.74707,T2M,1988,    5.06,    2.70,    4.62,    9.87,   13.80,   16.00,   17.21,   18.17,   14.47,   11.53,    4.17,    3.77,   10.14
47.46517,3.74707,T2M,1989,    1.65,    3.58,    8.28,    7.51,   15.21,   15.86,   19.32,   19.04,   15.60,   11.50,    4.71,    3.37,   10.52
47.46517,3.74707,T2M,1990,    2.49,    7.16,    7.22,    7.90,   15.54,   16.45,   20.06,   21.46,   15.12,   12.78,    5.29,    0.07,   10.99
47.46517,3.74707,T2M,1991,    1.84,   -0.01,    8.34,    7.94,   10.98,   15.28,   21.14,   21.57,   18.18,    9.35,    4.97,    0.68,   10.09
47.46517,3.74707,T2M,1992,   -0.37,    2.67,    6.43,    8.80,   15.17,   16.36,   20.16,   21.08,   15.18,    8.11,    7.42,    3.02,   10.36
47.46517,3.74707,T2M,1993,    3.84,    1.42,    5.41,   10.36,   14.32,   17.47,   17.87,   18.75,   13.72,    8.86,    2.18,    3.96,    9.90
47.46517,3.74707,T2M,1994,    3.24,    3.31,    8.21,    7.80,   13.41,   16.70,   21.09,   19.35,   14.08,   10.74,    8.44,    4.68,   10.98
47.46517,3.74707,T2M,1995,    2.11,    5.52,    4.61,    8.57,   12.98,   14.94,   20.45,   18.85,   12.96,   13.64,    4.95,    1.58,   10.13
47.46517,3.74707,T2M,1996,    3.50,    0.83,    4.21,    8.92,   11.97,   16.80,   17.92,   17.72,   12.61,   10.10,    4.79,    1.02,    9.23
47.46517,3.74707,T2M,1997,   -0.64,    4.88,    7.39,    8.38,   13.23,   16.08,   17.99,   21.80,   15.82,   10.09,    6.76,    3.43,   10.46
47.46517,3.74707,T2M,1998,    2.82,    3.38,    6.18,    8.12,   14.03,   16.58,   18.00,   19.42,   14.76,    9.76,    2.37,    2.11,    9.84
47.46517,3.74707,T2M,1999,    3.15,    1.79,    6.61,    9.25,   14.94,   15.29,   19.19,   18.64,   16.92,   10.45,    3.00,    2.90,   10.24
47.46517,3.74707,T2M,2000,    1.01,    4.56,    5.43,    9.06,   14.65,   16.86,   16.29,   18.98,   15.77,   10.46,    6.83,    5.29,   10.44
47.46517,3.74707,T2M,2001,    3.22,    3.44,    7.79,    7.72,   14.68,   15.63,   18.99,   19.69,   12.45,   13.78,    3.18,   -0.06,   10.10
47.46517,3.74707,T2M,2002,    1.89,    5.44,    7.20,    9.61,   12.86,   18.59,   18.61,   18.39,   14.22,   10.83,    7.62,    5.18,   10.90
47.46517,3.74707,T2M,2003,    0.36,    0.68,    7.47,    9.90,   14.13,   21.75,   21.17,   24.75,   15.74,    8.42,    6.90,    2.65,   11.22
47.46517,3.74707,T2M,2004,    2.14,    2.48,    4.74,    9.14,   12.37,   17.33,   18.50,   18.91,   15.86,   12.12,    4.72,    1.19,    9.98
47.46517,3.74707,T2M,2005,    1.98,    0.00,    5.32,    9.60,   13.63,   18.25,   19.30,   17.47,   15.80,   13.60,    4.06,    0.52,   10.02
47.46517,3.74707,T2M,2006,    0.24,    0.57,    4.77,    9.02,   13.20,   17.63,   22.68,   16.19,   17.51,   13.56,    7.63,    2.71,   10.53
47.46517,3.74707,T2M,2007,    4.49,    5.85,    5.82,   13.31,   14.50,   17.14,   17.06,   16.73,   13.22,    9.67,    4.04,    1.87,   10.33
