LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.09952,0.79264,T2M,1981,    3.81,    3.63,   10.29,   11.64,   13.39,   17.61,   19.12,   21.14,   18.46,   13.10,    7.78,    5.96,   12.21
44.09952,0.79264,T2M,1982,    7.18,    6.88,    7.12,   10.63,   14.46,   19.27,   23.10,   19.91,   19.78,   12.28,    9.06,    5.34,   12.95
44.09952,0.79264,T2M,1983,    4.55,    3.85,    7.59,   10.28,   12.89,   18.66,   24.19,   20.98,   18.83,   13.71,   10.29,    4.68,   12.59
44.09952,0.79264,T2M,1984,    5.09,    3.86,    5.86,   10.99,   11.61,   17.83,   22.23,   20.53,   16.43,   13.12,   10.72,    4.64,   11.93
44.09952,0.79264,T2M,1985,   -0.86,    7.22,    5.80,   11.24,   13.35,   17.19,   21.95,   20.62,   21.11,   15.70,    4.65,    4.90,   11.93
44.09952,0.79264,T2M,1986,    4.63,    2.24,    7.10,    7.60,   15.49,   18.93,   22.51,   21.51,   19.42,   15.57,    8.36,    5.82,   12.50
44.09952,0.79264,T2M,1987,    0.39,    4.84,    7.14,   12.54,   13.51,   17.95,   22.19,   22.75,   21.59,   14.89,    8.00,    6.62,   12.74
44.09952,0.79264,T2M,1988,    7.71,    5.69,    7.08,   12.13,   15.30,   18.00,   19.74,   21.61,   18.42,   15.39,    8.39,    4.95,   12.89
44.09952,0.79264,T2M,1989,    4.43,    6.80,    9.95,    9.50,   17.47,   20.59,   24.13,   23.16,   18.82,   14.81,   10.01,    8.48,   14.06
44.09952,0.79264,T2M,1990,    5.81,   10.20,    9.59,   10.96,   18.92,   20.09,   25.14,   24.80,   20.24,   15.61,    8.30,    2.30,   14.36
44.09952,0.79264,T2M,1991,    4.36,    4.46,   10.90,   10.34,   14.33,   19.07,   23.94,   25.58,   20.86,   11.82,    7.91,    4.27,   13.21
44.09952,0.79264,T2M,1992,    2.16,    5.46,    8.59,   11.06,   17.55,   17.08,   21.70,   23.18,   17.70,   10.91,   10.32,    5.93,   12.66
44.09952,0.79264,T2M,1993,    5.21,    4.60,    8.06,   11.34,   15.72,   18.98,   19.85,   22.34,   16.43,   11.78,    6.33,    7.33,   12.38
44.09952,0.79264,T2M,1994,    5.34,    6.43,   10.32,    9.65,   15.94,   18.43,   23.55,   23.73,   17.01,   13.48,   10.74,    6.46,   13.47
44.09952,0.79264,T2M,1995,    4.83,    8.02,    7.35,   10.85,   15.20,   18.32,   23.52,   22.61,   15.90,   16.57,    8.18,    6.20,   13.17
44.09952,0.79264,T2M,1996,    7.80,    4.04,    7.52,   11.23,   14.53,   19.78,   21.87,   19.96,   15.94,   12.74,    7.81,    5.49,   12.42
44.09952,0.79264,T2M,1997,    3.91,    8.14,   10.24,   11.83,   16.41,   18.08,   20.17,   23.78,   19.29,   15.04,    9.67,    5.83,   13.56
44.09952,0.79264,T2M,1998,    5.84,    7.20,    8.85,   10.05,   15.53,   18.78,   21.33,   22.51,   17.91,   12.48,    5.69,    4.08,   12.56
44.09952,0.79264,T2M,1999,    5.35,    4.40,    8.89,   11.63,   16.94,   18.47,   22.62,   22.52,   19.93,   13.79,    5.84,    5.19,   13.02
44.09952,0.79264,T2M,2000,    3.09,    7.56,    8.09,   11.47,   16.68,   19.90,   20.64,   23.14,   19.32,   13.33,    8.92,    8.01,   13.36
44.09952,0.79264,T2M,2001,    6.41,    5.47,   11.16,   10.00,   15.72,   18.80,   20.94,   22.89,   16.43,   16.83,    5.81,    1.81,   12.75
44.09952,0.79264,T2M,2002,    5.79,    7.44,   10.17,   12.26,   14.93,   20.74,   21.53,   21.01,   17.90,   14.59,    9.74,    7.58,   13.67
