LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.4706,0.9249,T2M,1981,-18.4,-8.03,-4.42,2.75,8.79,15.15,19.19,17.81,11.41,2.93,-1.66,-9.92,3.01
43.4706,0.9249,T2M,1982,-21.66,-14.79,-8.52,-1.11,12.77,13.76,18.09,14.71,12.18,6.49,-0.9,-7.3,2.07
43.4706,0.9249,T2M,1983,-13.75,-12.38,-6.14,1.56,7.22,15.92,19.05,18.8,13.95,5.22,-2.08,-15.5,2.73
43.4706,0.9249,T2M,1984,-18.68,-8.96,-11.45,5.18,7.72,15.55,17.64,17.86,10.69,7.03,-2.1,-9.37,2.6
43.4706,0.9249,T2M,1985,-18.72,-13.57,-8.35,-0.52,9.47,13.55,16.95,16.25,12.73,5.83,-3.08,-15.47,1.33
43.4706,0.9249,T2M,1986,-16.58,-14.67,-7.24,4.94,11.44,13.3,17.97,15.71,10.76,4.56,-4.2,-9.65,2.29
43.4706,0.9249,T2M,1987,-13.06,-14.58,-5.1,6.09,10.91,17.12,19.75,16.91,13.51,3.55,-1.94,-8.29,3.84
43.4706,0.9249,T2M,1988,-14.23,-15.56,-9.21,3.11,11.61,14.34,20.18,18.22,12.17,3.78,-0.7,-11.32,2.75
43.4706,0.9249,T2M,1989,-13.52,-16.14,-10.64,0.5,11.04,15.45,18.96,16.41,12.78,5.56,-6.69,-21.25,1.13
43.4706,0.9249,T2M,1990,-10.95,-13.54,-7.14,3.23,9.16,15.25,18.01,17.38,10.92,4.37,-1.83,-9.7,3.02
43.4706,0.9249,T2M,1991,-15.96,-10.87,-6.93,4.49,12.14,16.73,18.24,18,11.03,5.54,-1.72,-10.37,3.43
43.4706,0.9249,T2M,1992,-15.5,-14.75,-10.06,0.4,9.59,13.87,15.23,15.59,12.1,3.38,-3.26,-8.64,1.54
43.4706,0.9249,T2M,1993,-14.91,-17.68,-7.2,3.12,10.21,14.73,19.23,18.94,10.46,2.99,-4.49,-10.59,2.19
