LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.26555,2.28402,T2M,1981,    2.73,    2.89,    9.32,   10.46,   12.49,   17.81,   18.88,   21.37,   18.20,   12.87,    8.27,    5.22,   11.76
43.26555,2.28402,T2M,1982,    6.44,    6.02,    6.07,    9.73,   13.45,   18.92,   23.47,   19.85,   18.37,   11.74,    8.32,    4.52,   12.28
43.26555,2.28402,T2M,1983,    4.66,    2.74,    7.02,    9.77,   12.84,   18.60,   24.86,   20.41,   18.61,   13.25,    9.95,    4.67,   12.34
43.26555,2.28402,T2M,1984,    4.32,    3.02,    5.08,    9.77,   10.67,   17.26,   22.06,   19.60,   15.72,   12.54,   10.01,    4.36,   11.22
43.26555,2.28402,T2M,1985,   -1.69,    6.54,    4.77,   10.61,   12.23,   17.08,   22.88,   20.80,   20.01,   15.08,    4.13,    4.81,   11.46
43.26555,2.28402,T2M,1986,    3.39,    1.55,    6.27,    7.15,   15.53,   18.75,   22.17,   21.65,   19.07,   14.44,    8.22,    4.85,   11.99
43.26555,2.28402,T2M,1987,    0.51,    4.14,    5.94,   11.47,   12.51,   17.62,   21.33,   22.41,   20.96,   14.42,    7.46,    7.12,   12.20
43.26555,2.28402,T2M,1988,    6.78,    4.52,    6.01,   10.62,   14.19,   17.39,   21.26,   22.11,   18.18,   15.05,    7.99,    4.16,   12.38
43.26555,2.28402,T2M,1989,    4.81,    6.39,    9.16,    8.88,   16.43,   19.94,   23.23,   22.51,   17.40,   13.62,    9.68,    7.67,   13.36
43.26555,2.28402,T2M,1990,    5.31,    9.32,    8.87,    9.48,   17.06,   19.11,   23.30,   22.86,   18.93,   14.45,    7.29,    1.96,   13.19
43.26555,2.28402,T2M,1991,    4.19,    4.16,    9.74,    8.90,   12.60,   18.51,   23.30,   24.22,   19.88,   11.21,    7.30,    4.51,   12.43
43.26555,2.28402,T2M,1992,    2.32,    4.82,    7.27,   10.17,   16.24,   15.54,   20.94,   23.22,   17.77,   10.44,    9.73,    5.60,   12.03
43.26555,2.28402,T2M,1993,    5.09,    3.83,    7.01,   10.18,   14.92,   18.65,   20.08,   22.66,   16.48,   11.28,    6.27,    6.18,   11.94
43.26555,2.28402,T2M,1994,    4.24,    5.29,    9.72,    7.99,   15.27,   18.25,   24.07,   23.95,   16.34,   12.73,   10.40,    5.73,   12.89
43.26555,2.28402,T2M,1995,    3.45,    7.29,    6.12,   10.02,   14.23,   17.56,   22.95,   21.43,   14.96,   15.38,    8.12,    6.00,   12.33
43.26555,2.28402,T2M,1996,    7.17,    2.95,    6.46,    9.88,   13.49,   18.60,   21.19,   19.69,   14.93,   11.76,    7.13,    5.39,   11.59
43.26555,2.28402,T2M,1997,    4.19,    7.55,    9.38,   10.56,   15.26,   17.53,   19.60,   22.54,   18.68,   14.51,    9.19,    5.35,   12.89
43.26555,2.28402,T2M,1998,    5.16,    6.94,    7.93,    9.07,   14.72,   18.94,   21.68,   21.88,   17.33,   11.89,    5.33,    4.04,   12.11
43.26555,2.28402,T2M,1999,    4.72,    3.20,    7.80,   10.38,   15.90,   17.88,   21.88,   22.33,   19.25,   13.56,    5.50,    4.18,   12.28
43.26555,2.28402,T2M,2000,    2.75,    6.74,    7.43,   10.21,   15.79,   18.73,   20.06,   22.20,   18.50,   12.19,    8.19,    7.36,   12.53
43.26555,2.28402,T2M,2001,    5.47,    4.58,   10.52,    9.31,   15.18,   19.69,   21.78,   22.87,   15.82,   16.37,    5.32,    1.92,   12.47
43.26555,2.28402,T2M,2002,    5.57,    6.64,    9.27,   10.89,   13.64,   20.39,   20.99,   20.28,   16.81,   13.83,    9.01,    6.78,   12.88
43.26555,2.28402,T2M,2003,    2.37,    3.25,    9.30,   11.43,   15.76,   24.05,   24.04,   26.39,   17.89,   11.61,    9.53,    5.20,   13.46
