LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.44951,1.43651,T2M,1981,    3.38,    3.38,   10.07,   11.60,   13.21,   17.53,   18.86,   20.67,   18.07,   12.73,    7.53,    5.51,   11.93
44.44951,1.43651,T2M,1982,    6.94,    6.84,    6.92,   10.66,   14.26,   19.08,   22.65,   19.50,   19.36,   12.02,    8.94,    5.00,   12.71
44.44951,1.43651,T2M,1983,    4.41,    3.60,    7.49,   10.17,   12.77,   18.55,   23.98,   20.48,   18.47,   13.31,   10.14,    4.55,   12.38
44.44951,1.43651,T2M,1984,    4.65,    3.67,    5.72,   10.80,   11.50,   17.75,   21.63,   20.01,   15.99,   12.89,   10.68,    4.44,   11.66
44.44951,1.43651,T2M,1985,   -1.35,    7.09,    5.55,   11.14,   13.19,   17.08,   21.78,   20.32,   20.45,   15.36,    4.35,    4.67,   11.66
44.44951,1.43651,T2M,1986,    4.15,    2.06,    6.85,    7.55,   15.61,   18.90,   22.25,   21.39,   19.22,   15.41,    8.27,    5.48,   12.33
44.44951,1.43651,T2M,1987,    0.20,    4.65,    6.79,   12.38,   13.37,   17.73,   21.92,   22.61,   21.35,   14.77,    7.75,    6.66,   12.56
44.44951,1.43651,T2M,1988,    7.45,    5.46,    6.73,   11.95,   15.16,   17.90,   19.76,   21.38,   17.93,   15.15,    8.09,    4.65,   12.66
44.44951,1.43651,T2M,1989,    4.58,    6.63,    9.76,    9.36,   17.37,   20.14,   23.66,   22.95,   18.46,   14.46,    9.80,    8.21,   13.83
44.44951,1.43651,T2M,1990,    5.56,    9.91,    9.54,   10.73,   18.68,   19.90,   24.94,   24.46,   19.87,   15.39,    7.90,    1.96,   14.10
44.44951,1.43651,T2M,1991,    4.29,    4.27,   10.87,   10.10,   14.16,   19.03,   23.91,   25.49,   20.65,   11.69,    7.65,    4.23,   13.09
44.44951,1.43651,T2M,1992,    2.13,    5.40,    8.49,   11.05,   17.43,   17.03,   21.58,   23.17,   17.52,   10.78,    9.95,    5.95,   12.56
44.44951,1.43651,T2M,1993,    5.09,    4.59,    7.93,   11.12,   15.61,   18.85,   19.58,   21.95,   16.16,   11.67,    6.22,    6.83,   12.19
44.44951,1.43651,T2M,1994,    4.91,    6.00,   10.08,    9.35,   15.85,   18.21,   22.87,   22.98,   16.69,   13.33,   10.64,    6.18,   13.14
44.44951,1.43651,T2M,1995,    4.35,    7.70,    7.03,   10.77,   14.89,   17.92,   22.86,   22.08,   15.44,   16.30,    8.00,    5.98,   12.82
44.44951,1.43651,T2M,1996,    7.94,    3.77,    7.34,   11.11,   14.37,   19.47,   21.47,   19.64,   15.67,   12.40,    7.41,    5.67,   12.22
44.44951,1.43651,T2M,1997,    4.15,    7.93,   10.14,   11.76,   16.17,   17.86,   20.03,   23.46,   18.93,   14.78,    9.48,    5.62,   13.39
44.44951,1.43651,T2M,1998,    5.76,    7.19,    8.62,    9.79,   15.43,   18.63,   21.26,   22.18,   17.60,   12.20,    5.36,    3.87,   12.36
44.44951,1.43651,T2M,1999,    5.17,    4.09,    8.69,   11.42,   16.79,   18.19,   22.26,   22.32,   19.61,   13.52,    5.77,    4.76,   12.77
44.44951,1.43651,T2M,2000,    2.93,    7.29,    8.02,   11.32,   16.50,   19.82,   20.51,   22.85,   19.05,   13.03,    8.64,    7.82,   13.16
