LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
47.2726,0.82235,T2M,1981,    3.13,    1.83,    8.88,   10.03,   12.33,   15.47,   18.07,   19.90,   17.06,   11.13,    6.32,    4.14,   10.75
47.2726,0.82235,T2M,1982,    4.99,    5.26,    6.03,    8.60,   13.50,   18.08,   20.48,   18.33,   18.28,   11.19,    8.32,    4.66,   11.51
47.2726,0.82235,T2M,1983,    5.00,    2.19,    6.89,    8.65,   11.23,   17.57,   21.71,   19.35,   16.36,   11.55,    6.94,    3.50,   10.97
47.2726,0.82235,T2M,1984,    4.30,    2.97,    4.99,    9.43,   10.62,   16.98,   20.55,   19.68,   15.18,   11.55,    9.29,    3.76,   10.80
47.2726,0.82235,T2M,1985,   -1.57,    2.91,    4.69,    9.50,   12.38,   15.24,   19.53,   17.72,   18.14,   12.28,    3.54,    4.28,    9.93
47.2726,0.82235,T2M,1986,    3.74,   -1.74,    5.62,    6.36,   13.07,   18.03,   20.13,   18.72,   15.06,   14.14,    7.46,    5.12,   10.56
47.2726,0.82235,T2M,1987,   -3.09,    2.97,    4.46,   11.06,   12.07,   16.38,   20.10,   20.07,   18.82,   12.67,    6.53,    4.12,   10.54
47.2726,0.82235,T2M,1988,    6.85,    4.78,    6.44,   10.64,   14.32,   16.97,   17.98,   20.29,   16.62,   13.16,    6.05,    5.60,   11.67
47.2726,0.82235,T2M,1989,    3.20,    5.45,    9.65,    8.37,   16.82,   19.02,   22.18,   21.34,   17.77,   14.10,    6.60,    5.12,   12.52
47.2726,0.82235,T2M,1990,    4.94,    8.85,    8.19,    9.29,   17.15,   17.61,   22.43,   23.70,   17.29,   14.19,    7.30,    2.39,   12.81
47.2726,0.82235,T2M,1991,    3.41,    1.17,    9.13,    9.46,   13.15,   16.49,   22.06,   23.15,   19.17,   10.96,    6.55,    2.34,   11.49
47.2726,0.82235,T2M,1992,    1.25,    4.02,    7.85,    9.45,   16.52,   18.19,   21.30,   21.16,   15.97,    9.37,    9.15,    4.41,   11.58
47.2726,0.82235,T2M,1993,    5.48,    2.84,    6.88,   10.61,   14.24,   17.99,   18.68,   19.26,   14.69,    9.54,    3.51,    6.04,   10.87
47.2726,0.82235,T2M,1994,    5.40,    5.14,    8.97,    9.00,   13.86,   17.52,   22.88,   20.92,   14.97,   12.16,    9.85,    6.77,   12.34
47.2726,0.82235,T2M,1995,    4.48,    7.46,    6.28,    9.48,   13.76,   16.40,   22.46,   22.25,   14.84,   15.16,    6.86,    3.31,   11.93
47.2726,0.82235,T2M,1996,    5.38,    2.66,    5.84,    9.89,   12.26,   18.52,   19.98,   19.59,   14.98,   11.93,    6.53,    1.93,   10.82
47.2726,0.82235,T2M,1997,    0.18,    6.39,    8.76,    9.52,   13.78,   16.67,   19.32,   22.91,   17.50,   12.12,    8.52,    5.07,   11.76
47.2726,0.82235,T2M,1998,    4.32,    4.39,    7.48,    8.81,   14.56,   16.88,   18.79,   20.79,   16.52,   11.54,    4.45,    4.06,   11.10
47.2726,0.82235,T2M,1999,    5.22,    4.15,    7.91,   10.09,   15.32,   16.46,   20.94,   19.82,   18.12,   11.90,    5.14,    5.09,   11.73
47.2726,0.82235,T2M,2000,    2.70,    6.15,    6.56,    9.31,   14.91,   17.44,   17.57,   20.29,   17.00,   11.42,    7.72,    6.71,   11.50
47.2726,0.82235,T2M,2001,    4.60,    4.48,    8.30,    8.38,   14.57,   16.50,   19.15,   19.98,   14.17,   14.52,    4.91,    1.51,   10.97
47.2726,0.82235,T2M,2002,    4.40,    6.54,    7.86,    9.92,   12.99,   17.94,   18.98,   18.69,   15.34,   12.37,    8.92,    6.65,   11.74
47.2726,0.82235,T2M,2003,    1.90,    2.67,    8.28,   10.41,   13.88,   21.03,   21.11,   25.17,   17.04,    9.85,    8.18,    4.16,   12.03
47.2726,0.82235,T2M,2004,    4.24,    3.69,    5.58,    9.73,   13.15,   18.42,   19.58,   19.93,   17.60,   12.62,    6.63,    3.21,   11.22
47.2726,0.82235,T2M,2005,    4.33,    2.18,    6.77,   10.46,   14.28,   20.16,   20.93,   19.65,   17.74,   15.45,    5.50,    2.03,   11.68
47.2726,0.82235,T2M,2006,    2.19,    2.12,    6.16,   10.07,   13.94,   19.48,   24.37,   18.17,   19.27,   14.34,    8.63,    3.71,   11.92
47.2726,0.82235,T2M,2007,    6.44,    7.29,    6.90,   13.54,   14.58,   17.23,   17.66,   18.03,   15.09,   11.32,    5.81,    3.61,   11.48
47.2726,0.82235,T2M,2008,    5.36,    5.86,    6.52,    8.54,   15.37,   16.93,   18.72,   19.01,   14.14,   10.96,    6.92,    2.36,   10.91
47.2726,0.82235,T2M,2009,    0.48,    3.15,    6.30,   10.93,   14.72,   17.78,   19.74,   21.49,   16.79,   12.32,    9.35,    3.43,   11.42
47.2726,0.82235,T2M,2010,   -0.28,    2.75,    5.70,   10.24,   12.46,   18.25,   21.60,   19.13,   15.90,   11.23,    6.50,   -0.44,   10.29
47.2726,0.82235,T2M,2011,    3.14,    5.23,    7.68,   12.96,   15.47,   17.81,   18.22,   19.74,   17.69,   13.04,   10.30,    6.95,   12.39
47.2726,0.82235,T2M,2012,    4.83,   -0.17,    8.79,    8.63,   14.56,   16.73,   18.38,   20.91,   16.43,   12.53,    7.35,    5.70,   11.27
47.2726,0.82235,T2M,2013,    3.21,    2.24,    4.95,    8.96,   11.38,   16.14,   21.24,   19.54,   17.18,   13.85,    6.45,    4.36,   10.85
47.2726,0.82235,T2M,2014,    6.19,    6.60,    8.19,   11.30,   13.10,   18.11,   20.29,   17.60,   18.15,   14.04,    9.66,    4.09,   12.30
47.2726,0.82235,T2M,2015,    3.82,    3.11,    7.42,   11.66,   14.23,   19.11,   21.90,   21.38,   14.88,   11.07,   10.43,    7.69,   12.28
47.2726,0.82235,T2M,2016,    5.29,    5.58,    6.09,    9.14,   13.71,   17.01,   20.02,   21.72,   19.60,   10.99,    7.49,    4.01,   11.74
47.2726,0.82235,T2M,2017,    1.13,    6.47,    9.66,   10.11,   15.68,   20.62,   21.19,   20.52,   15.67,   13.86,    6.92,    4.44,   12.22
47.2726,0.82235,T2M,2018,    7.07,    1.28,    6.50,   12.21,   15.15,   19.19,   22.99,   22.36,   18.47,   13.28,    7.53,    6.27,   12.77
47.2726,0.82235,T2M,2019,    2.85,    6.17,    8.57,   10.43,   12.99,   19.54,   23.58,   21.72,   17.94,   13.35,    7.50,    6.50,   12.63
47.2726,0.82235,RH2M,1981,   93.41,   88.43,   87.91,   80.66,   84.41,   79.00,   75.46,   67.46,   69.74,   85.80,   90.26,   93.79,   83.02
47.2726,0.82235,RH2M,1982,   94.60,   93.06,   85.21,   79.39,   79.04,   75.56,   67.81,   70.46,   70.99,   86.92,   91.81,   94.82,   82.42
47.2726,0.82235,RH2M,1983,   94.41,   90.84,   87.82,   86.37,   84.62,   78.61,   78.90,   74.57,   75.30,   78.69,   86.22,   91.98,   84.00
47.2726,0.82235,RH2M,1984,   91.84,   87.21,   82.83,   74.07,   80.16,   71.46,   57.74,   63.68,   75.07,   88.44,   91.87,   95.81,   80.00
47.2726,0.82235,RH2M,1985,   91.99,   90.78,   86.45,   83.61,   83.95,   78.56,   70.57,   67.48,   62.67,   69.89,   85.85,   90.43,   80.13
47.2726,0.82235,RH2M,1986,   91.90,   87.77,   86.73,   84.05,   81.33,   74.76,   61.32,   58.07,   68.40,   80.06,   89.99,   93.99,   79.80
47.2726,0.82235,RH2M,1987,   85.86,   92.73,   82.77,   79.62,   71.13,   70.95,   67.27,   62.88,   67.64,   86.54,   91.94,   93.99,   79.35
47.2726,0.82235,RH2M,1988,   93.60,   89.48,   87.63,   83.11,   81.95,   77.68,   70.37,   60.74,   70.73,   78.17,   86.77,   93.98,   81.16
47.2726,0.82235,RH2M,1989,   94.05,   86.97,   81.11,   79.97,   69.28,   56.35,   56.35,   53.32,   58.10,   70.59,   83.61,   90.54,   73.28
47.2726,0.82235,RH2M,1990,   91.13,   87.25,   79.09,   75.56,   62.61,   60.76,   45.03,   41.69,   53.42,   72.49,   86.78,   90.39,   70.39
47.2726,0.82235,RH2M,1991,   89.62,   86.79,   81.18,   70.90,   62.12,   60.79,   50.42,   47.59,   63.55,   78.97,   89.36,   92.17,   72.69
47.2726,0.82235,RH2M,1992,   90.88,   87.54,   80.26,   75.45,   62.12,   61.24,   58.56,   61.25,   68.99,   81.82,   93.30,   94.26,   76.26
47.2726,0.82235,RH2M,1993,   93.32,   89.08,   81.63,   83.39,   78.83,   74.81,   65.03,   56.81,   73.71,   86.51,   89.70,   93.55,   80.46
47.2726,0.82235,RH2M,1994,   93.73,   92.60,   87.56,   79.70,   78.77,   73.43,   61.40,   63.64,   79.10,   83.69,   93.78,   94.22,   81.72
47.2726,0.82235,RH2M,1995,   92.12,   91.78,   87.29,   84.11,   76.23,   73.51,   62.63,   54.40,   73.15,   77.47,   84.11,   91.97,   78.96
47.2726,0.82235,RH2M,1996,   94.70,   88.92,   82.32,   75.76,   78.06,   62.67,   56.74,   56.45,   61.54,   80.29,   90.91,   92.60,   76.72
47.2726,0.82235,RH2M,1997,   94.00,   89.28,   85.54,   70.94,   75.37,   74.19,   67.93,   66.09,   60.44,   73.81,   90.77,   93.99,   78.49
47.2726,0.82235,RH2M,1998,   91.16,   92.32,   82.73,   85.97,   78.13,   73.52,   67.21,   53.69,   72.58,   86.45,   88.84,   94.02,   80.46
47.2726,0.82235,RH2M,1999,   92.55,   90.42,   87.18,   83.92,   81.20,   74.91,   67.07,   67.31,   72.57,   88.08,   92.09,   94.23,   82.58
47.2726,0.82235,RH2M,2000,   94.93,   91.64,   86.18,   84.70,   81.30,   78.26,   74.20,   65.67,   72.00,   86.56,   93.43,   95.12,   83.64
47.2726,0.82235,RH2M,2001,   94.48,   92.35,   91.98,   86.24,   79.92,   74.11,   74.35,   68.15,   76.16,   84.58,   91.04,   91.99,   83.73
47.2726,0.82235,RH2M,2002,   93.29,   89.39,   84.25,   77.49,   78.12,   71.69,   64.93,   71.23,   70.33,   80.94,   92.67,   95.11,   80.75
47.2726,0.82235,RH2M,2003,   92.86,   89.89,   82.98,   76.44,   79.01,   71.66,   61.20,   49.01,   58.24,   80.21,   92.37,   94.29,   77.27
47.2726,0.82235,RH2M,2004,   93.83,   89.10,   84.77,   81.54,   75.53,   65.65,   62.68,   69.56,   67.32,   83.11,   92.63,   93.74,   79.94
47.2726,0.82235,RH2M,2005,   92.87,   86.32,   84.08,   79.87,   73.62,   63.54,   62.75,   55.76,   65.59,   77.93,   86.58,   92.82,   76.77
47.2726,0.82235,RH2M,2006,   93.74,   89.71,   85.82,   77.84,   80.43,   65.14,   57.33,   66.32,   70.38,   88.31,   91.68,   94.64,   80.08
47.2726,0.82235,RH2M,2007,   93.31,   91.37,   86.57,   78.63,   82.13,   79.94,   75.47,   72.13,   71.45,   80.79,   89.19,   93.51,   82.84
47.2726,0.82235,RH2M,2008,   92.86,   89.53,   85.53,   83.47,   79.36,   77.98,   67.84,   68.11,   70.97,   80.53,   93.05,   93.79,   81.88
47.2726,0.82235,RH2M,2009,   92.94,   88.33,   82.75,   81.60,   79.09,   71.51,   62.90,   57.36,   67.05,   77.49,   90.32,   93.97,   78.71
47.2726,0.82235,RH2M,2010,   92.18,   89.08,   82.04,   77.75,   73.91,   69.93,   60.10,   63.37,   65.87,   76.75,   92.35,   95.01,   78.12
47.2726,0.82235,RH2M,2011,   93.23,   93.24,   84.08,   76.06,   67.64,   63.99,   63.51,   67.24,   73.47,   77.75,   90.37,   93.21,   78.56
47.2726,0.82235,RH2M,2012,   93.40,   85.01,   82.48,   79.31,   79.41,   78.90,   69.74,   59.67,   63.23,   86.22,   92.34,   94.13,   80.32
47.2726,0.82235,RH2M,2013,   94.15,   90.42,   87.31,   82.33,   81.68,   80.71,   76.57,   66.55,   71.43,   83.99,   89.63,   92.99,   83.11
47.2726,0.82235,RH2M,2014,   93.68,   89.18,   81.96,   79.41,   79.07,   72.14,   71.83,   73.79,   70.51,   82.04,   91.75,   93.55,   81.55
47.2726,0.82235,RH2M,2015,   93.47,   88.19,   84.56,   76.14,   78.07,   65.08,   57.54,   61.92,   72.11,   82.65,   89.97,   93.05,   78.51
47.2726,0.82235,RH2M,2016,   93.09,   87.83,   85.16,   81.17,   80.44,   84.03,   70.61,   58.32,   62.66,   76.58,   87.51,   94.06,   80.09
