LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
46.56088,2.19621,T2M,1981,    1.50,    1.11,    8.54,    9.82,   12.01,   15.07,   17.53,   18.63,   16.23,   10.65,    5.58,    3.35,   10.06
46.56088,2.19621,T2M,1982,    4.59,    4.67,    5.15,    8.08,   13.20,   17.50,   19.96,   18.12,   18.07,   10.75,    7.77,    3.82,   11.00
46.56088,2.19621,T2M,1983,    4.15,    1.42,    5.95,    8.44,   10.89,   17.30,   21.64,   18.69,   15.94,   11.02,    6.12,    2.74,   10.41
46.56088,2.19621,T2M,1984,    3.19,    1.89,    4.28,    8.83,   10.25,   16.18,   20.03,   19.02,   14.58,   11.01,    8.92,    3.05,   10.13
46.56088,2.19621,T2M,1985,   -3.06,    2.85,    3.91,    9.09,   12.13,   15.11,   19.62,   17.94,   18.15,   12.12,    2.53,    3.88,    9.56
46.56088,2.19621,T2M,1986,    2.72,   -1.49,    4.91,    5.85,   13.38,   17.61,   19.90,   18.75,   15.20,   13.37,    6.76,    4.12,   10.17
46.56088,2.19621,T2M,1987,   -3.71,    2.29,    3.86,   10.57,   11.39,   15.69,   19.54,   19.70,   18.95,   12.43,    5.92,    4.05,   10.09
46.56088,2.19621,T2M,1988,    6.13,    3.73,    5.34,   10.31,   13.92,   16.42,   17.61,   19.74,   16.10,   12.48,    5.31,    4.48,   10.99
46.56088,2.19621,T2M,1989,    2.63,    4.78,    9.00,    7.94,   16.11,   18.01,   21.49,   20.44,   16.84,   12.99,    6.02,    4.81,   11.81
46.56088,2.19621,T2M,1990,    4.11,    8.24,    7.83,    8.48,   16.41,   17.48,   21.75,   22.96,   16.60,   13.76,    6.32,    1.11,   12.12
46.56088,2.19621,T2M,1991,    2.77,    1.13,    8.84,    8.75,   12.31,   16.60,   22.08,   22.71,   19.00,   10.11,    5.78,    1.59,   11.04
46.56088,2.19621,T2M,1992,    0.44,    3.41,    7.05,    9.02,   15.93,   16.53,   20.71,   21.22,   15.63,    8.65,    8.41,    4.14,   10.95
46.56088,2.19621,T2M,1993,    4.59,    2.38,    6.13,   10.26,   14.28,   17.70,   18.38,   19.42,   14.22,    9.40,    3.14,    5.04,   10.47
46.56088,2.19621,T2M,1994,    4.15,    4.35,    8.61,    8.16,   13.79,   16.85,   22.04,   20.97,   14.63,   11.69,    9.30,    5.59,   11.73
46.56088,2.19621,T2M,1995,    3.24,    6.51,    5.38,    8.88,   13.42,   15.69,   21.86,   20.79,   14.17,   14.88,    5.93,    2.74,   11.16
46.56088,2.19621,T2M,1996,    5.03,    1.74,    5.06,    9.33,   12.18,   17.70,   19.28,   18.74,   13.78,   11.00,    5.73,    2.08,   10.17
46.56088,2.19621,T2M,1997,    0.17,    5.99,    8.05,    8.92,   13.60,   16.57,   18.62,   22.85,   17.04,   11.27,    8.00,    4.32,   11.31
46.56088,2.19621,T2M,1998,    3.60,    4.22,    6.71,    8.36,   14.23,   16.94,   19.13,   20.65,   15.97,   10.66,    3.46,    3.13,   10.63
46.56088,2.19621,T2M,1999,    4.20,    2.79,    7.26,    9.49,   15.18,   16.02,   20.42,   19.84,   18.05,   11.56,    3.90,    3.87,   11.11
46.56088,2.19621,T2M,2000,    1.87,    5.48,    5.96,    9.34,   14.86,   17.48,   17.40,   20.44,   16.91,   11.07,    7.47,    6.30,   11.23
46.56088,2.19621,T2M,2001,    4.28,    4.04,    8.44,    7.97,   14.53,   16.25,   19.23,   20.25,   13.62,   14.73,    3.82,    0.31,   10.68
46.56088,2.19621,T2M,2002,    3.41,    5.96,    7.71,    9.87,   13.06,   18.65,   19.02,   18.59,   14.80,   11.83,    8.18,    6.01,   11.45
46.56088,2.19621,T2M,2003,    1.02,    1.65,    7.97,   10.19,   13.98,   21.66,   21.32,   25.20,   16.29,    9.41,    7.59,    3.42,   11.70
46.56088,2.19621,T2M,2004,    3.41,    3.04,    5.01,    8.99,   12.63,   17.90,   19.27,   19.32,   16.55,   12.69,    5.38,    2.53,   10.58
46.56088,2.19621,T2M,2005,    3.12,    0.76,    6.09,    9.95,   14.01,   19.26,   20.61,   18.84,   16.82,   14.78,    4.62,    1.03,   10.89
46.56088,2.19621,T2M,2006,    1.50,    1.40,    5.74,    9.47,   13.50,   18.33,   23.86,   17.40,   18.65,   14.13,    8.26,    3.32,   11.35
46.56088,2.19621,T2M,2007,    5.23,    6.58,    6.33,   13.43,   14.62,   17.27,   17.47,   17.49,   14.23,   10.50,    4.63,    2.82,   10.90
46.56088,2.19621,T2M,2008,    4.61,    5.48,    5.70,    8.34,   15.23,   16.83,   18.50,   18.70,   13.73,   10.49,    6.10,    1.51,   10.45
46.56088,2.19621,T2M,2009,    0.00,    2.27,    5.59,   10.72,   14.82,   17.23,   19.76,   21.22,   16.18,   11.71,    8.67,    2.85,   10.96
46.56088,2.19621,T2M,2010,   -0.77,    2.00,    5.17,   10.13,   11.78,   17.14,   20.87,   18.97,   15.23,   10.61,    5.99,   -0.32,    9.77
46.56088,2.19621,T2M,2011,    2.43,    4.45,    7.07,   12.54,   15.83,   17.77,   17.97,   19.84,   17.75,   12.59,    9.54,    6.13,   12.03
46.56088,2.19621,T2M,2012,    3.89,   -1.38,    8.23,    8.53,   14.47,   17.07,   18.29,   21.37,   16.23,   12.62,    7.28,    4.83,   11.01
46.56088,2.19621,T2M,2013,    1.97,    1.24,    4.67,    8.91,   10.64,   16.03,   21.04,   19.16,   16.64,   13.39,    5.43,    3.82,   10.30
