LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.16435,2.74992,T2M,1981,    3.66,    3.83,    9.75,   11.22,   13.16,   18.68,   19.49,   22.04,   18.76,   13.48,    8.95,    6.00,   12.47
43.16435,2.74992,T2M,1982,    7.12,    6.81,    6.90,   10.50,   13.94,   19.44,   23.86,   20.42,   18.74,   12.53,    9.14,    5.49,   12.94
43.16435,2.74992,T2M,1983,    5.43,    3.69,    7.79,   10.36,   13.53,   18.77,   24.74,   21.16,   19.07,   13.98,   10.47,    5.51,   12.93
43.16435,2.74992,T2M,1984,    5.08,    4.05,    6.03,   10.16,   11.54,   17.92,   22.10,   20.30,   16.43,   13.17,   10.71,    5.38,   11.93
43.16435,2.74992,T2M,1985,   -0.44,    7.06,    5.80,   11.19,   12.92,   17.61,   23.28,   21.26,   20.43,   15.56,    5.14,    5.76,   12.16
43.16435,2.74992,T2M,1986,    4.23,    2.40,    7.01,    8.03,   15.85,   18.87,   22.74,   21.98,   19.55,   14.95,    9.12,    5.66,   12.60
43.16435,2.74992,T2M,1987,    1.26,    4.97,    6.43,   11.64,   13.03,   17.98,   21.93,   22.62,   21.09,   14.88,    8.25,    7.74,   12.69
43.16435,2.74992,T2M,1988,    7.37,    5.33,    6.82,   11.03,   14.70,   18.03,   21.98,   22.45,   18.71,   15.38,    8.71,    5.08,   12.99
43.16435,2.74992,T2M,1989,    5.69,    7.06,    9.63,    9.67,   16.67,   20.39,   23.63,   22.91,   18.05,   14.04,   10.02,    8.04,   13.86
43.16435,2.74992,T2M,1990,    5.94,    9.59,    9.50,   10.26,   17.39,   19.41,   23.36,   23.19,   19.12,   15.05,    8.20,    3.04,   13.70
43.16435,2.74992,T2M,1991,    5.06,    4.75,   10.18,    9.65,   13.28,   18.85,   23.60,   24.18,   20.47,   12.03,    8.02,    5.40,   13.01
43.16435,2.74992,T2M,1992,    3.42,    5.55,    8.10,   10.88,   16.45,   16.27,   21.48,   23.33,   18.13,   11.46,   10.31,    6.61,   12.69
43.16435,2.74992,T2M,1993,    5.80,    4.92,    7.66,   10.80,   15.36,   19.10,   20.62,   22.81,   17.08,   12.23,    7.06,    6.73,   12.57
43.16435,2.74992,T2M,1994,    5.09,    5.97,   10.24,    8.92,   15.67,   18.97,   24.40,   24.19,   17.00,   13.21,   11.20,    6.65,   13.51
43.16435,2.74992,T2M,1995,    4.36,    7.92,    7.03,   10.96,   14.64,   18.43,   23.43,   22.16,   15.91,   15.84,    9.01,    6.79,   13.08
43.16435,2.74992,T2M,1996,    8.10,    3.92,    7.16,   10.57,   14.04,   19.25,   21.79,   20.46,   15.70,   12.44,    8.05,    6.47,   12.36
43.16435,2.74992,T2M,1997,    5.27,    7.83,   10.02,   11.16,   15.48,   18.06,   20.43,   22.90,   19.15,   15.02,   10.11,    6.25,   13.51
43.16435,2.74992,T2M,1998,    6.10,    7.37,    8.60,    9.84,   15.43,   19.38,   22.30,   22.38,   17.60,   12.75,    6.30,    5.01,   12.79
43.16435,2.74992,T2M,1999,    5.82,    4.17,    8.74,   11.15,   16.16,   18.48,   22.26,   22.51,   19.54,   14.14,    6.62,    5.02,   12.94
43.16435,2.74992,T2M,2000,    3.78,    7.22,    8.16,   10.75,   16.08,   19.03,   20.24,   22.42,   18.78,   12.99,    9.04,    8.10,   13.07
43.16435,2.74992,T2M,2001,    6.28,    5.47,   10.87,   10.05,   15.99,   20.16,   22.39,   23.19,   16.53,   16.56,    6.60,    3.00,   13.15
43.16435,2.74992,T2M,2002,    6.21,    7.33,    9.94,   11.67,   14.15,   20.47,   21.64,   20.94,   17.37,   14.40,   10.05,    7.61,   13.52
43.16435,2.74992,T2M,2003,    3.32,    4.21,    9.60,   11.88,   16.35,   23.86,   24.48,   26.66,   18.34,   12.38,   10.15,    6.15,   14.00
43.16435,2.74992,T2M,2004,    5.21,    5.13,    6.86,    9.90,   13.68,   19.77,   21.57,   22.34,   18.76,   15.62,    7.14,    5.67,   12.66
43.16435,2.74992,T2M,2005,    4.46,    2.50,    6.89,   10.98,   15.70,   21.59,   22.76,   20.45,   17.97,   15.33,    7.71,    2.46,   12.46
43.16435,2.74992,T2M,2006,    4.71,    3.85,    8.40,   11.56,   15.39,   20.10,   25.70,   19.98,   19.44,   16.39,   11.29,    5.93,   13.62
43.16435,2.74992,T2M,2007,    6.69,    7.72,    7.97,   14.01,   15.35,   19.18,   21.07,   20.63,   17.40,   13.18,    6.74,    5.27,   12.96
43.16435,2.74992,T2M,2008,    6.94,    7.95,    7.63,   10.85,   15.31,   18.71,   21.77,   21.93,   17.38,   13.40,    7.60,    4.46,   12.84
43.16435,2.74992,T2M,2009,    4.05,    4.70,    7.85,   10.63,   16.16,   19.93,   22.46,   23.77,   19.16,   14.28,   10.16,    4.72,   13.20
43.16435,2.74992,T2M,2010,    2.48,    4.09,    6.55,   11.85,   13.27,   18.71,   23.50,   21.85,   17.65,   12.26,    7.70,    3.51,   11.99
43.16435,2.74992,T2M,2011,    4.28,    5.96,    8.58,   13.54,   17.01,   18.72,   20.09,   22.47,   19.99,   15.08,   11.60,    6.96,   13.73
43.16435,2.74992,T2M,2012,    5.26,    0.38,    9.55,   10.15,   15.69,   20.36,   21.46,   23.97,   18.01,   14.54,    9.36,    5.94,   12.94
43.16435,2.74992,T2M,2013,    4.00,    3.49,    7.53,   10.04,   12.11,   16.99,   23.37,   21.95,   18.50,   15.74,    7.28,    5.95,   12.31
43.16435,2.74992,T2M,2014,    7.10,    6.83,    8.76,   12.91,   14.12,   20.60,   20.58,   20.30,   19.79,   16.61,   11.78,    5.33,   13.75
43.16435,2.74992,T2M,2015,    4.65,    3.66,    8.53,   11.90,   15.44,   21.11,   24.19,   21.76,   17.17,   13.25,   10.70,    9.56,   13.56
