LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.05476,1.99707,T2M,1981,    2.67,    2.80,    9.37,   10.26,   12.37,   17.49,   18.85,   21.01,   18.21,   12.85,    8.35,    5.20,   11.67
43.05476,1.99707,T2M,1982,    6.26,    5.88,    5.89,    9.54,   13.52,   18.92,   23.47,   19.67,   18.62,   11.62,    8.26,    4.37,   12.20
43.05476,1.99707,T2M,1983,    4.67,    2.67,    6.96,    9.58,   12.57,   18.84,   25.09,   20.21,   18.68,   13.25,   10.08,    4.71,   12.33
43.05476,1.99707,T2M,1984,    4.29,    2.76,    4.80,    9.98,   10.39,   17.06,   22.27,   19.42,   15.53,   12.43,    9.93,    4.20,   11.11
43.05476,1.99707,T2M,1985,   -2.00,    6.66,    4.45,   10.48,   12.09,   17.06,   22.71,   20.61,   19.96,   15.11,    4.11,    4.76,   11.35
43.05476,1.99707,T2M,1986,    3.27,    1.57,    6.21,    6.81,   15.54,   18.92,   21.84,   21.57,   19.00,   14.53,    7.99,    4.83,   11.91
43.05476,1.99707,T2M,1987,    0.58,    3.99,    6.09,   11.69,   12.38,   17.47,   21.18,   22.40,   21.28,   14.60,    7.44,    7.13,   12.23
43.05476,1.99707,T2M,1988,    6.78,    4.47,    5.86,   10.65,   14.09,   17.14,   20.72,   22.01,   17.92,   15.25,    8.16,    4.10,   12.29
43.05476,1.99707,T2M,1989,    4.68,    6.35,    9.29,    8.63,   16.54,   19.73,   23.13,   22.43,   17.31,   13.92,    9.97,    8.12,   13.39
43.05476,1.99707,T2M,1990,    5.49,    9.60,    8.92,    9.33,   17.10,   19.07,   23.42,   22.94,   19.20,   14.49,    7.31,    1.82,   13.25
43.05476,1.99707,T2M,1991,    4.05,    4.23,    9.81,    8.80,   12.39,   18.40,   23.14,   24.43,   19.85,   11.11,    7.31,    4.46,   12.38
43.05476,1.99707,T2M,1992,    2.15,    4.80,    7.13,   10.02,   16.44,   15.31,   20.75,   23.33,   17.82,   10.12,    9.78,    5.26,   11.93
43.05476,1.99707,T2M,1993,    5.18,    3.47,    7.00,   10.02,   14.92,   18.75,   19.88,   22.59,   16.31,   10.89,    6.19,    6.28,   11.85
43.05476,1.99707,T2M,1994,    4.07,    5.27,    9.73,    7.69,   15.15,   18.05,   23.98,   23.94,   16.23,   12.88,   10.23,    5.57,   12.79
43.05476,1.99707,T2M,1995,    3.35,    7.23,    6.00,    9.67,   14.30,   17.20,   22.92,   21.24,   14.66,   15.56,    8.05,    5.89,   12.21
43.05476,1.99707,T2M,1996,    6.83,    2.80,    6.39,    9.82,   13.41,   18.56,   20.96,   19.48,   14.79,   11.80,    7.09,    5.03,   11.45
