LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.96353,4.84755,T2M,1981,   -0.86,    0.41,    7.30,   10.00,   12.11,   16.51,   18.19,   19.95,   16.48,   10.39,    4.75,    1.64,    9.79
44.96353,4.84755,T2M,1982,    3.84,    3.23,    4.26,    7.96,   13.86,   18.26,   22.58,   18.97,   17.56,   10.18,    6.61,    2.21,   10.83
44.96353,4.84755,T2M,1983,    2.73,   -0.37,    5.39,    8.28,   11.55,   17.01,   23.39,   19.99,   16.61,   10.91,    6.22,    2.49,   10.42
44.96353,4.84755,T2M,1984,    1.19,    0.85,    3.44,    8.16,   10.06,   15.88,   20.27,   18.93,   14.25,   10.72,    7.83,    2.64,    9.54
44.96353,4.84755,T2M,1985,   -4.01,    3.13,    3.23,    8.78,   11.76,   15.68,   20.98,   19.37,   18.59,   12.45,    2.12,    3.32,    9.65
44.96353,4.84755,T2M,1986,    0.45,   -1.58,    4.79,    6.68,   14.60,   17.47,   20.84,   20.55,   16.90,   12.69,    6.25,    1.88,   10.20
44.96353,4.84755,T2M,1987,   -3.06,    2.02,    3.38,    9.67,   11.26,   15.92,   20.21,   20.83,   19.10,   12.21,    5.20,    4.01,   10.10
44.96353,4.84755,T2M,1988,    4.07,    2.42,    4.30,    9.57,   13.72,   16.08,   19.71,   20.73,   15.99,   12.59,    4.37,    2.30,   10.52
44.96353,4.84755,T2M,1989,    2.70,    4.32,    7.59,    7.81,   15.20,   17.85,   22.24,   21.46,   16.66,   11.55,    5.80,    4.22,   11.50
44.96353,4.84755,T2M,1990,    2.52,    6.96,    7.45,    8.10,   16.34,   18.12,   22.37,   21.90,   16.37,   13.05,    5.12,   -0.38,   11.53
44.96353,4.84755,T2M,1991,    1.70,    1.51,    8.17,    8.14,   11.58,   18.04,   23.29,   22.87,   18.44,    9.71,    4.85,    0.81,   10.82
44.96353,4.84755,T2M,1992,    0.53,    2.80,    6.36,    9.25,   14.80,   15.54,   20.15,   22.61,   16.11,    8.82,    7.21,    3.44,   10.66
44.96353,4.84755,T2M,1993,    3.19,    1.96,    4.91,    9.37,   14.00,   18.11,   18.93,   21.32,   14.83,    9.86,    3.49,    2.82,   10.29
44.96353,4.84755,T2M,1994,    1.86,    2.88,    8.29,    7.15,   13.76,   17.50,   23.47,   22.73,   14.95,   10.83,    8.72,    3.45,   11.36
44.96353,4.84755,T2M,1995,    0.69,    5.04,    4.10,    8.69,   12.91,   16.20,   22.57,   20.20,   13.28,   13.68,    5.02,    2.73,   10.47
44.96353,4.84755,T2M,1996,    4.57,    0.47,    4.13,    8.82,   12.53,   17.74,   18.85,   18.50,   12.95,   10.35,    4.91,    2.82,    9.76
44.96353,4.84755,T2M,1997,    1.63,    4.49,    7.78,    8.64,   14.50,   17.31,   19.33,   22.13,   18.14,   11.58,    7.10,    2.92,   11.34
44.96353,4.84755,T2M,1998,    2.55,    4.49,    5.81,    8.36,   14.24,   17.56,   21.20,   21.24,   15.50,   10.02,    2.73,    1.55,   10.48
44.96353,4.84755,T2M,1999,    2.68,    1.08,    6.40,    8.82,   15.52,   16.71,   21.48,   20.90,   17.98,   11.61,    3.15,    1.99,   10.76
44.96353,4.84755,T2M,2000,    1.01,    4.19,    6.02,    9.50,   15.16,   18.19,   18.55,   21.56,   16.96,   10.57,    6.21,    5.04,   11.10
44.96353,4.84755,T2M,2001,    3.12,    3.17,    8.34,    7.69,   14.62,   17.20,   20.86,   21.74,   13.60,   14.07,    3.60,   -0.61,   10.68
44.96353,4.84755,T2M,2002,    2.07,    4.67,    7.35,    9.92,   12.84,   20.09,   20.64,   19.99,   14.37,   11.31,    7.91,    4.48,   11.34
44.96353,4.84755,T2M,2003,    0.17,    0.21,    6.62,    9.71,   15.18,   23.46,   23.23,   25.99,   16.11,    9.79,    7.30,    2.97,   11.80
44.96353,4.84755,T2M,2004,    1.41,    2.31,    4.49,    8.58,   12.77,   18.67,   21.13,   20.35,   17.08,   13.48,    4.73,    2.20,   10.63
44.96353,4.84755,T2M,2005,    1.12,   -0.26,    5.25,    9.00,   14.17,   19.86,   21.35,   19.07,   16.43,   12.87,    4.78,   -0.74,   10.30
44.96353,4.84755,T2M,2006,    0.31,    0.88,    5.01,    9.74,   13.70,   19.50,   24.54,   17.88,   18.14,   13.82,    7.93,    3.40,   11.30
44.96353,4.84755,T2M,2007,    3.77,    4.70,    5.91,   13.51,   14.66,   17.96,   19.63,   19.27,   15.10,   10.46,    4.30,    1.82,   10.96
44.96353,4.84755,T2M,2008,    3.66,    4.75,    4.73,    8.65,   14.85,   17.40,   19.81,   19.69,   14.39,   10.88,    5.37,    0.95,   10.45
44.96353,4.84755,T2M,2009,    0.05,    1.80,    4.99,   10.28,   15.43,   18.34,   21.65,   22.76,   16.99,   11.17,    7.84,    2.12,   11.17
44.96353,4.84755,T2M,2010,   -1.24,    1.14,    4.39,    9.92,   11.73,   17.06,   22.13,   20.11,   15.30,   10.20,    5.30,    0.24,    9.73
44.96353,4.84755,T2M,2011,    1.50,    3.57,    6.55,   12.01,   16.10,   17.55,   18.45,   20.99,   18.29,   12.40,    8.40,    3.90,   11.68
44.96353,4.84755,T2M,2012,    2.47,   -2.39,    8.11,    8.67,   14.28,   18.71,   20.26,   22.24,   16.16,   11.85,    6.91,    2.21,   10.84
