LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.81709,4.3606,T2M,1981,    3.82,    4.85,   10.45,   13.05,   15.30,   20.72,   22.04,   23.79,   20.25,   14.33,    9.01,    6.51,   13.73
43.81709,4.3606,T2M,1982,    7.34,    7.21,    8.02,   11.59,   16.52,   21.35,   25.74,   22.02,   20.58,   13.88,   10.42,    6.34,   14.29
43.81709,4.3606,T2M,1983,    6.14,    4.32,    8.96,   11.38,   14.73,   20.10,   25.87,   23.16,   20.07,   15.01,   10.38,    6.49,   13.94
43.81709,4.3606,T2M,1984,    5.41,    5.05,    7.31,   11.50,   13.45,   19.45,   23.34,   22.20,   17.68,   14.27,   11.41,    6.50,   13.15
43.81709,4.3606,T2M,1985,    0.92,    7.00,    7.09,   12.20,   14.81,   19.37,   24.87,   22.63,   21.73,   16.14,    6.54,    7.27,   13.42
43.81709,4.3606,T2M,1986,    4.84,    2.80,    8.15,    9.96,   17.36,   20.42,   24.41,   23.55,   20.31,   15.90,   10.20,    5.99,   13.73
43.81709,4.3606,T2M,1987,    1.51,    5.89,    6.97,   12.33,   14.42,   19.24,   23.63,   24.02,   21.86,   15.78,    8.86,    7.54,   13.54
43.81709,4.3606,T2M,1988,    7.84,    6.26,    8.06,   12.18,   16.29,   19.57,   23.73,   24.03,   19.66,   15.98,    8.69,    6.08,   14.06
43.81709,4.3606,T2M,1989,    6.27,    7.76,   10.68,   11.36,   17.95,   21.73,   25.35,   24.42,   19.78,   14.97,    9.76,    8.06,   14.89
43.81709,4.3606,T2M,1990,    6.13,   10.11,   10.61,   11.83,   18.74,   20.77,   24.77,   24.51,   19.77,   16.43,    9.19,    4.07,   14.77
43.81709,4.3606,T2M,1991,    5.60,    5.32,   11.36,   11.38,   15.07,   20.58,   25.40,   25.18,   21.39,   13.41,    8.89,    5.17,   14.12
43.81709,4.3606,T2M,1992,    4.84,    6.52,    9.91,   12.80,   17.89,   18.36,   23.11,   24.70,   19.35,   13.09,   10.83,    7.41,   14.10
43.81709,4.3606,T2M,1993,    6.65,    5.86,    8.70,   12.37,   16.76,   21.00,   22.18,   24.25,   18.36,   13.53,    7.47,    6.71,   13.71
43.81709,4.3606,T2M,1994,    5.74,    6.47,   11.21,   10.72,   16.78,   21.09,   26.31,   25.47,   18.31,   14.14,   12.05,    7.31,   14.69
43.81709,4.3606,T2M,1995,    4.96,    8.45,    8.01,   12.14,   16.00,   20.38,   25.65,   23.98,   17.25,   16.71,    9.31,    6.96,   14.19
43.81709,4.3606,T2M,1996,    8.72,    4.70,    7.76,   12.08,   15.54,   21.09,   23.08,   22.16,   16.86,   13.75,    9.28,    7.29,   13.56
43.81709,4.3606,T2M,1997,    6.16,    7.91,   11.08,   12.25,   16.99,   19.68,   22.50,   24.44,   20.99,   15.76,   11.04,    6.75,   14.67
43.81709,4.3606,T2M,1998,    6.64,    7.73,    9.31,   11.30,   17.03,   20.48,   24.26,   23.97,   18.56,   13.98,    6.91,    5.62,   13.86
43.81709,4.3606,T2M,1999,    6.68,    5.22,    9.95,   12.42,   17.60,   20.21,   24.10,   23.50,   20.81,   15.53,    7.73,    5.74,   14.19
43.81709,4.3606,T2M,2000,    4.84,    7.75,    9.50,   12.27,   17.71,   20.95,   21.70,   24.09,   19.88,   14.28,   10.02,    9.09,   14.36
43.81709,4.3606,T2M,2001,    7.11,    6.72,   11.44,   11.28,   17.53,   21.02,   23.68,   24.62,   17.81,   17.31,    8.09,    3.59,   14.24
43.81709,4.3606,T2M,2002,    6.14,    8.33,   10.78,   13.42,   16.23,   22.04,   23.72,   23.04,   18.18,   15.11,   11.63,    8.12,   14.76
43.81709,4.3606,T2M,2003,    4.29,    4.72,    9.95,   12.72,   17.88,   25.18,   26.19,   28.05,   19.49,   13.68,   10.76,    7.03,   15.06
43.81709,4.3606,T2M,2004,    5.45,    5.73,    8.04,   11.75,   15.62,   21.85,   23.67,   23.41,   20.26,   16.74,    8.75,    6.54,   14.01
43.81709,4.3606,T2M,2005,    5.21,    4.14,    8.47,   12.53,   17.48,   23.04,   24.45,   22.78,   19.43,   16.11,    8.90,    3.37,   13.88
43.81709,4.3606,T2M,2006,    4.99,    4.93,    8.70,   13.06,   17.02,   22.12,   27.77,   22.18,   20.57,   17.18,   12.06,    7.37,   14.89
43.81709,4.3606,T2M,2007,    7.41,    8.42,    9.50,   15.68,   17.36,   20.84,   22.72,   22.63,   19.08,   14.38,    8.62,    5.78,   14.40
43.81709,4.3606,T2M,2008,    7.48,    8.22,    8.46,   11.93,   16.86,   20.30,   23.01,   23.45,   18.53,   14.85,    9.13,    5.16,   13.97
43.81709,4.3606,T2M,2009,    4.34,    5.70,    8.85,   12.95,   17.81,   21.92,   24.44,   25.48,   20.74,   15.33,   11.50,    6.14,   14.65
43.81709,4.3606,T2M,2010,    3.08,    5.31,    7.65,   12.80,   15.17,   20.36,   25.31,   23.65,   18.82,   13.80,    9.06,    4.85,   13.36
43.81709,4.3606,T2M,2011,    5.18,    6.85,    9.76,   14.66,   18.82,   20.48,   21.98,   23.55,   21.55,   16.60,   12.30,    7.71,   15.00
43.81709,4.3606,T2M,2012,    6.00,    2.05,   11.18,   11.99,   17.04,   21.79,   23.33,   25.14,   19.46,   15.53,   10.68,    6.35,   14.26
43.81709,4.3606,T2M,2013,    4.67,    3.93,    8.30,   11.82,   14.00,   19.21,   25.00,   23.76,   20.06,   16.85,    8.72,    7.65,   13.73
43.81709,4.3606,T2M,2014,    8.11,    8.04,   10.37,   14.04,   16.23,   22.40,   22.57,   22.14,   20.54,   17.47,   12.79,    6.86,   15.16
43.81709,4.3606,T2M,2015,    5.93,    5.06,    9.80,   13.16,   17.33,   22.96,   26.77,   23.67,   18.68,   13.98,   11.33,   10.51,   14.99
43.81709,4.3606,T2M,2016,    7.72,    8.07,    8.79,   12.71,   15.76,   21.10,   24.70,   24.14,   21.89,   14.30,   10.47,    7.61,   14.79
43.81709,4.3606,T2M,2017,    3.77,    9.33,   11.70,   12.89,   17.21,   23.61,   24.49,   24.62,   18.32,   16.23,    9.22,    5.70,   14.79
43.81709,4.3606,T2M,2018,    9.05,    4.01,    9.14,   14.45,   17.27,   21.62,   26.19,   25.56,   22.24,   16.17,   11.78,    7.63,   15.50
43.81709,4.3606,T2M,2019,    4.45,    8.22,   10.47,   12.32,   15.56,   22.29,   26.67,   25.50,   21.28,   16.76,    9.53,    8.95,   15.21
43.81709,4.3606,RH2M,1981,   75.25,   73.79,   79.91,   70.84,   70.63,   56.76,   56.66,   51.74,   66.56,   75.64,   73.73,   82.08,   69.46
43.81709,4.3606,RH2M,1982,   85.37,   83.20,   74.53,   68.98,   61.55,   62.76,   52.18,   61.28,   67.57,   77.14,   85.15,   86.35,   72.09
43.81709,4.3606,RH2M,1983,   81.13,   81.40,   78.54,   81.04,   75.22,   63.86,   55.89,   59.35,   64.59,   68.52,   80.49,   78.43,   72.29
43.81709,4.3606,RH2M,1984,   82.78,   75.93,   74.51,   65.94,   70.96,   63.70,   50.46,   57.22,   65.73,   75.91,   85.42,   85.58,   71.16
43.81709,4.3606,RH2M,1985,   82.89,   84.33,   78.69,   72.71,   72.40,   63.47,   52.04,   51.98,   50.99,   68.58,   73.65,   82.26,   69.42
