LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
48.68051,2.17222,T2M,1981,    2.61,    1.60,    8.55,    9.32,   12.32,   14.90,   16.98,   17.74,   15.23,    9.77,    5.90,    1.95,    9.79
48.68051,2.17222,T2M,1982,    2.06,    3.85,    5.54,    8.09,   12.79,   17.11,   18.67,   17.18,   16.74,   10.26,    7.36,    3.47,   10.29
48.68051,2.17222,T2M,1983,    4.64,    0.78,    6.21,    8.06,   10.91,   16.88,   20.94,   18.25,   14.79,   10.52,    5.40,    2.86,   10.08
48.68051,2.17222,T2M,1984,    3.24,    2.23,    4.32,    8.14,   10.09,   15.51,   17.61,   17.87,   13.78,   10.99,    8.62,    3.33,    9.67
48.68051,2.17222,T2M,1985,   -2.63,    0.73,    4.02,    8.99,   12.61,   14.67,   18.18,   16.25,   15.89,   10.18,    2.63,    3.90,    8.83
48.68051,2.17222,T2M,1986,    2.58,   -3.06,    4.43,    6.16,   13.05,   17.34,   18.00,   16.60,   12.65,   12.78,    6.98,    4.32,    9.40
48.68051,2.17222,T2M,1987,   -3.38,    1.73,    3.40,   10.83,   11.08,   15.05,   17.81,   17.71,   17.00,   11.53,    5.82,    3.00,    9.33
48.68051,2.17222,T2M,1988,    5.78,    3.98,    6.12,    9.82,   13.99,   16.07,   16.92,   18.06,   14.74,   11.66,    4.71,    5.59,   10.65
48.68051,2.17222,T2M,1989,    2.82,    4.69,    8.99,    7.83,   15.47,   16.31,   19.50,   18.84,   15.95,   12.79,    5.15,    3.78,   11.06
48.68051,2.17222,T2M,1990,    4.15,    7.95,    8.09,    8.74,   15.75,   16.29,   20.10,   21.75,   15.35,   12.99,    6.35,    2.25,   11.68
48.68051,2.17222,T2M,1991,    3.12,    0.05,    8.84,    9.00,   12.04,   15.40,   20.60,   21.20,   17.91,   10.58,    5.65,    1.58,   10.57
48.68051,2.17222,T2M,1992,    0.94,    3.72,    7.64,    9.37,   15.60,   16.95,   20.25,   20.31,   15.18,    8.57,    8.33,    3.15,   10.86
48.68051,2.17222,T2M,1993,    5.04,    2.07,    6.36,   11.02,   14.47,   17.42,   17.63,   17.53,   13.73,    8.83,    2.38,    5.05,   10.18
48.68051,2.17222,T2M,1994,    4.75,    3.67,    8.22,    8.62,   13.32,   16.34,   21.23,   18.77,   14.13,   10.61,    9.48,    5.46,   11.27
48.68051,2.17222,T2M,1995,    4.05,    6.96,    5.60,    9.20,   13.04,   15.33,   20.76,   19.93,   13.93,   13.67,    6.14,    1.53,   10.87
48.68051,2.17222,T2M,1996,    2.67,    1.31,    5.03,    9.29,   11.43,   17.33,   18.31,   18.01,   13.29,   10.97,    5.48,    0.40,    9.48
48.68051,2.17222,T2M,1997,   -1.42,    5.65,    8.47,    8.81,   13.35,   16.27,   18.38,   22.01,   15.82,   10.53,    7.35,    4.27,   10.82
48.68051,2.17222,T2M,1998,    3.49,    4.29,    7.45,    8.73,   15.03,   16.86,   17.65,   19.14,   15.41,   10.81,    3.64,    3.61,   10.55
48.68051,2.17222,T2M,1999,    4.83,    3.48,    7.56,   10.09,   15.06,   15.92,   20.03,   18.83,   17.42,   10.73,    4.91,    4.34,   11.15
48.68051,2.17222,T2M,2000,    2.40,    5.60,    6.83,    9.27,   14.69,   16.95,   16.46,   18.72,   15.81,   10.91,    7.04,    5.81,   10.89
48.68051,2.17222,T2M,2001,    3.50,    4.20,    7.52,    8.19,   14.37,   15.92,   18.67,   19.02,   13.13,   13.55,    5.09,    1.44,   10.43
48.68051,2.17222,T2M,2002,    3.63,    6.44,    7.59,    9.67,   12.92,   17.14,   17.75,   18.01,   14.18,   11.23,    8.26,    5.49,   11.05
48.68051,2.17222,T2M,2003,    1.43,    1.70,    8.07,    9.91,   13.61,   19.66,   20.02,   22.55,   15.72,    8.60,    7.40,    3.49,   11.07
48.68051,2.17222,T2M,2004,    3.50,    3.83,    5.69,   10.02,   12.97,   17.66,   18.75,   19.60,   16.78,   11.73,    6.28,    2.01,   10.75
48.68051,2.17222,T2M,2005,    3.75,    2.01,    6.43,   10.33,   13.71,   18.59,   19.46,   18.03,   16.78,   14.33,    5.24,    2.07,   10.95
48.68051,2.17222,T2M,2006,    1.22,    1.89,    4.88,    9.57,   13.98,   17.92,   23.04,   16.90,   18.29,   13.78,    8.13,    3.91,   11.18
48.68051,2.17222,T2M,2007,    6.33,    6.76,    6.88,   13.43,   14.60,   17.29,   17.34,   17.19,   14.28,   10.30,    5.50,    2.86,   11.08
48.68051,2.17222,T2M,2008,    4.73,    4.67,    6.09,    8.58,   15.45,   16.59,   18.27,   18.03,   13.39,   10.18,    6.51,    1.50,   10.35
48.68051,2.17222,T2M,2009,   -0.45,    2.41,    6.00,   11.41,   14.29,   16.54,   18.83,   20.06,   15.77,   11.07,    8.64,    2.24,   10.61
48.68051,2.17222,T2M,2010,   -0.98,    2.10,    5.59,    9.82,   12.05,   17.41,   20.36,   17.72,   14.59,   10.30,    5.73,   -1.39,    9.48
48.68051,2.17222,T2M,2011,    2.75,    4.78,    7.28,   12.99,   14.76,   16.96,   17.03,   18.41,   16.98,   12.25,    8.41,    5.96,   11.58
48.68051,2.17222,T2M,2012,    4.64,   -0.03,    8.45,    8.23,   14.44,   16.18,   17.62,   19.48,   14.82,   11.31,    6.10,    4.78,   10.55
48.68051,2.17222,T2M,2013,    2.04,    1.34,    3.50,    8.80,   11.21,   15.86,   20.51,   18.54,   15.64,   12.78,    5.77,    3.96,   10.05
48.68051,2.17222,T2M,2014,    5.23,    5.67,    7.94,   11.18,   12.85,   16.67,   19.13,   16.57,   16.47,   12.95,    8.33,    3.40,   11.39
48.68051,2.17222,T2M,2015,    2.87,    2.49,    6.55,   10.70,   13.10,   17.16,   20.10,   19.78,   13.71,   10.14,    9.47,    7.27,   11.17
48.68051,2.17222,T2M,2016,    3.82,    4.72,    5.39,    8.65,   13.61,   16.61,   18.84,   19.28,   17.54,    9.90,    6.24,    2.68,   10.62
48.68051,2.17222,T2M,2017,   -0.14,    5.44,    9.03,    9.32,   14.93,   19.25,   19.45,   18.73,   14.52,   12.80,    6.54,    4.19,   11.21
48.68051,2.17222,T2M,2018,    6.41,    0.22,    5.56,   12.08,   15.11,   18.19,   21.49,   19.89,   16.01,   12.24,    6.42,    5.39,   11.66
48.68051,2.17222,T2M,2019,    2.22,    5.13,    8.30,   10.21,   12.49,   18.35,   20.88,   19.76,   16.13,   12.29,    6.67,    5.36,   11.52
48.68051,2.17222,RH2M,1981,   91.76,   87.08,   86.16,   81.51,   83.16,   80.56,   81.48,   81.11,   79.88,   87.76,   91.07,   94.49,   85.51
48.68051,2.17222,RH2M,1982,   94.62,   91.33,   83.55,   78.89,   81.02,   80.50,   79.48,   79.28,   81.03,   90.02,   92.95,   94.52,   85.58
48.68051,2.17222,RH2M,1983,   93.58,   88.64,   87.02,   86.05,   83.07,   80.17,   80.04,   79.78,   81.16,   84.48,   92.45,   93.32,   85.80
48.68051,2.17222,RH2M,1984,   92.17,   87.51,   82.70,   75.61,   81.56,   77.28,   75.82,   78.13,   84.02,   89.62,   92.21,   94.73,   84.28
48.68051,2.17222,RH2M,1985,   91.12,   85.86,   85.64,   80.63,   82.23,   78.40,   76.40,   78.05,   78.37,   83.52,   89.19,   92.42,   83.49
48.68051,2.17222,RH2M,1986,   91.71,   83.90,   86.66,   81.59,   78.74,   77.66,   73.57,   72.78,   79.35,   85.62,   90.67,   93.54,   82.98
48.68051,2.17222,RH2M,1987,   85.39,   92.17,   80.11,   77.39,   74.57,   79.29,   78.05,   76.29,   78.28,   86.90,   91.51,   93.59,   82.73
48.68051,2.17222,RH2M,1988,   92.71,   87.42,   85.10,   77.89,   80.88,   79.19,   77.33,   74.89,   81.54,   86.53,   93.30,   95.19,   84.33
48.68051,2.17222,RH2M,1989,   96.11,   88.47,   82.36,   80.00,   74.35,   73.76,   71.56,   69.21,   73.32,   78.61,   87.29,   93.27,   80.65
48.68051,2.17222,RH2M,1990,   91.08,   83.96,   77.22,   72.85,   63.89,   66.88,   55.19,   52.56,   62.48,   75.59,   88.31,   91.19,   73.36
48.68051,2.17222,RH2M,1991,   88.61,   85.90,   79.38,   68.06,   64.99,   63.21,   58.98,   54.69,   64.11,   80.28,   88.78,   92.01,   74.02
48.68051,2.17222,RH2M,1992,   91.00,   87.12,   78.01,   71.15,   63.94,   70.16,   62.14,   63.49,   72.77,   79.90,   90.38,   93.14,   76.89
48.68051,2.17222,RH2M,1993,   91.39,   88.70,   75.72,   78.25,   75.20,   73.13,   70.54,   63.98,   77.71,   85.51,   89.11,   93.84,   80.19
48.68051,2.17222,RH2M,1994,   92.50,   90.28,   83.60,   77.02,   75.67,   74.76,   72.80,   72.33,   80.21,   83.00,   93.34,   93.51,   82.36
48.68051,2.17222,RH2M,1995,   90.02,   88.44,   81.86,   81.63,   74.72,   76.51,   73.41,   69.34,   79.13,   83.25,   88.06,   92.63,   81.53
48.68051,2.17222,RH2M,1996,   92.92,   86.68,   77.51,   70.99,   74.67,   65.25,   63.75,   67.04,   70.80,   80.73,   90.84,   90.36,   77.61
48.68051,2.17222,RH2M,1997,   92.51,   87.38,   81.96,   66.55,   73.81,   75.38,   71.67,   68.98,   66.87,   78.34,   91.89,   93.43,   79.04
48.68051,2.17222,RH2M,1998,   89.55,   89.75,   78.44,   80.90,   72.41,   72.03,   70.07,   62.81,   77.65,   84.86,   88.78,   93.34,   79.97
48.68051,2.17222,RH2M,1999,   90.29,   86.91,   83.61,   80.24,   77.31,   74.64,   71.21,   70.15,   75.44,   84.30,   90.35,   93.18,   81.44
48.68051,2.17222,RH2M,2000,   93.19,   88.77,   81.17,   80.59,   78.89,   75.61,   79.19,   74.65,   79.29,   86.91,   92.75,   93.64,   83.71
48.68051,2.17222,RH2M,2001,   92.52,   88.47,   87.55,   81.97,   77.84,   73.87,   77.85,   73.61,   83.37,   88.22,   91.96,   92.01,   84.08
48.68051,2.17222,RH2M,2002,   93.31,   86.42,   82.70,   73.66,   77.48,   75.69,   74.14,   76.88,   76.05,   82.29,   92.38,   93.95,   82.07
48.68051,2.17222,RH2M,2003,   91.44,   86.18,   78.57,   72.85,   75.67,   73.52,   66.11,   59.32,   63.42,   80.35,   91.54,   93.23,   77.64
48.68051,2.17222,RH2M,2004,   91.55,   83.28,   77.92,   75.52,   70.21,   65.03,   65.72,   69.88,   68.25,   82.58,   91.51,   93.90,   77.95
48.68051,2.17222,RH2M,2005,   91.40,   84.21,   83.14,   77.43,   71.95,   68.69,   69.67,   66.68,   72.77,   81.31,   88.78,   92.44,   79.02
48.68051,2.17222,RH2M,2006,   90.87,   89.30,   80.94,   73.18,   77.14,   67.22,   61.62,   73.46,   74.77,   85.70,   90.23,   93.71,   79.80
48.68051,2.17222,RH2M,2007,   90.49,   87.65,   81.24,   71.14,   76.40,   77.85,   74.41,   75.54,   76.45,   85.15,   89.97,   93.07,   81.59
48.68051,2.17222,RH2M,2008,   92.24,   88.78,   82.56,   78.71,   75.38,   75.43,   71.26,   73.16,   74.58,   83.52,   91.77,   94.51,   81.81
48.68051,2.17222,RH2M,2009,   92.89,   88.95,   78.96,   77.41,   77.19,   73.25,   68.41,   64.34,   73.13,   82.60,   90.19,   92.95,   79.97
48.68051,2.17222,RH2M,2010,   91.38,   87.60,   77.26,   71.91,   71.61,   69.97,   66.18,   72.06,   73.00,   80.07,   91.59,   94.45,   78.88
48.68051,2.17222,RH2M,2011,   92.99,   90.67,   80.04,   71.49,   66.16,   70.21,   67.49,   71.32,   75.70,   79.51,   93.77,   92.10,   79.21
48.68051,2.17222,RH2M,2012,   90.72,   82.34,   79.76,   76.86,   75.51,   77.64,   72.26,   65.93,   71.50,   85.83,   93.12,   93.47,   80.41
48.68051,2.17222,RH2M,2013,   92.97,   86.89,   82.84,   76.97,   79.25,   78.09,   74.93,   72.61,   79.20,   87.11,   90.93,   94.00,   82.97
48.68051,2.17222,RH2M,2014,   93.62,   87.64,   78.19,   77.15,   77.78,   75.27,   78.35,   78.70,   79.40,   86.50,   93.24,   94.62,   83.36
48.68051,2.17222,RH2M,2015,   93.16,   88.83,   81.56,   73.51,   77.83,   71.20,   67.63,   69.53,   75.44,   85.05,   90.59,   93.23,   80.59
48.68051,2.17222,RH2M,2016,   92.28,   85.14,   82.07,   78.11,   78.25,   82.94,   76.69,   73.38,   76.83,   84.85,   89.37,   95.99,   82.99
48.68051,2.17222,RH2M,2017,   93.33,   89.06,   82.31,   72.24,   76.90,   69.76,   71.51,   72.16,   77.76,   82.99,   88.53,   94.29,   80.88
48.68051,2.17222,RH2M,2018,   92.76,   84.06,   85.89,   78.09,   76.17,   78.22,   68.91,   67.52,   67.92,   80.40,   90.80,   93.17,   80.31
48.68051,2.17222,RH2M,2019,   93.32,   86.66,   78.37,   72.24,   72.21,   71.51,   57.69,   64.16,   66.48,   83.57,   91.77,   92.34,   77.47
