LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
46.07329,3.91593,T2M,1981,   -0.00,   -0.02,    7.44,    9.17,   11.64,   14.84,   16.89,   17.80,   15.35,    9.93,    4.40,    2.25,    9.20
46.07329,3.91593,T2M,1982,    3.57,    3.19,    4.09,    7.22,   12.84,   17.03,   20.37,   17.77,   17.58,    9.78,    6.79,    2.43,   10.26
46.07329,3.91593,T2M,1983,    2.87,    0.23,    4.96,    7.93,   10.65,   16.92,   21.80,   18.77,   15.43,   10.20,    4.98,    1.69,    9.76
46.07329,3.91593,T2M,1984,    1.90,    0.52,    3.27,    7.69,    9.56,   15.23,   19.01,   18.08,   13.63,   10.03,    7.87,    2.27,    9.11
46.07329,3.91593,T2M,1985,   -4.37,    1.66,    2.95,    8.25,   11.71,   14.69,   19.72,   18.49,   17.98,   11.53,    1.49,    2.51,    8.92
46.07329,3.91593,T2M,1986,    1.36,   -2.10,    4.08,    5.52,   13.61,   17.17,   19.98,   18.89,   15.50,   12.51,    6.10,    2.67,    9.69
46.07329,3.91593,T2M,1987,   -4.27,    1.31,    2.92,    9.65,   10.63,   15.18,   19.41,   19.45,   18.65,   11.78,    5.00,    3.02,    9.43
46.07329,3.91593,T2M,1988,    4.74,    2.22,    4.26,    9.68,   13.31,   15.86,   18.12,   19.88,   15.36,   11.51,    3.86,    3.06,   10.19
46.07329,3.91593,T2M,1989,    1.72,    3.67,    7.92,    7.27,   14.79,   16.69,   20.80,   20.06,   15.90,   11.62,    4.98,    3.67,   10.81
46.07329,3.91593,T2M,1990,    2.94,    7.31,    6.90,    7.44,   15.87,   17.23,   20.90,   21.62,   15.63,   13.00,    5.06,   -0.50,   11.15
46.07329,3.91593,T2M,1991,    1.61,    0.72,    8.00,    7.73,   11.07,   16.64,   22.05,   22.26,   18.37,    9.00,    4.58,    0.25,   10.25
46.07329,3.91593,T2M,1992,   -0.85,    2.11,    5.85,    8.44,   15.16,   15.56,   19.96,   21.77,   15.69,    8.09,    7.20,    3.16,   10.20
46.07329,3.91593,T2M,1993,    3.31,    1.19,    4.84,    9.44,   13.87,   17.61,   18.54,   19.87,   14.20,    8.80,    2.32,    3.69,    9.86
46.07329,3.91593,T2M,1994,    2.67,    3.05,    7.75,    7.03,   13.26,   16.43,   22.58,   21.17,   14.18,   10.49,    8.20,    4.05,   10.96
46.07329,3.91593,T2M,1995,    1.64,    5.35,    4.20,    8.11,   12.68,   15.07,   21.80,   19.93,   13.12,   13.96,    4.74,    1.82,   10.24
46.07329,3.91593,T2M,1996,    3.78,    0.56,    3.78,    8.44,   11.90,   17.03,   18.67,   18.32,   12.92,   10.30,    4.71,    1.67,    9.37
46.07329,3.91593,T2M,1997,   -0.36,    4.84,    7.12,    8.11,   13.79,   16.73,   18.74,   22.87,   16.74,   10.39,    6.92,    3.05,   10.78
46.07329,3.91593,T2M,1998,    2.59,    3.50,    5.65,    7.85,   13.70,   17.42,   19.53,   20.13,   15.08,    9.87,    2.27,    1.83,   10.00
46.07329,3.91593,T2M,1999,    2.69,    1.33,    5.98,    8.80,   14.82,   15.48,   20.13,   19.83,   17.41,   10.65,    2.38,    2.52,   10.23
46.07329,3.91593,T2M,2000,    0.60,    4.42,    5.07,    8.97,   14.46,   17.60,   17.64,   20.59,   16.67,   10.24,    6.58,    5.00,   10.67
46.07329,3.91593,T2M,2001,    2.99,    3.14,    8.01,    7.31,   14.36,   16.96,   20.41,   21.03,   12.99,   14.06,    2.89,   -0.76,   10.34
46.07329,3.91593,T2M,2002,    2.00,    5.08,    6.99,    9.83,   13.27,   19.99,   19.46,   18.97,   14.35,   11.07,    7.60,    4.94,   11.16
46.07329,3.91593,T2M,2003,   -0.07,    0.28,    6.92,    9.94,   14.90,   23.62,   22.48,   25.54,   15.83,    8.81,    6.82,    2.17,   11.50
46.07329,3.91593,T2M,2004,    2.04,    2.07,    4.36,    8.36,   12.48,   18.42,   19.54,   19.40,   16.13,   12.64,    4.29,    1.34,   10.12
46.07329,3.91593,T2M,2005,    1.51,   -0.75,    4.88,    8.88,   13.28,   18.07,   19.80,   17.93,   16.02,   13.60,    3.97,   -0.34,    9.80
46.07329,3.91593,T2M,2006,    0.23,    0.39,    4.76,    8.48,   13.00,   17.87,   23.25,   16.38,   17.63,   13.58,    7.50,    2.46,   10.52
46.07329,3.91593,T2M,2007,    3.57,    5.25,    5.36,   12.85,   14.18,   16.92,   17.55,   17.16,   13.37,    9.51,    3.72,    1.50,   10.10
46.07329,3.91593,T2M,2008,    3.40,    4.23,    4.55,    8.03,   14.74,   16.43,   18.08,   18.21,   13.15,    9.90,    5.10,    0.45,    9.71
46.07329,3.91593,T2M,2009,   -1.09,    1.08,    4.54,   10.02,   14.72,   16.71,   19.87,   20.92,   15.46,   10.60,    7.78,    1.85,   10.25
46.07329,3.91593,T2M,2010,   -1.65,    0.82,    4.19,    9.48,   10.99,   16.28,   20.59,   18.38,   13.97,    9.59,    5.00,   -0.58,    8.96
46.07329,3.91593,T2M,2011,    1.21,    3.21,    6.03,   11.65,   15.56,   17.60,   17.24,   19.97,   17.40,   11.54,    8.29,    4.87,   11.25
46.07329,3.91593,T2M,2012,    2.88,   -2.95,    7.12,    8.03,   13.83,   17.33,   18.26,   20.73,   15.23,   11.93,    6.38,    3.30,   10.23
46.07329,3.91593,T2M,2013,    0.71,   -0.26,    3.82,    8.39,    9.83,   15.45,   20.43,   18.35,   15.66,   12.66,    4.07,    2.66,    9.38
46.07329,3.91593,T2M,2014,    4.18,    4.57,    6.76,   10.19,   12.54,   18.77,   18.67,   17.00,   16.50,   13.42,    8.31,    2.64,   11.16
46.07329,3.91593,T2M,2015,    2.06,    1.08,    6.17,   10.10,   13.69,   18.98,   23.33,   21.41,   14.03,    9.09,    8.09,    6.07,   11.24
46.07329,3.91593,T2M,2016,    3.70,    3.98,    4.59,    8.48,   12.40,   16.36,   19.64,   20.56,   18.12,    9.17,    5.65,    2.41,   10.44
46.07329,3.91593,T2M,2017,   -1.56,    4.80,    8.12,    8.52,   14.08,   19.90,   21.07,   20.71,   14.33,   12.09,    4.77,    2.16,   10.79
46.07329,3.91593,T2M,2018,    5.45,   -0.64,    5.04,   11.64,   14.46,   18.06,   22.53,   21.82,   18.07,   11.77,    6.86,    4.13,   11.68
46.07329,3.91593,T2M,2019,    0.33,    4.57,    7.06,    9.42,   11.65,   20.22,   23.16,   21.32,   16.94,   12.98,    5.89,    5.14,   11.60
46.07329,3.91593,RH2M,1981,   92.94,   88.87,   87.98,   81.41,   82.30,   81.60,   80.71,   76.77,   77.16,   85.89,   90.05,   93.22,   84.90
46.07329,3.91593,RH2M,1982,   94.73,   90.68,   85.58,   78.67,   77.27,   78.25,   67.82,   70.74,   69.65,   87.40,   90.59,   94.27,   82.10
46.07329,3.91593,RH2M,1983,   91.51,   90.78,   89.07,   86.23,   83.90,   77.88,   72.80,   72.89,   77.92,   80.80,   90.52,   91.09,   83.73
46.07329,3.91593,RH2M,1984,   91.64,   89.44,   83.57,   75.55,   81.59,   78.61,   62.51,   68.45,   76.49,   88.01,   89.49,   93.92,   81.58
46.07329,3.91593,RH2M,1985,   91.15,   91.89,   87.49,   81.06,   82.70,   78.63,   67.56,   58.56,   55.13,   68.57,   84.85,   89.48,   78.01
46.07329,3.91593,RH2M,1986,   91.09,   86.87,   84.10,   82.97,   81.65,   74.46,   57.61,   55.88,   68.22,   79.21,   87.16,   90.95,   78.28
46.07329,3.91593,RH2M,1987,   90.03,   92.05,   82.43,   77.79,   77.08,   77.80,   69.56,   59.70,   63.69,   84.42,   91.98,   94.11,   79.98
46.07329,3.91593,RH2M,1988,   92.80,   89.62,   88.35,   81.11,   83.56,   78.92,   70.22,   59.66,   67.10,   85.60,   90.33,   95.27,   81.86
46.07329,3.91593,RH2M,1989,   92.83,   84.72,   79.37,   81.13,   73.34,   61.83,   57.49,   54.15,   60.18,   71.33,   82.65,   86.07,   73.69
46.07329,3.91593,RH2M,1990,   85.29,   84.13,   77.68,   78.34,   65.42,   61.47,   49.19,   45.68,   56.76,   72.20,   89.42,   92.65,   71.42
46.07329,3.91593,RH2M,1991,   88.54,   85.46,   80.81,   69.09,   62.70,   56.77,   46.49,   48.07,   59.25,   82.36,   90.91,   92.00,   71.79
46.07329,3.91593,RH2M,1992,   91.61,   87.22,   83.42,   75.69,   66.74,   76.35,   65.49,   54.04,   63.85,   87.18,   92.93,   94.12,   78.18
46.07329,3.91593,RH2M,1993,   91.74,   85.01,   79.34,   79.40,   75.87,   70.42,   60.96,   51.54,   70.40,   87.90,   90.21,   94.49,   78.06
46.07329,3.91593,RH2M,1994,   92.30,   89.90,   87.46,   84.19,   79.90,   77.41,   59.60,   58.07,   77.81,   83.64,   93.34,   92.38,   81.24
46.07329,3.91593,RH2M,1995,   90.88,   88.52,   84.03,   82.83,   75.51,   75.46,   59.83,   59.68,   72.20,   80.95,   83.76,   91.83,   78.71
46.07329,3.91593,RH2M,1996,   92.96,   88.44,   81.63,   75.64,   78.94,   66.32,   59.10,   59.28,   61.36,   76.39,   89.72,   91.49,   76.75
46.07329,3.91593,RH2M,1997,   94.60,   84.24,   82.66,   69.05,   69.72,   66.53,   64.23,   55.43,   61.33,   74.44,   87.86,   92.39,   75.18
46.07329,3.91593,RH2M,1998,   90.79,   84.49,   77.28,   80.42,   72.66,   64.70,   58.61,   50.48,   70.31,   84.36,   88.64,   91.71,   76.14
46.07329,3.91593,RH2M,1999,   92.13,   90.92,   84.62,   81.68,   81.13,   72.69,   63.54,   60.98,   67.76,   84.60,   92.11,   92.66,   80.33
46.07329,3.91593,RH2M,2000,   93.65,   87.90,   83.48,   79.16,   77.89,   68.22,   63.61,   55.74,   63.27,   83.36,   89.45,   90.87,   78.03
46.07329,3.91593,RH2M,2001,   90.22,   85.99,   85.56,   80.22,   77.49,   59.52,   56.48,   54.25,   69.22,   75.81,   88.10,   88.33,   75.87
46.07329,3.91593,RH2M,2002,   89.72,   85.80,   73.17,   65.44,   62.18,   54.88,   56.58,   61.69,   67.66,   76.71,   89.57,   94.24,   73.07
46.07329,3.91593,RH2M,2003,   90.17,   84.28,   75.42,   66.43,   64.38,   52.46,   45.84,   41.87,   59.12,   78.49,   87.99,   92.91,   69.87
46.07329,3.91593,RH2M,2004,   91.62,   84.00,   79.10,   80.47,   68.30,   58.59,   59.38,   69.21,   68.82,   82.11,   93.69,   93.90,   77.42
46.07329,3.91593,RH2M,2005,   91.86,   89.28,   85.21,   81.64,   76.76,   74.97,   63.62,   60.05,   68.36,   77.38,   88.75,   92.05,   79.09
46.07329,3.91593,RH2M,2006,   93.10,   89.48,   85.33,   80.57,   82.00,   71.06,   62.92,   70.31,   74.47,   85.67,   88.96,   91.13,   81.21
46.07329,3.91593,RH2M,2007,   94.07,   89.84,   84.30,   76.25,   79.42,   78.55,   73.11,   75.16,   76.25,   83.98,   89.55,   92.31,   82.70
46.07329,3.91593,RH2M,2008,   89.23,   87.13,   84.44,   81.34,   77.35,   81.08,   73.23,   68.51,   74.24,   82.88,   91.88,   94.47,   82.12
46.07329,3.91593,RH2M,2009,   90.59,   89.72,   83.53,   81.67,   79.31,   75.68,   62.11,   59.43,   71.45,   75.54,   87.54,   91.72,   78.94
46.07329,3.91593,RH2M,2010,   91.08,   88.74,   81.72,   77.48,   80.78,   79.58,   67.52,   65.01,   72.64,   79.58,   92.70,   92.20,   80.69
46.07329,3.91593,RH2M,2011,   92.02,   89.80,   84.34,   75.50,   66.26,   62.39,   64.50,   63.94,   68.91,   76.02,   90.45,   92.66,   77.16
46.07329,3.91593,RH2M,2012,   93.07,   82.91,   81.36,   79.68,   79.24,   77.27,   66.85,   59.74,   67.60,   77.13,   90.64,   92.58,   78.99
46.07329,3.91593,RH2M,2013,   92.59,   89.48,   84.73,   81.96,   84.21,   79.76,   76.01,   70.60,   74.33,   83.96,   90.46,   88.79,   83.04
46.07329,3.91593,RH2M,2014,   92.19,   87.53,   80.59,   77.76,   73.06,   61.20,   73.72,   73.07,   72.40,   83.99,   91.61,   93.63,   80.05
46.07329,3.91593,RH2M,2015,   92.39,   87.55,   84.86,   76.55,   76.44,   66.25,   50.34,   58.35,   71.75,   85.49,   87.83,   91.89,   77.41
46.07329,3.91593,RH2M,2016,   91.95,   88.69,   84.86,   80.77,   79.77,   82.96,   71.07,   58.92,   62.94,   81.47,   90.69,   93.75,   80.62
46.07329,3.91593,RH2M,2017,   91.08,   89.90,   84.54,   75.19,   78.53,   67.37,   61.08,   59.28,   67.71,   73.32,   87.83,   93.25,   77.35
46.07329,3.91593,RH2M,2018,   93.64,   87.63,   85.68,   78.74,   80.98,   76.46,   58.82,   56.04,   54.80,   73.15,   89.45,   91.25,   77.16
46.07329,3.91593,RH2M,2019,   92.59,   82.70,   75.89,   71.12,   70.14,   57.21,   46.62,   50.90,   54.57,   79.72,   90.51,   90.43,   71.82
