LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.64881,4.33788,T2M,1981,   -0.91,   -0.52,    6.82,    8.78,   11.18,   14.75,   16.76,   17.90,   15.23,    9.51,    3.89,    1.55,    8.80
45.64881,4.33788,T2M,1982,    2.83,    2.61,    3.52,    6.64,   12.59,   17.02,   20.64,   17.35,   16.85,    9.34,    6.13,    1.67,    9.81
45.64881,4.33788,T2M,1983,    2.05,   -0.59,    4.51,    7.50,   10.60,   16.30,   21.82,   18.70,   15.42,    9.83,    4.68,    1.35,    9.41
45.64881,4.33788,T2M,1984,    1.15,    0.05,    2.73,    7.21,    9.20,   14.89,   19.05,   17.75,   13.38,    9.69,    7.20,    1.84,    8.70
45.64881,4.33788,T2M,1985,   -4.92,    1.63,    2.45,    7.76,   11.26,   14.49,   19.58,   18.63,   17.56,   11.34,    1.20,    2.26,    8.64
45.64881,4.33788,T2M,1986,    0.52,   -2.61,    3.75,    5.31,   13.63,   16.86,   19.79,   19.12,   15.58,   12.03,    5.72,    1.91,    9.38
45.64881,4.33788,T2M,1987,   -4.65,    0.86,    2.52,    9.09,   10.22,   14.82,   19.09,   19.26,   18.43,   11.44,    4.51,    2.69,    9.06
45.64881,4.33788,T2M,1988,    3.92,    1.73,    3.71,    9.09,   12.99,   15.48,   18.37,   19.86,   15.14,   11.27,    3.44,    2.22,    9.80
45.64881,4.33788,T2M,1989,    1.58,    3.29,    7.16,    6.80,   14.35,   16.42,   20.75,   19.92,   15.49,   11.03,    4.61,    3.22,   10.44
45.64881,4.33788,T2M,1990,    2.37,    6.85,    6.57,    7.05,   15.73,   16.95,   20.71,   21.10,   15.13,   12.33,    4.50,   -1.29,   10.70
45.64881,4.33788,T2M,1991,    0.97,    0.59,    7.48,    7.16,   10.52,   16.67,   21.59,   21.91,   17.78,    8.62,    4.11,   -0.12,    9.83
45.64881,4.33788,T2M,1992,   -1.12,    1.68,    5.34,    8.11,   14.16,   14.87,   19.36,   21.57,   15.22,    7.57,    6.65,    2.69,    9.70
45.64881,4.33788,T2M,1993,    2.69,    0.71,    4.03,    8.78,   13.27,   17.10,   18.02,   19.47,   13.63,    8.46,    1.95,    2.80,    9.30
45.64881,4.33788,T2M,1994,    1.63,    2.33,    7.34,    6.31,   12.71,   16.00,   22.16,   21.32,   13.82,    9.92,    7.74,    3.06,   10.42
45.64881,4.33788,T2M,1995,    0.72,    4.79,    3.47,    7.60,   12.01,   14.71,   21.39,   19.42,   12.46,   13.09,    3.98,    1.51,    9.63
45.64881,4.33788,T2M,1996,    3.41,   -0.23,    3.12,    7.94,   11.56,   16.63,   18.02,   17.71,   12.14,    9.69,    4.09,    1.37,    8.82
45.64881,4.33788,T2M,1997,   -0.63,    4.14,    6.66,    7.37,   13.30,   16.28,   18.37,   22.25,   16.92,   10.05,    6.27,    2.43,   10.32
45.64881,4.33788,T2M,1998,    2.03,    3.16,    4.96,    7.52,   13.21,   16.93,   19.69,   19.83,   14.61,    9.35,    1.83,    1.06,    9.56
45.64881,4.33788,T2M,1999,    2.18,    0.62,    5.41,    8.13,   14.60,   15.39,   19.97,   19.65,   17.22,   10.37,    1.92,    1.75,    9.83
45.64881,4.33788,T2M,2000,    0.10,    3.76,    4.75,    8.64,   14.17,   17.46,   17.56,   20.58,   16.23,    9.73,    5.98,    4.30,   10.29
45.64881,4.33788,T2M,2001,    2.32,    2.60,    7.57,    6.83,   14.00,   16.70,   20.19,   20.61,   12.62,   13.48,    2.53,   -1.40,    9.90
45.64881,4.33788,T2M,2002,    1.32,    4.40,    6.39,    9.33,   12.55,   19.91,   19.40,   18.84,   13.81,   10.65,    7.23,    4.20,   10.70
45.64881,4.33788,T2M,2003,   -0.61,   -0.46,    6.16,    9.36,   14.62,   23.23,   22.16,   25.07,   15.24,    8.53,    6.29,    1.69,   11.00
45.64881,4.33788,T2M,2004,    1.18,    1.35,    3.56,    7.65,   11.75,   17.85,   19.58,   19.06,   15.79,   12.34,    3.79,    0.85,    9.59
45.64881,4.33788,T2M,2005,    0.69,   -1.35,    4.24,    8.14,   12.83,   17.94,   19.84,   17.66,   15.65,   12.84,    3.74,   -1.19,    9.32
45.64881,4.33788,T2M,2006,   -0.54,   -0.17,    4.17,    8.30,   12.75,   18.23,   23.31,   16.29,   17.40,   13.24,    7.16,    2.09,   10.24
45.64881,4.33788,T2M,2007,    2.82,    4.48,    4.92,   12.51,   13.81,   16.74,   17.62,   17.31,   13.22,    9.11,    3.26,    0.87,    9.75
45.64881,4.33788,T2M,2008,    2.72,    3.84,    3.96,    7.74,   14.29,   16.25,   18.21,   18.22,   12.89,    9.62,    4.59,   -0.18,    9.37
45.64881,4.33788,T2M,2009,   -1.35,    0.57,    3.96,    9.63,   14.56,   16.72,   20.11,   21.17,   15.37,   10.15,    7.34,    1.29,   10.01
45.64881,4.33788,T2M,2010,   -2.18,    0.15,    3.56,    9.12,   10.67,   15.85,   20.57,   18.42,   13.77,    9.26,    4.51,   -0.86,    8.61
45.64881,4.33788,T2M,2011,    0.58,    2.63,    5.52,   11.15,   15.36,   17.30,   16.95,   20.02,   17.21,   11.17,    7.60,    4.00,   10.83
