LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
48.51027,-2.78863,T2M,1981,    7.37,    5.14,    9.24,    9.29,   11.69,   13.89,   15.94,   17.21,   16.09,   12.07,    9.97,    6.85,   11.27
48.51027,-2.78863,T2M,1982,    7.00,    6.99,    7.77,    9.17,   12.09,   15.43,   16.47,   16.47,   16.46,   12.59,   10.54,    7.64,   11.58
48.51027,-2.78863,T2M,1983,    8.35,    4.82,    7.76,    8.22,   10.81,   14.44,   18.33,   17.25,   15.57,   12.70,   10.07,    7.53,   11.37
48.51027,-2.78863,T2M,1984,    7.39,    6.06,    6.65,    9.39,   10.20,   14.21,   16.75,   17.39,   15.30,   13.20,   10.80,    7.99,   11.29
48.51027,-2.78863,T2M,1985,    3.99,    4.88,    6.56,    9.49,   11.63,   13.81,   16.70,   16.12,   16.46,   13.21,    8.23,    8.70,   10.85
48.51027,-2.78863,T2M,1986,    7.37,    1.90,    6.81,    6.82,   11.34,   14.53,   15.96,   15.24,   13.97,   13.85,   10.20,    8.79,   10.63
48.51027,-2.78863,T2M,1987,    2.42,    5.56,    6.53,   10.22,   11.03,   13.79,   16.38,   17.24,   16.79,   12.55,    9.39,    7.61,   10.82
48.51027,-2.78863,T2M,1988,    8.44,    6.88,    8.05,    9.88,   12.30,   14.69,   15.55,   16.70,   15.28,   13.32,    9.20,    9.04,   11.63
48.51027,-2.78863,T2M,1989,    7.25,    7.97,    9.58,    8.61,   13.88,   15.28,   18.17,   18.11,   16.92,   14.65,    9.64,    8.06,   12.38
48.51027,-2.78863,T2M,1990,    8.73,    9.90,    9.16,    9.45,   14.00,   14.34,   17.81,   18.85,   16.27,   14.16,    9.78,    6.78,   12.46
48.51027,-2.78863,T2M,1991,    6.03,    4.15,    8.81,    8.98,   10.96,   13.45,   16.71,   17.88,   17.29,   12.60,    9.46,    6.28,   11.09
48.51027,-2.78863,T2M,1992,    5.53,    6.51,    8.29,    9.13,   13.32,   15.12,   17.35,   17.64,   15.26,   11.39,   11.16,    7.46,   11.53
48.51027,-2.78863,T2M,1993,    8.69,    6.33,    7.98,   10.20,   12.25,   14.85,   15.82,   16.36,   14.47,   11.26,    7.28,    8.71,   11.22
48.51027,-2.78863,T2M,1994,    7.91,    6.94,    9.22,    8.87,   11.91,   14.52,   17.18,   17.18,   14.72,   13.17,   11.95,    9.67,   11.97
48.51027,-2.78863,T2M,1995,    8.02,    9.24,    7.67,    9.51,   12.49,   14.27,   17.80,   18.56,   15.31,   14.88,   10.00,    6.77,   12.06
48.51027,-2.78863,T2M,1996,    7.40,    5.63,    6.97,    9.30,   10.28,   14.96,   16.62,   16.96,   15.06,   13.63,    9.62,    5.81,   11.04
48.51027,-2.78863,T2M,1997,    3.74,    8.36,    9.43,    9.95,   12.79,   14.64,   16.51,   19.24,   16.84,   14.01,   11.16,    8.74,   12.14
48.51027,-2.78863,T2M,1998,    7.27,    7.61,    9.08,    8.94,   12.98,   14.79,   15.99,   16.94,   16.07,   13.32,    8.68,    8.20,   11.68
48.51027,-2.78863,T2M,1999,    8.46,    7.49,    8.63,   10.06,   13.10,   14.52,   17.39,   17.48,   16.81,   13.11,    9.93,    8.61,   12.16
48.51027,-2.78863,T2M,2000,    6.72,    8.34,    7.94,    8.92,   12.47,   15.10,   15.84,   17.18,   16.30,   12.69,    9.71,    8.72,   11.67
48.51027,-2.78863,T2M,2001,    6.83,    7.11,    8.58,    9.26,   12.40,   14.82,   16.97,   17.92,   15.32,   14.80,    9.94,    6.47,   11.73
48.51027,-2.78863,T2M,2002,    7.84,    9.02,    9.17,   10.24,   12.56,   14.70,   16.42,   16.99,   16.26,   13.51,   11.35,    8.94,   12.27
48.51027,-2.78863,T2M,2003,    6.35,    6.08,    9.05,   10.26,   12.41,   16.58,   17.92,   19.70,   16.70,   12.28,   10.79,    7.69,   12.18
48.51027,-2.78863,T2M,2004,    7.92,    6.75,    7.21,    9.71,   12.16,   15.67,   16.35,   17.94,   16.80,   13.14,   10.52,    7.61,   11.83
48.51027,-2.78863,T2M,2005,    8.33,    5.85,    8.03,    9.84,   12.13,   15.68,   17.28,   17.25,   16.82,   15.20,    9.78,    7.05,   11.97
48.51027,-2.78863,T2M,2006,    5.99,    5.31,    6.88,    9.26,   12.33,   15.47,   18.66,   16.88,   17.56,   15.26,   11.21,    8.47,   11.98
48.51027,-2.78863,T2M,2007,    9.06,    8.89,    8.42,   11.53,   12.80,   15.10,   16.03,   16.53,   15.17,   12.94,   10.16,    7.52,   12.03
48.51027,-2.78863,T2M,2008,    8.28,    7.43,    8.05,    9.19,   13.45,   14.74,   16.41,   16.80,   14.84,   12.44,   10.29,    6.60,   11.56
48.51027,-2.78863,T2M,2009,    5.36,    6.15,    7.89,    9.89,   12.37,   15.21,   16.64,   17.18,   15.82,   14.00,   11.44,    7.08,   11.62
48.51027,-2.78863,T2M,2010,    4.50,    5.58,    6.91,    9.24,   11.31,   14.86,   17.31,   16.96,   15.43,   13.16,    9.03,    4.69,   10.78
48.51027,-2.78863,T2M,2011,    6.51,    8.07,    8.16,   11.72,   12.74,   14.44,   15.83,   16.81,   16.77,   14.35,   12.15,    9.43,   12.27
48.51027,-2.78863,T2M,2012,    8.03,    5.70,    9.08,    8.96,   12.40,   14.66,   15.90,   17.56,   15.18,   13.34,    9.57,    8.74,   11.62
48.51027,-2.78863,T2M,2013,    6.84,    5.50,    5.76,    8.23,   10.67,   13.75,   17.33,   17.50,   16.25,   14.76,   10.17,    8.50,   11.31
48.51027,-2.78863,T2M,2014,    8.43,    7.87,    8.56,   10.64,   12.39,   15.45,   17.64,   16.59,   17.25,   14.81,   11.41,    8.51,   12.49
48.51027,-2.78863,T2M,2015,    7.65,    6.03,    7.95,   10.63,   12.20,   14.94,   17.11,   16.99,   14.75,   13.15,   12.37,   11.34,   12.13
48.51027,-2.78863,T2M,2016,    8.16,    7.60,    7.40,    8.97,   12.62,   15.01,   16.97,   17.92,   17.34,   12.59,   10.02,    8.38,   11.93
48.51027,-2.78863,T2M,2017,    6.08,    7.86,    9.66,   10.06,   13.60,   16.44,   17.48,   17.21,   15.29,   14.46,   10.61,    8.64,   12.31
48.51027,-2.78863,T2M,2018,    8.80,    5.25,    6.94,   10.49,   12.68,   15.93,   18.37,   17.76,   16.51,   13.53,   10.11,    9.63,   12.21
48.51027,-2.78863,T2M,2019,    7.13,    8.15,    9.56,   10.17,   12.22,   15.19,   18.18,   17.94,   16.45,   13.92,    9.89,    8.75,   12.32
48.51027,-2.78863,RH2M,1981,   85.63,   83.66,   87.44,   84.11,   86.69,   83.57,   86.42,   85.27,   83.63,   84.82,   86.65,   87.05,   85.44
48.51027,-2.78863,RH2M,1982,   90.95,   89.39,   83.94,   83.09,   82.77,   85.05,   85.66,   83.38,   83.60,   85.91,   86.76,   87.86,   85.68
48.51027,-2.78863,RH2M,1983,   88.40,   84.92,   87.03,   85.21,   86.20,   86.25,   86.23,   85.13,   84.56,   83.22,   87.26,   87.19,   85.98
