LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.43681,6.65695,T2M,1981,    7.54,    7.77,   11.25,   13.52,   16.09,   20.82,   22.07,   23.97,   20.97,   16.48,   12.17,    9.11,   15.19
43.43681,6.65695,T2M,1982,    9.82,    8.80,   10.09,   12.69,   16.64,   21.18,   25.17,   23.40,   21.36,   16.05,   13.24,   10.54,   15.79
43.43681,6.65695,T2M,1983,    9.85,    7.47,   11.01,   12.35,   15.45,   20.48,   25.22,   23.22,   20.70,   17.12,   12.96,    9.78,   15.52
43.43681,6.65695,T2M,1984,    8.09,    7.80,    9.59,   12.58,   13.75,   18.55,   22.85,   22.30,   18.80,   16.03,   13.41,   10.37,   14.53
43.43681,6.65695,T2M,1985,    5.77,    9.37,    9.46,   12.96,   15.16,   19.74,   24.06,   22.81,   21.86,   17.82,   10.70,   10.82,   15.08
43.43681,6.65695,T2M,1986,    8.06,    6.84,   10.21,   11.74,   17.92,   19.85,   23.42,   23.69,   20.65,   17.65,   13.24,    9.22,   15.26
43.43681,6.65695,T2M,1987,    7.43,    8.72,    9.05,   13.19,   15.38,   19.27,   23.89,   23.88,   22.74,   16.98,   12.71,   10.85,   15.38
43.43681,6.65695,T2M,1988,    9.88,    9.14,   10.52,   12.80,   16.82,   19.79,   23.89,   24.10,   20.10,   17.57,   12.12,   10.01,   15.59
43.43681,6.65695,T2M,1989,    9.38,   10.16,   12.59,   12.34,   17.75,   20.39,   24.02,   24.21,   19.93,   16.45,   12.22,   10.56,   15.88
43.43681,6.65695,T2M,1990,    9.58,   11.53,   12.17,   12.95,   18.25,   20.71,   23.27,   24.05,   20.86,   17.61,   11.92,    8.30,   15.96
43.43681,6.65695,T2M,1991,    9.05,    7.91,   12.04,   12.39,   14.98,   19.81,   23.94,   24.23,   21.73,   15.39,   11.66,    9.00,   15.22
43.43681,6.65695,T2M,1992,    8.76,    9.48,   11.37,   13.40,   18.03,   18.63,   22.68,   24.74,   20.00,   14.90,   13.24,   10.18,   15.47
43.43681,6.65695,T2M,1993,    9.32,    8.85,   10.47,   13.07,   17.25,   20.99,   22.26,   24.39,   19.57,   15.55,   11.22,    9.78,   15.27
43.43681,6.65695,T2M,1994,    9.11,    8.92,   12.60,   11.97,   17.04,   20.42,   25.66,   25.41,   19.47,   16.13,   14.42,   11.03,   16.07
43.43681,6.65695,T2M,1995,    8.19,   10.74,   10.22,   12.97,   16.30,   19.37,   24.67,   23.68,   18.58,   17.52,   12.67,    9.87,   15.43
43.43681,6.65695,T2M,1996,    9.83,    8.02,   10.04,   13.28,   16.21,   20.65,   22.53,   22.84,   17.94,   15.65,   11.95,    9.76,   14.92
43.43681,6.65695,T2M,1997,    9.54,   10.27,   12.51,   13.10,   16.79,   19.91,   22.19,   23.87,   21.24,   17.46,   12.94,   10.17,   15.87
43.43681,6.65695,T2M,1998,    9.61,   10.98,   11.47,   12.43,   17.32,   20.75,   23.90,   24.23,   19.26,   15.54,   10.71,    9.02,   15.47
43.43681,6.65695,T2M,1999,    9.13,    8.38,   11.36,   13.22,   17.47,   20.86,   23.78,   23.92,   21.60,   17.20,   12.01,    9.09,   15.71
43.43681,6.65695,T2M,2000,    8.62,   10.24,   10.93,   12.77,   17.96,   21.58,   21.86,   24.15,   20.85,   16.91,   12.49,   11.28,   15.82
43.43681,6.65695,T2M,2001,    9.61,   10.03,   12.40,   12.79,   17.40,   20.70,   23.38,   24.59,   18.79,   18.49,   12.77,    8.72,   15.85
43.43681,6.65695,T2M,2002,    9.08,   10.50,   12.55,   13.71,   16.69,   22.13,   23.41,   23.03,   19.94,   17.15,   14.13,   11.07,   16.15
43.43681,6.65695,T2M,2003,    9.08,    7.80,   11.37,   13.41,   18.58,   24.74,   25.13,   27.49,   20.99,   15.58,   13.26,   10.84,   16.58
43.43681,6.65695,T2M,2004,    8.89,    8.98,   10.54,   13.16,   16.13,   21.65,   23.30,   23.69,   21.28,   17.60,   13.12,   10.98,   15.80
43.43681,6.65695,T2M,2005,    8.73,    7.52,   10.43,   13.00,   18.25,   22.56,   23.91,   23.02,   20.35,   16.62,   12.61,    8.24,   15.48
43.43681,6.65695,T2M,2006,    8.45,    9.01,   10.40,   14.04,   17.63,   21.05,   26.83,   22.78,   20.97,   18.38,   14.53,   11.67,   16.36
43.43681,6.65695,T2M,2007,   10.44,   10.74,   11.63,   15.61,   18.03,   20.92,   23.22,   22.89,   20.05,   16.80,   12.63,    9.99,   16.11
43.43681,6.65695,T2M,2008,   10.08,    9.76,   10.71,   13.09,   17.14,   21.10,   23.78,   24.10,   20.21,   17.25,   12.77,    9.35,   15.80
43.43681,6.65695,T2M,2009,    8.79,    8.73,   10.76,   13.74,   18.39,   21.64,   24.09,   25.44,   21.91,   17.72,   13.62,    9.55,   16.24
43.43681,6.65695,T2M,2010,    7.08,    8.18,   10.01,   13.56,   16.18,   20.37,   25.40,   23.45,   20.24,   15.98,   11.65,    8.28,   15.07
43.43681,6.65695,T2M,2011,    8.63,    9.61,   10.80,   14.77,   18.30,   20.81,   22.35,   24.06,   22.07,   17.61,   14.39,   10.68,   16.21
43.43681,6.65695,T2M,2012,    9.26,    7.08,   12.34,   12.93,   16.75,   21.75,   24.19,   25.34,   20.87,   17.22,   13.57,    9.47,   15.93
43.43681,6.65695,T2M,2013,    8.60,    7.46,   10.02,   13.20,   15.07,   19.58,   24.63,   24.74,   20.96,   17.85,   12.55,   11.07,   15.53
43.43681,6.65695,T2M,2014,   10.05,    9.90,   11.61,   14.34,   16.69,   21.70,   22.71,   23.18,   21.71,   19.06,   14.93,   11.12,   16.45
43.43681,6.65695,T2M,2015,    9.88,    8.84,   11.55,   13.72,   17.56,   22.52,   26.46,   24.36,   20.59,   16.49,   13.59,   11.94,   16.51
43.43681,6.65695,T2M,2016,    9.80,   10.25,   10.93,   13.97,   16.33,   20.83,   24.45,   24.50,   22.50,   17.24,   13.10,   11.36,   16.29
