LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.90169,1.8968,T2M,1981,    3.28,    3.40,   10.03,   11.35,   13.13,   17.99,   19.39,   21.60,   18.68,   13.18,    8.20,    5.64,   12.21
43.90169,1.8968,T2M,1982,    7.04,    6.76,    6.83,   10.45,   14.19,   19.47,   23.84,   20.21,   19.57,   12.22,    9.03,    5.05,   12.92
43.90169,1.8968,T2M,1983,    4.67,    3.51,    7.49,   10.26,   13.09,   18.93,   25.18,   20.96,   19.00,   13.70,   10.47,    4.90,   12.73
43.90169,1.8968,T2M,1984,    4.76,    3.68,    5.66,   10.64,   11.39,   17.91,   22.51,   20.26,   16.34,   13.24,   10.80,    4.67,   11.84
43.90169,1.8968,T2M,1985,   -1.27,    7.09,    5.39,   11.14,   12.96,   17.29,   22.79,   21.14,   20.84,   15.87,    4.54,    4.93,   11.92
43.90169,1.8968,T2M,1986,    4.08,    2.18,    6.74,    7.69,   15.94,   19.35,   22.79,   22.17,   19.84,   15.44,    8.59,    5.48,   12.59
43.90169,1.8968,T2M,1987,    0.67,    4.68,    6.73,   12.34,   13.33,   18.17,   22.18,   23.09,   21.80,   15.12,    8.00,    7.11,   12.81
43.90169,1.8968,T2M,1988,    7.50,    5.25,    6.56,   11.53,   14.96,   18.00,   20.77,   22.45,   18.60,   15.71,    8.40,    4.55,   12.88
43.90169,1.8968,T2M,1989,    4.94,    6.93,    9.69,    9.41,   17.37,   20.65,   24.03,   23.30,   18.43,   14.42,   10.22,    8.36,   14.03
43.90169,1.8968,T2M,1990,    5.75,    9.98,    9.57,   10.48,   18.46,   20.02,   24.81,   24.20,   19.98,   15.43,    7.99,    2.18,   14.10
43.90169,1.8968,T2M,1991,    4.50,    4.53,   10.74,    9.89,   13.87,   19.43,   24.17,   25.47,   20.85,   11.82,    7.86,    4.60,   13.20
43.90169,1.8968,T2M,1992,    2.41,    5.43,    8.19,   10.99,   17.32,   16.55,   21.48,   23.85,   18.29,   10.94,   10.02,    6.06,   12.65
43.90169,1.8968,T2M,1993,    5.40,    4.45,    7.70,   11.06,   15.58,   19.10,   20.22,   22.94,   16.81,   11.87,    6.48,    6.75,   12.42
43.90169,1.8968,T2M,1994,    4.81,    5.93,   10.06,    8.89,   15.83,   18.46,   23.86,   24.05,   17.03,   13.51,   10.81,    6.20,   13.34
43.90169,1.8968,T2M,1995,    4.12,    7.78,    6.78,   10.57,   14.83,   18.18,   23.44,   22.39,   15.55,   16.34,    8.38,    6.37,   12.93
43.90169,1.8968,T2M,1996,    7.94,    3.62,    7.21,   10.82,   14.27,   19.55,   21.89,   20.17,   15.73,   12.45,    7.53,    5.93,   12.29
43.90169,1.8968,T2M,1997,    4.42,    7.91,    9.93,   11.35,   15.95,   18.02,   20.09,   23.46,   19.28,   15.11,    9.63,    5.79,   13.44
43.90169,1.8968,T2M,1998,    5.73,    7.25,    8.43,    9.70,   15.34,   19.23,   21.88,   22.54,   18.04,   12.31,    5.53,    4.17,   12.55
43.90169,1.8968,T2M,1999,    5.17,    3.86,    8.44,   11.20,   16.61,   18.49,   22.73,   22.95,   20.16,   14.03,    5.90,    4.60,   12.91
43.90169,1.8968,T2M,2000,    3.02,    7.29,    7.98,   11.07,   16.54,   19.78,   20.85,   23.12,   19.32,   12.97,    8.78,    7.97,   13.24
43.90169,1.8968,T2M,2001,    6.13,    5.14,   11.11,    9.84,   15.74,   19.84,   21.97,   23.33,   16.48,   17.17,    5.67,    1.92,   12.92
43.90169,1.8968,T2M,2002,    6.02,    7.30,   10.12,   12.06,   14.81,   21.29,   21.78,   21.08,   17.93,   14.52,    9.59,    7.42,   13.70
43.90169,1.8968,T2M,2003,    2.76,    3.99,   10.02,   12.61,   16.64,   25.30,   24.83,   27.61,   18.90,   12.41,   10.13,    5.68,   14.30
43.90169,1.8968,T2M,2004,    5.06,    4.85,    6.66,   10.05,   14.25,   20.44,   22.22,   22.57,   19.30,   15.75,    6.27,    4.83,   12.72
43.90169,1.8968,T2M,2005,    3.96,    1.92,    7.06,   11.22,   15.89,   22.11,   23.18,   20.85,   17.91,   15.80,    7.17,    1.83,   12.47
43.90169,1.8968,T2M,2006,    3.83,    3.16,    8.80,   11.60,   15.78,   20.96,   26.06,   19.76,   20.21,   16.40,   10.65,    4.55,   13.54
43.90169,1.8968,T2M,2007,    5.87,    7.38,    7.71,   14.28,   15.34,   18.84,   20.63,   20.75,   17.12,   12.59,    5.67,    4.66,   12.60
43.90169,1.8968,T2M,2008,    6.30,    7.83,    7.32,   10.62,   15.56,   18.38,   21.28,   21.51,   17.24,   12.98,    6.96,    3.76,   12.50
43.90169,1.8968,T2M,2009,    3.40,    4.32,    7.60,   10.65,   16.46,   19.53,   22.39,   23.65,   19.09,   14.13,    9.89,    4.13,   12.99
43.90169,1.8968,T2M,2010,    1.94,    3.77,    6.62,   12.06,   13.17,   18.48,   23.13,   21.51,   17.70,   12.28,    7.32,    2.48,   11.75
43.90169,1.8968,T2M,2011,    3.57,    5.57,    8.70,   13.96,   17.70,   18.90,   20.00,   23.05,   20.44,   14.85,   11.22,    6.84,   13.77
