LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.69554,0.41011,T2M,1981,    4.41,    4.24,   10.70,   11.59,   13.57,   17.85,   19.57,   21.51,   18.82,   13.69,    8.83,    6.81,   12.68
43.69554,0.41011,T2M,1982,    7.58,    7.14,    7.44,   10.71,   14.74,   19.42,   23.11,   20.03,   19.98,   12.62,    9.37,    5.94,   13.21
43.69554,0.41011,T2M,1983,    5.51,    4.55,    8.12,   10.54,   13.11,   19.15,   24.56,   21.05,   19.28,   14.21,   10.82,    5.55,   13.09
43.69554,0.41011,T2M,1984,    5.74,    4.15,    5.97,   11.53,   11.44,   17.86,   22.46,   20.67,   16.76,   13.59,   10.87,    5.36,   12.22
43.69554,0.41011,T2M,1985,   -0.00,    7.92,    6.03,   11.55,   13.33,   17.50,   22.28,   20.59,   21.21,   16.03,    5.35,    5.85,   12.32
43.69554,0.41011,T2M,1986,    5.27,    3.11,    7.60,    7.58,   15.63,   18.95,   22.25,   21.57,   19.67,   15.65,    8.81,    6.44,   12.78
43.69554,0.41011,T2M,1987,    1.51,    5.38,    7.71,   13.07,   13.48,   17.92,   21.90,   22.69,   22.16,   15.19,    8.63,    7.28,   13.11
43.69554,0.41011,T2M,1988,    8.15,    6.04,    7.42,   12.17,   15.29,   18.02,   20.11,   21.75,   18.71,   15.86,    9.14,    5.21,   13.18
43.69554,0.41011,T2M,1989,    5.03,    7.47,   10.43,    9.63,   17.63,   20.68,   24.20,   23.09,   18.81,   15.33,   10.71,    9.02,   14.38
43.69554,0.41011,T2M,1990,    6.39,   10.76,    9.93,   10.86,   18.72,   19.81,   24.74,   24.68,   20.79,   15.87,    8.88,    2.98,   14.56
43.69554,0.41011,T2M,1991,    4.71,    5.27,   11.02,   10.51,   14.24,   18.97,   23.74,   25.61,   21.19,   11.99,    8.44,    5.02,   13.44
43.69554,0.41011,T2M,1992,    2.85,    5.87,    8.58,   11.10,   17.52,   16.66,   21.50,   23.08,   18.12,   11.22,   11.08,    6.38,   12.85
43.69554,0.41011,T2M,1993,    6.13,    4.77,    8.44,   11.41,   15.91,   19.23,   20.10,   22.60,   16.85,   11.90,    7.09,    8.08,   12.76
43.69554,0.41011,T2M,1994,    5.81,    7.14,   10.83,    9.66,   16.10,   18.92,   24.40,   24.30,   17.20,   14.03,   11.25,    7.00,   13.94
43.69554,0.41011,T2M,1995,    5.45,    8.63,    7.75,   10.90,   15.66,   18.52,   23.79,   22.60,   16.22,   17.00,    9.05,    6.78,   13.57
43.69554,0.41011,T2M,1996,    8.05,    4.43,    8.05,   11.51,   14.64,   19.98,   21.86,   20.07,   16.14,   13.28,    8.51,    5.82,   12.73
43.69554,0.41011,T2M,1997,    4.57,    9.02,   10.78,   12.05,   16.67,   18.13,   19.92,   23.44,   19.64,   15.63,   10.03,    6.53,   13.89
43.69554,0.41011,T2M,1998,    6.19,    8.00,    9.31,   10.28,   15.75,   19.02,   21.09,   22.47,   18.22,   12.84,    6.52,    5.07,   12.93
43.69554,0.41011,T2M,1999,    5.92,    4.63,    9.07,   11.76,   17.03,   18.53,   22.45,   22.44,   20.20,   14.35,    6.04,    5.81,   13.25
43.69554,0.41011,T2M,2000,    3.45,    8.32,    8.48,   11.46,   16.81,   19.73,   20.56,   22.89,   19.48,   13.51,    9.28,    8.44,   13.55
43.69554,0.41011,T2M,2001,    7.00,    5.98,   11.69,   10.28,   15.66,   19.05,   21.06,   23.05,   16.95,   17.54,    6.24,    2.42,   13.14
43.69554,0.41011,T2M,2002,    6.81,    7.89,   10.39,   12.16,   14.90,   20.36,   21.10,   20.56,   18.16,   15.07,   10.31,    8.29,   13.87
43.69554,0.41011,T2M,2003,    3.92,    4.49,   10.71,   12.88,   16.09,   24.69,   24.16,   27.20,   19.18,   13.01,   10.43,    6.38,   14.48
43.69554,0.41011,T2M,2004,    6.32,    5.72,    7.12,   10.47,   14.80,   20.87,   22.10,   22.45,   19.74,   16.01,    7.03,    5.34,   13.19
43.69554,0.41011,T2M,2005,    4.80,    2.66,    8.42,   11.90,   16.38,   22.16,   23.24,   21.11,   18.23,   16.13,    7.75,    2.83,   13.03
43.69554,0.41011,T2M,2006,    3.83,    3.86,    9.80,   12.13,   16.40,   21.12,   25.72,   20.04,   20.50,   16.86,   11.05,    5.19,   13.93
43.69554,0.41011,T2M,2007,    6.41,    8.26,    8.35,   14.54,   15.57,   18.83,   20.69,   20.90,   17.43,   13.06,    6.37,    5.22,   12.99
43.69554,0.41011,T2M,2008,    7.13,    8.44,    8.16,   11.23,   15.76,   18.37,   20.88,   21.21,   17.29,   13.32,    7.53,    4.73,   12.85
43.69554,0.41011,T2M,2009,    4.27,    5.17,    8.14,   11.03,   16.46,   19.80,   22.29,   23.42,   19.16,   14.85,   10.58,    5.17,   13.41
43.69554,0.41011,T2M,2010,    3.12,    4.22,    7.26,   12.42,   13.55,   18.44,   22.92,   21.44,   18.01,   12.88,    8.27,    3.08,   12.17
43.69554,0.41011,T2M,2011,    4.40,    6.91,    9.14,   14.52,   18.10,   19.14,   19.82,   22.72,   20.70,   15.21,   11.44,    7.83,   14.19
43.69554,0.41011,T2M,2012,    5.71,    0.26,   10.10,   10.13,   16.45,   20.00,   20.90,   24.13,   19.11,   14.91,    9.20,    7.01,   13.21
43.69554,0.41011,T2M,2013,    4.92,    4.24,    8.22,   10.80,   12.04,   16.70,   23.36,   21.76,   19.23,   16.14,    7.62,    5.94,   12.64
43.69554,0.41011,T2M,2014,    7.90,    7.31,    9.26,   13.04,   13.98,   20.30,   21.04,   19.97,   20.65,   17.66,   12.09,    5.24,   14.06
