LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
36.72451,-88.6569,T2M,1981,   -1.31,    3.37,    7.24,   17.06,   17.15,   23.80,   25.56,   24.60,   20.55,   14.05,    9.02,    0.95,   13.54
36.72451,-88.6569,T2M,1982,   -2.22,   -0.19,    9.83,   11.58,   20.95,   21.84,   26.50,   25.55,   20.43,   15.21,    8.80,    6.07,   13.79
36.72451,-88.6569,T2M,1983,    0.02,    3.89,    7.78,   11.01,   17.22,   22.49,   26.05,   28.03,   23.31,   16.26,    8.10,   -4.30,   13.37
36.72451,-88.6569,T2M,1984,   -2.60,    4.48,    5.60,   12.79,   17.40,   24.14,   24.19,   25.31,   20.68,   17.20,    6.45,    6.86,   13.56
36.72451,-88.6569,T2M,1985,   -4.29,   -0.95,    9.80,   15.20,   18.98,   22.44,   24.45,   23.69,   20.12,   16.64,   10.88,   -1.20,   13.05
36.72451,-88.6569,T2M,1986,    0.54,    4.27,    8.92,   14.95,   19.54,   24.21,   27.46,   24.16,   23.98,   15.70,    7.28,    1.81,   14.45
36.72451,-88.6569,T2M,1987,    0.41,    4.31,    9.45,   13.28,   21.83,   24.69,   26.65,   27.77,   23.62,   12.48,    9.81,    3.85,   14.90
36.72451,-88.6569,T2M,1988,   -1.10,    0.68,    8.13,   13.42,   19.01,   25.30,   27.25,   28.02,   22.03,   11.34,    8.61,    2.13,   13.77
36.72451,-88.6569,T2M,1989,    3.78,   -1.82,    7.55,   13.15,   17.71,   22.64,   24.87,   25.03,   21.03,   15.07,    8.28,   -2.98,   12.94
36.72451,-88.6569,T2M,1990,    4.51,    6.78,    9.84,   12.90,   17.69,   23.50,   25.12,   25.95,   23.76,   13.37,   10.15,    2.62,   14.71
36.72451,-88.6569,T2M,1991,   -0.44,    4.54,    9.46,   16.03,   21.74,   24.05,   25.71,   25.81,   21.54,   15.90,    6.28,    4.00,   14.61
36.72451,-88.6569,T2M,1992,    1.57,    5.96,    8.70,   13.83,   17.70,   21.94,   26.13,   23.72,   20.70,   14.43,    7.29,    2.63,   13.73
36.72451,-88.6569,T2M,1993,    1.97,    1.31,    6.77,   12.30,   18.99,   23.52,   27.58,   27.41,   20.49,   13.13,    6.48,    2.87,   13.65
36.72451,-88.6569,T2M,1994,   -2.52,    3.28,    7.68,   15.15,   17.52,   24.69,   25.14,   24.61,   20.55,   15.35,   10.53,    4.62,   13.93
36.72451,-88.6569,T2M,1995,    1.61,    2.12,    9.90,   14.76,   19.43,   22.98,   26.17,   27.98,   21.14,   15.65,    5.03,    2.00,   14.14
36.72451,-88.6569,T2M,1996,    0.28,    3.09,    5.49,   12.26,   20.68,   23.52,   24.67,   25.77,   20.76,   14.57,    5.54,    3.46,   13.37
36.72451,-88.6569,T2M,1997,   -0.78,    5.36,    9.90,   11.15,   16.85,   22.48,   25.45,   23.86,   21.32,   14.60,    5.88,    2.30,   13.24
36.72451,-88.6569,T2M,1998,    4.37,    6.14,    8.15,   13.83,   21.44,   24.62,   25.70,   24.83,   24.68,   16.31,    9.77,    4.09,   15.37
36.72451,-88.6569,T2M,1999,    3.04,    6.18,    5.71,   15.66,   19.09,   23.63,   27.83,   27.04,   23.36,   15.26,   10.80,    3.79,   15.15
36.72451,-88.6569,T2M,2000,    1.88,    6.35,   10.09,   13.29,   20.35,   22.97,   26.02,   27.86,   21.96,   17.43,    6.73,   -3.68,   14.29
36.72451,-88.6569,T2M,2001,   -0.23,    4.66,    5.82,   16.84,   20.01,   24.08,   27.84,   26.66,   21.07,   13.95,   10.66,    4.91,   14.74
36.72451,-88.6569,T2M,2002,    3.58,    3.08,    7.24,   15.44,   17.87,   24.01,   26.16,   26.35,   23.37,   14.24,    6.35,    2.52,   14.24
36.72451,-88.6569,T2M,2003,   -1.32,    1.32,    8.90,   14.76,   19.36,   21.41,   25.03,   25.94,   19.77,   15.25,   10.53,    3.07,   13.74
36.72451,-88.6569,T2M,2004,    1.21,    2.44,   10.46,   14.06,   21.09,   23.22,   24.77,   23.62,   22.40,   17.34,   10.27,    1.63,   14.41
36.72451,-88.6569,T2M,2005,    3.59,    5.72,    7.24,   14.41,   18.33,   24.10,   25.88,   27.67,   23.40,   15.52,    9.79,    1.07,   14.76
36.72451,-88.6569,T2M,2006,    5.98,    2.42,    9.02,   17.08,   19.02,   23.49,   26.44,   27.27,   19.93,   12.67,    7.99,    4.82,   14.75
36.72451,-88.6569,T2M,2007,    2.35,    0.15,   12.58,   12.28,   20.84,   24.34,   25.50,   30.42,   23.97,   17.45,    7.97,    4.36,   15.29
36.72451,-88.6569,T2M,2008,    0.69,    2.33,    7.97,   12.88,   18.60,   24.14,   25.39,   25.32,   23.11,   15.55,    7.05,    2.15,   13.80
36.72451,-88.6569,T2M,2009,   -0.90,    3.33,    9.67,   13.77,   18.87,   24.72,   23.80,   24.37,   22.24,   12.91,    9.64,    1.54,   13.70
36.72451,-88.6569,T2M,2010,   -1.21,   -0.43,    8.49,   16.36,   20.66,   26.21,   27.23,   28.96,   23.29,   16.44,    8.82,   -0.09,   14.64
36.72451,-88.6569,T2M,2011,   -0.49,    4.17,    8.91,   16.28,   18.48,   25.12,   27.41,   26.42,   20.83,   14.44,    9.92,    3.92,   14.67
36.72451,-88.6569,T2M,2012,    3.70,    5.67,   14.88,   15.94,   21.72,   25.31,   29.69,   27.27,   21.24,   13.38,    7.02,    6.16,   16.04
36.72451,-88.6569,T2M,2013,    2.52,    2.79,    5.31,   13.51,   18.70,   23.62,   23.95,   24.56,   22.77,   15.12,    6.05,    2.06,   13.47
36.72451,-88.6569,T2M,2014,   -2.18,   -0.74,    5.80,   14.29,   19.73,   23.91,   23.24,   26.32,   22.13,   16.05,    5.08,    3.48,   13.17
36.72451,-88.6569,T2M,2015,    0.63,   -2.43,    7.61,   15.37,   19.69,   24.59,   26.23,   24.11,   23.13,   15.99,   10.73,    8.58,   14.62
36.72451,-88.6569,T2M,2016,    0.73,    4.18,   11.00,   14.72,   18.26,   24.91,   26.43,   25.55,   22.69,   18.31,   11.07,    2.30,   15.03
36.72451,-88.6569,T2M,2017,    5.04,    8.76,    9.87,   16.85,   19.26,   23.52,   26.68,   24.76,   22.11,   15.93,    8.92,    2.23,   15.35
36.72451,-88.6569,T2M,2018,   -1.24,    6.29,    7.89,   10.66,   22.78,   25.42,   25.67,   25.62,   24.01,   15.69,    5.51,    4.65,   14.46
36.72451,-88.6569,T2M,2019,    1.76,    5.19,    6.66,   14.85,   20.86,   23.53,   25.52,   25.36,   25.89,   15.65,    5.16,    5.35,   14.70
36.72451,-88.6569,RH2M,1981,   75.16,   76.11,   69.86,   73.49,   76.91,   81.68,   80.09,   71.21,   59.42,   66.28,   72.33,   75.10,   73.13
36.72451,-88.6569,RH2M,1982,   79.91,   88.58,   78.94,   75.04,   78.51,   75.48,   72.56,   63.62,   71.24,   66.73,   73.20,   88.07,   75.91
36.72451,-88.6569,RH2M,1983,   87.26,   83.85,   82.48,   81.22,   82.58,   78.92,   76.56,   58.85,   50.00,   67.38,   79.16,   86.43,   76.20
36.72451,-88.6569,RH2M,1984,   87.74,   81.89,   85.16,   82.14,   79.53,   79.64,   74.42,   65.20,   60.53,   81.53,   79.41,   90.88,   79.03
36.72451,-88.6569,RH2M,1985,   86.46,   86.88,   83.57,   81.26,   80.42,   81.03,   78.85,   80.04,   70.95,   75.80,   84.60,   80.81,   80.86
36.72451,-88.6569,RH2M,1986,   79.48,   85.49,   75.82,   73.99,   77.99,   79.69,   68.36,   63.26,   64.94,   70.83,   83.52,   83.95,   75.53
