LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
49.35492,6.1576,T2M,1981,   -1.31,   -0.58,    6.84,    8.33,   12.23,   15.08,   16.64,   17.25,   14.61,    8.05,    3.93,   -1.14,    8.38
49.35492,6.1576,T2M,1982,   -1.78,    0.90,    4.01,    6.79,   12.40,   16.51,   19.51,   17.53,   16.92,    9.45,    5.73,    1.52,    9.16
49.35492,6.1576,T2M,1983,    2.64,   -1.53,    4.02,    7.77,   10.21,   16.42,   20.68,   19.10,   14.09,    9.33,    3.27,    0.57,    8.95
49.35492,6.1576,T2M,1984,    0.29,   -0.06,    2.60,    6.78,    9.84,   14.25,   16.89,   18.10,   12.97,    9.83,    5.86,    1.18,    8.24
49.35492,6.1576,T2M,1985,   -5.95,   -2.26,    2.54,    7.58,   12.86,   13.67,   18.13,   16.73,   15.10,    9.26,    0.64,    1.85,    7.57
49.35492,6.1576,T2M,1986,    0.18,   -5.45,    2.96,    5.63,   13.31,   16.57,   17.72,   16.94,   12.32,   10.65,    5.16,    1.61,    8.23
49.35492,6.1576,T2M,1987,   -4.76,   -0.04,    0.94,    9.11,    9.96,   14.23,   17.38,   16.74,   16.13,   10.30,    4.05,    0.97,    7.95
49.35492,6.1576,T2M,1988,    3.77,    1.73,    3.80,    8.61,   14.21,   15.74,   16.84,   18.58,   13.99,   10.38,    3.02,    3.58,    9.55
49.35492,6.1576,T2M,1989,    1.54,    2.39,    7.38,    6.79,   14.26,   15.57,   19.24,   18.77,   15.23,   10.82,    2.70,    2.05,    9.79
49.35492,6.1576,T2M,1990,    1.47,    5.60,    6.34,    6.97,   14.23,   15.78,   18.75,   20.38,   13.03,   11.08,    4.41,   -0.48,    9.83
49.35492,6.1576,T2M,1991,    0.79,   -2.08,    6.76,    7.05,   10.44,   14.17,   21.11,   20.95,   17.21,    8.53,    3.56,   -0.26,    9.09
49.35492,6.1576,T2M,1992,   -0.50,    1.89,    5.18,    7.63,   14.29,   16.88,   19.56,   20.19,   14.20,    6.97,    5.86,    1.31,    9.48
49.35492,6.1576,T2M,1993,    2.37,   -0.49,    4.17,   10.01,   14.15,   17.01,   17.50,   17.44,   13.04,    7.50,    0.36,    2.92,    8.89
49.35492,6.1576,T2M,1994,    2.22,    0.82,    6.36,    7.42,   12.42,   16.20,   22.33,   18.76,   13.39,    8.48,    7.74,    3.61,   10.04
49.35492,6.1576,T2M,1995,    0.85,    4.21,    3.13,    8.36,   12.46,   14.45,   21.10,   19.55,   12.59,   12.31,    3.64,   -0.89,    9.35
49.35492,6.1576,T2M,1996,   -1.35,   -1.75,    1.96,    8.25,   11.34,   16.92,   17.63,   17.71,   11.87,    9.15,    3.59,   -2.50,    7.76
49.35492,6.1576,T2M,1997,   -4.54,    3.10,    6.44,    6.75,   12.45,   15.39,   17.49,   21.23,   15.11,    8.50,    4.42,    1.63,    9.03
49.35492,6.1576,T2M,1998,    1.63,    2.25,    5.27,    7.67,   13.85,   16.18,   16.96,   18.81,   13.80,    8.79,    1.15,    0.61,    8.96
49.35492,6.1576,T2M,1999,    2.39,    0.50,    5.48,    8.67,   13.96,   15.36,   19.72,   18.58,   17.31,    8.85,    2.51,    1.61,    9.64
49.35492,6.1576,T2M,2000,    0.39,    3.36,    5.10,    9.06,   14.40,   17.13,   15.81,   18.72,   14.98,    9.99,    5.85,    3.55,    9.88
49.35492,6.1576,T2M,2001,    1.17,    2.71,    5.77,    6.86,   14.02,   14.90,   19.31,   19.64,   11.90,   12.50,    2.96,   -0.41,    9.33
49.35492,6.1576,T2M,2002,   -1.03,    4.58,    5.52,    8.01,   12.81,   17.87,   18.52,   19.05,   13.72,    9.62,    6.78,    2.64,    9.86
49.35492,6.1576,T2M,2003,   -0.73,   -1.50,    5.94,    8.34,   13.71,   20.46,   20.34,   23.42,   15.00,    6.83,    5.86,    1.23,    9.98
49.35492,6.1576,T2M,2004,    0.54,    1.79,    3.82,    9.01,   11.97,   16.63,   18.23,   19.07,   15.08,   10.42,    3.93,   -0.44,    9.19
49.35492,6.1576,T2M,2005,    1.36,   -0.79,    4.49,    9.27,   12.93,   17.95,   19.37,   17.10,   16.04,   12.17,    3.86,    0.24,    9.56
49.35492,6.1576,T2M,2006,   -2.39,   -0.05,    2.66,    8.18,   13.13,   17.14,   23.68,   15.97,   17.34,   12.29,    6.92,    2.83,    9.86
49.35492,6.1576,T2M,2007,    4.39,    4.42,    5.29,   12.05,   14.33,   17.26,   16.64,   16.81,   12.86,    9.09,    3.56,    0.96,    9.83
49.35492,6.1576,T2M,2008,    2.66,    2.87,    4.07,    7.24,   14.66,   16.62,   18.26,   17.46,   12.19,    8.87,    4.57,    0.06,    9.15
49.35492,6.1576,T2M,2009,   -2.69,    0.42,    4.00,   10.99,   14.06,   15.93,   18.59,   19.63,   15.13,    8.95,    7.17,    0.63,    9.44
49.35492,6.1576,T2M,2010,   -3.05,   -0.20,    4.00,    8.49,   10.96,   16.96,   20.67,   17.43,   12.95,    8.34,    4.70,   -4.13,    8.13
49.35492,6.1576,T2M,2011,    0.45,    1.79,    5.56,   11.72,   14.23,   17.00,   16.50,   18.23,   16.26,    9.77,    5.48,    3.68,   10.10
49.35492,6.1576,T2M,2012,    2.32,   -2.78,    6.79,    7.53,   14.17,   15.66,   17.12,   19.40,   14.36,    9.26,    4.86,    2.19,    9.29
49.35492,6.1576,T2M,2013,   -0.45,   -1.18,    1.06,    7.90,   10.51,   15.39,   19.80,   18.20,   14.41,   11.29,    4.04,    2.19,    8.66
49.35492,6.1576,T2M,2014,    3.01,    3.66,    6.45,   10.84,   12.67,   17.80,   19.75,   16.16,   15.57,   12.08,    6.60,    1.96,   10.58
49.35492,6.1576,T2M,2015,    0.89,   -0.02,    5.06,    8.92,   12.61,   16.78,   21.08,   20.56,   13.14,    8.45,    7.19,    5.82,   10.11
49.35492,6.1576,T2M,2016,    1.89,    3.06,    3.45,    7.62,   12.93,   16.46,   18.58,   18.59,   17.54,    8.71,    4.14,    0.70,    9.49
49.35492,6.1576,T2M,2017,   -2.98,    3.50,    7.37,    7.90,   14.72,   19.53,   20.08,   18.91,   13.42,   10.86,    4.51,    1.96,   10.02
49.35492,6.1576,T2M,2018,    4.51,   -1.69,    3.12,   11.75,   15.27,   17.90,   21.89,   20.78,   16.11,   11.23,    5.44,    3.28,   10.88
49.35492,6.1576,T2M,2019,    0.15,    2.85,    6.59,    8.98,   11.31,   19.41,   21.24,   20.40,   15.30,   11.07,    4.63,    3.47,   10.49
49.35492,6.1576,RH2M,1981,   93.88,   90.83,   91.33,   84.40,   82.58,   80.81,   82.29,   79.89,   79.80,   90.93,   93.18,   95.45,   87.11
49.35492,6.1576,RH2M,1982,   94.73,   92.54,   88.45,   81.36,   79.07,   80.21,   71.99,   73.20,   72.24,   90.28,   93.98,   95.24,   84.40
49.35492,6.1576,RH2M,1983,   95.87,   91.01,   91.68,   88.89,   87.40,   80.14,   76.33,   69.38,   75.74,   83.27,   90.54,   92.76,   85.22
49.35492,6.1576,RH2M,1984,   94.99,   91.33,   85.18,   78.27,   83.84,   79.59,   74.28,   70.85,   83.92,   91.53,   94.18,   96.16,   85.32
49.35492,6.1576,RH2M,1985,   91.00,   88.49,   90.23,   83.71,   82.24,   80.68,   72.08,   71.96,   72.48,   77.56,   89.78,   94.36,   82.85
49.35492,6.1576,RH2M,1986,   93.28,   84.62,   88.90,   85.59,   81.17,   80.14,   71.79,   70.31,   78.15,   88.17,   93.38,   95.22,   84.22
49.35492,6.1576,RH2M,1987,   88.01,   94.08,   85.30,   82.63,   79.52,   82.99,   79.94,   78.57,   79.00,   86.58,   93.99,   94.53,   85.37
49.35492,6.1576,RH2M,1988,   94.80,   91.92,   91.46,   79.77,   80.36,   78.12,   76.54,   65.72,   76.34,   87.88,   93.17,   95.69,   84.30
49.35492,6.1576,RH2M,1989,   95.99,   92.99,   84.76,   86.23,   75.50,   73.21,   66.58,   64.59,   69.42,   79.41,   88.01,   94.05,   80.81
49.35492,6.1576,RH2M,1990,   95.12,   90.67,   86.01,   81.09,   70.60,   71.53,   57.95,   56.73,   70.66,   79.01,   92.51,   94.74,   78.79
49.35492,6.1576,RH2M,1991,   92.50,   90.03,   86.01,   76.67,   72.36,   69.02,   56.79,   50.69,   61.08,   82.83,   92.57,   93.72,   76.94
49.35492,6.1576,RH2M,1992,   93.80,   92.93,   85.10,   78.62,   72.53,   72.32,   66.36,   63.12,   71.85,   81.08,   93.05,   93.54,   80.30
49.35492,6.1576,RH2M,1993,   93.67,   91.15,   80.25,   79.37,   77.33,   69.79,   66.91,   59.56,   78.28,   88.77,   89.57,   96.12,   80.83
49.35492,6.1576,RH2M,1994,   94.89,   91.16,   91.53,   83.25,   80.22,   77.32,   62.38,   66.19,   79.68,   80.86,   93.68,   93.76,   82.84
49.35492,6.1576,RH2M,1995,   92.76,   93.41,   86.66,   86.13,   75.86,   77.70,   67.17,   62.57,   78.14,   88.00,   90.37,   92.12,   82.48
49.35492,6.1576,RH2M,1996,   92.17,   90.29,   81.95,   72.11,   76.31,   62.65,   61.25,   65.35,   69.54,   84.35,   92.78,   91.65,   78.35
49.35492,6.1576,RH2M,1997,   92.83,   92.51,   88.28,   74.45,   76.36,   78.59,   74.48,   64.64,   65.62,   77.71,   91.99,   93.85,   80.88
49.35492,6.1576,RH2M,1998,   92.12,   92.72,   82.45,   85.16,   76.84,   77.18,   71.20,   59.57,   80.02,   89.05,   92.66,   95.35,   82.77
49.35492,6.1576,RH2M,1999,   93.99,   92.00,   89.53,   84.34,   80.34,   73.67,   67.60,   65.26,   70.67,   83.24,   92.52,   94.89,   82.28
