LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.0726,4.8477,T2M,1981,-1.1,1.16,7.24,17.3,16.11,23.23,25.55,23.93,20.57,12.84,7.09,-0.72,12.82
45.0726,4.8477,T2M,1982,-5.27,-1.56,7.65,10.1,19.09,20.65,26.71,25.21,19.64,13.3,6.45,2.88,12.16
45.0726,4.8477,T2M,1983,-0.93,2.42,6.33,9.24,15.74,21.83,26.86,29.5,21.77,14.57,6.77,-7.02,12.31
45.0726,4.8477,T2M,1984,-3.13,2.61,3.68,10.75,16.18,23.54,25.51,26.95,19.56,14.46,4.94,3.53,12.41
45.0726,4.8477,T2M,1985,-7.52,-2.6,8.16,13.92,17.95,21.17,25.24,24.2,20.36,14.84,6.68,-5.28,11.5
45.0726,4.8477,T2M,1986,-0.08,1.81,8.13,13.88,18.49,24.55,28.4,23.94,21.76,13.25,3.87,0.89,13.3
45.0726,4.8477,T2M,1987,-1.78,3.16,7.89,12.56,20.52,24.26,26.12,26.28,20.05,10.97,6.86,0.84,13.19
45.0726,4.8477,T2M,1988,-3.04,-1.48,5.82,11.81,18.48,25.22,25.73,26.46,20.83,11.07,7,1.19,12.46
45.0726,4.8477,T2M,1989,2.59,-3.48,5.82,12.58,17.41,21.44,25.81,25.17,18.28,14.29,6.93,-4.72,11.94
45.0726,4.8477,T2M,1990,2.87,3.64,8.05,11.39,16.15,23.36,24.08,25.17,22.82,12.45,9.52,-0.59,13.28
45.0726,4.8477,T2M,1991,-3.91,3.25,8.46,14.39,20.75,24.69,27.25,26.62,19.68,14.46,3.83,2.27,13.54
45.0726,4.8477,T2M,1992,0.88,4.55,7.73,12.69,16.95,21.7,24.71,21.91,19.7,13.8,4.83,0.46,12.51
45.0726,4.8477,T2M,1993,-1.79,-0.74,4.42,10.56,17.35,22.61,25.68,25.09,17.62,11,3.38,1.29,11.45
45.0726,4.8477,T2M,1994,-2.96,-0.4,6.94,12.5,17.17,24.25,24.94,24.59,19.17,14.09,8.21,3.08,12.7
45.0726,4.8477,T2M,1995,-1.74,1.69,7.83,12.1,16.44,21.73,25.06,27.42,19.8,14.62,5.18,-0.91,12.5
45.0726,4.8477,T2M,1996,-2.31,1.92,4.06,11.3,19.41,23.53,25.2,24.99,19.23,12.95,3.2,1.04,12.07
45.0726,4.8477,T2M,1997,-2.47,2.73,8.05,10.08,15.95,22.12,27.01,24.51,21.17,14.18,4.75,-0.17,12.38
45.0726,4.8477,T2M,1998,1.82,3.9,4.65,11.85,20.61,23.83,26.56,25.79,23.75,14.27,8.51,2.02,14.01
45.0726,4.8477,T2M,1999,-0.81,5.39,5.45,13.5,17.58,22.34,27.27,26.07,20.13,14.7,11.3,2.6,13.83
45.0726,4.8477,T2M,2000,0.58,5.01,8.53,12.8,20.66,22.53,25.63,29.22,22.5,16.01,3.54,-5.51,13.48
45.0726,4.8477,T2M,2001,-1.45,1.43,4.37,16.24,18.82,22.51,27.08,26.51,20.27,13.04,9.68,2.96,13.51
45.0726,4.8477,T2M,2002,0.41,1.88,4.96,14.27,16.84,23.24,26.52,26.37,22.71,12.2,5.22,1.86,13.09
45.0726,4.8477,T2M,2003,-2.24,0.35,7.08,13.84,18.02,21.11,27.52,27.27,18.19,14.11,7.87,1.75,12.98
45.0726,4.8477,T2M,2004,-1.2,0.61,8.55,13.12,19.53,21.92,24.16,22.66,21.18,15.43,7.95,1.49,12.98
45.0726,4.8477,T2M,2005,0.25,3.89,5.89,13.12,18.04,24.91,27.18,26.57,22.69,14.2,8.23,-0.32,13.76
45.0726,4.8477,T2M,2006,4.39,1.26,8.02,16.57,18.19,24.05,27.04,27.43,19.17,12.39,7.28,1.84,14.04
45.0726,4.8477,T2M,2007,-2.74,-1.74,11.42,10.55,19.65,22.58,24.24,27.61,21.32,15.24,7.33,0.89,13.12
45.0726,4.8477,T2M,2008,-0.13,-0.41,6.14,10.9,17.53,22.95,24.63,23.83,19.39,13.04,5.91,0.05,12.02
45.0726,4.8477,T2M,2009,-2.22,3.18,7.95,11.59,17.54,23.86,23.09,23.55,19.4,10.42,8.85,-1.3,12.19
45.0726,4.8477,T2M,2010,-3.32,-1.72,6.48,15.17,18.47,25.24,26.52,27.7,20.4,14.26,7.52,-0.86,13.06
45.0726,4.8477,T2M,2011,-2.29,0.07,6.6,13.78,17.47,24.97,30.08,27.41,18.86,14.14,7.92,2.33,13.52
45.0726,4.8477,T2M,2012,2,3.8,13.93,15.33,20.69,25.31,30.89,26.46,19.96,12.3,7.31,3.96,15.2
45.0726,4.8477,T2M,2013,0.64,0.71,3.32,11,17.22,22.61,24.72,23.5,21.51,13.14,5.16,-1.41,11.9
45.0726,4.8477,T2M,2014,-3.05,-2.14,4.31,12.82,19.17,23.45,24.32,26.89,20.85,14.43,3.56,2.41,12.34
45.0726,4.8477,T2M,2015,-0.78,-2.71,7.02,14.01,18.62,23.8,25.58,23.16,22.05,14.83,9.02,4.56,13.35
45.0726,4.8477,T2M,2016,-2.35,3.47,9.7,14.18,17.23,25.67,26.4,25.24,22.1,17.2,9.95,0.41,14.11
45.0726,4.8477,T2M,2017,1.86,7.35,9.8,14.73,17.85,23.04,27.3,22.88,22.17,15.14,9.05,0.97,14.37
45.0726,4.8477,T2M,2018,-2.06,2.15,6.89,8.92,22.39,25.96,27.12,25.97,22.6,14.02,3.23,2.4,13.37
45.0726,4.8477,T2M,2019,-0.81,0.67,5.01,13.8,18.67,22.51,25.29,25.36,25.02,12.14,4.67,3.25,13.03
45.0726,4.8477,RH2M,1981,71.04,76.4,65.44,62.12,73.79,82.5,78.31,68.45,61.35,71.47,81.61,80.78,72.75
45.0726,4.8477,RH2M,1982,79.86,86.89,76.25,72.44,77.41,79.07,64.9,71.1,69.62,65.6,77.46,87.98,75.64
45.0726,4.8477,RH2M,1983,86.43,85.99,80.95,81.98,78.41,76.54,63.4,48.66,55.03,74.46,86,84,75.07
45.0726,4.8477,RH2M,1984,87.72,84.95,86.09,80.57,78.05,74.35,58.22,50.33,61.11,81.26,83.32,89.78,76.28
45.0726,4.8477,RH2M,1985,90.26,89.94,85.05,80.47,79.24,80.8,65.36,70.56,64.94,74.27,86.78,89.88,79.73
45.0726,4.8477,RH2M,1986,84.46,88.45,76.11,74.77,78.59,74.05,56.06,56.36,75.83,85.75,86.97,88.47,77.06
45.0726,4.8477,RH2M,1987,88.58,86.38,79.73,74.81,78.75,68.76,68.9,59.32,65.41,64.99,75.02,87.46,74.79
45.0726,4.8477,RH2M,1988,84.84,81.94,79.47,72.88,68.42,49.5,63.97,58.91,64.11,64.33,75.24,78.93,70.2
45.0726,4.8477,RH2M,1989,81.93,77.64,81.76,74.4,71.67,74.47,65.07,66.44,70.24,62.71,62.2,68.57,71.39
45.0726,4.8477,RH2M,1990,71.93,78.08,79.91,75.96,81.99,80.92,76.41,65.71,59.11,69.66,76.9,82.26,74.89
45.0726,4.8477,RH2M,1991,89.71,79.98,72.8,77.27,82.82,70.32,53.77,51.04,67.55,67.51,80.02,85.21,73.11
45.0726,4.8477,RH2M,1992,87.24,85.24,78.28,77.82,72.96,71.16,75.63,68.56,69.03,65.73,86.38,89.2,77.24
