LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
46.78337,5.7833,T2M,1981,   -3.24,   -2.38,    5.93,    9.12,   11.52,   15.13,   16.57,   17.27,   14.62,    8.87,    3.36,   -0.08,    8.12
46.78337,5.7833,T2M,1982,    2.25,    2.10,    3.25,    6.77,   12.51,   16.64,   19.50,   16.75,   16.34,    9.12,    5.48,    1.22,    9.37
46.78337,5.7833,T2M,1983,    1.51,   -2.30,    4.09,    7.49,   10.24,   16.47,   21.62,   18.47,   14.79,    9.44,    4.81,    0.60,    9.01
46.78337,5.7833,T2M,1984,   -0.18,   -1.22,    2.22,    7.08,    9.30,   14.72,   17.56,   17.56,   12.80,    9.78,    7.17,    1.53,    8.22
46.78337,5.7833,T2M,1985,   -6.37,    0.40,    2.27,    7.69,   11.55,   14.25,   18.65,   16.92,   16.11,   11.08,    0.64,    2.31,    8.00
46.78337,5.7833,T2M,1986,   -0.70,   -4.04,    3.31,    5.44,   13.78,   16.42,   17.91,   17.60,   14.74,   11.54,    5.22,    0.72,    8.58
46.78337,5.7833,T2M,1987,   -5.56,    0.14,    1.79,    9.06,    9.80,   14.24,   17.97,   17.20,   16.83,   11.11,    4.09,    2.65,    8.31
46.78337,5.7833,T2M,1988,    3.33,    0.89,    2.69,    9.14,   13.52,   15.49,   17.34,   18.42,   14.02,   11.32,    3.08,    1.43,    9.25
46.78337,5.7833,T2M,1989,    1.13,    2.94,    6.85,    6.65,   14.20,   15.01,   19.07,   18.66,   15.00,   10.74,    4.27,    3.12,    9.85
46.78337,5.7833,T2M,1990,    1.44,    5.69,    6.28,    6.78,   14.86,   15.41,   19.09,   20.28,   14.52,   12.18,    3.81,   -2.07,    9.89
46.78337,5.7833,T2M,1991,    0.80,   -0.38,    7.16,    6.97,    9.86,   14.96,   20.39,   21.29,   17.62,    8.60,    3.86,   -0.50,    9.28
46.78337,5.7833,T2M,1992,   -1.25,    1.21,    4.96,    7.58,   14.12,   15.17,   18.67,   20.31,   14.60,    7.46,    6.12,    1.59,    9.24
46.78337,5.7833,T2M,1993,    2.19,    0.14,    4.05,    9.22,   13.63,   16.64,   16.82,   18.39,   13.08,    8.46,    1.65,    2.00,    8.91
46.78337,5.7833,T2M,1994,    0.87,    1.82,    7.17,    6.32,   12.73,   16.26,   21.14,   19.66,   13.48,    9.96,    7.41,    2.75,   10.02
46.78337,5.7833,T2M,1995,   -1.12,    3.70,    2.66,    7.58,   12.02,   14.25,   20.17,   18.30,   11.79,   12.89,    3.73,    0.88,    8.94
46.78337,5.7833,T2M,1996,    2.52,   -1.29,    2.97,    8.21,   11.60,   16.25,   16.73,   16.75,   11.51,    9.35,    3.35,    0.37,    8.23
46.78337,5.7833,T2M,1997,   -0.26,    3.43,    6.38,    7.21,   12.92,   15.41,   17.03,   20.22,   15.79,    9.61,    5.34,    1.78,    9.61
46.78337,5.7833,T2M,1998,    0.99,    2.99,    4.55,    7.25,   13.50,   16.17,   18.08,   18.72,   13.78,    8.95,    1.11,    0.34,    8.91
46.78337,5.7833,T2M,1999,    1.76,   -1.12,    5.09,    7.88,   14.81,   14.74,   18.48,   18.20,   16.73,   10.10,    1.46,    0.86,    9.15
46.78337,5.7833,T2M,2000,   -0.68,    2.95,    4.59,    8.65,   14.33,   16.89,   15.97,   19.28,   15.35,    9.88,    5.60,    3.85,    9.74
46.78337,5.7833,T2M,2001,    1.80,    2.41,    6.72,    6.33,   14.46,   15.04,   18.63,   19.51,   11.63,   13.23,    2.12,   -1.76,    9.24
46.78337,5.7833,T2M,2002,   -0.14,    3.97,    6.15,    8.70,   11.70,   18.64,   18.40,   17.93,   13.68,   10.36,    6.51,    3.85,   10.01
46.78337,5.7833,T2M,2003,   -0.82,   -2.08,    6.37,    8.81,   13.93,   22.02,   21.24,   24.64,   15.37,    7.83,    5.88,    1.57,   10.47
46.78337,5.7833,T2M,2004,    0.05,    1.24,    3.48,    8.24,   11.65,   16.69,   18.71,   18.98,   15.28,   11.88,    3.46,    0.53,    9.21
46.78337,5.7833,T2M,2005,   -0.44,   -2.09,    4.22,    8.21,   13.08,   17.78,   18.59,   16.93,   15.59,   12.49,    3.62,   -1.78,    8.91
46.78337,5.7833,T2M,2006,   -1.90,   -0.46,    3.20,    8.21,   12.56,   17.20,   22.39,   15.10,   17.02,   12.93,    6.85,    2.21,    9.66
46.78337,5.7833,T2M,2007,    3.04,    4.29,    4.78,   12.97,   13.79,   16.70,   16.77,   16.52,   12.64,    8.97,    2.55,    0.39,    9.47
46.78337,5.7833,T2M,2008,    2.38,    3.27,    3.34,    7.31,   14.59,   16.41,   17.74,   17.21,   12.37,    9.30,    4.08,   -0.65,    8.96
46.78337,5.7833,T2M,2009,   -2.66,   -0.35,    3.62,   10.17,   14.73,   16.10,   18.55,   20.10,   15.43,    9.61,    6.88,    0.96,    9.48
46.78337,5.7833,T2M,2010,   -2.76,   -0.45,    3.54,    9.23,   10.88,   16.30,   19.89,   16.98,   13.09,    9.08,    4.23,   -1.49,    8.25
46.78337,5.7833,T2M,2011,    0.51,    2.11,    5.83,   11.51,   14.79,   16.28,   16.02,   18.94,   16.45,   10.45,    6.99,    2.82,   10.26
46.78337,5.7833,T2M,2012,    1.27,   -3.75,    6.73,    7.73,   13.46,   16.76,   17.30,   19.26,   14.34,   10.51,    5.55,    1.16,    9.24
46.78337,5.7833,T2M,2013,   -0.69,   -2.60,    2.78,    8.40,    9.81,   15.30,   19.82,   17.81,   14.71,   11.95,    3.16,    1.95,    8.60
46.78337,5.7833,T2M,2014,    2.82,    3.17,    6.47,    9.99,   11.72,   17.21,   17.64,   16.03,   15.37,   12.58,    7.51,    1.77,   10.22
46.78337,5.7833,T2M,2015,    0.63,   -0.94,    5.55,    9.21,   13.07,   17.69,   21.34,   20.03,   13.34,    8.92,    6.69,    5.73,   10.18
46.78337,5.7833,T2M,2016,    2.21,    3.09,    3.73,    7.97,   12.09,   16.15,   18.71,   18.72,   16.64,    8.75,    4.87,    1.70,    9.57
46.78337,5.7833,T2M,2017,   -2.94,    4.29,    7.77,    8.15,   13.82,   19.05,   19.42,   19.75,   13.11,   11.04,    3.83,    0.41,    9.84
46.78337,5.7833,T2M,2018,    4.42,   -1.42,    3.97,   11.75,   14.68,   17.61,   20.75,   20.15,   17.06,   11.47,    6.26,    3.21,   10.90
