LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.28719,-0.38963,T2M,1981,    3.15,    2.85,    8.74,    9.57,   11.70,   16.13,   17.58,   19.44,   16.99,   11.97,    8.40,    5.16,   11.02
43.28719,-0.38963,T2M,1982,    5.78,    5.67,    5.63,    9.00,   12.96,   17.51,   20.83,   18.03,   17.68,   11.02,    7.68,    4.19,   11.36
43.28719,-0.38963,T2M,1983,    4.83,    2.84,    6.76,    8.53,   11.19,   17.20,   22.13,   18.79,   17.62,   12.82,    9.91,    4.80,   11.50
43.28719,-0.38963,T2M,1984,    4.10,    2.39,    4.23,   10.23,    9.12,   15.85,   20.02,   18.39,   14.79,   11.80,    9.04,    4.02,   10.35
43.28719,-0.38963,T2M,1985,   -1.90,    6.82,    4.06,    9.82,   11.15,   15.85,   20.30,   18.63,   19.28,   14.52,    4.19,    5.23,   10.68
43.28719,-0.38963,T2M,1986,    3.50,    1.87,    6.14,    5.44,   14.04,   16.59,   19.59,   19.63,   17.94,   13.88,    7.47,    4.92,   10.98
43.28719,-0.38963,T2M,1987,    0.68,    3.92,    6.18,   11.37,   11.28,   15.57,   19.30,   20.92,   20.62,   13.28,    7.06,    6.46,   11.42
43.28719,-0.38963,T2M,1988,    6.25,    4.32,    5.62,   10.05,   13.30,   15.78,   18.15,   19.36,   16.76,   14.21,    8.30,    4.00,   11.37
43.28719,-0.38963,T2M,1989,    4.40,    5.95,    8.85,    7.45,   15.60,   18.00,   21.75,   21.08,   16.79,   13.94,    9.63,    7.78,   12.65
43.28719,-0.38963,T2M,1990,    5.08,    9.00,    8.42,    8.53,   16.12,   17.37,   21.92,   22.37,   18.86,   13.67,    7.11,    1.76,   12.54
43.28719,-0.38963,T2M,1991,    3.33,    3.85,    8.87,    8.21,   11.59,   16.57,   21.33,   23.53,   19.23,   10.25,    6.92,    4.37,   11.55
43.28719,-0.38963,T2M,1992,    1.95,    4.59,    6.47,    9.00,   15.26,   14.22,   19.51,   21.01,   16.37,    9.49,    9.79,    5.17,   11.09
43.28719,-0.38963,T2M,1993,    5.35,    3.45,    6.95,    9.23,   13.86,   17.24,   18.04,   20.69,   15.01,    9.79,    6.23,    6.34,   11.07
43.28719,-0.38963,T2M,1994,    3.77,    5.35,    9.45,    7.42,   14.18,   16.95,   22.36,   22.18,   15.04,   12.55,    9.87,    5.65,   12.12
43.28719,-0.38963,T2M,1995,    3.77,    7.00,    6.14,    9.15,   13.72,   16.29,   21.82,   20.25,   14.20,   15.33,    8.36,    5.39,   11.82
43.28719,-0.38963,T2M,1996,    6.39,    2.42,    6.44,    9.57,   12.66,   17.47,   19.40,   17.99,   14.17,   11.60,    7.15,    4.59,   10.85
43.28719,-0.38963,T2M,1997,    3.73,    7.89,    9.52,   10.48,   14.71,   15.87,   17.61,   21.20,   18.13,   14.26,    8.41,    5.12,   12.27
43.28719,-0.38963,T2M,1998,    4.74,    7.33,    8.02,    8.09,   13.60,   16.85,   18.83,   20.44,   16.51,   11.16,    5.38,    4.14,   11.28
43.28719,-0.38963,T2M,1999,    4.33,    2.75,    7.00,    9.54,   15.12,   16.12,   19.75,   20.23,   18.01,   12.88,    4.61,    4.38,   11.29
43.28719,-0.38963,T2M,2000,    2.25,    7.07,    7.05,    9.31,   14.92,   17.55,   18.36,   20.44,   17.71,   11.52,    7.20,    6.71,   11.69
43.28719,-0.38963,T2M,2001,    5.21,    4.40,    9.96,    8.41,   13.58,   17.15,   18.99,   21.04,   15.11,   15.81,    4.57,    1.78,   11.39
43.28719,-0.38963,T2M,2002,    5.74,    6.09,    8.59,   10.00,   12.66,   18.28,   18.91,   18.39,   16.31,   13.47,    8.49,    6.90,   12.02
43.28719,-0.38963,T2M,2003,    2.52,    2.88,    9.57,   10.82,   13.79,   22.06,   21.85,   24.94,   17.50,   11.40,    9.23,    4.89,   12.68
43.28719,-0.38963,T2M,2004,    4.87,    4.44,    5.71,    8.40,   12.62,   18.83,   19.79,   20.53,   17.97,   14.22,    5.96,    4.33,   11.50
43.28719,-0.38963,T2M,2005,    3.51,    0.74,    6.90,   10.03,   14.67,   20.00,   20.89,   19.14,   16.38,   14.42,    6.41,    1.83,   11.31
43.28719,-0.38963,T2M,2006,    2.41,    2.72,    8.25,   10.44,   14.65,   19.09,   23.40,   17.80,   18.73,   15.41,   10.03,    4.52,   12.34
43.28719,-0.38963,T2M,2007,    5.05,    6.73,    6.35,   12.19,   13.34,   16.75,   18.30,   18.58,   15.59,   11.54,    5.00,    3.95,   11.14
43.28719,-0.38963,T2M,2008,    5.90,    7.32,    6.24,    9.43,   13.79,   16.20,   18.48,   19.05,   15.55,   11.61,    5.53,    3.64,   11.07
43.28719,-0.38963,T2M,2009,    3.02,    3.77,    6.58,    8.73,   14.68,   17.82,   19.89,   21.35,   17.08,   13.32,    8.96,    3.81,   11.63
43.28719,-0.38963,T2M,2010,    1.98,    2.52,    5.58,   10.70,   11.30,   16.03,   20.47,   19.30,   16.19,   11.41,    6.41,    2.34,   10.40
43.28719,-0.38963,T2M,2011,    3.38,    5.53,    7.33,   12.94,   15.58,   16.55,   17.41,   20.63,   18.77,   13.55,   10.05,    6.02,   12.34
43.28719,-0.38963,T2M,2012,    4.29,   -1.01,    8.40,    7.92,   14.52,   17.92,   18.67,   22.11,   17.21,   13.18,    7.69,    5.40,   11.41
43.28719,-0.38963,T2M,2013,    3.83,    2.48,    6.40,    8.95,    9.81,   14.77,   21.17,   19.20,   17.11,   14.23,    5.59,    5.00,   10.77
