LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.00998,-0.64338,T2M,1981,    5.70,    4.94,   10.88,   12.13,   14.01,   18.04,   19.43,   21.09,   18.39,   13.95,    9.04,    7.91,   13.01
44.00998,-0.64338,T2M,1982,    8.40,    7.60,    8.29,   11.33,   14.82,   19.02,   21.59,   19.11,   19.23,   13.15,   10.06,    6.93,   13.32
44.00998,-0.64338,T2M,1983,    5.94,    5.14,    8.64,   10.71,   13.09,   18.76,   23.08,   20.26,   18.54,   14.10,   10.70,    5.89,   12.95
44.00998,-0.64338,T2M,1984,    6.79,    4.96,    6.72,   12.32,   11.89,   17.78,   20.84,   19.99,   16.59,   13.66,   11.20,    6.24,   12.43
44.00998,-0.64338,T2M,1985,    1.36,    8.11,    7.09,   11.91,   13.62,   17.55,   21.29,   19.07,   19.78,   15.18,    5.90,    6.37,   12.29
44.00998,-0.64338,T2M,1986,    6.58,    3.49,    8.35,    8.10,   15.33,   18.24,   20.63,   19.52,   18.26,   15.69,    9.36,    7.31,   12.64
44.00998,-0.64338,T2M,1987,    1.83,    5.89,    8.20,   13.31,   14.01,   17.46,   21.18,   21.63,   21.26,   15.04,    9.27,    7.55,   13.09
44.00998,-0.64338,T2M,1988,    9.06,    7.12,    8.20,   12.74,   15.61,   18.41,   19.48,   20.47,   18.04,   15.49,    9.39,    6.24,   13.38
44.00998,-0.64338,T2M,1989,    5.10,    7.90,   11.04,   10.12,   18.23,   20.42,   22.98,   22.09,   18.83,   15.45,   10.95,    9.78,   14.45
44.00998,-0.64338,T2M,1990,    7.11,   11.36,   10.40,   11.50,   18.64,   19.02,   23.17,   23.58,   20.11,   15.94,    9.47,    3.84,   14.53
44.00998,-0.64338,T2M,1991,    5.51,    5.71,   11.08,   10.99,   14.64,   17.85,   22.14,   24.28,   21.05,   12.31,    9.07,    5.43,   13.39
44.00998,-0.64338,T2M,1992,    3.20,    6.33,    9.23,   11.35,   17.51,   17.12,   21.34,   21.74,   17.33,   11.69,   11.62,    7.11,   12.99
44.00998,-0.64338,T2M,1993,    6.62,    5.55,    8.97,   11.69,   15.95,   19.28,   19.39,   21.00,   16.44,   12.41,    7.44,    9.06,   12.87
44.00998,-0.64338,T2M,1994,    6.99,    7.88,   11.11,   10.59,   16.07,   18.75,   22.63,   22.27,   16.78,   14.38,   11.74,    8.11,   13.98
44.00998,-0.64338,T2M,1995,    6.54,    9.24,    8.58,   11.28,   15.74,   18.09,   22.51,   21.60,   16.05,   16.79,    9.14,    7.18,   13.60
44.00998,-0.64338,T2M,1996,    8.77,    5.58,    8.68,   11.84,   14.71,   19.52,   20.66,   19.42,   15.92,   13.61,    9.34,    6.00,   12.86
44.00998,-0.64338,T2M,1997,    4.72,    9.41,   11.13,   12.61,   16.76,   17.86,   19.64,   22.76,   19.20,   15.39,   10.66,    7.39,   13.99
44.00998,-0.64338,T2M,1998,    6.95,    7.90,    9.93,   10.80,   16.15,   18.14,   19.59,   21.25,   17.87,   13.34,    7.28,    5.81,   12.95
44.00998,-0.64338,T2M,1999,    6.85,    5.93,   10.01,   12.01,   17.24,   18.12,   21.52,   21.43,   19.50,   14.49,    7.00,    7.10,   13.49
44.00998,-0.64338,T2M,2000,    4.33,    8.69,    8.84,   11.69,   16.80,   19.44,   19.72,   21.71,   18.88,   14.06,   10.15,    9.22,   13.64
44.00998,-0.64338,T2M,2001,    8.02,    7.10,   11.97,   11.00,   16.09,   19.04,   20.56,   22.18,   16.57,   17.29,    7.23,    3.26,   13.41
44.00998,-0.64338,T2M,2002,    7.28,    8.68,   11.08,   12.69,   15.30,   20.14,   20.62,   20.08,   18.38,   15.59,   11.38,    9.35,   14.24
44.00998,-0.64338,T2M,2003,    5.01,    5.30,   11.59,   13.78,   16.48,   23.73,   22.67,   26.03,   19.40,   13.52,   10.96,    7.34,   14.70
44.00998,-0.64338,T2M,2004,    7.26,    6.25,    8.13,   11.41,   15.73,   21.23,   21.12,   21.85,   19.73,   16.06,    8.15,    6.14,   13.61
44.00998,-0.64338,T2M,2005,    5.95,    3.88,    9.17,   12.28,   16.75,   21.77,   22.26,   21.03,   18.46,   16.47,    8.48,    3.87,   13.42
44.00998,-0.64338,T2M,2006,    4.67,    4.50,   10.22,   12.31,   16.36,   20.72,   24.78,   19.76,   20.73,   17.24,   11.86,    5.73,   14.13
44.00998,-0.64338,T2M,2007,    7.51,    9.40,    9.13,   14.98,   16.04,   18.89,   19.90,   20.11,   17.18,   13.21,    7.23,    5.83,   13.30
44.00998,-0.64338,T2M,2008,    7.81,    8.82,    9.09,   11.60,   16.26,   18.69,   20.21,   20.27,   16.73,   13.36,    8.59,    5.55,   13.09
44.00998,-0.64338,T2M,2009,    4.91,    6.01,    8.91,   11.45,   16.50,   19.75,   21.05,   22.04,   18.54,   14.80,   11.51,    6.26,   13.52
44.00998,-0.64338,T2M,2010,    3.77,    5.01,    7.89,   12.81,   14.30,   18.73,   22.09,   20.60,   17.94,   13.39,    9.31,    3.82,   12.51
