LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.5912,3.2584,T2M,1981,23.72,24.85,25.6,26.29,27.6,26.97,27.2,27.27,27.51,26.94,25.79,24.76,26.22
43.5912,3.2584,T2M,1982,24.91,25.17,26.21,26.93,26.61,26.97,26.73,27.36,27.23,27,26.14,25.13,26.37
43.5912,3.2584,T2M,1983,25.5,25.26,25.94,26.81,28.14,27.98,27.82,27.77,27.65,27.04,26.85,26.35,26.93
43.5912,3.2584,T2M,1984,25.43,25.51,26.14,27.04,27.22,26.98,27.22,27.43,26.86,26.5,25.86,24.95,26.43
43.5912,3.2584,T2M,1985,24.46,24.78,25.35,26.15,27.22,27.42,27.36,27.13,27.38,26.72,26.23,25.28,26.3
43.5912,3.2584,T2M,1986,24.82,24.92,25.57,26.53,27.14,26.22,26.79,27.31,27.19,27.04,26.56,25.79,26.33
43.5912,3.2584,T2M,1987,24.91,25.23,26.2,26.61,27.36,27.78,27.62,28.03,28.16,27.37,26.95,26.02,26.86
43.5912,3.2584,T2M,1988,25.31,25.45,26.17,27.18,27.52,27.81,27.51,27.61,26.97,27.12,26.47,25.34,26.71
43.5912,3.2584,T2M,1989,25.11,24.69,24.93,26.78,26.93,27.03,27.48,27.91,27.88,27.4,27.07,25.83,26.59
43.5912,3.2584,T2M,1990,25.78,25.53,25.59,26.82,27.31,27.27,27.56,27.89,28.03,27.53,26.09,25.22,26.72
43.5912,3.2584,T2M,1991,25.38,25.13,26.16,26.84,26.97,27.25,27.5,27.59,27.43,26.88,26.46,25.21,26.57
43.5912,3.2584,T2M,1992,25.15,25.45,26.22,27.11,26.62,27.42,27.59,27.67,27.17,27.29,26.98,25.93,26.72
43.5912,3.2584,T2M,1993,25.36,24.99,25.47,26.4,26.08,26.64,27.13,27.5,27.08,27.01,26.72,25.54,26.34
43.5912,3.2584,T2M,1994,25.1,25.35,25.88,26.67,27.42,27.49,27.57,27.57,27.53,27.08,26.41,25.57,26.64
43.5912,3.2584,T2M,1995,24.99,25.17,25.48,26.54,27.26,27.59,27.82,27.85,28.18,26.95,26.51,25.9,26.69
43.5912,3.2584,T2M,1996,24.95,24.88,25.17,26.44,26.72,27.51,27.5,27.42,27.93,26.99,26,24.46,26.33
43.5912,3.2584,T2M,1997,24.65,25.29,25.78,26.42,27.48,26.83,27.47,27.54,27.71,26.76,26.79,26.02,26.57
43.5912,3.2584,T2M,1998,25.8,25.25,25.83,26.51,27.69,28.4,27.84,28.26,27.68,27.08,26.3,25.51,26.85
43.5912,3.2584,T2M,1999,25.08,24.38,25.4,26.61,26.99,27.14,27.15,27.64,27.54,26.64,25.43,23.94,26.17
43.5912,3.2584,T2M,2000,23.71,24.15,24.64,26.31,26.96,27.1,27.35,27.4,26.87,26.6,25.91,25.23,26.02
43.5912,3.2584,T2M,2001,23.99,24.9,25.3,26.45,26.68,27.19,27.61,28.18,27.77,27.3,25.56,25.63,26.39
43.5912,3.2584,T2M,2002,25.05,25.19,26.07,26.37,26.83,26.55,27.33,27.62,27.15,26.82,26.77,26.15,26.5
