LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.07369,-0.79057,T2M,1981,    5.74,    4.49,   10.42,   11.62,   13.69,   17.08,   18.93,   21.20,   18.31,   13.85,    8.71,    7.63,   12.69
45.07369,-0.79057,T2M,1982,    8.21,    7.24,    8.08,   10.57,   14.34,   18.48,   21.14,   19.07,   19.16,   13.26,   10.43,    7.11,   13.12
45.07369,-0.79057,T2M,1983,    6.24,    4.79,    8.30,   10.27,   12.66,   18.01,   22.53,   20.09,   18.15,   14.02,   10.12,    5.78,   12.63
45.07369,-0.79057,T2M,1984,    6.95,    4.75,    6.60,   11.41,   11.77,   17.32,   20.47,   20.06,   16.48,   13.49,   11.13,    6.26,   12.24
45.07369,-0.79057,T2M,1985,    1.15,    7.07,    6.92,   11.33,   13.20,   16.81,   20.34,   18.54,   19.57,   14.91,    6.02,    6.32,   11.87
45.07369,-0.79057,T2M,1986,    6.68,    2.51,    8.06,    7.94,   14.21,   17.82,   20.32,   19.09,   17.64,   15.71,    9.53,    7.60,   12.33
45.07369,-0.79057,T2M,1987,    0.87,    5.45,    7.45,   12.55,   13.53,   16.86,   20.97,   21.14,   20.18,   14.72,    9.15,    7.10,   12.53
45.07369,-0.79057,T2M,1988,    9.16,    6.99,    8.14,   12.37,   15.24,   17.89,   18.54,   19.87,   17.75,   15.07,    8.82,    6.65,   13.06
45.07369,-0.79057,T2M,1989,    4.89,    7.64,   10.70,    9.91,   17.73,   20.11,   22.63,   21.57,   18.65,   15.25,   10.22,    8.84,   14.06
45.07369,-0.79057,T2M,1990,    7.24,   11.07,    9.96,   11.17,   18.22,   18.46,   22.73,   23.38,   19.14,   15.62,    9.51,    4.00,   14.23
45.07369,-0.79057,T2M,1991,    5.51,    5.04,   10.38,   10.60,   14.15,   16.96,   21.38,   23.62,   20.74,   12.55,    8.94,    5.07,   12.96
