LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.625,1.66578,T2M,1981,    2.03,    2.14,    8.76,   10.61,   12.03,   16.25,   17.41,   19.09,   16.40,   11.13,    6.36,    3.94,   10.56
44.625,1.66578,T2M,1982,    5.72,    5.78,    5.52,    9.36,   13.19,   17.68,   20.72,   17.74,   17.42,   10.78,    7.92,    3.91,   11.34
44.625,1.66578,T2M,1983,    3.65,    2.47,    6.44,    8.80,   11.45,   17.28,   22.36,   18.87,   16.83,   11.84,    8.74,    3.84,   11.10
44.625,1.66578,T2M,1984,    3.26,    2.44,    4.63,    9.70,   10.27,   16.48,   19.61,   18.62,   14.52,   11.72,    9.60,    3.48,   10.38
44.625,1.66578,T2M,1985,   -2.74,    5.72,    4.38,    9.96,   12.08,   15.79,   20.16,   18.74,   19.56,   14.35,    3.29,    4.02,   10.46
44.625,1.66578,T2M,1986,    2.71,    0.82,    5.61,    6.25,   14.49,   17.41,   20.45,   19.82,   17.86,   14.05,    7.30,    4.35,   11.00
44.625,1.66578,T2M,1987,   -1.30,    3.41,    5.29,   11.02,   11.95,   16.01,   20.18,   21.28,   20.20,   13.47,    6.42,    5.84,   11.19
44.625,1.66578,T2M,1988,    6.13,    4.00,    5.44,   10.78,   14.13,   16.78,   18.27,   19.49,   16.25,   13.59,    6.68,    3.56,   11.28
44.625,1.66578,T2M,1989,    3.76,    5.57,    8.67,    8.18,   16.05,   18.29,   22.39,   21.86,   17.44,   13.21,    8.13,    6.84,   12.58
44.625,1.66578,T2M,1990,    4.63,    8.56,    8.48,    9.17,   17.01,   18.22,   23.41,   23.16,   18.23,   14.04,    6.45,    0.64,   12.70
44.625,1.66578,T2M,1991,    3.28,    2.93,    9.51,    8.79,   12.93,   17.54,   22.77,   24.33,   19.60,   10.53,    6.29,    3.05,   11.86
44.625,1.66578,T2M,1992,    1.54,    4.37,    7.42,    9.81,   15.95,   16.03,   20.44,   21.94,   16.20,    9.65,    8.83,    5.26,   11.48
44.625,1.66578,T2M,1993,    4.36,    3.45,    6.77,   10.03,   14.50,   17.65,   18.11,   20.26,   14.63,   10.57,    5.14,    5.34,   10.95
44.625,1.66578,T2M,1994,    3.63,    4.50,    9.08,    8.17,   14.66,   16.98,   21.30,   20.87,   15.01,   12.11,    9.81,    5.08,   11.82
44.625,1.66578,T2M,1995,    3.02,    6.47,    5.57,    9.63,   13.66,   16.35,   21.38,   20.71,   13.95,   14.99,    6.98,    4.88,   11.50
44.625,1.66578,T2M,1996,    6.96,    2.41,    6.17,    9.99,   13.17,   17.87,   19.87,   18.33,   14.44,   11.07,    6.09,    4.89,   10.97
44.625,1.66578,T2M,1997,    3.40,    6.72,    9.23,   10.45,   14.96,   16.42,   18.93,   22.70,   18.19,   13.42,    8.60,    4.71,   12.35
44.625,1.66578,T2M,1998,    4.67,    6.17,    7.33,    8.42,   14.40,   16.95,   19.49,   21.08,   16.18,   10.90,    4.03,    2.94,   11.08
44.625,1.66578,T2M,1999,    4.13,    2.65,    7.57,    9.94,   15.77,   16.40,   20.40,   20.47,   18.20,   12.29,    4.56,    3.55,   11.39
44.625,1.66578,T2M,2000,    1.98,    5.99,    6.81,   10.11,   15.12,   18.14,   18.40,   21.46,   17.82,   11.60,    7.43,    6.72,   11.81
44.625,1.66578,T2M,2001,    4.85,    4.25,    9.51,    8.38,   14.71,   17.19,   19.46,   21.13,   14.51,   15.37,    4.75,    0.78,   11.30
44.625,1.66578,T2M,2002,    4.27,    5.99,    8.84,   11.13,   13.60,   20.20,   20.52,   19.75,   16.27,   12.92,    8.34,    6.14,   12.37
44.625,1.66578,T2M,2003,    1.53,    2.74,    8.97,   11.78,   15.50,   24.53,   23.39,   26.84,   17.32,   10.88,    8.79,    4.36,   13.11
44.625,1.66578,T2M,2004,    3.53,    3.97,    5.79,    9.20,   13.53,   19.15,   20.65,   20.46,   18.08,   14.12,    5.61,    3.95,   11.53
44.625,1.66578,T2M,2005,    3.07,    0.94,    6.34,   10.30,   14.79,   20.46,   21.42,   19.77,   16.71,   14.71,    5.94,    0.71,   11.32
44.625,1.66578,T2M,2006,    2.66,    2.35,    7.29,   10.41,   14.23,   19.16,   24.23,   17.90,   18.80,   14.96,    9.19,    3.70,   12.13
44.625,1.66578,T2M,2007,    4.89,    6.62,    6.84,   13.91,   14.51,   17.42,   18.00,   18.44,   15.15,   11.50,    4.76,    3.31,   11.30
44.625,1.66578,T2M,2008,    5.03,    6.40,    5.99,    9.41,   14.87,   17.21,   18.76,   19.06,   15.20,   11.22,    5.82,    2.06,   10.93
44.625,1.66578,T2M,2009,    1.88,    3.31,    6.55,   10.37,   15.74,   18.18,   20.27,   21.60,   17.49,   12.55,    8.75,    2.93,   11.68
44.625,1.66578,T2M,2010,    0.21,    2.60,    5.63,   11.06,   12.23,   17.22,   21.09,   19.64,   15.98,   11.01,    5.98,    1.49,   10.38
44.625,1.66578,T2M,2011,    2.66,    4.45,    7.82,   13.09,   16.60,   17.70,   18.33,   21.25,   19.06,   13.58,   10.18,    5.95,   12.60
44.625,1.66578,T2M,2012,    3.75,   -1.58,    8.94,    8.87,   14.76,   18.25,   19.01,   22.37,   17.01,   13.35,    7.93,    4.51,   11.49
44.625,1.66578,T2M,2013,    1.88,    1.90,    6.32,    9.46,   10.84,   15.82,   21.84,   19.80,   17.02,   13.89,    5.58,    4.31,   10.78
44.625,1.66578,T2M,2014,    5.68,    5.50,    8.02,   11.60,   12.78,   18.95,   19.39,   18.02,   18.40,   15.09,   10.33,    3.44,   12.29
44.625,1.66578,T2M,2015,    3.09,    2.51,    7.82,   11.64,   14.66,   20.20,   23.65,   21.20,   15.50,   11.47,    9.18,    7.79,   12.45
44.625,1.66578,T2M,2016,    5.51,    5.48,    6.15,    9.70,   13.22,   17.03,   19.79,   20.82,   18.92,   11.84,    7.64,    5.57,   11.82
44.625,1.66578,T2M,2017,    1.24,    7.14,    9.37,   10.45,   15.10,   20.32,   20.61,   21.50,   15.11,   13.37,    5.91,    2.80,   11.94
44.625,1.66578,T2M,2018,    6.50,    1.36,    6.34,   12.10,   14.86,   18.73,   21.93,   22.38,   19.46,   13.24,    8.59,    6.00,   12.69
44.625,1.66578,T2M,2019,    1.24,    6.27,    8.20,    9.96,   12.57,   19.49,   23.83,   21.98,   18.55,   14.08,    6.88,    6.56,   12.50
44.625,1.66578,RH2M,1981,   90.16,   84.70,   86.06,   77.03,   82.20,   77.50,   80.21,   73.07,   76.93,   86.43,   83.43,   92.76,   82.57
44.625,1.66578,RH2M,1982,   92.29,   88.12,   84.65,   74.64,   77.36,   78.42,   73.58,   76.43,   77.18,   88.86,   91.37,   95.17,   83.16
44.625,1.66578,RH2M,1983,   90.72,   88.69,   87.26,   84.49,   83.16,   78.20,   72.82,   76.20,   75.59,   77.36,   84.32,   86.99,   82.11
44.625,1.66578,RH2M,1984,   93.36,   85.48,   81.64,   71.17,   79.80,   77.03,   64.46,   67.62,   74.64,   82.07,   87.72,   91.70,   79.72
44.625,1.66578,RH2M,1985,   88.51,   85.38,   83.32,   78.52,   80.06,   77.61,   72.04,   62.87,   51.48,   61.84,   82.00,   86.24,   75.78
44.625,1.66578,RH2M,1986,   92.03,   83.70,   81.86,   82.39,   77.34,   72.73,   60.13,   56.25,   63.06,   76.32,   87.27,   89.36,   76.82
44.625,1.66578,RH2M,1987,   85.92,   87.62,   80.82,   74.97,   72.84,   74.23,   70.47,   56.20,   61.46,   83.44,   89.56,   89.85,   77.22
44.625,1.66578,RH2M,1988,   92.35,   85.24,   86.49,   80.96,   81.60,   77.86,   75.36,   71.72,   69.57,   77.33,   81.95,   92.33,   81.08
44.625,1.66578,RH2M,1989,   86.52,   80.04,   76.05,   80.42,   68.06,   59.90,   52.06,   51.33,   57.06,   69.26,   79.04,   81.40,   70.02
44.625,1.66578,RH2M,1990,   81.60,   83.67,   68.35,   74.48,   61.89,   60.61,   42.42,   43.37,   53.00,   74.28,   89.14,   89.46,   68.39
44.625,1.66578,RH2M,1991,   84.80,   80.35,   75.51,   67.52,   59.52,   59.35,   47.20,   44.36,   60.82,   77.96,   88.84,   84.72,   69.16
44.625,1.66578,RH2M,1992,   85.78,   79.83,   79.81,   73.96,   68.23,   76.53,   68.12,   60.71,   69.93,   87.93,   92.24,   91.68,   77.88
44.625,1.66578,RH2M,1993,   90.00,   78.58,   76.66,   80.37,   76.25,   76.61,   73.08,   63.38,   76.37,   83.62,   83.78,   95.13,   79.50
44.625,1.66578,RH2M,1994,   92.35,   90.17,   85.14,   83.35,   77.72,   77.09,   74.02,   70.72,   79.64,   83.26,   90.74,   92.53,   83.01
44.625,1.66578,RH2M,1995,   90.09,   88.52,   83.92,   78.25,   72.48,   73.89,   66.04,   60.67,   73.88,   79.07,   79.57,   88.35,   77.82
44.625,1.66578,RH2M,1996,   88.76,   86.91,   76.38,   74.51,   77.40,   69.88,   64.50,   67.71,   63.18,   80.63,   89.82,   88.56,   77.33
44.625,1.66578,RH2M,1997,   89.17,   83.54,   74.42,   64.61,   74.33,   77.17,   70.35,   63.89,   60.44,   70.94,   87.83,   90.46,   75.56
44.625,1.66578,RH2M,1998,   89.07,   79.05,   75.09,   83.58,   72.95,   74.15,   67.30,   53.28,   72.50,   85.37,   85.93,   89.79,   77.30
44.625,1.66578,RH2M,1999,   90.24,   89.67,   80.93,   80.42,   79.25,   73.60,   67.98,   67.63,   71.05,   79.99,   85.96,   91.08,   79.76
44.625,1.66578,RH2M,2000,   89.00,   85.02,   77.72,   78.31,   76.85,   73.54,   66.15,   57.10,   62.45,   81.67,   93.64,   90.37,   77.62
44.625,1.66578,RH2M,2001,   91.23,   83.66,   86.81,   79.49,   77.95,   69.91,   70.67,   59.59,   69.16,   74.96,   83.57,   83.71,   77.53
44.625,1.66578,RH2M,2002,   86.26,   84.95,   70.80,   66.02,   66.52,   58.74,   55.21,   62.13,   63.42,   77.01,   89.36,   91.82,   72.62
44.625,1.66578,RH2M,2003,   87.26,   79.46,   69.19,   66.01,   64.50,   51.05,   46.10,   42.90,   61.29,   77.52,   85.24,   89.05,   68.23
44.625,1.66578,RH2M,2004,   90.32,   79.70,   76.58,   78.87,   72.74,   62.88,   57.73,   67.75,   62.33,   80.39,   87.35,   90.43,   75.60
44.625,1.66578,RH2M,2005,   86.83,   80.63,   76.90,   76.67,   70.21,   63.91,   57.18,   53.74,   69.33,   79.39,   83.30,   88.74,   73.85
