LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
-5.85418,-35.2034,T2M,1981,   27.21,   27.35,   26.88,   26.85,   26.39,   25.64,   25.16,   25.40,   25.71,   26.65,   27.18,   27.12,   26.46
-5.85418,-35.2034,T2M,1982,   27.21,   27.02,   27.41,   27.31,   26.64,   25.87,   25.17,   24.95,   25.69,   26.09,   26.59,   26.98,   26.41
-5.85418,-35.2034,T2M,1983,   27.44,   27.29,   27.79,   27.66,   26.99,   26.12,   25.40,   25.48,   25.94,   26.14,   26.74,   26.94,   26.65
-5.85418,-35.2034,T2M,1984,   27.01,   27.52,   27.14,   26.57,   25.89,   25.46,   24.88,   24.97,   25.64,   26.29,   26.70,   27.16,   26.26
-5.85418,-35.2034,T2M,1985,   26.73,   26.39,   26.38,   26.35,   26.20,   25.62,   24.74,   24.73,   24.89,   25.80,   26.32,   26.35,   25.87
-5.85418,-35.2034,T2M,1986,   26.86,   26.18,   26.05,   26.31,   26.33,   25.17,   24.78,   24.52,   24.96,   25.73,   26.07,   26.48,   25.78
-5.85418,-35.2034,T2M,1987,   26.93,   27.02,   26.97,   27.05,   26.98,   25.93,   25.45,   25.84,   26.09,   26.64,   27.25,   27.77,   26.66
-5.85418,-35.2034,T2M,1988,   27.62,   27.73,   27.60,   27.14,   26.55,   25.80,   25.03,   24.65,   25.22,   26.47,   26.92,   27.01,   26.47
-5.85418,-35.2034,T2M,1989,   27.04,   27.34,   27.39,   26.21,   26.23,   25.84,   25.05,   24.97,   25.73,   26.51,   26.95,   27.03,   26.35
-5.85418,-35.2034,T2M,1990,   27.03,   27.01,   27.57,   27.67,   26.82,   26.08,   25.56,   25.07,   25.80,   26.30,   26.83,   27.17,   26.57
-5.85418,-35.2034,T2M,1991,   27.43,   27.43,   27.23,   26.94,   26.73,   26.01,   25.07,   24.87,   25.56,   25.65,   26.44,   26.91,   26.35
-5.85418,-35.2034,T2M,1992,   26.77,   26.51,   26.70,   26.61,   26.64,   25.53,   25.04,   24.95,   25.38,   25.88,   26.25,   26.66,   26.08
-5.85418,-35.2034,T2M,1993,   26.68,   27.42,   27.38,   27.09,   26.96,   26.01,   25.26,   25.72,   26.22,   26.66,   27.02,   27.18,   26.63
-5.85418,-35.2034,T2M,1994,   27.14,   27.43,   27.38,   26.58,   26.60,   25.75,   25.02,   24.92,   25.51,   26.08,   26.60,   26.71,   26.30
-5.85418,-35.2034,T2M,1995,   26.90,   27.03,   27.27,   26.69,   26.44,   25.81,   24.85,   24.88,   25.35,   26.10,   26.31,   27.24,   26.24
-5.85418,-35.2034,T2M,1996,   27.37,   27.67,   27.07,   26.64,   26.59,   25.62,   25.15,   25.33,   25.72,   26.39,   26.77,   27.30,   26.46
-5.85418,-35.2034,T2M,1997,   27.41,   27.25,   27.00,   26.58,   26.20,   25.90,   25.43,   25.15,   25.89,   26.63,   27.15,   27.41,   26.49
-5.85418,-35.2034,T2M,1998,   27.73,   28.28,   28.58,   28.79,   27.86,   26.40,   25.66,   25.33,   26.30,   26.87,   27.35,   27.46,   27.21
-5.85418,-35.2034,T2M,1999,   27.56,   27.64,   27.20,   27.41,   26.62,   26.10,   25.91,   25.57,   26.10,   26.48,   27.29,   27.35,   26.76
-5.85418,-35.2034,T2M,2000,   27.35,   27.39,   27.75,   27.26,   26.66,   25.94,   25.06,   24.99,   25.63,   26.11,   26.73,   26.86,   26.47
-5.85418,-35.2034,T2M,2001,   27.26,   27.71,   27.67,   26.92,   27.48,   26.17,   25.61,   25.24,   25.97,   26.75,   27.37,   27.57,   26.80
-5.85418,-35.2034,T2M,2002,   26.87,   27.23,   26.99,   26.85,   27.05,   25.97,   25.58,   25.35,   26.11,   26.65,   26.92,   27.63,   26.60
-5.85418,-35.2034,T2M,2003,   27.57,   27.50,   27.12,   27.09,   27.06,   26.03,   25.46,   25.86,   26.43,   27.08,   27.39,   27.71,   26.86
-5.85418,-35.2034,T2M,2004,   27.03,   27.05,   27.23,   27.39,   26.83,   26.05,   25.29,   25.46,   26.03,   26.72,   27.03,   27.27,   26.61
-5.85418,-35.2034,T2M,2005,   27.88,   28.21,   28.20,   27.85,   27.40,   25.99,   25.29,   25.33,   25.72,   26.23,   26.89,   27.38,   26.86
-5.85418,-35.2034,T2M,2006,   27.59,   27.81,   27.80,   27.26,   26.98,   26.22,   25.85,   25.81,   26.25,   26.88,   27.17,   27.57,   26.93
-5.85418,-35.2034,T2M,2007,   27.51,   27.63,   27.77,   27.67,   26.86,   25.94,   25.30,   25.20,   25.49,   26.21,   26.78,   27.46,   26.65
-5.85418,-35.2034,T2M,2008,   27.42,   27.92,   27.43,   26.74,   26.68,   25.77,   25.32,   25.51,   26.25,   26.78,   27.24,   27.49,   26.71
-5.85418,-35.2034,T2M,2009,   27.37,   27.18,   27.06,   26.93,   26.58,   26.05,   25.66,   25.39,   25.80,   26.34,   26.93,   27.30,   26.54
-5.85418,-35.2034,T2M,2010,   27.35,   28.05,   28.57,   28.12,   27.85,   27.06,   26.29,   25.67,   26.03,   27.11,   27.47,   27.42,   27.24
-5.85418,-35.2034,T2M,2011,   26.85,   27.18,   27.27,   26.85,   26.49,   25.90,   25.31,   25.39,   25.54,   26.56,   27.00,   27.31,   26.47
-5.85418,-35.2034,T2M,2012,   27.25,   26.97,   27.28,   27.62,   27.28,   26.18,   25.21,   25.31,   25.96,   26.40,   27.14,   27.47,   26.67
-5.85418,-35.2034,T2M,2013,   27.71,   27.88,   28.22,   28.08,   27.02,   26.22,   25.41,   25.63,   25.74,   26.68,   26.79,   27.32,   26.88
-5.85418,-35.2034,T2M,2014,   27.35,   27.31,   27.50,   27.61,   27.14,   26.32,   25.59,   25.61,   26.03,   26.56,   27.02,   27.15,   26.76
-5.85418,-35.2034,T2M,2015,   27.22,   27.53,   27.07,   27.38,   27.48,   26.60,   25.74,   25.71,   26.45,   26.75,   27.22,   27.45,   26.88
-5.85418,-35.2034,T2M,2016,   27.12,   27.50,   28.08,   27.69,   26.95,   26.33,   25.98,   26.18,   26.43,   27.05,   27.35,   27.56,   27.02
-5.85418,-35.2034,T2M,2017,   27.60,   27.62,   27.60,   27.45,   27.06,   26.67,   25.14,   25.41,   25.79,   26.62,   27.12,   27.45,   26.79
-5.85418,-35.2034,T2M,2018,   27.33,   27.10,   27.38,   26.75,   26.39,   25.85,   25.30,   25.74,   26.12,   27.08,   27.51,   27.58,   26.68
-5.85418,-35.2034,T2M,2019,   27.82,   27.78,   27.48,   27.34,   27.22,   26.30,   25.59,   25.50,   26.15,   26.76,   27.40,   27.74,   26.92
-5.85418,-35.2034,RH2M,1981,   75.03,   74.60,   80.20,   79.78,   81.83,   79.14,   75.49,   73.57,   71.70,   71.60,   71.56,   76.55,   75.94
-5.85418,-35.2034,RH2M,1982,   73.16,   76.86,   77.83,   77.98,   77.75,   78.01,   78.70,   75.40,   74.20,   70.25,   72.74,   72.70,   75.45
-5.85418,-35.2034,RH2M,1983,   72.40,   78.02,   76.35,   76.97,   77.65,   75.61,   74.28,   74.84,   71.35,   71.15,   69.98,   70.98,   74.11
-5.85418,-35.2034,RH2M,1984,   72.67,   74.24,   78.94,   84.07,   85.90,   81.51,   81.18,   76.38,   75.52,   74.32,   72.53,   71.66,   77.41
-5.85418,-35.2034,RH2M,1985,   79.34,   79.50,   84.12,   83.35,   83.87,   83.40,   84.71,   81.21,   78.80,   73.86,   73.63,   76.13,   80.17
-5.85418,-35.2034,RH2M,1986,   75.41,   81.96,   82.80,   85.75,   82.81,   84.24,   81.61,   79.52,   80.48,   74.28,   76.73,   77.31,   80.21
-5.85418,-35.2034,RH2M,1987,   76.50,   77.26,   79.29,   82.29,   77.71,   80.10,   79.35,   72.58,   70.12,   68.53,   69.95,   69.35,   75.23
-5.85418,-35.2034,RH2M,1988,   73.78,   74.68,   78.79,   83.20,   82.81,   80.93,   82.28,   78.90,   74.07,   71.05,   71.68,   72.76,   77.09
-5.85418,-35.2034,RH2M,1989,   73.09,   72.39,   74.01,   85.81,   84.00,   83.16,   84.34,   79.17,   73.72,   72.08,   73.11,   75.61,   77.57
-5.85418,-35.2034,RH2M,1990,   72.71,   75.86,   74.15,   75.70,   78.41,   79.68,   78.60,   77.33,   72.23,   72.33,   72.57,   69.64,   74.93
-5.85418,-35.2034,RH2M,1991,   71.87,   73.60,   78.07,   79.86,   80.83,   78.93,   76.41,   73.91,   72.48,   70.70,   70.84,   69.77,   74.77
-5.85418,-35.2034,RH2M,1992,   76.23,   81.58,   81.23,   81.41,   75.65,   79.79,   73.49,   74.30,   69.95,   68.30,   71.22,   71.92,   75.39
-5.85418,-35.2034,RH2M,1993,   73.02,   70.66,   71.63,   76.92,   75.74,   75.62,   75.06,   71.20,   69.24,   69.39,   70.58,   70.68,   72.49
-5.85418,-35.2034,RH2M,1994,   74.41,   73.13,   77.98,   83.18,   82.51,   83.73,   80.09,   77.85,   73.45,   69.96,   69.90,   74.13,   76.71
-5.85418,-35.2034,RH2M,1995,   74.96,   77.21,   77.75,   84.53,   82.80,   81.51,   81.33,   74.46,   71.32,   69.87,   73.76,   70.49,   76.65
-5.85418,-35.2034,RH2M,1996,   72.33,   71.81,   80.09,   83.52,   80.22,   80.19,   77.88,   77.31,   73.40,   70.77,   72.36,   71.34,   75.94
-5.85418,-35.2034,RH2M,1997,   71.84,   72.28,   79.21,   82.26,   79.71,   72.44,   73.28,   73.21,   68.34,   68.79,   68.99,   72.05,   73.55
-5.85418,-35.2034,RH2M,1998,   76.53,   73.48,   74.51,   71.76,   72.84,   75.16,   77.52,   74.43,   68.38,   68.54,   69.35,   68.38,   72.58
-5.85418,-35.2034,RH2M,1999,   70.89,   72.46,   76.82,   74.72,   78.86,   75.06,   70.14,   70.12,   69.94,   68.07,   68.23,   72.58,   72.33
-5.85418,-35.2034,RH2M,2000,   73.71,   75.71,   74.27,   80.05,   79.32,   80.99,   83.51,   79.21,   77.46,   72.11,   70.91,   73.66,   76.74
-5.85418,-35.2034,RH2M,2001,   70.84,   71.09,   73.64,   80.04,   72.85,   77.79,   76.19,   72.20,   70.67,   69.58,   68.99,   73.79,   73.14
-5.85418,-35.2034,RH2M,2002,   79.49,   76.54,   79.95,   80.39,   78.98,   80.22,   78.91,   75.10,   66.88,   70.39,   70.66,   71.77,   75.78
-5.85418,-35.2034,RH2M,2003,   72.58,   77.13,   81.35,   81.24,   79.65,   80.32,   76.76,   72.74,   70.17,   67.76,   69.26,   70.93,   74.97
-5.85418,-35.2034,RH2M,2004,   79.55,   81.48,   78.99,   78.08,   79.36,   81.48,   82.02,   76.67,   72.60,   69.95,   69.06,   69.15,   76.52
-5.85418,-35.2034,RH2M,2005,   70.62,   72.86,   74.57,   77.64,   79.88,   83.84,   79.99,   76.94,   73.09,   71.34,   70.83,   70.80,   75.21
-5.85418,-35.2034,RH2M,2006,   69.79,   72.73,   75.71,   82.56,   81.99,   79.86,   77.51,   73.82,   71.49,   69.43,   70.45,   70.88,   74.69
-5.85418,-35.2034,RH2M,2007,   74.14,   76.76,   75.78,   78.26,   79.78,   81.25,   79.39,   76.18,   73.54,   71.68,   70.99,   69.67,   75.61
-5.85418,-35.2034,RH2M,2008,   73.30,   71.47,   77.21,   82.67,   82.67,   81.00,   80.76,   77.47,   74.19,   71.57,   70.01,   70.25,   76.06
-5.85418,-35.2034,RH2M,2009,   73.94,   77.23,   81.13,   83.56,   85.18,   84.16,   82.40,   80.64,   77.64,   71.96,   71.75,   74.59,   78.69
-5.85418,-35.2034,RH2M,2010,   76.33,   76.83,   74.35,   79.63,   77.15,   75.45,   76.70,   74.75,   71.72,   70.28,   68.69,   72.17,   74.49
-5.85418,-35.2034,RH2M,2011,   78.52,   78.64,   79.81,   83.21,   85.86,   84.46,   83.14,   79.10,   76.04,   72.65,   72.01,   70.62,   78.67
-5.85418,-35.2034,RH2M,2012,   72.43,   75.92,   76.00,   74.61,   73.45,   79.31,   80.03,   74.97,   70.69,   70.74,   68.61,   70.22,   73.91
-5.85418,-35.2034,RH2M,2013,   71.22,   72.27,   72.12,   74.31,   79.27,   81.40,   82.46,   77.58,   76.22,   70.55,   71.87,   71.36,   75.07
