LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
47.23155,2.48864,T2M,1981,    1.75,    1.31,    8.66,    9.97,   12.29,   15.28,   17.70,   18.54,   16.15,   10.59,    5.64,    3.24,   10.15
47.23155,2.48864,T2M,1982,    4.35,    4.61,    5.39,    8.33,   13.31,   17.71,   19.79,   17.99,   17.79,   10.76,    7.80,    3.92,   11.01
47.23155,2.48864,T2M,1983,    4.31,    1.39,    6.23,    8.61,   11.08,   17.60,   21.65,   18.69,   15.70,   10.88,    5.99,    2.81,   10.47
47.23155,2.48864,T2M,1984,    3.28,    2.21,    4.42,    8.98,   10.51,   16.34,   19.40,   18.81,   14.54,   11.19,    8.99,    3.06,   10.16
47.23155,2.48864,T2M,1985,   -2.72,    2.35,    4.20,    9.34,   12.34,   15.23,   19.47,   17.50,   17.38,   11.55,    2.66,    3.60,    9.45
47.23155,2.48864,T2M,1986,    2.82,   -2.06,    5.01,    6.25,   13.59,   17.93,   19.56,   18.35,   14.52,   13.33,    6.85,    4.11,   10.11
47.23155,2.48864,T2M,1987,   -3.83,    2.18,    3.91,   10.88,   11.63,   15.77,   19.19,   19.19,   18.59,   12.29,    6.05,    3.53,    9.98
47.23155,2.48864,T2M,1988,    6.23,    4.01,    5.66,   10.40,   14.23,   16.71,   17.61,   19.43,   15.87,   12.42,    5.25,    4.88,   11.09
47.23155,2.48864,T2M,1989,    2.66,    4.74,    9.27,    8.22,   16.34,   17.86,   21.10,   20.36,   16.86,   13.15,    5.84,    4.56,   11.80
47.23155,2.48864,T2M,1990,    4.03,    8.26,    8.11,    8.89,   16.63,   17.45,   21.61,   23.09,   16.60,   13.75,    6.52,    1.56,   12.24
47.23155,2.48864,T2M,1991,    2.94,    0.88,    9.09,    9.14,   12.60,   16.42,   21.99,   22.63,   18.91,   10.44,    5.96,    1.77,   11.13
47.23155,2.48864,T2M,1992,    0.76,    3.60,    7.47,    9.49,   16.20,   17.19,   21.07,   21.22,   15.74,    8.85,    8.46,    3.99,   11.19
47.23155,2.48864,T2M,1993,    4.83,    2.40,    6.56,   10.77,   14.63,   18.03,   18.55,   19.05,   14.26,    9.40,    2.98,    5.13,   10.61
47.23155,2.48864,T2M,1994,    4.46,    4.36,    8.74,    8.61,   13.91,   17.23,   22.09,   20.55,   14.72,   11.78,    9.47,    5.89,   11.87
47.23155,2.48864,T2M,1995,    3.55,    6.79,    5.60,    9.22,   13.61,   15.88,   21.63,   20.55,   14.30,   14.84,    5.97,    2.68,   11.25
47.23155,2.48864,T2M,1996,    4.70,    1.88,    5.30,    9.75,   12.40,   18.00,   19.28,   18.81,   13.87,   11.15,    5.87,    1.57,   10.24
47.23155,2.48864,T2M,1997,   -0.40,    5.94,    8.31,    9.23,   13.67,   16.62,   18.72,   22.69,   16.79,   11.16,    7.98,    4.44,   11.29
47.23155,2.48864,T2M,1998,    3.67,    4.14,    7.10,    8.60,   14.65,   17.08,   18.76,   20.34,   15.94,   10.83,    3.66,    3.22,   10.71
47.23155,2.48864,T2M,1999,    4.37,    3.18,    7.50,    9.83,   15.41,   16.29,   20.37,   19.55,   17.99,   11.60,    4.29,    4.11,   11.26
47.23155,2.48864,T2M,2000,    2.08,    5.60,    6.29,    9.45,   15.04,   17.58,   17.30,   20.05,   16.65,   11.15,    7.56,    6.30,   11.27
47.23155,2.48864,T2M,2001,    4.27,    4.25,    8.33,    8.34,   14.93,   16.49,   19.22,   19.95,   13.55,   14.46,    4.09,    0.72,   10.77
47.23155,2.48864,T2M,2002,    3.40,    6.13,    7.86,    9.97,   13.10,   18.29,   18.68,   18.45,   14.80,   11.69,    8.34,    6.06,   11.43
47.23155,2.48864,T2M,2003,    1.22,    1.83,    8.19,   10.38,   14.11,   21.11,   20.89,   24.60,   16.34,    9.30,    7.55,    3.58,   11.65
47.23155,2.48864,T2M,2004,    3.47,    3.31,    5.31,    9.60,   13.00,   18.00,   19.23,   19.63,   16.84,   12.52,    5.71,    2.40,   10.77
47.23155,2.48864,T2M,2005,    3.37,    1.33,    6.38,   10.34,   14.37,   19.49,   20.56,   18.87,   17.05,   14.94,    4.79,    1.37,   11.13
47.23155,2.48864,T2M,2006,    1.48,    1.60,    5.72,    9.88,   13.79,   18.75,   24.00,   17.55,   18.86,   14.09,    8.34,    3.47,   11.51
47.23155,2.48864,T2M,2007,    5.71,    6.80,    6.67,   13.81,   14.94,   17.53,   17.59,   17.57,   14.45,   10.61,    4.92,    2.91,   11.14
47.23155,2.48864,T2M,2008,    4.69,    5.32,    6.02,    8.50,   15.59,   17.05,   18.52,   18.60,   13.69,   10.51,    6.35,    1.64,   10.56
47.23155,2.48864,T2M,2009,   -0.15,    2.45,    5.89,   11.26,   15.01,   17.31,   19.51,   20.97,   16.20,   11.64,    8.72,    2.86,   11.02
