LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
46.03229,4.23435,T2M,1981,   -0.49,   -0.24,    7.37,    9.29,   11.73,   15.08,   17.07,   18.02,   15.45,    9.86,    4.12,    2.02,    9.16
46.03229,4.23435,T2M,1982,    3.28,    2.87,    4.08,    7.17,   12.90,   17.21,   20.53,   17.83,   17.56,    9.67,    6.61,    2.20,   10.20
46.03229,4.23435,T2M,1983,    2.59,   -0.06,    4.91,    7.97,   10.82,   16.93,   22.08,   19.01,   15.45,   10.00,    4.66,    1.55,    9.72
46.03229,4.23435,T2M,1984,    1.61,    0.44,    3.26,    7.63,    9.67,   15.22,   19.03,   18.25,   13.72,   10.02,    7.71,    2.11,    9.08
46.03229,4.23435,T2M,1985,   -4.65,    1.26,    2.96,    8.29,   11.87,   14.80,   19.84,   18.68,   17.79,   11.52,    1.40,    2.50,    8.90
46.03229,4.23435,T2M,1986,    1.11,   -2.45,    3.95,    5.68,   13.85,   17.19,   19.98,   19.09,   15.55,   12.38,    6.00,    2.31,    9.64
46.03229,4.23435,T2M,1987,   -4.42,    1.09,    2.78,    9.57,   10.67,   15.19,   19.36,   19.19,   18.40,   11.68,    4.87,    2.74,    9.30
46.03229,4.23435,T2M,1988,    4.44,    2.14,    4.15,    9.59,   13.59,   15.96,   18.31,   19.97,   15.36,   11.53,    3.72,    2.83,   10.16
46.03229,4.23435,T2M,1989,    1.60,    3.53,    7.67,    7.32,   14.79,   16.60,   20.70,   20.08,   15.94,   11.47,    4.64,    3.23,   10.68
46.03229,4.23435,T2M,1990,    2.39,    7.14,    6.77,    7.45,   15.88,   17.23,   20.87,   21.64,   15.48,   12.90,    4.88,   -0.77,   11.02
46.03229,4.23435,T2M,1991,    1.33,    0.55,    8.01,    7.61,   11.04,   16.74,   22.08,   22.25,   18.31,    8.97,    4.43,    0.06,   10.17
46.03229,4.23435,T2M,1992,   -0.97,    2.01,    5.77,    8.49,   14.85,   15.79,   20.09,   21.93,   15.56,    8.04,    7.05,    2.85,   10.15
46.03229,4.23435,T2M,1993,    3.08,    0.78,    4.67,    9.48,   13.90,   17.65,   18.58,   19.78,   14.13,    8.67,    1.92,    3.45,    9.74
46.03229,4.23435,T2M,1994,    2.30,    2.86,    7.74,    7.00,   13.21,   16.55,   22.60,   21.21,   14.17,   10.36,    8.03,    3.75,   10.87
46.03229,4.23435,T2M,1995,    1.28,    5.21,    4.05,    8.09,   12.59,   15.03,   21.80,   19.89,   13.06,   13.71,    4.36,    1.52,   10.09
46.03229,4.23435,T2M,1996,    3.45,    0.33,    3.53,    8.40,   11.97,   17.09,   18.50,   18.33,   12.79,   10.13,    4.53,    1.30,    9.23
46.03229,4.23435,T2M,1997,   -0.71,    4.47,    6.88,    7.89,   13.60,   16.64,   18.77,   22.69,   16.80,   10.20,    6.44,    2.93,   10.58
46.03229,4.23435,T2M,1998,    2.45,    3.16,    5.45,    7.90,   13.71,   17.28,   19.70,   20.15,   15.02,    9.79,    2.09,    1.52,    9.90
