LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
46.3776,4.73571,T2M,1981,   -0.81,   -0.16,    7.75,    9.93,   12.35,   15.83,   17.64,   18.66,   16.01,   10.20,    4.26,    2.03,    9.53
46.3776,4.73571,T2M,1982,    3.45,    3.16,    4.53,    7.77,   13.46,   17.86,   21.23,   18.44,   17.97,   10.08,    6.83,    2.33,   10.63
46.3776,4.73571,T2M,1983,    2.58,    0.04,    5.24,    8.49,   11.50,   17.41,   22.64,   19.74,   16.05,   10.39,    5.15,    1.78,   10.15
46.3776,4.73571,T2M,1984,    1.58,    0.70,    3.76,    8.16,   10.32,   15.83,   19.61,   19.05,   14.37,   10.51,    8.05,    2.35,    9.55
46.3776,4.73571,T2M,1985,   -4.71,    1.71,    3.47,    8.85,   12.51,   15.37,   20.16,   19.04,   18.05,   12.14,    1.73,    2.96,    9.32
46.3776,4.73571,T2M,1986,    1.06,   -2.14,    4.37,    6.39,   14.60,   17.64,   20.27,   19.75,   16.24,   12.84,    6.36,    2.20,   10.05
46.3776,4.73571,T2M,1987,   -4.05,    1.35,    3.26,   10.07,   11.17,   15.63,   19.71,   19.48,   18.76,   12.18,    5.07,    3.04,    9.68
46.3776,4.73571,T2M,1988,    4.53,    2.39,    4.46,   10.13,   14.31,   16.50,   18.76,   20.41,   15.83,   12.14,    4.00,    2.81,   10.55
46.3776,4.73571,T2M,1989,    1.79,    3.75,    7.92,    7.89,   15.30,   17.01,   21.27,   20.74,   16.61,   11.87,    4.99,    3.42,   11.10
46.3776,4.73571,T2M,1990,    2.25,    7.37,    7.19,    7.96,   16.46,   17.62,   21.40,   22.23,   16.05,   13.38,    5.11,   -0.72,   11.39
46.3776,4.73571,T2M,1991,    1.57,    0.90,    8.52,    8.16,   11.58,   17.39,   22.61,   23.00,   18.94,    9.55,    4.76,    0.19,   10.66
46.3776,4.73571,T2M,1992,   -0.68,    2.25,    6.18,    9.00,   15.10,   16.41,   20.52,   22.44,   16.00,    8.48,    7.18,    2.88,   10.51
46.3776,4.73571,T2M,1993,    3.20,    0.87,    5.05,   10.04,   14.41,   18.12,   18.97,   20.28,   14.50,    9.14,    2.18,    3.42,   10.08
46.3776,4.73571,T2M,1994,    2.20,    3.21,    8.15,    7.42,   13.73,   17.11,   22.86,   21.74,   14.67,   10.77,    8.29,    3.80,   11.22
46.3776,4.73571,T2M,1995,    1.17,    5.39,    4.28,    8.58,   12.98,   15.49,   22.04,   20.34,   13.41,   13.98,    4.55,    1.77,   10.37
46.3776,4.73571,T2M,1996,    3.82,    0.53,    4.07,    8.99,   12.57,   17.64,   18.80,   18.77,   13.23,   10.51,    4.73,    1.54,    9.63
46.3776,4.73571,T2M,1997,   -0.25,    4.57,    7.22,    8.31,   14.07,   17.05,   19.09,   22.85,   17.42,   10.73,    6.59,    3.19,   10.94
46.3776,4.73571,T2M,1998,    2.58,    3.48,    5.79,    8.46,   14.35,   17.72,   20.37,   20.62,   15.49,   10.17,    2.26,    1.48,   10.28
46.3776,4.73571,T2M,1999,    2.91,    1.11,    6.36,    9.12,   15.64,   15.93,   20.42,   20.32,   18.15,   10.90,    2.49,    2.39,   10.54
46.3776,4.73571,T2M,2000,    0.82,    4.44,    5.65,    9.68,   15.20,   18.21,   18.25,   21.29,   17.02,   10.83,    6.86,    4.89,   11.11
46.3776,4.73571,T2M,2001,    3.11,    3.45,    8.27,    7.75,   15.28,   16.98,   20.92,   21.40,   13.33,   14.27,    3.07,   -0.69,   10.66
46.3776,4.73571,T2M,2002,    1.24,    5.39,    7.22,   10.24,   13.37,   20.83,   20.32,   19.67,   14.88,   11.44,    7.89,    4.91,   11.48
46.3776,4.73571,T2M,2003,    0.17,   -0.02,    7.04,   10.05,   15.32,   24.13,   23.21,   26.24,   16.37,    9.19,    6.81,    2.30,   11.80
46.3776,4.73571,T2M,2004,    1.76,    2.08,    4.52,    9.05,   12.96,   18.83,   20.47,   20.21,   16.77,   13.23,    4.50,    1.02,   10.48
46.3776,4.73571,T2M,2005,    1.18,   -0.29,    5.22,    9.17,   13.85,   18.77,   20.44,   18.61,   16.90,   13.82,    4.35,   -0.34,   10.20
46.3776,4.73571,T2M,2006,   -0.33,    0.58,    4.93,    9.20,   13.63,   18.62,   24.27,   17.03,   18.38,   14.11,    7.86,    2.44,   10.95
46.3776,4.73571,T2M,2007,    3.86,    5.22,    5.86,   13.54,   14.83,   17.72,   18.17,   18.03,   14.04,    9.97,    3.92,    1.19,   10.55
46.3776,4.73571,T2M,2008,    3.18,    4.43,    4.83,    8.55,   15.45,   17.34,   19.05,   18.84,   13.57,   10.27,    5.30,    0.50,   10.13
46.3776,4.73571,T2M,2009,   -1.24,    1.12,    4.94,   10.81,   15.55,   17.56,   20.69,   21.97,   16.45,   10.83,    8.09,    2.03,   10.78
46.3776,4.73571,T2M,2010,   -1.60,    1.01,    4.66,   10.16,   11.89,   17.10,   21.60,   19.06,   14.48,   10.10,    5.41,   -0.28,    9.51
46.3776,4.73571,T2M,2011,    1.43,    2.96,    6.54,   12.24,   16.16,   18.17,   17.80,   20.65,   17.94,   11.71,    7.80,    4.55,   11.54
46.3776,4.73571,T2M,2012,    2.70,   -2.71,    7.53,    8.75,   14.56,   18.12,   19.12,   21.06,   15.69,   11.92,    6.36,    2.98,   10.56
46.3776,4.73571,T2M,2013,    0.49,   -0.48,    4.00,    9.09,   10.62,   16.09,   20.88,   18.99,   16.09,   13.17,    4.28,    2.67,    9.72
46.3776,4.73571,T2M,2014,    4.11,    4.64,    7.19,   10.83,   13.00,   19.10,   19.04,   17.69,   17.01,   13.82,    8.37,    2.84,   11.50
46.3776,4.73571,T2M,2015,    1.94,    1.02,    6.52,   10.42,   14.33,   19.46,   24.10,   22.01,   14.77,    9.48,    7.81,    6.43,   11.59
46.3776,4.73571,T2M,2016,    3.63,    4.34,    4.97,    9.14,   13.01,   17.25,   20.42,   20.91,   18.52,    9.60,    5.90,    2.00,   10.82
46.3776,4.73571,T2M,2017,   -1.63,    5.24,    8.68,    9.22,   14.88,   20.96,   21.75,   21.66,   14.74,   12.35,    4.93,    2.03,   11.27
46.3776,4.73571,T2M,2018,    5.73,   -0.25,    5.39,   12.43,   15.40,   18.98,   23.13,   22.27,   18.75,   12.30,    6.95,    4.13,   12.18
46.3776,4.73571,T2M,2019,    0.55,    4.38,    7.40,    9.93,   12.22,   20.31,   23.59,   21.70,   17.39,   13.32,    5.92,    4.89,   11.84
46.3776,4.73571,RH2M,1981,   92.59,   89.03,   87.33,   80.57,   81.03,   79.08,   77.97,   73.69,   77.22,   86.16,   91.03,   93.13,   84.05
46.3776,4.73571,RH2M,1982,   93.85,   89.76,   83.75,   77.12,   74.52,   76.50,   67.15,   72.25,   71.17,   87.65,   89.97,   94.18,   81.45
46.3776,4.73571,RH2M,1983,   92.77,   90.60,   88.83,   86.31,   84.11,   77.99,   71.36,   70.75,   76.40,   81.19,   90.16,   90.87,   83.39
46.3776,4.73571,RH2M,1984,   91.73,   89.06,   82.28,   76.15,   80.95,   77.38,   61.21,   65.71,   74.52,   87.65,   89.19,   94.10,   80.80
46.3776,4.73571,RH2M,1985,   90.82,   91.81,   87.11,   79.98,   81.31,   78.02,   70.54,   60.84,   59.72,   68.19,   84.24,   89.18,   78.40
46.3776,4.73571,RH2M,1986,   90.31,   86.97,   84.26,   83.23,   81.09,   74.11,   60.08,   56.55,   67.08,   77.93,   85.50,   92.66,   78.25
