LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.40395,0.37563,T2M,1981,    3.84,    3.08,    9.70,   11.07,   12.90,   16.83,   18.57,   21.03,   17.73,   12.29,    7.06,    5.52,   11.69
45.40395,0.37563,T2M,1982,    6.86,    6.34,    6.72,    9.89,   13.93,   18.56,   21.96,   19.03,   19.00,   11.95,    8.98,    5.38,   12.42
45.40395,0.37563,T2M,1983,    4.66,    3.60,    7.32,    9.55,   11.95,   17.85,   23.15,   20.46,   17.97,   13.23,    9.44,    4.36,   12.01
45.40395,0.37563,T2M,1984,    4.96,    3.47,    5.62,   10.62,   11.25,   17.51,   21.53,   20.32,   15.75,   12.43,   10.08,    4.45,   11.52
45.40395,0.37563,T2M,1985,   -1.15,    6.32,    5.55,   10.66,   12.82,   16.50,   21.04,   19.20,   20.47,   14.94,    4.27,    4.90,   11.32
45.40395,0.37563,T2M,1986,    4.65,    1.21,    6.82,    6.88,   14.18,   18.00,   21.40,   19.78,   18.09,   14.99,    8.03,    5.72,   11.72
45.40395,0.37563,T2M,1987,   -0.77,    4.36,    6.29,   11.93,   13.22,   17.06,   21.41,   21.74,   20.46,   13.97,    7.47,    5.89,   11.96
45.40395,0.37563,T2M,1988,    7.51,    5.44,    6.88,   11.77,   14.84,   17.49,   18.62,   20.57,   17.67,   14.40,    7.70,    5.31,   12.37
45.40395,0.37563,T2M,1989,    3.85,    6.24,    9.68,    9.05,   17.40,   20.14,   23.30,   22.13,   18.57,   14.72,    9.18,    7.66,   13.55
45.40395,0.37563,T2M,1990,    5.35,    9.74,    9.03,   10.36,   18.23,   18.99,   23.97,   24.39,   18.83,   14.91,    8.01,    2.02,   13.68
45.40395,0.37563,T2M,1991,    4.14,    3.55,    9.86,    9.76,   13.75,   17.45,   22.54,   24.40,   20.40,   11.32,    7.42,    3.73,   12.42
45.40395,0.37563,T2M,1992,    1.70,    4.84,    8.24,   10.20,   16.99,   17.43,   21.19,   21.59,   16.31,   10.20,   10.11,    5.65,   12.06
45.40395,0.37563,T2M,1993,    5.11,    4.22,    7.66,   10.90,   15.20,   18.80,   19.33,   21.34,   15.40,   11.04,    5.66,    7.08,   11.86
45.40395,0.37563,T2M,1994,    5.61,    6.17,    9.84,    9.55,   15.10,   17.89,   22.88,   22.23,   15.96,   13.10,   10.47,    6.68,   13.01
45.40395,0.37563,T2M,1995,    4.89,    7.75,    7.14,   10.34,   14.68,   17.61,   23.27,   22.52,   15.28,   15.84,    7.83,    5.32,   12.75
45.40395,0.37563,T2M,1996,    7.31,    3.63,    6.96,   10.62,   13.65,   18.99,   20.79,   19.18,   15.33,   12.17,    7.45,    4.51,   11.75
45.40395,0.37563,T2M,1997,    3.13,    7.49,    9.74,   11.14,   15.67,   17.28,   19.56,   23.58,   18.80,   14.07,    9.34,    5.62,   12.98
45.40395,0.37563,T2M,1998,    5.55,    6.09,    8.14,    9.41,   14.99,   17.33,   19.87,   22.17,   17.22,   12.06,    5.22,    3.94,   11.88
45.40395,0.37563,T2M,1999,    5.42,    4.36,    8.70,   10.84,   16.55,   17.57,   21.86,   21.23,   18.92,   12.99,    5.59,    5.36,   12.51
45.40395,0.37563,T2M,2000,    2.90,    6.98,    7.30,   10.66,   15.83,   18.62,   19.00,   21.73,   18.18,   12.64,    8.61,    7.64,   12.52
45.40395,0.37563,T2M,2001,    5.93,    5.20,   10.28,    9.21,   15.20,   17.40,   19.78,   21.61,   15.49,   15.66,    5.60,    1.68,   11.97
45.40395,0.37563,T2M,2002,    5.19,    7.00,    9.28,   11.40,   14.16,   19.59,   20.56,   19.85,   16.94,   13.86,    9.47,    7.39,   12.92
45.40395,0.37563,T2M,2003,    2.59,    3.60,    9.59,   12.33,   15.20,   23.48,   22.72,   26.68,   18.17,   11.75,    9.23,    5.32,   13.44
45.40395,0.37563,T2M,2004,    5.14,    4.37,    6.40,   10.03,   14.31,   19.85,   20.67,   20.72,   18.59,   14.52,    6.71,    4.52,   12.18
45.40395,0.37563,T2M,2005,    4.39,    2.32,    7.36,   11.17,   15.54,   21.60,   22.39,   21.24,   18.03,   15.67,    6.44,    2.24,   12.43
45.40395,0.37563,T2M,2006,    3.52,    3.14,    8.30,   11.01,   15.09,   20.08,   25.25,   19.09,   19.78,   15.65,    9.83,    4.03,   12.95
45.40395,0.37563,T2M,2007,    6.31,    7.81,    7.77,   14.56,   15.46,   18.12,   18.97,   19.62,   16.17,   12.44,    5.87,    4.55,   12.33
45.40395,0.37563,T2M,2008,    6.14,    7.36,    7.40,   10.18,   15.60,   17.91,   19.82,   20.07,   15.73,   11.96,    7.09,    3.53,   11.92
45.40395,0.37563,T2M,2009,    2.67,    4.44,    7.36,   11.10,   16.03,   19.18,   21.05,   22.56,   18.31,   13.56,    9.92,    4.28,   12.58
45.40395,0.37563,T2M,2010,    1.04,    3.37,    6.44,   11.56,   13.29,   18.28,   22.19,   20.67,   17.28,   12.08,    7.51,    1.95,   11.34
45.40395,0.37563,T2M,2011,    3.59,    5.77,    8.73,   13.92,   17.72,   18.71,   19.58,   21.54,   19.60,   14.44,   11.25,    7.81,   13.59
45.40395,0.37563,T2M,2012,    5.26,   -0.27,    9.53,    9.63,   15.54,   18.51,   19.81,   23.02,   18.37,   13.82,    8.67,    6.19,   12.39
45.40395,0.37563,T2M,2013,    3.32,    3.33,    6.96,   10.11,   11.69,   16.49,   22.79,   20.94,   18.29,   14.68,    7.08,    4.82,   11.76
45.40395,0.37563,T2M,2014,    7.11,    7.06,    8.83,   12.27,   13.51,   19.61,   20.93,   19.01,   19.82,   15.84,   11.31,    4.56,   13.35
45.40395,0.37563,T2M,2015,    4.16,    3.67,    8.52,   12.50,   15.37,   20.69,   23.53,   21.86,   16.49,   12.24,   10.68,    8.09,   13.21
45.40395,0.37563,T2M,2016,    6.79,    6.53,    7.18,   10.08,   14.34,   17.84,   21.28,   23.04,   20.37,   12.53,    8.75,    5.70,   12.89
45.40395,0.37563,T2M,2017,    2.26,    7.74,   10.38,   11.34,   16.50,   21.52,   21.78,   21.89,   16.45,   14.63,    7.01,    4.61,   13.04
45.40395,0.37563,T2M,2018,    7.75,    2.55,    7.43,   12.60,   15.66,   19.58,   23.13,   23.27,   20.14,   13.99,    8.82,    7.13,   13.57
45.40395,0.37563,T2M,2019,    3.28,    7.08,    9.27,   11.01,   13.67,   19.88,   24.67,   22.46,   19.49,   14.96,    8.25,    7.56,   13.51
45.40395,0.37563,RH2M,1981,   92.17,   87.82,   86.30,   79.59,   82.59,   75.27,   74.71,   63.83,   70.21,   85.67,   87.68,   92.99,   81.56
45.40395,0.37563,RH2M,1982,   93.59,   91.32,   86.56,   78.31,   78.75,   75.36,   63.29,   69.13,   68.27,   87.58,   91.22,   95.00,   81.49
45.40395,0.37563,RH2M,1983,   94.84,   90.52,   88.40,   84.33,   82.93,   78.74,   71.06,   69.83,   70.47,   73.02,   82.99,   89.78,   81.36
45.40395,0.37563,RH2M,1984,   93.07,   88.24,   83.99,   74.33,   79.00,   73.90,   54.90,   60.11,   72.97,   84.49,   90.53,   94.36,   79.12
45.40395,0.37563,RH2M,1985,   90.61,   88.82,   85.23,   82.26,   81.89,   76.63,   66.87,   61.20,   49.93,   59.72,   82.54,   88.36,   76.10
45.40395,0.37563,RH2M,1986,   92.57,   88.21,   85.05,   83.72,   80.69,   73.70,   57.84,   57.80,   62.30,   76.72,   88.41,   92.74,   78.24
45.40395,0.37563,RH2M,1987,   88.39,   90.63,   83.69,   77.27,   68.79,   69.74,   65.41,   55.86,   62.24,   85.57,   91.64,   94.67,   77.75
45.40395,0.37563,RH2M,1988,   93.37,   88.49,   87.60,   83.00,   82.85,   78.69,   72.86,   63.09,   65.60,   74.27,   81.51,   93.09,   80.36
45.40395,0.37563,RH2M,1989,   90.96,   83.84,   79.75,   81.19,   66.44,   53.71,   52.48,   53.80,   55.55,   67.46,   81.29,   82.81,   70.70
45.40395,0.37563,RH2M,1990,   87.08,   85.43,   72.86,   73.50,   57.98,   58.31,   41.62,   40.63,   54.47,   72.90,   89.59,   91.17,   68.66
45.40395,0.37563,RH2M,1991,   88.29,   86.38,   80.77,   71.44,   64.05,   62.66,   50.90,   47.90,   61.50,   80.03,   90.58,   90.51,   72.82
45.40395,0.37563,RH2M,1992,   91.14,   86.32,   82.73,   77.59,   65.62,   71.82,   65.69,   66.47,   72.93,   87.32,   93.97,   94.64,   79.66
45.40395,0.37563,RH2M,1993,   93.38,   85.45,   81.41,   82.12,   76.61,   74.49,   66.16,   54.48,   75.48,   87.79,   89.30,   94.74,   80.07
45.40395,0.37563,RH2M,1994,   93.82,   92.16,   87.73,   81.21,   78.55,   76.37,   64.68,   64.19,   78.36,   85.21,   93.34,   94.07,   82.40
45.40395,0.37563,RH2M,1995,   90.67,   90.65,   85.47,   81.31,   73.60,   70.23,   57.39,   55.36,   72.38,   77.87,   81.41,   91.94,   77.26
45.40395,0.37563,RH2M,1996,   92.83,   89.74,   81.09,   77.79,   77.83,   65.89,   60.43,   65.12,   64.13,   83.05,   90.02,   92.23,   78.32
45.40395,0.37563,RH2M,1997,   93.61,   88.45,   81.33,   66.69,   74.63,   74.44,   70.68,   64.01,   59.91,   70.51,   89.88,   93.84,   77.29
45.40395,0.37563,RH2M,1998,   92.26,   88.61,   81.52,   85.81,   77.02,   73.37,   67.55,   50.40,   73.04,   86.70,   88.43,   93.75,   79.80
45.40395,0.37563,RH2M,1999,   91.91,   90.89,   85.36,   82.82,   78.48,   71.24,   62.31,   64.84,   70.28,   83.79,   89.08,   92.94,   80.26
45.40395,0.37563,RH2M,2000,   92.89,   89.90,   83.96,   81.99,   79.33,   75.72,   68.12,   60.21,   66.58,   84.66,   94.17,   93.70,   80.90
45.40395,0.37563,RH2M,2001,   94.07,   90.81,   90.17,   84.36,   79.76,   74.92,   72.41,   62.09,   71.15,   78.14,   86.60,   87.82,   80.96
45.40395,0.37563,RH2M,2002,   89.40,   87.08,   78.08,   73.57,   70.98,   64.87,   59.18,   66.88,   65.46,   78.13,   90.01,   93.22,   76.35
