LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
42.70075,9.36453,T2M,1981,    7.94,    7.96,   11.76,   13.87,   16.51,   21.14,   22.99,   24.38,   21.70,   17.64,   12.69,   10.70,   15.82
42.70075,9.36453,T2M,1982,   10.35,    9.26,   10.32,   12.50,   16.95,   21.73,   25.42,   23.81,   22.24,   16.84,   14.19,   11.14,   16.27
42.70075,9.36453,T2M,1983,   10.36,    7.97,   11.27,   13.37,   16.34,   20.89,   25.91,   23.97,   21.34,   17.42,   13.14,   10.23,   16.07
42.70075,9.36453,T2M,1984,    9.26,    7.98,    9.92,   12.48,   14.11,   18.81,   23.46,   22.75,   19.29,   16.59,   14.30,   10.83,   15.01
42.70075,9.36453,T2M,1985,    7.13,    9.41,    9.97,   13.16,   15.83,   20.26,   24.82,   23.89,   22.47,   18.26,   12.21,   11.58,   15.79
42.70075,9.36453,T2M,1986,    9.26,    7.33,   10.60,   12.35,   18.78,   19.92,   23.73,   24.98,   21.47,   18.35,   13.62,   10.34,   15.96
42.70075,9.36453,T2M,1987,    8.27,    8.87,    8.67,   13.45,   15.80,   20.17,   24.85,   24.68,   23.38,   18.36,   13.80,   11.71,   16.04
42.70075,9.36453,T2M,1988,   10.94,    9.84,   10.99,   13.28,   17.16,   20.25,   24.50,   25.01,   20.62,   18.79,   12.39,   10.33,   16.20
42.70075,9.36453,T2M,1989,    9.62,   10.71,   12.85,   12.84,   17.48,   20.35,   24.38,   24.74,   20.26,   16.63,   12.65,   10.95,   16.16
42.70075,9.36453,T2M,1990,   10.00,   12.00,   12.04,   13.08,   18.29,   21.25,   23.64,   24.12,   21.35,   18.56,   12.84,    8.63,   16.34
42.70075,9.36453,T2M,1991,    8.94,    8.32,   12.17,   12.13,   14.67,   19.92,   24.54,   24.97,   22.34,   16.34,   12.38,    9.18,   15.54
42.70075,9.36453,T2M,1992,    9.07,    9.44,   11.40,   13.23,   18.11,   19.22,   23.13,   25.29,   21.39,   16.62,   14.22,   10.57,   16.00
42.70075,9.36453,T2M,1993,    9.25,    8.90,   10.25,   13.25,   17.65,   21.55,   23.03,   25.16,   20.83,   16.99,   12.02,   10.89,   15.86
42.70075,9.36453,T2M,1994,    9.74,    9.08,   13.00,   12.33,   17.41,   20.54,   25.64,   26.46,   21.18,   17.18,   15.24,   11.59,   16.67
42.70075,9.36453,T2M,1995,    8.58,   10.96,   10.58,   13.06,   16.52,   19.41,   24.90,   23.94,   19.31,   18.34,   13.37,   10.84,   15.85
42.70075,9.36453,T2M,1996,   10.67,    8.44,   10.02,   13.35,   16.73,   20.87,   22.93,   23.94,   19.15,   16.22,   13.13,   10.29,   15.51
42.70075,9.36453,T2M,1997,   10.30,   10.88,   12.33,   12.69,   17.67,   20.76,   22.89,   24.46,   22.28,   18.03,   13.52,   11.14,   16.45
42.70075,9.36453,T2M,1998,   10.01,   10.63,   11.06,   13.02,   17.63,   21.45,   24.43,   24.67,   20.20,   16.74,   11.69,    9.51,   15.96
42.70075,9.36453,T2M,1999,    9.85,    8.70,   11.46,   13.29,   18.15,   21.52,   24.20,   24.89,   22.10,   18.34,   12.86,    9.93,   16.32
42.70075,9.36453,T2M,2000,    8.91,   10.53,   11.38,   13.21,   18.18,   21.95,   22.83,   24.97,   21.40,   17.59,   13.80,   11.97,   16.41
42.70075,9.36453,T2M,2001,   10.01,   10.05,   13.10,   12.87,   17.79,   21.16,   23.75,   25.51,   19.88,   19.67,   13.39,    9.07,   16.40
42.70075,9.36453,T2M,2002,    8.86,   10.75,   12.49,   13.58,   16.97,   22.56,   23.59,   23.42,   20.36,   17.77,   14.70,   11.44,   16.40
42.70075,9.36453,T2M,2003,    9.41,    7.51,   11.36,   13.37,   18.85,   25.48,   26.07,   27.77,   21.56,   16.63,   14.38,   10.87,   17.00
42.70075,9.36453,T2M,2004,    9.39,    9.64,   10.36,   12.88,   15.73,   21.15,   23.71,   24.58,   22.03,   18.98,   13.83,   11.41,   16.16
42.70075,9.36453,T2M,2005,    8.56,    7.38,   10.46,   12.88,   18.30,   22.54,   24.62,   23.41,   20.91,   17.69,   13.47,    9.24,   15.84
42.70075,9.36453,T2M,2006,    8.18,    9.05,   10.59,   14.09,   17.95,   21.53,   26.64,   23.30,   21.70,   19.07,   15.36,   12.04,   16.67
42.70075,9.36453,T2M,2007,   11.31,   11.19,   11.48,   15.75,   18.68,   21.15,   24.05,   23.51,   20.84,   17.28,   12.78,    9.97,   16.53
42.70075,9.36453,T2M,2008,   10.39,    9.76,   10.74,   13.50,   17.24,   21.12,   24.18,   25.17,   21.01,   18.13,   13.90,   10.11,   16.29
42.70075,9.36453,T2M,2009,    9.18,    9.06,   11.18,   13.92,   19.50,   21.73,   24.57,   26.15,   22.45,   17.95,   14.35,   10.50,   16.76
42.70075,9.36453,T2M,2010,    8.04,    9.17,   10.39,   13.56,   16.75,   20.70,   25.95,   24.01,   21.02,   16.59,   12.91,    9.23,   15.73
42.70075,9.36453,T2M,2011,    8.99,    9.31,   10.55,   14.75,   18.36,   21.38,   23.10,   25.08,   22.90,   18.03,   14.87,   11.99,   16.65
42.70075,9.36453,T2M,2012,   10.08,    6.55,   12.55,   13.54,   16.93,   22.48,   24.73,   26.53,   21.48,   18.22,   14.52,   10.46,   16.54
42.70075,9.36453,T2M,2013,    9.26,    7.77,   10.76,   13.66,   15.76,   20.24,   25.19,   25.38,   21.77,   19.15,   13.61,   11.40,   16.22
42.70075,9.36453,T2M,2014,   11.03,   10.92,   11.61,   14.29,   16.82,   22.16,   22.98,   23.91,   22.21,   19.92,   16.11,   11.79,   17.01
42.70075,9.36453,T2M,2015,   10.42,    9.34,   11.41,   13.95,   17.98,   22.83,   27.31,   25.11,   21.77,   17.26,   14.40,   12.34,   17.06
42.70075,9.36453,T2M,2016,   10.84,   11.12,   11.34,   14.62,   16.75,   20.94,   25.10,   24.68,   22.65,   17.99,   14.31,   12.12,   16.89
42.70075,9.36453,T2M,2017,    8.84,   11.15,   12.73,   14.55,   18.22,   23.65,   25.38,   26.33,   20.60,   18.61,   13.60,   10.40,   17.04
42.70075,9.36453,T2M,2018,   11.61,    8.03,   10.74,   15.15,   17.64,   21.88,   25.41,   26.45,   23.20,   19.03,   14.77,   12.04,   17.22
