LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.60477,1.45405,T2M,1981,    3.87,    3.89,   10.53,   11.58,   13.40,   17.97,   19.66,   21.68,   19.02,   13.57,    8.53,    6.19,   12.54
43.60477,1.45405,T2M,1982,    7.40,    6.99,    7.23,   10.77,   14.54,   19.66,   23.86,   20.48,   20.21,   12.55,    9.26,    5.49,   13.24
43.60477,1.45405,T2M,1983,    5.13,    4.01,    7.89,   10.59,   13.25,   19.34,   25.43,   21.40,   19.55,   14.16,   10.86,    5.23,   13.12
43.60477,1.45405,T2M,1984,    5.30,    4.02,    5.91,   11.06,   11.66,   18.25,   22.97,   20.79,   16.76,   13.55,   11.06,    4.99,   12.22
43.60477,1.45405,T2M,1985,   -0.76,    7.59,    5.76,   11.48,   13.37,   17.55,   22.93,   21.35,   21.09,   16.03,    4.99,    5.25,   12.24
43.60477,1.45405,T2M,1986,    4.63,    2.63,    7.20,    7.90,   16.02,   19.62,   22.96,   22.32,   20.12,   15.89,    8.78,    6.05,   12.91
43.60477,1.45405,T2M,1987,    1.11,    5.07,    7.32,   12.80,   13.65,   18.41,   22.56,   23.27,   22.21,   15.40,    8.50,    7.32,   13.18
43.60477,1.45405,T2M,1988,    7.93,    5.68,    7.08,   11.97,   15.29,   18.19,   20.83,   22.57,   18.91,   16.03,    8.84,    4.99,   13.22
43.60477,1.45405,T2M,1989,    5.07,    7.20,   10.16,    9.65,   17.75,   21.03,   24.43,   23.57,   18.77,   14.98,   10.61,    8.72,   14.38
43.60477,1.45405,T2M,1990,    6.18,   10.39,    9.88,   10.93,   18.80,   20.34,   25.19,   24.81,   20.63,   15.86,    8.59,    2.65,   14.55
43.60477,1.45405,T2M,1991,    4.74,    5.03,   11.16,   10.36,   14.28,   19.63,   24.34,   25.92,   21.25,   12.17,    8.20,    4.91,   13.55
43.60477,1.45405,T2M,1992,    2.61,    5.79,    8.58,   11.26,   17.77,   16.90,   21.87,   23.96,   18.45,   11.22,   10.55,    6.13,   12.95
43.60477,1.45405,T2M,1993,    5.76,    4.66,    8.10,   11.35,   15.89,   19.54,   20.50,   23.08,   17.09,   12.07,    6.85,    7.47,   12.75
