LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
47.6595,-0.8186,T2M,1981,    4.37,    2.34,    9.11,    9.88,   12.31,   15.19,   17.14,   18.71,   16.12,   11.00,    7.07,    4.48,   10.70
47.6595,-0.8186,T2M,1982,    5.36,    5.31,    6.54,    8.84,   13.17,   17.35,   19.05,   17.28,   17.02,   11.14,    8.55,    5.06,   11.25
47.6595,-0.8186,T2M,1983,    5.75,    2.46,    7.22,    8.33,   11.30,   17.01,   21.27,   18.46,   15.60,   11.05,    7.11,    3.94,   10.85
47.6595,-0.8186,T2M,1984,    5.08,    3.57,    5.36,    9.43,   10.36,   16.20,   18.36,   18.15,   14.53,   11.57,    9.07,    4.55,   10.54
47.6595,-0.8186,T2M,1985,   -0.29,    2.91,    5.09,    9.49,   12.44,   15.01,   18.46,   16.44,   16.73,   11.32,    4.19,    5.15,    9.78
47.6595,-0.8186,T2M,1986,    4.68,   -1.83,    6.10,    6.57,   12.65,   17.29,   18.15,   16.62,   13.91,   13.88,    8.10,    5.85,   10.25
47.6595,-0.8186,T2M,1987,   -2.12,    3.24,    4.98,   11.24,   11.96,   15.66,   18.98,   19.22,   17.89,   12.28,    6.98,    4.78,   10.46
47.6595,-0.8186,T2M,1988,    7.34,    5.32,    7.25,   10.64,   14.11,   16.93,   17.11,   18.71,   15.80,   12.78,    6.46,    6.34,   11.59
47.6595,-0.8186,T2M,1989,    3.76,    6.07,    9.66,    8.38,   16.66,   18.14,   21.32,   20.24,   17.31,   14.01,    6.77,    5.54,   12.37
47.6595,-0.8186,T2M,1990,    6.02,    9.29,    8.46,    9.66,   16.67,   16.43,   21.38,   22.25,   16.80,   13.74,    7.66,    3.22,   12.66
47.6595,-0.8186,T2M,1991,    3.89,    1.54,    9.29,    9.78,   13.18,   15.62,   20.56,   22.01,   18.88,   11.21,    7.21,    2.90,   11.40
47.6595,-0.8186,T2M,1992,    1.87,    4.53,    8.15,    9.54,   16.03,   17.83,   20.07,   20.15,   15.59,    9.80,    9.69,    4.57,   11.51
47.6595,-0.8186,T2M,1993,    6.60,    3.75,    7.52,   10.79,   13.99,   17.60,   17.75,   18.20,   14.28,    9.61,    3.99,    6.89,   10.96
47.6595,-0.8186,T2M,1994,    6.31,    5.81,    9.34,    9.34,   13.51,   17.20,   20.89,   19.18,   14.46,   12.18,   10.12,    7.54,   12.20
47.6595,-0.8186,T2M,1995,    5.32,    8.29,    6.81,    9.65,   13.35,   15.85,   20.46,   20.39,   14.44,   14.41,    7.07,    3.29,   11.64
47.6595,-0.8186,T2M,1996,    5.54,    3.40,    6.27,    9.91,   11.66,   17.40,   18.64,   18.44,   14.54,   12.31,    7.03,    1.86,   10.61
47.6595,-0.8186,T2M,1997,    0.08,    6.95,    9.29,   10.09,   13.98,   16.23,   18.93,   21.72,   16.90,   12.25,    8.88,    5.85,   11.79
47.6595,-0.8186,T2M,1998,    4.77,    5.02,    8.15,    8.89,   14.97,   16.29,   17.59,   18.98,   16.00,   11.93,    5.25,    5.04,   11.12
47.6595,-0.8186,T2M,1999,    6.18,    5.24,    8.13,   10.26,   14.89,   16.11,   19.91,   18.55,   17.14,   11.74,    5.97,    5.98,   11.72
47.6595,-0.8186,T2M,2000,    3.53,    6.83,    6.97,    8.92,   14.42,   16.97,   16.73,   18.41,   15.95,   11.23,    7.77,    6.98,   11.24
47.6595,-0.8186,T2M,2001,    5.07,    5.13,    8.22,    8.67,   14.04,   16.09,   18.23,   18.65,   13.82,   14.04,    6.05,    2.23,   10.90
47.6595,-0.8186,T2M,2002,    5.77,    7.14,    8.02,    9.89,   12.72,   16.35,   17.49,   17.56,   14.88,   12.12,    9.39,    7.02,   11.55
47.6595,-0.8186,T2M,2003,    2.65,    3.33,    8.69,   10.44,   13.44,   19.36,   19.26,   22.31,   16.23,    9.84,    8.64,    4.65,   11.61
47.6595,-0.8186,T2M,2004,    5.13,    4.31,    6.02,    9.87,   13.23,   17.88,   18.38,   19.23,   17.27,   12.28,    7.76,    3.79,   11.28
47.6595,-0.8186,T2M,2005,    5.54,    2.97,    7.28,   10.36,   13.68,   19.09,   19.94,   18.62,   17.30,   15.05,    6.29,    2.98,   11.64
47.6595,-0.8186,T2M,2006,    2.69,    2.74,    6.26,   10.02,   13.82,   18.89,   22.78,   17.62,   18.21,   14.31,    8.89,    4.62,   11.79
47.6595,-0.8186,T2M,2007,    6.99,    7.69,    7.22,   13.21,   14.13,   16.63,   16.86,   17.04,   14.39,   11.01,    6.74,    4.03,   11.34
