LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.56908,7.01546,T2M,1981,    3.72,    4.28,    8.57,   10.96,   13.73,   18.90,   20.04,   21.64,   17.99,   13.38,    8.90,    4.51,   12.26
43.56908,7.01546,T2M,1982,    5.87,    4.88,    6.40,    9.98,   14.63,   19.64,   23.24,   21.40,   18.99,   12.79,    9.62,    6.71,   12.89
43.56908,7.01546,T2M,1983,    7.21,    3.04,    8.12,    9.66,   13.06,   18.20,   23.52,   20.65,   18.32,   14.20,    9.24,    5.85,   12.65
43.56908,7.01546,T2M,1984,    4.23,    3.64,    5.84,    9.94,   10.94,   16.69,   21.17,   19.71,   16.39,   12.96,    9.52,    6.42,   11.48
43.56908,7.01546,T2M,1985,    1.16,    5.76,    6.02,   10.37,   13.07,   17.75,   22.45,   21.30,   19.90,   14.57,    6.84,    7.46,   12.26
43.56908,7.01546,T2M,1986,    4.01,    1.87,    6.77,    9.00,   16.12,   18.12,   21.31,   21.76,   18.13,   14.69,    9.49,    5.60,   12.31
43.56908,7.01546,T2M,1987,    3.15,    5.32,    5.73,   10.79,   13.13,   17.54,   21.83,   22.05,   20.58,   13.65,    8.94,    6.94,   12.51
43.56908,7.01546,T2M,1988,    6.02,    5.76,    7.68,   10.33,   14.44,   17.26,   22.04,   22.27,   17.77,   14.84,    8.17,    6.66,   12.80
43.56908,7.01546,T2M,1989,    6.18,    7.23,   10.37,    9.33,   15.40,   18.38,   22.18,   22.21,   17.30,   13.81,    8.52,    6.70,   13.18
43.56908,7.01546,T2M,1990,    6.09,    8.74,    9.71,   10.07,   15.95,   18.89,   22.06,   22.00,   18.53,   14.35,    8.14,    3.75,   13.22
43.56908,7.01546,T2M,1991,    4.96,    3.97,    9.04,    9.40,   12.31,   18.10,   22.72,   22.66,   19.30,   11.91,    8.10,    5.34,   12.37
43.56908,7.01546,T2M,1992,    5.00,    6.31,    8.56,   10.71,   15.80,   16.18,   20.77,   23.11,   17.72,   11.64,   10.24,    6.04,   12.70
43.56908,7.01546,T2M,1993,    6.09,    5.28,    7.19,   10.45,   14.96,   19.37,   20.66,   22.66,   16.84,   12.17,    7.19,    6.30,   12.48
43.56908,7.01546,T2M,1994,    5.46,    4.98,   10.55,    9.37,   15.15,   18.71,   23.82,   23.62,   16.92,   13.00,   11.47,    7.47,   13.44
43.56908,7.01546,T2M,1995,    4.03,    7.58,    7.08,   10.72,   14.20,   17.20,   22.90,   20.86,   15.81,   14.79,    8.64,    5.60,   12.48
43.56908,7.01546,T2M,1996,    5.23,    3.71,    6.63,   10.74,   14.09,   18.77,   20.63,   20.45,   15.19,   12.82,    8.49,    5.41,   11.87
