LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.40699,3.50951,T2M,1981,    7.23,    7.50,   11.57,   13.45,   15.44,   20.42,   21.43,   23.25,   20.64,   15.98,   11.93,    9.45,   14.90
43.40699,3.50951,T2M,1982,    9.59,    9.66,    9.83,   12.72,   15.78,   20.62,   24.48,   21.69,   20.39,   15.42,   12.57,    9.35,   15.21
43.40699,3.50951,T2M,1983,    8.75,    7.28,   10.57,   12.27,   15.25,   19.63,   24.43,   22.92,   20.66,   16.71,   13.06,    9.31,   15.12
43.40699,3.50951,T2M,1984,    8.30,    7.59,    9.14,   12.28,   14.11,   19.12,   22.19,   21.81,   18.26,   15.34,   13.61,    9.53,   14.29
43.40699,3.50951,T2M,1985,    4.45,    9.44,    9.03,   13.09,   15.04,   19.39,   23.62,   21.88,   21.32,   17.67,    9.71,    9.65,   14.55
43.40699,3.50951,T2M,1986,    7.79,    6.17,    9.82,   10.89,   17.11,   19.37,   23.14,   22.84,   20.69,   17.37,   12.59,    9.26,   14.81
43.40699,3.50951,T2M,1987,    5.23,    8.16,    8.99,   12.87,   14.54,   18.56,   23.10,   22.87,   21.98,   17.33,   11.80,   10.50,   14.70
43.40699,3.50951,T2M,1988,   10.27,    8.82,    9.75,   12.84,   16.35,   19.64,   22.94,   23.07,   19.67,   17.09,   11.94,    8.94,   15.14
43.40699,3.50951,T2M,1989,    9.00,    9.85,   11.75,   12.18,   17.57,   20.97,   23.95,   23.68,   19.83,   16.24,   12.57,   10.97,   15.75
43.40699,3.50951,T2M,1990,    9.37,   11.74,   11.97,   12.71,   18.41,   20.19,   23.32,   23.83,   20.21,   17.36,   11.90,    7.33,   15.72
43.40699,3.50951,T2M,1991,    8.48,    7.80,   12.20,   12.09,   14.95,   19.35,   23.38,   23.87,   21.99,   15.01,   11.40,    9.02,   15.01
43.40699,3.50951,T2M,1992,    7.80,    8.81,   10.97,   13.19,   17.45,   18.17,   22.32,   23.80,   19.46,   14.78,   12.99,    9.99,   15.00
43.40699,3.50951,T2M,1993,    9.23,    8.45,   10.37,   12.87,   16.96,   20.43,   21.27,   22.86,   18.76,   15.01,   10.48,    9.61,   14.73
