LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
46.89147,6.72704,T2M,1981,   -5.43,   -4.56,    3.53,    7.55,   10.14,   13.84,   14.92,   15.85,   13.09,    7.23,    2.01,   -2.62,    6.35
46.89147,6.72704,T2M,1982,   -0.05,   -0.21,    0.96,    4.80,   11.06,   15.05,   18.10,   15.29,   14.90,    7.69,    3.68,   -0.30,    7.62
46.89147,6.72704,T2M,1983,   -0.11,   -4.70,    2.38,    6.06,    8.64,   15.01,   20.28,   16.66,   13.18,    8.22,    3.40,   -1.31,    7.39
46.89147,6.72704,T2M,1984,   -2.18,   -3.98,   -0.19,    5.23,    7.64,   13.19,   16.31,   15.74,   11.07,    8.39,    5.46,    0.16,    6.44
46.89147,6.72704,T2M,1985,   -7.75,   -1.55,    0.46,    5.68,   10.04,   12.62,   17.42,   15.73,   14.72,    9.78,   -0.90,    0.57,    6.45
46.89147,6.72704,T2M,1986,   -3.11,   -6.06,    1.74,    3.85,   12.61,   14.70,   16.25,   16.23,   13.31,   10.26,    3.75,   -1.06,    6.96
46.89147,6.72704,T2M,1987,   -7.18,   -1.23,   -0.65,    7.40,    7.93,   12.64,   16.49,   15.74,   15.57,    9.46,    2.68,    1.32,    6.71
46.89147,6.72704,T2M,1988,    1.32,   -1.30,    0.06,    7.55,   12.12,   13.76,   16.26,   16.93,   12.32,    9.87,    1.60,   -0.68,    7.52
46.89147,6.72704,T2M,1989,   -0.01,    1.69,    5.32,    4.93,   12.29,   13.17,   17.54,   16.99,   13.00,    9.21,    2.94,    1.66,    8.28
46.89147,6.72704,T2M,1990,    0.06,    3.46,    4.62,    4.91,   12.93,   13.67,   16.74,   17.73,   12.33,   10.15,    1.59,   -4.03,    7.88
46.89147,6.72704,T2M,1991,   -1.04,   -1.94,    5.26,    5.10,    7.53,   12.90,   18.20,   18.73,   15.58,    6.84,    2.29,   -2.23,    7.33
46.89147,6.72704,T2M,1992,   -3.12,   -0.78,    3.05,    5.63,   12.71,   13.31,   16.92,   18.68,   13.04,    5.64,    4.56,   -0.68,    7.44
46.89147,6.72704,T2M,1993,    0.61,   -1.23,    2.03,    7.52,   12.37,   15.02,   14.87,   16.70,   11.41,    6.86,    0.51,    0.15,    7.29
46.89147,6.72704,T2M,1994,   -1.08,   -0.55,    5.61,    4.55,   11.24,   14.85,   19.72,   18.38,   11.96,    8.37,    6.09,    1.16,    8.42
46.89147,6.72704,T2M,1995,   -4.01,    1.56,    0.32,    5.88,   10.55,   12.42,   18.64,   16.02,    9.90,   11.29,    1.92,   -0.95,    7.00
