LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
49.07815,1.22381,T2M,1981,    3.66,    1.68,    8.31,    8.78,   11.82,   14.20,   16.37,   16.99,   14.83,    9.43,    6.50,    1.93,    9.59
49.07815,1.22381,T2M,1982,    2.04,    4.04,    5.45,    7.85,   12.35,   16.46,   17.78,   16.60,   16.03,   10.17,    7.43,    3.68,   10.02
49.07815,1.22381,T2M,1983,    5.25,    0.92,    6.12,    7.60,   10.48,   15.94,   20.17,   17.61,   14.48,   10.39,    5.85,    3.26,    9.90
49.07815,1.22381,T2M,1984,    3.75,    2.48,    4.37,    7.85,    9.64,   14.88,   16.92,   17.15,   13.55,   11.00,    8.49,    3.81,    9.51
49.07815,1.22381,T2M,1985,   -1.76,    0.82,    3.94,    8.55,   12.01,   14.01,   17.39,   15.65,   15.37,   10.28,    2.90,    4.61,    8.69
49.07815,1.22381,T2M,1986,    2.92,   -2.98,    4.38,    5.69,   12.25,   16.36,   16.93,   15.65,   12.11,   12.53,    7.31,    4.86,    9.08
49.07815,1.22381,T2M,1987,   -2.98,    2.02,    3.42,   10.43,   10.53,   14.40,   17.07,   17.03,   16.32,   11.17,    5.99,    3.26,    9.08
49.07815,1.22381,T2M,1988,    5.92,    4.19,    6.16,    9.15,   13.24,   15.15,   16.14,   17.08,   14.34,   11.45,    5.15,    6.05,   10.36
49.07815,1.22381,T2M,1989,    3.43,    5.08,    8.68,    7.43,   14.79,   15.56,   18.88,   18.09,   15.79,   12.93,    5.32,    4.15,   10.89
49.07815,1.22381,T2M,1990,    4.87,    7.93,    7.84,    8.43,   14.69,   15.22,   19.01,   20.44,   14.78,   12.78,    6.59,    2.93,   11.32
49.07815,1.22381,T2M,1991,    3.36,    0.03,    8.53,    8.68,   11.15,   14.32,   19.02,   19.82,   17.27,   10.52,    5.96,    2.05,   10.12
49.07815,1.22381,T2M,1992,    1.31,    4.01,    7.48,    8.77,   14.87,   16.29,   18.81,   18.94,   14.50,    8.59,    8.52,    3.30,   10.47
49.07815,1.22381,T2M,1993,    5.36,    2.67,    6.22,   10.44,   13.55,   16.38,   16.49,   16.21,   13.13,    8.56,    2.70,    5.52,    9.82
49.07815,1.22381,T2M,1994,    5.12,    3.47,    7.92,    8.21,   12.55,   15.37,   19.68,   17.56,   13.47,   10.37,    9.71,    5.71,   10.81
49.07815,1.22381,T2M,1995,    4.49,    7.13,    5.54,    8.73,   12.36,   14.65,   19.59,   19.15,   13.71,   13.26,    6.49,    1.55,   10.58
49.07815,1.22381,T2M,1996,    2.75,    1.53,    4.84,    8.73,   10.35,   16.04,   17.17,   17.23,   13.07,   11.14,    5.63,    0.44,    9.10
49.07815,1.22381,T2M,1997,   -1.35,    5.85,    8.34,    8.38,   12.75,   15.59,   17.46,   20.82,   15.25,   10.48,    7.47,    4.53,   10.49
49.07815,1.22381,T2M,1998,    3.68,    4.75,    7.31,    8.44,   14.43,   15.62,   16.68,   17.64,   15.02,   10.86,    4.38,    4.23,   10.29
49.07815,1.22381,T2M,1999,    5.18,    3.83,    7.27,    9.65,   14.19,   15.01,   18.87,   17.82,   16.60,   10.43,    5.52,    4.77,   10.81
49.07815,1.22381,T2M,2000,    2.88,    5.56,    6.70,    8.65,   13.99,   16.02,   15.81,   17.72,   15.34,   10.95,    7.10,    5.50,   10.53
49.07815,1.22381,T2M,2001,    3.36,    4.29,    6.85,    7.83,   13.42,   15.18,   17.59,   18.24,   13.14,   13.29,    5.88,    2.00,   10.13
49.07815,1.22381,T2M,2002,    4.24,    6.56,    7.41,    9.22,   12.35,   15.86,   16.85,   17.37,   13.85,   11.11,    8.48,    5.41,   10.75
49.07815,1.22381,T2M,2003,    2.04,    2.15,    7.74,    9.35,   12.93,   18.28,   18.82,   21.02,   15.24,    8.57,    7.60,    3.71,   10.67
49.07815,1.22381,T2M,2004,    4.23,    4.03,    5.54,    9.52,   12.27,   16.53,   17.46,   18.79,   16.34,   11.48,    6.82,    2.90,   10.51
49.07815,1.22381,T2M,2005,    4.56,    2.22,    6.26,    9.81,   12.65,   17.13,   18.14,   16.97,   16.24,   14.06,    5.65,    2.61,   10.57
49.07815,1.22381,T2M,2006,    1.58,    2.08,    4.54,    8.83,   13.17,   16.73,   21.11,   16.34,   17.62,   13.66,    8.18,    4.36,   10.73
49.07815,1.22381,T2M,2007,    6.58,    6.51,    6.70,   12.39,   13.49,   16.22,   16.45,   16.57,   13.88,   10.20,    6.08,    3.14,   10.70
49.07815,1.22381,T2M,2008,    5.12,    4.86,    5.98,    8.26,   14.87,   15.51,   17.24,   17.07,   13.00,    9.94,    6.85,    2.08,   10.08
49.07815,1.22381,T2M,2009,    0.06,    2.75,    6.11,   10.66,   13.18,   15.73,   17.68,   18.75,   15.24,   11.28,    8.71,    2.37,   10.25
49.07815,1.22381,T2M,2010,   -0.54,    2.37,    5.46,    9.14,   11.13,   16.32,   19.10,   16.91,   14.25,   10.32,    5.63,   -0.90,    9.13
49.07815,1.22381,T2M,2011,    2.95,    5.17,    7.01,   12.28,   13.47,   15.82,   16.04,   17.28,   16.36,   12.23,    8.51,    6.28,   11.14
49.07815,1.22381,T2M,2012,    5.00,    0.63,    8.08,    7.65,   13.23,   15.42,   16.77,   18.14,   14.16,   11.17,    6.33,    5.09,   10.18
49.07815,1.22381,T2M,2013,    2.67,    1.56,    3.01,    7.85,   10.58,   15.01,   19.11,   17.85,   15.06,   12.59,    6.09,    4.49,    9.71
49.07815,1.22381,T2M,2014,    5.35,    5.72,    7.74,   10.59,   12.29,   15.72,   18.38,   15.92,   15.97,   12.58,    8.27,    3.93,   11.07
49.07815,1.22381,T2M,2015,    3.34,    2.72,    6.31,   10.14,   12.26,   15.91,   18.46,   18.56,   12.99,   10.23,    9.63,    7.79,   10.74
49.07815,1.22381,T2M,2016,    4.20,    4.66,    5.26,    7.99,   13.06,   15.97,   17.70,   18.30,   17.04,    9.80,    6.58,    3.33,   10.34
49.07815,1.22381,T2M,2017,    0.89,    5.40,    8.80,    8.87,   14.08,   18.10,   18.47,   17.80,   14.21,   12.73,    7.10,    4.85,   10.97
49.07815,1.22381,T2M,2018,    6.30,    0.80,    5.16,   11.33,   14.15,   17.20,   20.38,   18.56,   15.10,   11.98,    6.45,    5.78,   11.17
49.07815,1.22381,T2M,2019,    2.73,    5.09,    8.18,    9.62,   11.86,   17.13,   19.63,   18.72,   15.49,   11.95,    6.64,    5.50,   11.08
49.07815,1.22381,RH2M,1981,   91.32,   88.34,   87.54,   83.08,   85.73,   81.79,   83.41,   83.30,   83.16,   89.11,   91.15,   94.50,   86.88
49.07815,1.22381,RH2M,1982,   94.44,   92.07,   84.96,   80.79,   82.14,   81.88,   81.62,   81.70,   84.15,   90.38,   93.33,   94.04,   86.77
49.07815,1.22381,RH2M,1983,   92.63,   88.55,   87.91,   86.86,   84.31,   81.95,   81.50,   81.90,   83.91,   86.66,   93.67,   93.26,   86.91
49.07815,1.22381,RH2M,1984,   91.19,   88.17,   84.27,   77.68,   83.42,   78.28,   77.91,   81.13,   85.84,   90.74,   92.55,   94.67,   85.49
49.07815,1.22381,RH2M,1985,   91.35,   85.76,   86.22,   82.33,   83.25,   79.68,   78.78,   80.98,   82.09,   86.35,   90.45,   92.43,   84.98
