LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
42.76837,2.87094,T2M,1981,    4.25,    4.31,    9.93,   10.97,   13.30,   18.80,   19.51,   21.68,   18.72,   13.87,    9.78,    6.32,   12.67
42.76837,2.87094,T2M,1982,    7.17,    6.86,    6.94,   10.66,   13.99,   19.20,   23.06,   20.27,   18.31,   12.71,    9.13,    5.84,   12.88
42.76837,2.87094,T2M,1983,    6.22,    3.93,    8.14,   10.49,   13.74,   18.77,   24.27,   20.85,   19.34,   14.23,   10.66,    6.22,   13.13
42.76837,2.87094,T2M,1984,    5.34,    4.38,    6.18,   10.36,   11.43,   17.58,   21.93,   19.91,   16.52,   13.12,   10.65,    5.67,   11.94
42.76837,2.87094,T2M,1985,    0.38,    7.42,    6.15,   11.51,   12.90,   18.07,   22.96,   21.20,   20.08,   15.41,    6.01,    6.44,   12.40
42.76837,2.87094,T2M,1986,    4.60,    3.03,    7.55,    8.23,   16.15,   18.82,   22.21,   21.87,   19.25,   14.79,    9.35,    5.87,   12.71
42.76837,2.87094,T2M,1987,    2.36,    5.30,    6.93,   11.68,   13.03,   17.75,   21.34,   22.36,   21.06,   14.86,    8.61,    8.14,   12.82
42.76837,2.87094,T2M,1988,    7.35,    5.46,    7.30,   10.97,   14.60,   17.79,   21.85,   22.23,   18.42,   15.21,    9.10,    5.71,   13.03
42.76837,2.87094,T2M,1989,    5.95,    7.25,    9.84,    9.65,   16.30,   19.75,   23.14,   22.64,   17.72,   14.22,   10.27,    8.30,   13.80
42.76837,2.87094,T2M,1990,    6.43,    9.82,    9.60,   10.18,   16.75,   19.16,   22.70,   22.65,   19.02,   14.66,    8.35,    3.58,   13.60
42.76837,2.87094,T2M,1991,    5.35,    5.19,    9.89,    9.50,   12.71,   18.44,   23.05,   23.71,   20.07,   12.08,    8.22,    6.02,   12.90
42.76837,2.87094,T2M,1992,    4.16,    5.92,    8.16,   10.88,   16.13,   15.93,   21.17,   22.91,   17.99,   11.62,   10.77,    6.57,   12.71
42.76837,2.87094,T2M,1993,    6.33,    5.09,    7.84,   10.55,   15.14,   18.95,   20.41,   22.24,   16.88,   12.09,    7.73,    6.92,   12.56
42.76837,2.87094,T2M,1994,    5.34,    6.22,   10.60,    9.01,   15.81,   18.96,   24.22,   24.07,   16.97,   13.35,   11.40,    7.14,   13.65
42.76837,2.87094,T2M,1995,    4.75,    8.21,    7.39,   11.11,   14.71,   17.93,   23.12,   21.57,   15.85,   15.74,    9.52,    7.13,   13.12
42.76837,2.87094,T2M,1996,    7.61,    4.30,    7.41,   10.67,   14.15,   18.87,   21.22,   20.39,   15.70,   12.60,    8.53,    6.49,   12.36
42.76837,2.87094,T2M,1997,    5.52,    8.40,   10.49,   11.32,   15.45,   17.97,   20.17,   22.43,   19.11,   15.22,   10.18,    6.53,   13.60
42.76837,2.87094,T2M,1998,    6.24,    8.00,    9.11,   10.01,   15.22,   19.31,   22.42,   22.10,   17.67,   13.08,    6.96,    5.57,   13.01
42.76837,2.87094,T2M,1999,    5.83,    4.72,    8.78,   11.11,   16.17,   18.58,   21.85,   22.47,   19.35,   14.48,    6.92,    5.45,   13.03
42.76837,2.87094,T2M,2000,    4.38,    7.87,    8.68,   10.77,   16.22,   18.97,   20.31,   22.16,   18.74,   13.07,    9.18,    8.15,   13.22
42.76837,2.87094,T2M,2001,    6.31,    5.92,   11.15,   10.35,   15.69,   20.04,   21.94,   23.10,   16.61,   16.44,    7.19,    3.93,   13.28
42.76837,2.87094,T2M,2002,    6.50,    7.47,    9.83,   11.46,   13.80,   20.13,   21.03,   20.22,   17.14,   14.45,   10.01,    7.66,   13.34
42.76837,2.87094,T2M,2003,    4.03,    4.33,    9.76,   11.72,   15.99,   23.41,   23.89,   25.79,   18.18,   12.50,   10.35,    6.41,   13.92
42.76837,2.87094,T2M,2004,    5.77,    5.73,    7.10,    9.92,   13.46,   19.37,   20.93,   22.03,   18.61,   15.55,    7.69,    5.95,   12.70
42.76837,2.87094,T2M,2005,    4.75,    2.60,    7.27,   11.02,   15.87,   21.26,   22.53,   20.33,   17.91,   15.09,    8.26,    3.36,   12.58
42.76837,2.87094,T2M,2006,    4.88,    4.67,    8.61,   11.83,   15.79,   19.83,   25.02,   19.97,   19.23,   16.46,   11.43,    6.56,   13.74
42.76837,2.87094,T2M,2007,    7.22,    7.98,    8.08,   13.48,   15.47,   19.40,   21.31,   20.59,   17.38,   13.30,    7.48,    5.91,   13.16
42.76837,2.87094,T2M,2008,    7.41,    8.07,    7.97,   11.23,   15.18,   18.81,   21.95,   21.97,   17.46,   13.62,    7.77,    5.07,   13.06
42.76837,2.87094,T2M,2009,    4.56,    5.16,    8.28,   10.41,   16.38,   20.15,   22.46,   23.55,   18.82,   14.74,   10.46,    5.41,   13.41
42.76837,2.87094,T2M,2010,    3.29,    4.36,    6.75,   11.92,   13.41,   18.58,   23.36,   21.76,   17.70,   12.53,    7.88,    4.19,   12.19
42.76837,2.87094,T2M,2011,    4.88,    6.53,    8.58,   13.59,   16.79,   18.62,   20.00,   22.43,   20.01,   15.18,   11.52,    7.25,   13.82
42.76837,2.87094,T2M,2012,    5.90,    1.41,    9.65,   10.28,   15.93,   20.69,   21.51,   23.89,   18.04,   14.64,    9.56,    6.27,   13.19
42.76837,2.87094,T2M,2013,    5.04,    3.88,    7.77,   10.38,   12.27,   17.26,   23.12,   21.83,   18.55,   15.85,    7.73,    6.44,   12.57
