LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
49.23599,2.72808,T2M,1981,    2.31,    1.34,    8.38,    9.01,   12.35,   14.69,   16.76,   17.36,   14.89,    9.34,    5.82,    1.35,    9.51
49.23599,2.72808,T2M,1982,    1.04,    3.30,    5.36,    7.77,   12.68,   16.82,   18.37,   16.92,   16.47,   10.10,    7.20,    3.09,    9.96
49.23599,2.72808,T2M,1983,    4.59,    0.40,    5.81,    7.94,   10.77,   16.53,   20.60,   18.04,   14.46,   10.34,    5.24,    2.65,    9.84
49.23599,2.72808,T2M,1984,    2.98,    1.93,    4.11,    7.78,   10.11,   15.12,   17.20,   17.66,   13.54,   10.88,    8.36,    3.22,    9.43
49.23599,2.72808,T2M,1985,   -3.26,    0.10,    3.75,    8.71,   12.66,   14.45,   17.88,   15.98,   15.38,    9.99,    2.36,    3.83,    8.54
49.23599,2.72808,T2M,1986,    2.25,   -3.32,    4.17,    5.94,   13.01,   17.01,   17.59,   16.23,   12.26,   12.40,    6.78,    4.06,    9.12
49.23599,2.72808,T2M,1987,   -3.41,    1.38,    3.06,   10.60,   10.75,   14.73,   17.42,   17.20,   16.42,   11.28,    5.63,    2.75,    9.01
49.23599,2.72808,T2M,1988,    5.49,    3.75,    5.86,    9.37,   13.83,   15.65,   16.61,   17.54,   14.34,   11.39,    4.49,    5.63,   10.36
49.23599,2.72808,T2M,1989,    2.86,    4.45,    8.68,    7.55,   15.05,   15.76,   18.85,   18.15,   15.51,   12.31,    4.83,    3.57,   10.68
49.23599,2.72808,T2M,1990,    3.97,    7.56,    7.84,    8.42,   15.08,   15.68,   19.13,   20.92,   14.64,   12.69,    6.11,    2.23,   11.22
49.23599,2.72808,T2M,1991,    2.84,   -0.25,    8.65,    8.70,   11.51,   14.88,   19.98,   20.54,   17.62,   10.53,    5.41,    1.51,   10.23
49.23599,2.72808,T2M,1992,    1.02,    3.71,    7.36,    9.15,   15.23,   16.59,   19.56,   19.75,   14.85,    8.29,    7.97,    2.80,   10.54
49.23599,2.72808,T2M,1993,    4.72,    1.74,    5.93,   10.86,   14.38,   17.01,   17.19,   16.85,   13.52,    8.63,    2.15,    4.83,    9.87
49.23599,2.72808,T2M,1994,    4.44,    3.09,    7.76,    8.39,   12.97,   15.90,   20.94,   18.24,   13.74,   10.03,    9.34,    5.09,   10.88
49.23599,2.72808,T2M,1995,    3.79,    6.59,    5.26,    9.09,   12.81,   15.00,   20.43,   19.53,   13.69,   13.29,    5.94,    0.95,   10.56
49.23599,2.72808,T2M,1996,    1.88,    0.83,    4.39,    8.98,   11.07,   16.72,   17.69,   17.51,   12.97,   10.65,    5.21,   -0.03,    9.01
49.23599,2.72808,T2M,1997,   -1.81,    5.38,    8.19,    8.36,   13.07,   16.06,   18.00,   21.50,   15.46,   10.14,    6.89,    4.09,   10.47
49.23599,2.72808,T2M,1998,    3.29,    4.10,    7.24,    8.60,   14.89,   16.62,   17.25,   18.47,   15.21,   10.53,    3.29,    3.44,   10.29
49.23599,2.72808,T2M,1999,    4.67,    3.12,    7.27,    9.91,   14.79,   15.64,   19.71,   18.56,   17.30,   10.38,    4.81,    3.94,   10.89
49.23599,2.72808,T2M,2000,    2.32,    5.27,    6.80,    9.23,   14.60,   16.65,   16.08,   18.36,   15.63,   10.80,    6.98,    5.41,   10.69
49.23599,2.72808,T2M,2001,    3.16,    3.99,    7.10,    7.96,   14.01,   15.54,   18.43,   18.73,   12.82,   13.30,    5.10,    1.31,   10.17
49.23599,2.72808,T2M,2002,    3.20,    6.32,    7.22,    9.28,   12.82,   16.85,   17.45,   17.85,   13.86,   10.87,    8.07,    4.87,   10.75
49.23599,2.72808,T2M,2003,    1.24,    1.18,    7.73,    9.61,   13.41,   19.00,   19.32,   21.15,   15.18,    8.24,    7.16,    3.22,   10.59
49.23599,2.72808,T2M,2004,    3.07,    3.70,    5.51,    9.82,   12.64,   16.96,   18.07,   19.24,   16.41,   11.56,    5.97,    1.80,   10.41
49.23599,2.72808,T2M,2005,    3.72,    1.78,    6.31,   10.01,   13.34,   18.14,   19.02,   17.53,   16.52,   14.05,    5.22,    2.10,   10.70
49.23599,2.72808,T2M,2006,    0.77,    1.79,    4.46,    9.27,   13.79,   17.27,   22.44,   16.54,   17.95,   13.59,    8.03,    3.91,   10.87
49.23599,2.72808,T2M,2007,    6.22,    6.38,    6.75,   13.10,   14.39,   17.14,   17.07,   16.90,   14.05,   10.05,    5.40,    2.64,   10.86
