LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
46.43589,5.34219,T2M,1981,   -2.17,   -1.30,    6.93,    9.84,   12.15,   15.73,   17.28,   18.32,   15.62,    9.77,    3.87,    0.99,    8.98
46.43589,5.34219,T2M,1982,    3.02,    2.81,    4.06,    7.59,   13.22,   17.56,   20.85,   17.98,   17.39,    9.80,    6.28,    1.80,   10.23
46.43589,5.34219,T2M,1983,    2.02,   -1.00,    4.81,    8.18,   11.24,   17.11,   22.42,   19.43,   15.78,   10.15,    5.28,    1.31,    9.80
46.43589,5.34219,T2M,1984,    0.72,   -0.08,    3.29,    7.90,   10.08,   15.58,   19.01,   18.68,   13.94,   10.29,    7.71,    2.00,    9.12
46.43589,5.34219,T2M,1985,   -5.50,    1.41,    3.06,    8.53,   12.22,   15.11,   19.66,   18.26,   17.38,   11.92,    1.38,    2.61,    8.88
46.43589,5.34219,T2M,1986,    0.12,   -2.65,    4.04,    6.20,   14.48,   17.25,   19.41,   19.14,   15.97,   12.47,    5.92,    1.36,    9.55
46.43589,5.34219,T2M,1987,   -4.61,    0.86,    2.85,    9.78,   10.76,   15.15,   19.13,   18.77,   18.15,   11.92,    4.74,    3.08,    9.25
46.43589,5.34219,T2M,1988,    3.92,    1.75,    3.77,    9.90,   14.13,   16.21,   18.32,   19.72,   15.25,   12.04,    3.69,    2.02,   10.09
46.43589,5.34219,T2M,1989,    1.54,    3.43,    7.47,    7.52,   14.96,   16.33,   20.61,   20.17,   16.20,   11.41,    4.89,    3.38,   10.71
46.43589,5.34219,T2M,1990,    1.86,    6.64,    6.91,    7.54,   15.97,   16.80,   20.59,   21.55,   15.64,   12.96,    4.59,   -1.38,   10.84
46.43589,5.34219,T2M,1991,    1.26,    0.54,    8.08,    7.77,   10.99,   16.63,   21.81,   22.56,   18.57,    9.33,    4.45,   -0.12,   10.21
46.43589,5.34219,T2M,1992,   -0.84,    1.84,    5.76,    8.58,   14.72,   15.96,   19.83,   21.54,   15.47,    8.16,    6.68,    2.30,   10.03
46.43589,5.34219,T2M,1993,    2.75,    0.66,    4.71,    9.71,   14.17,   17.63,   18.16,   19.67,   13.98,    9.03,    2.16,    2.61,    9.66
46.43589,5.34219,T2M,1994,    1.47,    2.70,    7.84,    6.99,   13.49,   16.90,   22.16,   21.14,   14.31,   10.57,    8.00,    3.26,   10.79
46.43589,5.34219,T2M,1995,   -0.04,    4.63,    3.64,    8.25,   12.64,   15.13,   21.31,   19.63,   12.82,   13.57,    4.26,    1.58,    9.82
46.43589,5.34219,T2M,1996,    3.51,   -0.31,    3.88,    8.83,   12.35,   17.26,   18.07,   18.00,   12.63,   10.04,    4.17,    1.14,    9.16
46.43589,5.34219,T2M,1997,    0.04,    4.05,    6.98,    8.03,   13.80,   16.54,   18.34,   21.73,   16.99,   10.51,    6.18,    2.60,   10.52
46.43589,5.34219,T2M,1998,    1.83,    3.43,    5.37,    8.09,   14.18,   17.22,   19.71,   19.99,   14.92,    9.72,    1.80,    0.85,    9.80
46.43589,5.34219,T2M,1999,    2.34,   -0.11,    5.89,    8.63,   15.54,   15.57,   19.76,   19.60,   17.67,   10.74,    2.06,    1.62,   10.01
46.43589,5.34219,T2M,2000,    0.30,    3.82,    5.38,    9.45,   15.03,   17.81,   17.50,   20.63,   16.37,   10.52,    6.35,    4.46,   10.65
46.43589,5.34219,T2M,2001,    2.68,    3.08,    7.77,    7.23,   15.13,   16.25,   20.03,   20.64,   12.69,   13.89,    2.73,   -1.22,   10.14
46.43589,5.34219,T2M,2002,    0.50,    4.70,    6.88,    9.75,   12.66,   19.96,   19.55,   18.92,   14.48,   11.04,    7.33,    4.44,   10.88
46.43589,5.34219,T2M,2003,   -0.22,   -0.95,    6.87,    9.62,   14.85,   23.23,   22.46,   25.70,   16.04,    8.87,    6.53,    2.04,   11.32
46.43589,5.34219,T2M,2004,    0.93,    1.78,    4.21,    8.84,   12.63,   18.00,   19.97,   19.80,   16.26,   12.80,    4.15,    0.84,   10.04
