LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
50.45738,1.6652,T2M,1981,    4.15,    2.09,    8.06,    8.32,   11.83,   13.62,   15.96,   16.57,   14.96,    9.77,    7.36,    1.96,    9.60
50.45738,1.6652,T2M,1982,    1.74,    3.82,    5.46,    7.65,   12.03,   15.84,   17.21,   16.50,   16.00,   10.73,    8.30,    4.09,    9.98
50.45738,1.6652,T2M,1983,    6.02,    1.03,    5.70,    7.54,   10.26,   14.88,   18.90,   17.42,   14.55,   11.18,    6.86,    4.23,    9.94
50.45738,1.6652,T2M,1984,    4.26,    2.82,    4.52,    7.49,    9.67,   13.95,   16.19,   16.91,   13.85,   11.53,    9.06,    4.83,    9.61
50.45738,1.6652,T2M,1985,   -1.07,    0.11,    3.97,    8.12,   11.68,   13.56,   16.67,   15.58,   14.98,   10.90,    3.81,    5.87,    8.74
50.45738,1.6652,T2M,1986,    3.22,   -2.65,    4.16,    5.68,   11.52,   15.43,   16.27,   15.16,   12.17,   12.34,    8.02,    5.60,    8.99
50.45738,1.6652,T2M,1987,   -1.96,    2.24,    3.39,    9.75,   10.07,   13.71,   16.39,   16.33,   15.58,   11.39,    6.69,    3.97,    8.99
50.45738,1.6652,T2M,1988,    6.14,    4.53,    6.05,    8.31,   12.57,   14.08,   15.52,   16.33,   14.37,   11.55,    6.03,    6.85,   10.22
50.45738,1.6652,T2M,1989,    4.54,    5.48,    8.33,    7.14,   13.61,   14.59,   17.75,   17.16,   15.73,   12.89,    6.07,    4.77,   10.71
50.45738,1.6652,T2M,1990,    5.61,    7.74,    7.88,    8.23,   13.44,   14.18,   16.97,   18.67,   14.13,   12.58,    7.20,    4.00,   10.91
50.45738,1.6652,T2M,1991,    3.62,    0.42,    8.11,    8.22,   10.12,   13.05,   17.21,   17.74,   16.05,   10.85,    6.56,    3.11,    9.65
50.45738,1.6652,T2M,1992,    2.31,    4.51,    7.13,    8.39,   13.93,   15.36,   17.35,   17.50,   14.27,    8.94,    8.57,    3.68,   10.18
50.45738,1.6652,T2M,1993,    5.62,    3.05,    5.75,   10.01,   13.16,   15.42,   15.72,   15.49,   13.30,    9.04,    3.14,    6.00,    9.69
