LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
50.01467,14.69929,T2M,1981,   -5.13,   -2.44,    5.27,    6.39,   12.97,   16.75,   17.23,   16.37,   13.83,    7.79,    2.37,   -6.18,    7.15
50.01467,14.69929,T2M,1982,   -6.11,   -3.03,    3.01,    4.64,   12.42,   16.21,   18.90,   18.48,   16.76,    9.41,    3.84,    0.15,    7.95
50.01467,14.69929,T2M,1983,    1.37,   -4.66,    3.12,    9.06,   13.02,   16.40,   21.23,   18.25,   14.05,    8.54,    1.53,   -1.91,    8.42
50.01467,14.69929,T2M,1984,   -1.61,   -2.45,    0.93,    6.15,   11.40,   14.45,   16.11,   17.77,   12.60,    9.51,    2.87,   -1.52,    7.22
50.01467,14.69929,T2M,1985,   -8.57,   -5.92,    1.95,    6.66,   13.72,   13.82,   18.41,   17.55,   13.62,    7.95,   -1.33,    0.54,    6.62
50.01467,14.69929,T2M,1986,   -2.61,   -8.07,    1.81,    7.72,   14.70,   15.55,   17.57,   17.37,   11.60,    8.32,    3.79,   -0.95,    7.33
50.01467,14.69929,T2M,1987,   -9.90,   -3.41,   -2.72,    7.45,   10.32,   14.65,   17.43,   15.32,   14.58,    8.31,    2.93,   -0.59,    6.24
50.01467,14.69929,T2M,1988,    0.61,    0.22,    0.66,    7.09,   13.77,   15.51,   18.55,   17.86,   13.31,    8.60,   -0.37,   -0.13,    8.01
50.01467,14.69929,T2M,1989,   -0.63,    1.57,    5.40,    8.06,   13.09,   15.48,   18.19,   18.14,   14.97,    9.36,    0.47,   -0.55,    8.68
50.01467,14.69929,T2M,1990,   -1.36,    2.91,    5.86,    6.94,   13.85,   16.58,   17.93,   19.58,   11.76,    8.65,    2.90,   -3.02,    8.58
50.01467,14.69929,T2M,1991,   -1.19,   -4.66,    4.44,    6.14,    9.00,   14.62,   19.54,   18.18,   14.92,    7.08,    1.06,   -2.96,    7.26
50.01467,14.69929,T2M,1992,   -1.88,    0.40,    2.84,    6.95,   13.48,   18.03,   19.76,   21.53,   13.88,    6.26,    2.66,   -3.27,    8.41
50.01467,14.69929,T2M,1993,   -1.03,   -3.14,    1.26,    8.80,   15.77,   16.64,   17.04,   17.57,   12.62,    7.44,   -1.34,    0.39,    7.74
50.01467,14.69929,T2M,1994,    0.65,   -2.17,    4.91,    7.38,   12.48,   16.48,   22.45,   19.23,   14.30,    6.18,    4.83,    0.46,    9.00
50.01467,14.69929,T2M,1995,   -2.91,    2.17,    1.86,    7.82,   12.08,   14.81,   20.92,   18.86,   12.60,    9.97,   -0.34,   -5.06,    7.77
50.01467,14.69929,T2M,1996,   -7.65,   -6.21,   -1.07,    7.08,   12.32,   16.43,   16.30,   17.34,   10.16,    8.91,    3.45,   -7.13,    5.86
50.01467,14.69929,T2M,1997,   -7.71,    0.41,    3.32,    4.75,   13.03,   16.67,   17.23,   19.38,   14.05,    6.18,    1.42,   -0.82,    7.36
50.01467,14.69929,T2M,1998,   -0.61,    1.43,    2.34,    9.08,   13.95,   17.59,   17.82,   18.10,   12.82,    8.07,   -0.27,   -2.60,    8.18
50.01467,14.69929,T2M,1999,   -1.15,   -2.39,    3.55,    8.26,   13.42,   15.74,   19.37,   17.98,   16.92,    8.20,    1.08,   -1.21,    8.38
50.01467,14.69929,T2M,2000,   -3.48,    1.44,    3.24,   10.30,   15.04,   18.17,   16.33,   19.46,   13.70,   10.69,    4.33,    0.01,    9.12
50.01467,14.69929,T2M,2001,   -2.98,   -0.31,    2.54,    6.72,   14.23,   14.82,   19.06,   19.40,   11.53,   11.38,    1.21,   -4.52,    7.81
50.01467,14.69929,T2M,2002,   -3.72,    2.63,    3.68,    7.23,   15.55,   18.47,   19.50,   19.69,   12.62,    6.90,    3.34,   -4.10,    8.51
