LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
48.81807,4.11224,T2M,1981,    0.64,    0.77,    8.13,    9.11,   12.54,   15.13,   17.17,   17.79,   15.24,    9.47,    4.99,    1.23,    9.40
48.81807,4.11224,T2M,1982,    0.94,    2.69,    4.87,    7.50,   12.95,   17.14,   19.58,   18.01,   17.77,   10.18,    6.95,    2.71,   10.14
48.81807,4.11224,T2M,1983,    3.67,   -0.07,    5.11,    7.99,   10.66,   16.90,   21.05,   19.37,   15.07,   10.45,    4.80,    1.94,    9.81
48.81807,4.11224,T2M,1984,    2.00,    1.12,    3.65,    7.61,   10.17,   15.15,   18.10,   18.97,   13.79,   10.61,    8.12,    2.41,    9.33
48.81807,4.11224,T2M,1985,   -4.24,   -0.18,    3.27,    8.52,   12.86,   14.40,   18.71,   17.14,   16.24,   10.23,    1.96,    2.96,    8.54
48.81807,4.11224,T2M,1986,    1.68,   -3.93,    3.95,    5.97,   13.51,   17.38,   18.90,   17.77,   13.00,   12.20,    6.16,    2.92,    9.22
48.81807,4.11224,T2M,1987,   -3.71,    1.04,    2.50,   10.03,   10.69,   15.00,   18.07,   17.85,   17.40,   11.62,    5.26,    2.27,    9.04
48.81807,4.11224,T2M,1988,    5.23,    2.86,    5.14,    9.53,   14.26,   16.23,   17.31,   19.19,   15.00,   11.64,    4.03,    4.78,   10.47
48.81807,4.11224,T2M,1989,    2.23,    3.53,    8.46,    7.55,   15.15,   16.34,   20.13,   19.69,   16.27,   12.19,    4.49,    3.02,   10.81
48.81807,4.11224,T2M,1990,    2.70,    7.04,    7.39,    7.98,   15.67,   16.79,   20.18,   22.03,   14.63,   12.59,    5.56,    0.98,   11.16
48.81807,4.11224,T2M,1991,    1.99,   -0.50,    8.25,    8.14,   11.55,   15.45,   21.54,   21.45,   18.17,    9.93,    4.81,    0.75,   10.20
48.81807,4.11224,T2M,1992,    0.08,    3.02,    6.68,    8.67,   15.13,   17.17,   20.56,   20.97,   15.23,    8.10,    7.24,    2.50,   10.47
48.81807,4.11224,T2M,1993,    3.99,    0.75,    5.35,   10.71,   14.54,   17.69,   18.10,   18.03,   13.76,    8.50,    1.71,    4.18,    9.84
48.81807,4.11224,T2M,1994,    3.65,    2.66,    7.52,    8.11,   13.05,   16.51,   22.44,   19.27,   14.14,   10.12,    8.64,    4.81,   10.97
48.81807,4.11224,T2M,1995,    2.55,    5.68,    4.47,    8.81,   13.03,   14.96,   21.28,   20.34,   13.62,   13.46,    5.22,    0.75,   10.38
48.81807,4.11224,T2M,1996,    1.59,    0.24,    3.63,    8.90,   11.81,   17.66,   18.79,   18.45,   12.87,   10.16,    4.86,   -0.27,    9.08
48.81807,4.11224,T2M,1997,   -2.28,    4.54,    7.35,    7.79,   13.02,   16.27,   18.45,   22.17,   15.72,    9.77,    6.13,    3.52,   10.24
48.81807,4.11224,T2M,1998,    2.75,    3.31,    6.38,    8.29,   14.39,   17.10,   18.21,   19.90,   15.17,   10.09,    2.28,    2.26,   10.06
48.81807,4.11224,T2M,1999,    3.88,    1.99,    6.67,    9.38,   14.89,   15.79,   20.61,   19.59,   17.88,   10.08,    3.61,    3.10,   10.68
48.81807,4.11224,T2M,2000,    1.46,    4.65,    5.89,    9.18,   14.77,   17.07,   16.34,   19.32,   16.06,   10.63,    6.99,    5.36,   10.66
48.81807,4.11224,T2M,2001,    2.98,    3.57,    7.21,    7.73,   14.36,   15.50,   19.08,   19.86,   12.63,   13.28,    4.00,    0.52,   10.11
48.81807,4.11224,T2M,2002,    1.94,    5.67,    6.64,    8.83,   12.98,   17.98,   18.96,   19.13,   14.49,   10.95,    7.84,    4.63,   10.86
48.81807,4.11224,T2M,2003,    0.51,    0.22,    7.31,    9.50,   13.94,   20.36,   20.95,   23.92,   15.76,    8.17,    6.96,    2.68,   10.92
48.81807,4.11224,T2M,2004,    1.88,    2.83,    4.75,    9.58,   12.40,   17.17,   18.90,   19.60,   16.28,   11.59,    5.16,    0.94,   10.11
48.81807,4.11224,T2M,2005,    2.50,    0.58,    5.83,    9.85,   13.62,   18.98,   20.16,   18.02,   16.55,   13.64,    4.59,    1.19,   10.52
48.81807,4.11224,T2M,2006,   -0.34,    1.02,    4.23,    9.11,   13.74,   17.65,   23.76,   16.61,   18.04,   13.49,    7.75,    3.38,   10.76
48.81807,4.11224,T2M,2007,    5.44,    5.94,    6.08,   12.94,   14.98,   18.06,   17.78,   17.29,   13.96,    9.91,    4.62,    2.01,   10.77
48.81807,4.11224,T2M,2008,    3.84,    4.06,    5.30,    8.01,   15.17,   16.63,   18.64,   18.59,   13.17,    9.90,    5.72,    1.05,   10.03
48.81807,4.11224,T2M,2009,   -1.26,    1.43,    5.24,   11.24,   14.52,   16.45,   19.25,   20.50,   15.91,   10.30,    8.20,    1.84,   10.34
48.81807,4.11224,T2M,2010,   -1.64,    1.23,    4.98,    9.26,   11.76,   17.62,   21.52,   18.16,   14.11,    9.55,    5.39,   -2.47,    9.16
48.81807,4.11224,T2M,2011,    1.81,    3.18,    6.50,   12.35,   14.72,   17.39,   17.25,   19.09,   17.21,   11.46,    7.56,    5.09,   11.17
48.81807,4.11224,T2M,2012,    3.60,   -1.40,    7.73,    8.20,   14.49,   16.19,   17.79,   20.35,   15.26,   10.77,    5.72,    3.83,   10.26
48.81807,4.11224,T2M,2013,    0.77,    0.22,    2.82,    8.67,   10.80,   15.93,   20.55,   18.84,   15.52,   12.49,    4.94,    3.08,    9.61
48.81807,4.11224,T2M,2014,    4.36,    4.73,    7.18,   11.00,   13.01,   17.69,   19.90,   16.88,   16.53,   12.87,    7.79,    2.95,   11.27
48.81807,4.11224,T2M,2015,    1.97,    1.57,    5.92,   10.05,   13.12,   17.48,   21.77,   20.88,   13.90,    9.52,    8.51,    6.45,   10.99
48.81807,4.11224,T2M,2016,    3.17,    4.03,    4.42,    8.42,   13.38,   16.76,   19.07,   19.41,   17.80,    9.71,    5.15,    1.70,   10.27
48.81807,4.11224,T2M,2017,   -1.45,    4.79,    8.45,    8.71,   15.10,   20.11,   20.49,   19.10,   14.17,   11.89,    5.36,    3.17,   10.86
48.81807,4.11224,T2M,2018,    5.78,   -0.69,    4.60,   12.05,   15.40,   18.40,   22.53,   21.18,   16.92,   12.11,    6.43,    4.52,   11.68
48.81807,4.11224,T2M,2019,    1.08,    4.36,    7.53,    9.72,   12.09,   19.32,   21.97,   21.15,   16.49,   12.23,    5.91,    4.87,   11.43
48.81807,4.11224,RH2M,1981,   93.08,   89.55,   89.33,   84.47,   82.91,   81.71,   81.92,   80.60,   78.07,   88.62,   92.34,   95.20,   86.48
48.81807,4.11224,RH2M,1982,   95.47,   92.79,   88.04,   82.21,   80.51,   80.51,   73.45,   71.87,   70.56,   89.80,   91.90,   95.15,   84.32
48.81807,4.11224,RH2M,1983,   95.49,   91.05,   90.83,   89.15,   86.39,   80.32,   78.40,   70.64,   74.69,   80.44,   88.92,   92.48,   84.87
48.81807,4.11224,RH2M,1984,   93.88,   90.68,   85.05,   77.57,   82.32,   78.50,   69.34,   67.50,   81.62,   90.57,   92.20,   95.99,   83.75
48.81807,4.11224,RH2M,1985,   91.30,   87.77,   89.43,   82.95,   83.61,   80.71,   72.63,   70.38,   69.89,   76.27,   88.39,   92.56,   82.13
48.81807,4.11224,RH2M,1986,   92.92,   84.71,   87.44,   84.68,   80.12,   77.87,   65.30,   65.96,   76.21,   85.25,   92.43,   95.22,   82.32
48.81807,4.11224,RH2M,1987,   87.54,   94.19,   83.73,   81.71,   77.84,   80.71,   77.87,   73.95,   74.08,   85.29,   92.45,   94.44,   83.58
48.81807,4.11224,RH2M,1988,   93.78,   91.75,   89.72,   80.30,   82.03,   79.10,   76.01,   65.29,   75.73,   85.45,   93.13,   95.51,   83.96
48.81807,4.11224,RH2M,1989,   95.97,   91.61,   84.24,   84.08,   76.34,   72.47,   65.12,   62.54,   66.24,   76.84,   85.79,   93.17,   79.46
48.81807,4.11224,RH2M,1990,   94.06,   87.83,   82.38,   77.90,   65.01,   65.36,   52.29,   49.41,   63.84,   75.72,   90.87,   93.72,   74.76
