LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
49.53446,-1.52979,T2M,1981,    7.92,    6.07,    9.08,    9.09,   11.48,   13.48,   15.57,   17.12,   16.55,   12.61,   10.88,    7.18,   11.45
49.53446,-1.52979,T2M,1982,    6.94,    7.31,    7.98,    9.44,   11.59,   14.72,   15.96,   16.52,   16.63,   13.44,   11.58,    8.53,   11.74
49.53446,-1.52979,T2M,1983,    9.02,    5.39,    7.75,    8.42,   10.75,   13.78,   17.20,   17.33,   15.78,   13.59,   11.19,    8.82,   11.63
49.53446,-1.52979,T2M,1984,    7.95,    6.90,    6.91,    8.86,   10.14,   13.74,   15.98,   17.19,   15.73,   13.94,   11.70,    9.23,   11.54
49.53446,-1.52979,T2M,1985,    4.84,    5.40,    6.81,    9.38,   11.29,   13.28,   15.94,   15.92,   16.05,   14.04,    9.16,    9.63,   11.01
49.53446,-1.52979,T2M,1986,    7.69,    3.01,    6.59,    7.01,   10.80,   13.66,   15.33,   15.27,   14.12,   14.11,   11.21,    9.35,   10.73
49.53446,-1.52979,T2M,1987,    3.93,    5.77,    6.49,    9.61,   10.65,   13.30,   15.92,   16.78,   16.35,   13.49,   10.42,    8.63,   10.97
49.53446,-1.52979,T2M,1988,    8.87,    7.42,    8.26,    9.34,   11.85,   13.84,   15.30,   16.28,   15.45,   13.97,   10.25,    9.95,   11.75
49.53446,-1.52979,T2M,1989,    8.55,    8.59,    9.61,    8.79,   12.66,   14.51,   17.38,   17.78,   17.20,   15.27,   11.04,    9.47,   12.60
49.53446,-1.52979,T2M,1990,    9.35,    9.78,    9.52,    9.45,   12.89,   13.95,   16.37,   17.82,   16.17,   14.92,   10.83,    8.07,   12.45
49.53446,-1.52979,T2M,1991,    7.19,    4.69,    8.64,    8.89,   10.50,   12.67,   15.58,   16.74,   16.49,   13.39,   10.35,    7.98,   11.13
49.53446,-1.52979,T2M,1992,    6.89,    7.18,    8.38,    9.02,   12.42,   14.52,   16.30,   16.88,   15.47,   12.00,   11.52,    8.36,   11.59
49.53446,-1.52979,T2M,1993,    9.06,    6.90,    8.00,    9.98,   11.82,   14.22,   15.36,   16.05,   14.97,   12.24,    8.66,    9.19,   11.40
49.53446,-1.52979,T2M,1994,    8.53,    7.20,    9.11,    8.95,   11.43,   13.83,   16.53,   17.01,   15.19,   13.82,   12.87,   10.64,   12.13
49.53446,-1.52979,T2M,1995,    8.51,    9.49,    8.12,    9.53,   12.07,   13.78,   16.91,   18.30,   15.88,   15.46,   11.51,    7.79,   12.30
49.53446,-1.52979,T2M,1996,    7.79,    6.12,    6.95,    9.06,   10.06,   14.04,   15.79,   16.77,   15.52,   14.30,   10.50,    7.28,   11.20
49.53446,-1.52979,T2M,1997,    4.85,    8.36,    9.27,    9.80,   12.09,   14.22,   15.87,   18.05,   16.74,   14.54,   12.28,    9.76,   12.17
49.53446,-1.52979,T2M,1998,    8.39,    8.32,    9.26,    9.19,   12.45,   14.34,   15.65,   16.74,   16.39,   13.93,    9.94,    9.10,   12.00
49.53446,-1.52979,T2M,1999,    9.05,    7.82,    8.68,    9.96,   12.63,   14.34,   16.77,   17.42,   17.18,   14.09,   10.96,    9.28,   12.38
49.53446,-1.52979,T2M,2000,    7.86,    8.80,    8.58,    9.14,   11.86,   14.23,   15.61,   17.07,   16.63,   13.67,   10.56,    9.32,   11.95
49.53446,-1.52979,T2M,2001,    7.56,    7.56,    8.35,    9.34,   11.77,   14.21,   16.35,   17.47,   15.69,   15.45,   11.29,    8.21,   11.97
49.53446,-1.52979,T2M,2002,    8.57,    9.39,    9.43,   10.25,   12.24,   13.90,   15.59,   16.89,   16.47,   14.21,   12.14,    9.53,   12.40
49.53446,-1.52979,T2M,2003,    7.48,    6.85,    8.85,    9.87,   11.88,   14.99,   16.81,   18.28,   16.85,   13.15,   11.71,    8.78,   12.16
