LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
47.402,5.13647,T2M,1981,   -1.39,   -0.34,    7.34,    9.56,   12.27,   15.58,   17.35,   17.68,   15.02,    9.47,    3.93,    1.18,    9.03
47.402,5.13647,T2M,1982,    2.58,    2.57,    4.22,    7.39,   13.07,   17.23,   19.62,   17.24,   16.79,    9.66,    6.26,    2.10,    9.93
47.402,5.13647,T2M,1983,    2.45,   -0.73,    4.86,    8.19,   10.74,   17.10,   21.59,   18.52,   14.93,    9.72,    4.58,    1.35,    9.51
47.402,5.13647,T2M,1984,    0.93,    0.28,    3.24,    7.74,   10.04,   15.29,   17.82,   17.81,   13.38,   10.25,    7.65,    2.02,    8.90
47.402,5.13647,T2M,1985,   -5.34,    0.85,    3.13,    8.48,   12.44,   14.81,   19.00,   17.13,   16.05,   10.70,    1.07,    2.66,    8.46
47.402,5.13647,T2M,1986,    0.67,   -3.80,    3.77,    6.08,   14.07,   17.09,   18.37,   17.40,   14.37,   11.66,    5.71,    1.76,    9.01
47.402,5.13647,T2M,1987,   -4.43,    1.02,    2.45,    9.72,   10.67,   15.05,   18.54,   17.61,   17.00,   11.47,    4.55,    2.38,    8.87
47.402,5.13647,T2M,1988,    4.26,    2.07,    4.17,    9.70,   14.24,   16.23,   17.67,   18.52,   14.40,   11.43,    3.63,    2.94,    9.97
47.402,5.13647,T2M,1989,    1.39,    3.34,    7.77,    7.45,   15.08,   15.73,   19.14,   18.67,   15.26,   11.15,    4.20,    3.00,   10.23
47.402,5.13647,T2M,1990,    1.66,    6.62,    7.08,    7.79,   15.58,   16.33,   19.87,   21.02,   15.01,   12.63,    4.76,   -0.89,   10.65
47.402,5.13647,T2M,1991,    1.36,   -0.02,    8.09,    7.96,   11.12,   15.66,   21.39,   21.96,   18.23,    9.22,    4.35,    0.03,   10.01
47.402,5.13647,T2M,1992,   -0.74,    2.12,    5.96,    8.62,   15.03,   16.32,   19.81,   21.19,   15.20,    8.07,    6.78,    2.33,   10.08
47.402,5.13647,T2M,1993,    2.85,    0.56,    5.02,   10.23,   14.36,   17.40,   17.82,   18.81,   13.75,    8.72,    1.73,    3.21,    9.60
47.402,5.13647,T2M,1994,    2.07,    2.69,    8.00,    7.34,   13.29,   16.80,   21.36,   19.22,   13.98,   10.31,    7.86,    3.73,   10.61
47.402,5.13647,T2M,1995,    0.88,    4.84,    3.92,    8.50,   12.91,   14.97,   20.58,   18.71,   12.60,   13.30,    4.37,    1.07,    9.76
47.402,5.13647,T2M,1996,    2.52,    0.08,    3.55,    8.89,   12.20,   16.92,   17.48,   17.40,   12.18,    9.92,    4.07,    0.71,    8.86
47.402,5.13647,T2M,1997,   -0.90,    4.17,    7.08,    7.95,   13.43,   15.98,   17.77,   21.11,   15.86,    9.75,    5.73,    2.81,   10.10
47.402,5.13647,T2M,1998,    2.19,    3.13,    5.54,    8.12,   14.18,   16.81,   18.16,   19.06,   14.41,    9.59,    1.80,    1.11,    9.55
47.402,5.13647,T2M,1999,    2.77,    0.90,    6.21,    8.99,   15.20,   15.37,   19.16,   18.69,   17.14,   10.20,    2.35,    2.16,    9.99
47.402,5.13647,T2M,2000,    0.40,    4.06,    5.33,    9.29,   14.94,   17.33,   16.51,   19.54,   15.92,   10.56,    6.51,    4.61,   10.43
47.402,5.13647,T2M,2001,    2.59,    3.30,    7.56,    7.52,   15.15,   15.86,   19.67,   20.30,   12.45,   13.67,    2.81,   -0.47,   10.09
47.402,5.13647,T2M,2002,    0.58,    5.26,    7.01,    9.61,   12.94,   19.72,   19.47,   19.09,   14.43,   10.81,    7.37,    4.55,   10.93
47.402,5.13647,T2M,2003,    0.05,   -0.34,    7.01,    9.79,   14.68,   22.80,   21.82,   25.25,   15.89,    8.27,    6.23,    2.12,   11.20
47.402,5.13647,T2M,2004,    1.27,    2.03,    4.33,    9.23,   12.55,   17.57,   19.05,   19.62,   15.97,   12.32,    4.26,    0.68,    9.93
47.402,5.13647,T2M,2005,    0.97,   -0.34,    5.17,    9.44,   13.80,   18.38,   19.21,   17.42,   16.13,   13.05,    4.01,   -0.13,    9.82
47.402,5.13647,T2M,2006,   -0.94,    0.31,    4.26,    8.99,   13.39,   17.68,   22.84,   16.04,   17.55,   13.40,    7.44,    2.44,   10.34
47.402,5.13647,T2M,2007,    3.99,    5.13,    5.73,   13.29,   14.79,   17.50,   17.33,   17.00,   13.29,    9.58,    3.66,    1.18,   10.23
47.402,5.13647,T2M,2008,    2.83,    3.77,    4.61,    8.00,   15.24,   16.98,   18.33,   17.47,   12.69,    9.50,    4.89,    0.28,    9.57
47.402,5.13647,T2M,2009,   -1.90,    0.69,    4.69,   10.75,   15.09,   16.57,   18.86,   19.83,   15.28,    9.90,    7.56,    1.46,    9.95
47.402,5.13647,T2M,2010,   -2.00,    0.61,    4.41,    9.75,   11.64,   16.97,   20.28,   17.65,   13.52,    9.32,    5.04,   -1.24,    8.87
47.402,5.13647,T2M,2011,    1.29,    2.39,    6.42,   12.14,   15.17,   16.87,   16.34,   18.86,   16.72,   10.81,    7.12,    4.17,   10.73
47.402,5.13647,T2M,2012,    2.53,   -2.44,    7.35,    8.36,   14.25,   17.16,   17.78,   19.35,   14.58,   10.97,    5.75,    2.75,    9.92
47.402,5.13647,T2M,2013,    0.02,   -0.76,    3.29,    8.86,   10.55,   16.00,   20.36,   18.02,   15.09,   12.36,    4.23,    2.43,    9.27
47.402,5.13647,T2M,2014,    3.71,    4.12,    7.09,   10.66,   12.63,   17.55,   18.52,   16.71,   15.96,   12.94,    7.76,    2.54,   10.88
47.402,5.13647,T2M,2015,    1.56,    0.66,    6.26,    9.89,   13.69,   18.07,   21.21,   20.26,   13.89,    9.18,    7.45,    6.01,   10.74
47.402,5.13647,T2M,2016,    2.98,    3.92,    4.59,    8.58,   12.95,   16.91,   19.43,   19.35,   17.02,    9.26,    5.15,    1.56,   10.16
47.402,5.13647,T2M,2017,   -2.09,    4.70,    8.46,    8.85,   14.57,   19.45,   19.84,   19.69,   13.75,   11.45,    4.64,    1.87,   10.47
47.402,5.13647,T2M,2018,    5.36,   -0.76,    4.59,   12.22,   15.46,   18.32,   21.26,   20.18,   16.82,   11.57,    6.34,    3.91,   11.35
47.402,5.13647,T2M,2019,    0.31,    3.96,    7.23,    9.59,   11.83,   19.18,   21.67,   20.42,   16.33,   12.40,    5.66,    4.47,   11.13
47.402,5.13647,RH2M,1981,   91.76,   87.75,   89.32,   81.30,   81.75,   79.51,   79.84,   80.27,   82.62,   89.25,   92.43,   94.77,   85.89
47.402,5.13647,RH2M,1982,   94.00,   90.80,   86.53,   78.46,   77.14,   80.19,   78.40,   79.70,   79.62,   89.82,   91.05,   94.97,   85.04
47.402,5.13647,RH2M,1983,   94.72,   91.60,   90.34,   88.65,   86.62,   78.95,   76.67,   79.68,   81.44,   84.62,   89.05,   91.85,   86.16
47.402,5.13647,RH2M,1984,   93.99,   90.26,   83.00,   76.32,   82.64,   78.53,   73.50,   75.22,   82.19,   88.93,   90.00,   94.47,   84.08
47.402,5.13647,RH2M,1985,   91.29,   88.87,   87.33,   80.02,   82.85,   78.86,   75.94,   74.67,   73.89,   77.05,   88.64,   91.94,   82.58
47.402,5.13647,RH2M,1986,   92.20,   87.52,   87.00,   84.10,   82.12,   78.22,   72.53,   72.33,   77.04,   85.71,   89.83,   94.80,   83.60
47.402,5.13647,RH2M,1987,   88.21,   92.73,   82.10,   79.02,   77.77,   81.80,   79.94,   77.39,   79.56,   86.91,   94.21,   94.23,   84.43
47.402,5.13647,RH2M,1988,   93.19,   90.35,   89.92,   80.99,   82.65,   79.00,   77.18,   74.05,   79.30,   87.50,   90.53,   95.17,   84.98
47.402,5.13647,RH2M,1989,   93.72,   89.04,   80.95,   83.38,   75.37,   73.92,   73.24,   68.53,   70.94,   76.94,   84.06,   88.09,   79.79
47.402,5.13647,RH2M,1990,   90.61,   87.23,   79.21,   76.64,   69.13,   71.88,   58.29,   53.75,   62.64,   76.37,   89.78,   93.00,   75.62
47.402,5.13647,RH2M,1991,   88.68,   84.64,   80.15,   69.75,   66.01,   65.53,   55.80,   50.25,   63.50,   83.66,   91.08,   90.56,   74.07
47.402,5.13647,RH2M,1992,   91.24,   87.61,   81.38,   74.76,   71.67,   76.04,   69.62,   60.41,   71.26,   84.63,   93.10,   91.76,   79.42
47.402,5.13647,RH2M,1993,   92.61,   84.88,   76.52,   76.83,   76.27,   75.37,   69.68,   60.28,   77.23,   88.48,   88.56,   95.29,   80.14
47.402,5.13647,RH2M,1994,   92.21,   89.80,   87.24,   83.45,   80.59,   78.65,   73.38,   72.60,   81.66,   83.95,   92.99,   92.09,   84.00
