LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
47.28439,0.1257,T2M,1981,    3.61,    2.05,    9.08,   10.09,   12.47,   15.57,   17.88,   19.81,   16.89,   11.26,    6.63,    4.48,   10.87
47.28439,0.1257,T2M,1982,    5.32,    5.34,    6.32,    8.79,   13.58,   17.96,   20.15,   18.07,   18.05,   11.34,    8.49,    4.92,   11.56
47.28439,0.1257,T2M,1983,    5.27,    2.47,    7.16,    8.71,   11.37,   17.50,   21.70,   19.14,   16.22,   11.50,    7.14,    3.69,   11.04
47.28439,0.1257,T2M,1984,    4.70,    3.24,    5.20,    9.59,   10.61,   16.84,   19.97,   19.31,   15.12,   11.66,    9.35,    4.04,   10.82
47.28439,0.1257,T2M,1985,   -1.09,    3.17,    4.94,    9.65,   12.46,   15.31,   19.25,   17.25,   17.79,   12.04,    3.79,    4.49,    9.96
47.28439,0.1257,T2M,1986,    4.14,   -1.64,    5.95,    6.52,   13.08,   17.89,   19.61,   18.13,   14.98,   14.27,    7.75,    5.42,   10.59
47.28439,0.1257,T2M,1987,   -2.76,    3.21,    4.79,   11.23,   12.20,   16.34,   20.08,   20.09,   18.69,   12.73,    6.78,    4.43,   10.68
47.28439,0.1257,T2M,1988,    7.10,    5.11,    6.86,   10.77,   14.35,   17.09,   17.79,   19.84,   16.49,   13.17,    6.30,    5.88,   11.75
47.28439,0.1257,T2M,1989,    3.37,    5.73,    9.82,    8.46,   16.92,   18.94,   22.09,   21.24,   17.80,   14.24,    6.81,    5.34,   12.62
47.28439,0.1257,T2M,1990,    5.30,    9.16,    8.36,    9.52,   17.14,   17.43,   22.32,   23.49,   17.33,   14.21,    7.52,    2.69,   12.90
47.28439,0.1257,T2M,1991,    3.61,    1.39,    9.31,    9.66,   13.31,   16.38,   21.76,   23.13,   19.22,   11.12,    6.86,    2.58,   11.59
47.28439,0.1257,T2M,1992,    1.39,    4.28,    8.06,    9.58,   16.51,   18.27,   21.11,   21.02,   16.00,    9.60,    9.46,    4.52,   11.67
47.28439,0.1257,T2M,1993,    5.90,    3.19,    7.15,   10.72,   14.28,   17.97,   18.41,   19.08,   14.68,    9.70,    3.76,    6.47,   11.00
47.28439,0.1257,T2M,1994,    5.78,    5.58,    9.25,    9.26,   13.92,   17.56,   22.38,   20.58,   14.93,   12.34,    9.98,    7.14,   12.44
47.28439,0.1257,T2M,1995,    4.82,    7.80,    6.64,    9.64,   13.77,   16.37,   21.87,   21.87,   14.80,   15.05,    7.04,    3.47,   11.96
47.28439,0.1257,T2M,1996,    5.61,    3.03,    6.10,   10.06,   12.27,   18.27,   19.71,   19.35,   15.05,   12.17,    6.80,    2.05,   10.90
47.28439,0.1257,T2M,1997,    0.30,    6.72,    9.10,    9.79,   13.95,   16.57,   19.31,   22.56,   17.49,   12.32,    8.69,    5.37,   11.88
47.28439,0.1257,T2M,1998,    4.59,    4.59,    7.77,    8.96,   14.72,   16.71,   18.42,   20.29,   16.43,   11.81,    4.77,    4.41,   11.17
47.28439,0.1257,T2M,1999,    5.56,    4.60,    8.06,   10.30,   15.30,   16.49,   20.63,   19.42,   17.83,   12.01,    5.42,    5.48,   11.81
47.28439,0.1257,T2M,2000,    2.99,    6.41,    6.76,    9.32,   14.87,   17.38,   17.31,   19.60,   16.67,   11.43,    7.83,    6.89,   11.47
47.28439,0.1257,T2M,2001,    4.88,    4.69,    8.39,    8.53,   14.45,   16.45,   18.84,   19.45,   14.00,   14.45,    5.22,    1.75,   10.98
47.28439,0.1257,T2M,2002,    4.88,    6.78,    7.97,    9.96,   12.96,   17.43,   18.41,   18.27,   15.25,   12.40,    9.13,    6.92,   11.72
47.28439,0.1257,T2M,2003,    2.22,    2.98,    8.45,   10.54,   13.82,   20.46,   20.35,   24.14,   16.87,    9.92,    8.39,    4.39,   11.93
47.28439,0.1257,T2M,2004,    4.58,    3.93,    5.79,    9.84,   13.21,   18.18,   19.10,   19.64,   17.56,   12.61,    7.02,    3.44,   11.26
