LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.69935,6.86872,T2M,1981,   -9.08,   -6.84,   -0.39,    3.04,    5.55,   10.96,   11.86,   13.46,    9.52,    3.66,   -0.17,   -7.58,    2.88
44.69935,6.86872,T2M,1982,   -5.32,   -6.15,   -5.58,    0.75,    6.89,   10.99,   15.18,   13.02,   10.57,    3.34,   -0.43,   -5.63,    3.19
44.69935,6.86872,T2M,1983,   -3.62,   -8.89,   -1.48,    0.85,    4.64,   10.50,   16.09,   12.18,    9.91,    5.29,    0.32,   -4.71,    3.50
44.69935,6.86872,T2M,1984,   -7.88,   -8.86,   -5.65,    0.51,    2.70,    9.40,   13.26,   11.90,    7.52,    4.51,   -0.57,   -4.30,    1.91
44.69935,6.86872,T2M,1985,  -11.19,   -4.60,   -5.08,    1.41,    5.22,    9.43,   14.67,   13.61,   12.52,    6.17,   -4.50,   -2.30,    2.99
44.69935,6.86872,T2M,1986,   -8.99,  -10.28,   -3.44,   -0.41,    8.29,   10.90,   13.41,   13.51,   10.75,    5.98,    0.33,   -5.26,    2.98
44.69935,6.86872,T2M,1987,   -8.72,   -5.00,   -4.58,    2.89,    4.98,    9.59,   13.29,   14.11,   12.98,    4.87,   -1.09,   -2.72,    3.42
44.69935,6.86872,T2M,1988,   -4.16,   -6.12,   -3.41,    2.45,    6.64,    9.47,   13.67,   14.35,    9.97,    6.53,   -0.58,   -3.54,    3.81
44.69935,6.86872,T2M,1989,   -2.38,   -1.49,    1.81,    0.05,    7.80,   10.22,   14.66,   14.32,    9.53,    6.16,   -0.30,   -2.46,    4.88
44.69935,6.86872,T2M,1990,   -3.18,   -0.16,    1.22,    1.02,    8.08,   10.78,   14.88,   14.46,   10.16,    5.74,   -2.00,   -8.30,    4.42
44.69935,6.86872,T2M,1991,   -6.37,   -7.58,    0.99,    0.85,    4.56,   10.20,   15.79,   15.99,   11.64,    3.15,   -1.60,   -5.02,    3.62
44.69935,6.86872,T2M,1992,   -5.13,   -3.92,   -0.31,    1.93,    7.81,    8.20,   13.13,   15.02,    9.50,    1.98,    0.99,   -4.73,    3.73
44.69935,6.86872,T2M,1993,   -3.29,   -4.29,   -1.41,    2.01,    7.22,   11.58,   12.53,   14.66,    7.87,    2.53,   -2.36,   -4.43,    3.60
44.69935,6.86872,T2M,1994,   -5.98,   -6.73,    1.37,   -0.07,    7.54,   11.04,   15.91,   15.36,    8.10,    4.25,    2.94,   -2.11,    4.38
44.69935,6.86872,T2M,1995,   -7.71,   -2.85,   -3.86,    2.46,    6.45,    9.53,   14.92,   11.98,    6.64,    7.23,   -1.49,   -5.27,    3.20
44.69935,6.86872,T2M,1996,   -5.54,   -9.29,   -4.51,    2.61,    6.41,   10.93,   12.37,   11.65,    6.48,    3.94,   -2.37,   -6.03,    2.26
44.69935,6.86872,T2M,1997,   -5.72,   -3.37,    1.28,    2.56,    7.48,   10.18,   12.47,   14.25,   12.07,    5.33,   -0.87,   -5.26,    4.24
44.69935,6.86872,T2M,1998,   -6.35,   -2.05,    0.05,    0.48,    7.76,   11.64,   14.90,   14.79,    8.51,    3.56,   -3.49,   -5.24,    3.75
44.69935,6.86872,T2M,1999,   -6.13,   -7.21,   -1.27,    1.79,    8.77,   10.93,   13.66,   13.90,   10.64,    5.06,   -3.44,   -6.23,    3.44
44.69935,6.86872,T2M,2000,   -7.29,   -3.03,   -1.16,    1.93,    8.30,   12.27,   11.61,   14.42,   10.39,    4.58,   -2.24,   -3.83,    3.85
44.69935,6.86872,T2M,2001,   -6.14,   -4.57,    0.39,    1.34,    8.36,   10.93,   14.00,   15.58,    6.75,    7.92,   -1.33,   -6.28,    3.98
44.69935,6.86872,T2M,2002,   -4.13,   -3.52,    0.17,    2.65,    6.50,   13.81,   13.63,   12.44,    8.29,    5.00,   -0.23,   -3.85,    4.27
44.69935,6.86872,T2M,2003,   -7.15,   -9.21,    0.11,    2.39,    8.48,   15.80,   16.20,   17.58,    9.82,    2.53,    0.46,   -5.06,    4.41
44.69935,6.86872,T2M,2004,   -6.91,   -4.95,   -2.84,    1.81,    6.08,   11.87,   14.10,   13.89,   10.97,    6.00,   -0.01,   -4.63,    3.80
44.69935,6.86872,T2M,2005,   -7.00,   -8.74,   -1.56,    2.16,    8.38,   13.51,   14.31,   12.54,   10.33,    5.71,   -0.86,   -8.60,    3.42
44.69935,6.86872,T2M,2006,   -8.75,   -6.85,   -4.11,    3.48,    7.08,   12.63,   16.70,   11.10,   11.47,    7.11,    1.69,   -3.09,    4.09
44.69935,6.86872,T2M,2007,   -2.32,   -1.97,   -0.80,    5.71,    7.74,   10.97,   13.46,   13.25,    9.42,    5.12,   -1.64,   -5.74,    4.47
44.69935,6.86872,T2M,2008,   -4.14,   -3.96,   -1.88,    1.85,    7.21,   11.45,   13.66,   13.91,    8.66,    5.72,   -1.63,   -7.18,    3.67
44.69935,6.86872,T2M,2009,   -8.36,   -7.81,   -3.31,    2.51,    9.45,   11.53,   14.58,   16.09,   10.49,    5.16,    0.50,   -6.52,    3.76
44.69935,6.86872,T2M,2010,   -9.11,   -7.49,   -4.53,    2.61,    5.48,   11.04,   15.32,   12.85,    9.27,    3.76,   -2.63,   -7.93,    2.44
44.69935,6.86872,T2M,2011,   -6.20,   -3.63,   -1.60,    5.48,    8.85,   11.05,   11.86,   14.46,   11.87,    5.25,    1.84,   -4.83,    4.57
44.69935,6.86872,T2M,2012,   -5.79,   -8.86,    1.57,    1.21,    7.17,   12.38,   13.73,   15.76,    9.73,    5.29,   -0.02,   -7.08,    3.80
44.69935,6.86872,T2M,2013,   -6.86,   -9.65,   -4.42,    2.21,    4.21,    9.99,   14.21,   13.67,   10.31,    6.35,   -2.41,   -3.49,    2.92
44.69935,6.86872,T2M,2014,   -5.23,   -5.39,   -1.89,    4.17,    5.69,   11.49,   12.00,   11.71,   10.35,    6.95,    1.09,   -3.62,    3.99
44.69935,6.86872,T2M,2015,   -5.31,   -6.79,   -1.37,    3.86,    8.43,   12.44,   17.18,   14.36,    8.53,    4.41,    1.79,    0.43,    4.91
44.69935,6.86872,T2M,2016,   -5.09,   -4.16,   -3.70,    3.00,    5.91,   10.78,   14.70,   14.52,   11.19,    4.59,   -1.47,   -2.51,    4.00
44.69935,6.86872,T2M,2017,   -8.30,   -3.44,    1.31,    3.28,    7.87,   13.92,   14.58,   15.46,    8.07,    7.00,   -1.42,   -6.36,    4.38
44.69935,6.86872,T2M,2018,   -3.58,   -8.33,   -4.20,    3.52,    7.42,   12.25,   15.12,   14.70,   12.33,    6.45,   -0.10,   -2.70,    4.48
44.69935,6.86872,T2M,2019,   -7.47,   -2.71,    0.21,    1.80,    5.08,   13.99,   15.87,   15.54,   11.49,    7.02,   -1.94,   -3.40,    4.66
44.69935,6.86872,RH2M,1981,   73.19,   76.37,   81.86,   77.63,   75.62,   69.41,   67.99,   62.92,   76.43,   77.18,   67.02,   85.73,   74.28
44.69935,6.86872,RH2M,1982,   87.11,   84.78,   82.62,   74.88,   71.01,   70.75,   62.58,   64.52,   72.56,   81.12,   83.03,   84.84,   76.60
44.69935,6.86872,RH2M,1983,   66.70,   80.46,   78.07,   82.07,   79.12,   73.91,   63.97,   72.88,   67.85,   68.02,   77.86,   75.15,   73.77
44.69935,6.86872,RH2M,1984,   82.25,   84.99,   85.26,   78.66,   82.05,   74.52,   59.26,   69.20,   69.48,   76.75,   86.92,   82.66,   77.63
44.69935,6.86872,RH2M,1985,   83.36,   83.63,   85.47,   77.22,   79.32,   70.29,   60.20,   54.59,   58.55,   66.74,   82.08,   73.50,   72.83
44.69935,6.86872,RH2M,1986,   84.46,   88.80,   86.24,   85.35,   77.19,   67.67,   62.66,   55.75,   66.02,   72.23,   73.32,   75.27,   74.48
44.69935,6.86872,RH2M,1987,   82.84,   83.77,   75.98,   73.73,   67.11,   65.74,   70.26,   59.20,   60.92,   82.19,   77.80,   79.92,   73.24
44.69935,6.86872,RH2M,1988,   85.99,   77.68,   76.03,   82.99,   81.02,   76.07,   62.43,   60.66,   61.81,   78.44,   71.79,   70.56,   73.78
44.69935,6.86872,RH2M,1989,   65.07,   66.87,   65.84,   78.92,   70.94,   63.83,   58.91,   53.58,   64.75,   57.35,   69.00,   72.17,   65.55
44.69935,6.86872,RH2M,1990,   63.70,   71.67,   63.19,   71.94,   69.86,   62.95,   51.54,   54.60,   55.05,   80.65,   78.20,   80.21,   66.92
44.69935,6.86872,RH2M,1991,   75.39,   80.74,   80.99,   71.15,   67.98,   61.86,   49.66,   49.96,   65.00,   75.85,   80.84,   63.48,   68.46
44.69935,6.86872,RH2M,1992,   71.87,   72.65,   72.55,   74.22,   73.41,   79.72,   71.30,   59.79,   68.18,   86.30,   79.98,   81.28,   74.26
