LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.6072,-0.15375,T2M,1981,    4.71,    3.95,   10.44,   11.74,   13.61,   17.55,   19.16,   21.27,   18.17,   13.24,    7.96,    6.69,   12.43
44.6072,-0.15375,T2M,1982,    7.65,    6.89,    7.55,   10.71,   14.51,   18.89,   21.90,   19.20,   19.25,   12.59,    9.54,    6.08,   12.93
44.6072,-0.15375,T2M,1983,    5.09,    4.26,    7.96,   10.28,   12.73,   18.44,   23.12,   20.31,   18.26,   13.63,    9.97,    4.90,   12.46
44.6072,-0.15375,T2M,1984,    5.86,    4.16,    6.13,   11.46,   11.72,   17.72,   21.05,   20.09,   16.21,   13.05,   10.57,    5.20,   11.95
44.6072,-0.15375,T2M,1985,   -0.03,    7.11,    6.38,   11.40,   13.39,   17.11,   21.06,   19.05,   20.07,   14.98,    4.93,    5.40,   11.76
44.6072,-0.15375,T2M,1986,    5.59,    2.13,    7.63,    7.69,   14.96,   18.35,   21.22,   19.80,   18.24,   15.40,    8.55,    6.44,   12.24
44.6072,-0.15375,T2M,1987,    0.35,    5.10,    7.39,   12.81,   13.83,   17.44,   21.53,   21.89,   20.91,   14.59,    8.36,    6.50,   12.59
44.6072,-0.15375,T2M,1988,    8.28,    6.30,    7.65,   12.48,   15.41,   18.13,   19.16,   20.50,   17.89,   14.94,    8.40,    5.65,   12.92
44.6072,-0.15375,T2M,1989,    4.27,    7.04,   10.47,    9.74,   17.91,   20.49,   23.40,   22.24,   18.83,   15.11,    9.99,    8.69,   14.06
44.6072,-0.15375,T2M,1990,    6.15,   10.67,    9.78,   11.16,   18.76,   19.35,   23.92,   24.29,   19.66,   15.54,    8.73,    2.82,   14.26
44.6072,-0.15375,T2M,1991,    4.71,    4.60,   10.61,   10.57,   14.43,   17.86,   22.52,   24.68,   20.78,   11.82,    8.20,    4.32,   12.98
44.6072,-0.15375,T2M,1992,    2.14,    5.51,    8.88,   10.98,   17.34,   17.40,   21.32,   21.71,   16.90,   10.98,   10.89,    6.19,   12.54
44.6072,-0.15375,T2M,1993,    5.74,    4.79,    8.37,   11.46,   15.72,   19.12,   19.43,   21.22,   16.00,   11.74,    6.42,    8.10,   12.40
44.6072,-0.15375,T2M,1994,    6.25,    7.10,   10.59,   10.26,   15.76,   18.44,   22.66,   22.23,   16.44,   13.72,   11.03,    7.26,   13.52
44.6072,-0.15375,T2M,1995,    5.74,    8.55,    7.94,   10.96,   15.34,   17.99,   22.87,   22.13,   15.75,   16.36,    8.22,    6.22,   13.21
44.6072,-0.15375,T2M,1996,    7.88,    4.61,    7.83,   11.35,   14.36,   19.28,   20.76,   19.28,   15.64,   12.89,    8.40,    5.00,   12.30
44.6072,-0.15375,T2M,1997,    3.56,    8.46,   10.50,   11.95,   16.34,   17.67,   19.70,   23.13,   19.01,   14.71,    9.88,    6.37,   13.47
44.6072,-0.15375,T2M,1998,    6.21,    6.89,    9.12,   10.26,   15.76,   17.76,   19.64,   21.60,   17.54,   12.80,    6.14,    4.63,   12.40
44.6072,-0.15375,T2M,1999,    6.05,    5.17,    9.45,   11.59,   17.03,   17.99,   21.73,   21.33,   19.16,   13.71,    6.21,    6.22,   13.03
44.6072,-0.15375,T2M,2000,    3.46,    7.83,    8.10,   11.35,   16.42,   19.08,   19.38,   21.77,   18.56,   13.48,    9.42,    8.35,   13.11
44.6072,-0.15375,T2M,2001,    6.92,    6.14,   11.24,   10.23,   15.79,   18.24,   20.10,   21.81,   16.02,   16.34,    6.31,    2.21,   12.66
44.6072,-0.15375,T2M,2002,    6.06,    7.81,   10.22,   12.12,   14.86,   20.06,   20.81,   20.13,   17.68,   14.77,   10.36,    8.31,   13.63
44.6072,-0.15375,T2M,2003,    3.54,    4.39,   10.57,   13.18,   15.97,   23.76,   22.86,   26.58,   18.90,   12.60,   10.00,    6.21,   14.10
44.6072,-0.15375,T2M,2004,    6.13,    5.22,    7.22,   10.86,   15.12,   20.51,   20.98,   21.43,   19.26,   15.37,    7.37,    5.12,   12.91
44.6072,-0.15375,T2M,2005,    5.06,    3.09,    8.25,   11.92,   16.34,   21.98,   22.63,   21.39,   18.37,   16.14,    7.31,    2.87,   13.01
44.6072,-0.15375,T2M,2006,    3.97,    3.75,    9.33,   11.77,   15.90,   20.41,   25.15,   19.55,   20.31,   16.47,   10.71,    4.61,   13.55
44.6072,-0.15375,T2M,2007,    6.84,    8.60,    8.59,   15.00,   15.94,   18.71,   19.65,   20.07,   16.86,   12.85,    6.51,    5.05,   12.91
44.6072,-0.15375,T2M,2008,    6.88,    8.07,    8.35,   11.04,   16.00,   18.41,   20.18,   20.32,   16.29,   12.75,    7.82,    4.43,   12.56
44.6072,-0.15375,T2M,2009,    3.71,    5.24,    8.23,   11.43,   16.46,   19.59,   21.10,   22.45,   18.58,   14.20,   10.72,    5.15,   13.11
44.6072,-0.15375,T2M,2010,    2.16,    4.13,    7.20,   12.34,   14.02,   18.73,   22.29,   20.78,   17.68,   12.74,    8.40,    2.63,   11.96
44.6072,-0.15375,T2M,2011,    4.31,    6.69,    9.39,   14.59,   17.94,   18.91,   19.65,   21.95,   20.08,   14.93,   11.63,    8.55,   14.09
44.6072,-0.15375,T2M,2012,    6.01,    0.60,   10.21,   10.23,   16.40,   19.21,   20.19,   22.99,   18.83,   14.35,    9.19,    7.03,   12.99
44.6072,-0.15375,T2M,2013,    4.55,    4.23,    7.91,   10.87,   12.33,   16.88,   23.12,   20.96,   18.60,   15.40,    7.90,    5.39,   12.40
44.6072,-0.15375,T2M,2014,    7.96,    7.87,    9.46,   12.99,   14.04,   20.07,   21.16,   19.44,   20.29,   16.63,   11.96,    5.40,   13.96
44.6072,-0.15375,T2M,2015,    5.13,    4.49,    9.11,   13.10,   16.02,   20.90,   23.29,   22.01,   17.06,   13.01,   11.48,    8.68,   13.74
44.6072,-0.15375,T2M,2016,    8.04,    7.31,    7.93,   10.83,   15.13,   18.44,   21.38,   22.90,   20.55,   13.26,    9.38,    6.30,   13.47
44.6072,-0.15375,T2M,2017,    2.72,    8.41,   10.86,   12.06,   17.21,   21.76,   21.91,   22.00,   16.97,   15.28,    7.68,    5.57,   13.57
44.6072,-0.15375,T2M,2018,    8.40,    3.57,    8.21,   13.21,   16.01,   19.96,   22.92,   22.88,   20.22,   14.04,    9.30,    7.98,   13.96
