LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
47.21473,-0.02153,T2M,1981,    4.00,    2.25,    9.18,   10.07,   12.49,   15.52,   17.58,   19.44,   16.57,   11.32,    6.89,    4.75,   10.89
47.21473,-0.02153,T2M,1982,    5.60,    5.42,    6.51,    8.88,   13.50,   17.72,   19.67,   17.72,   17.63,   11.39,    8.63,    5.14,   11.52
47.21473,-0.02153,T2M,1983,    5.51,    2.66,    7.31,    8.68,   11.43,   17.35,   21.56,   18.85,   16.02,   11.38,    7.25,    3.86,   11.04
47.21473,-0.02153,T2M,1984,    5.04,    3.44,    5.34,    9.66,   10.52,   16.60,   19.22,   18.76,   14.93,   11.69,    9.34,    4.33,   10.76
47.21473,-0.02153,T2M,1985,   -0.64,    3.40,    5.13,    9.70,   12.44,   15.29,   18.93,   16.78,   17.30,   11.71,    4.00,    4.71,    9.93
47.21473,-0.02153,T2M,1986,    4.49,   -1.60,    6.18,    6.60,   12.98,   17.63,   18.99,   17.40,   14.68,   14.21,    7.98,    5.71,   10.52
47.21473,-0.02153,T2M,1987,   -2.47,    3.38,    5.03,   11.31,   12.20,   16.11,   19.79,   19.86,   18.40,   12.67,    6.98,    4.74,   10.70
47.21473,-0.02153,T2M,1988,    7.31,    5.34,    7.15,   10.82,   14.29,   17.14,   17.52,   19.24,   16.21,   13.10,    6.46,    6.04,   11.74
47.21473,-0.02153,T2M,1989,    3.55,    5.99,    9.84,    8.46,   16.89,   18.62,   21.77,   20.84,   17.61,   14.18,    6.95,    5.58,   12.57
47.21473,-0.02153,T2M,1990,    5.67,    9.35,    8.45,    9.66,   17.03,   17.09,   21.95,   22.98,   17.19,   14.09,    7.68,    2.92,   12.87
47.21473,-0.02153,T2M,1991,    3.75,    1.61,    9.39,    9.77,   13.41,   16.15,   21.27,   22.80,   19.16,   11.22,    7.13,    2.83,   11.61
47.21473,-0.02153,T2M,1992,    1.55,    4.49,    8.19,    9.64,   16.40,   18.19,   20.76,   20.74,   15.92,    9.79,    9.72,    4.63,   11.69
47.21473,-0.02153,T2M,1993,    6.31,    3.52,    7.40,   10.77,   14.26,   17.93,   18.18,   18.81,   14.57,    9.80,    3.99,    6.87,   11.09
47.21473,-0.02153,T2M,1994,    6.11,    5.96,    9.43,    9.40,   13.90,   17.51,   21.78,   20.12,   14.82,   12.46,   10.09,    7.49,   12.47
47.21473,-0.02153,T2M,1995,    5.12,    8.09,    6.89,    9.72,   13.67,   16.22,   21.19,   21.17,   14.66,   14.83,    7.15,    3.56,   11.89
47.21473,-0.02153,T2M,1996,    5.82,    3.33,    6.28,   10.08,   12.18,   17.91,   19.25,   18.89,   14.86,   12.30,    7.01,    2.11,   10.86
47.21473,-0.02153,T2M,1997,    0.37,    6.97,    9.32,   10.01,   14.05,   16.42,   19.18,   22.15,   17.34,   12.41,    8.85,    5.67,   11.92
47.21473,-0.02153,T2M,1998,    4.78,    4.80,    7.98,    8.99,   14.85,   16.50,   18.06,   19.70,   16.25,   11.98,    5.02,    4.74,   11.18
47.21473,-0.02153,T2M,1999,    5.91,    4.95,    8.15,   10.39,   15.18,   16.43,   20.26,   18.98,   17.50,   12.05,    5.64,    5.80,   11.82
47.21473,-0.02153,T2M,2000,    3.25,    6.65,    6.89,    9.25,   14.74,   17.25,   17.03,   18.94,   16.33,   11.40,    7.92,    7.08,   11.41
47.21473,-0.02153,T2M,2001,    5.16,    4.88,    8.46,    8.63,   14.26,   16.34,   18.52,   18.95,   13.82,   14.35,    5.48,    1.91,   10.94
47.21473,-0.02153,T2M,2002,    5.34,    6.95,    8.02,    9.93,   12.83,   16.85,   17.75,   17.74,   14.98,   12.31,    9.30,    7.13,   11.62
