LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
47.3021,0.6922,T2M,1981,-4.87,1.96,3.01,11.37,15.65,21.77,24.4,22.49,18.88,11.29,5.5,-0.71,10.93
47.3021,0.6922,T2M,1982,-5.06,-0.29,3.78,8.27,16.7,19.36,23.38,22.07,19.43,13.07,7.92,4.06,11.12
47.3021,0.6922,T2M,1983,-0.36,-0.65,5.35,9.32,14.79,20.35,23.85,24.57,20.47,13.14,6.92,-0.77,11.48
47.3021,0.6922,T2M,1984,-4.58,2.53,0.88,9.1,14.86,21.13,21.83,22.6,17.56,15.37,5.44,4.19,10.93
47.3021,0.6922,T2M,1985,-3.75,-0.75,5.26,11.79,16.82,20.21,24.26,22.9,20.48,13.75,9.3,-0.48,11.71
47.3021,0.6922,T2M,1986,-1.38,-1.8,4.88,9.95,16.69,21.71,25.43,22.8,19.71,13.5,5.93,1.83,11.68
47.3021,0.6922,T2M,1987,-2.82,-1.87,4.83,9.59,15.67,21.74,24.86,23.45,19.49,10.37,7.34,2.25,11.31
47.3021,0.6922,T2M,1988,-3.44,-0.07,4.83,8.83,15.86,20.55,25.73,25.03,18.43,10.09,7.23,-0.03,11.12
47.3021,0.6922,T2M,1989,0.71,0.05,3.93,9.34,15.39,21.83,22.98,22.28,19.21,13.06,5.76,-5.22,10.83
47.3021,0.6922,T2M,1990,2.2,3.46,6.13,10.38,14.71,20.62,23.83,23,18.84,15,7.53,3.83,12.51
47.3021,0.6922,T2M,1991,-0.28,2.36,5.73,10.97,18.75,22.05,24.96,24.45,19.51,13.05,6.71,2.6,12.63
47.3021,0.6922,T2M,1992,0.48,0.83,3.36,9.31,14.25,19.52,24.11,21.92,19.23,11.1,6.87,1.84,11.1
47.3021,0.6922,T2M,1993,1.3,-2.6,2.23,9.65,16.47,20.62,25.36,24.34,19.84,11.77,6.66,0.86,11.46
47.3021,0.6922,T2M,1994,-5.59,-2.95,3,12.05,14.27,22.24,24.94,21.75,18.44,11.81,8.91,3.28,11.08
47.3021,0.6922,T2M,1995,1.72,-1.44,5.42,9.46,15.52,21.47,25.59,25.06,19.69,14.72,4.38,-2.34,11.69
