LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
48.2076,16.37366,T2M,1981,   -3.44,   -1.10,    6.64,    7.89,   13.99,   18.53,   19.37,   19.38,   15.30,    9.72,    3.40,   -3.33,    8.92
48.2076,16.37366,T2M,1982,   -5.62,   -2.62,    3.71,    6.05,   13.69,   18.36,   20.20,   19.57,   18.14,    9.77,    3.86,    0.67,    8.88
48.2076,16.37366,T2M,1983,    2.26,   -3.85,    4.45,   10.28,   14.61,   17.63,   22.82,   20.62,   16.17,    9.82,    1.63,   -1.02,    9.71
48.2076,16.37366,T2M,1984,   -0.98,   -1.62,    1.95,    7.45,   12.68,   16.28,   18.30,   19.02,   14.68,   10.45,    3.39,   -1.26,    8.39
48.2076,16.37366,T2M,1985,   -8.29,   -4.58,    2.68,    8.26,   14.59,   15.30,   20.10,   18.85,   15.43,    8.79,   -0.47,    1.29,    7.74
48.2076,16.37366,T2M,1986,   -1.64,   -8.05,    1.53,    9.45,   15.99,   17.07,   19.22,   19.98,   14.67,    9.58,    4.09,   -1.06,    8.51
48.2076,16.37366,T2M,1987,   -8.05,   -1.74,   -1.77,    8.52,   11.83,   16.54,   19.97,   17.22,   17.46,    9.73,    3.51,    0.04,    7.81
48.2076,16.37366,T2M,1988,    1.08,    1.08,    2.21,    8.31,   14.64,   17.06,   21.22,   20.03,   15.12,    9.44,   -0.04,    0.33,    9.24
48.2076,16.37366,T2M,1989,   -0.55,    2.64,    6.97,    9.93,   13.76,   15.88,   20.18,   19.19,   15.31,   10.14,    1.63,   -0.43,    9.60
48.2076,16.37366,T2M,1990,   -1.18,    4.17,    7.50,    8.00,   15.11,   17.60,   19.06,   20.78,   13.50,    9.73,    4.09,   -2.43,    9.69
48.2076,16.37366,T2M,1991,   -1.24,   -3.73,    5.73,    7.21,   10.03,   16.75,   20.87,   19.54,   16.45,    8.13,    2.43,   -2.69,    8.36
48.2076,16.37366,T2M,1992,   -0.77,    1.46,    4.15,    8.56,   14.50,   18.31,   21.29,   24.13,   15.48,    7.58,    3.27,   -2.51,    9.65
48.2076,16.37366,T2M,1993,   -0.59,   -2.22,    2.38,    8.94,   16.83,   18.42,   19.00,   19.79,   14.20,    9.61,   -0.82,    0.50,    8.91
48.2076,16.37366,T2M,1994,    1.21,   -0.26,    6.55,    8.63,   13.73,   17.95,   23.26,   21.68,   16.86,    7.26,    5.28,    0.30,   10.27
48.2076,16.37366,T2M,1995,   -2.28,    3.07,    2.80,    8.92,   13.65,   16.56,   22.63,   19.46,   13.68,   10.93,    1.06,   -3.50,    8.95
48.2076,16.37366,T2M,1996,   -6.80,   -6.00,   -0.15,    7.69,   14.30,   17.92,   17.69,   18.37,   11.16,    9.53,    4.87,   -5.35,    6.97
48.2076,16.37366,T2M,1997,   -7.40,    1.24,    3.78,    5.58,   14.59,   17.90,   18.21,   19.83,   15.39,    7.24,    2.74,    0.04,    8.30
48.2076,16.37366,T2M,1998,    0.02,    2.95,    3.21,   10.23,   14.81,   19.36,   20.06,   20.27,   13.92,    9.74,    0.81,   -2.30,    9.46
48.2076,16.37366,T2M,1999,   -0.74,   -1.21,    4.72,    9.82,   14.65,   17.25,   19.99,   18.64,   17.30,    9.46,    1.81,   -0.77,    9.30
48.2076,16.37366,T2M,2000,   -3.61,    2.45,    4.59,   11.80,   16.52,   19.87,   18.75,   21.49,   14.92,   12.14,    6.48,    0.89,   10.54
48.2076,16.37366,T2M,2001,   -2.19,    1.18,    5.50,    8.14,   16.08,   16.77,   20.75,   21.47,   12.66,   12.40,    1.70,   -4.81,    9.20
48.2076,16.37366,T2M,2002,   -2.09,    3.74,    5.26,    8.47,   16.46,   20.02,   21.44,   19.97,   13.65,    8.22,    5.67,   -3.10,    9.83
48.2076,16.37366,T2M,2003,   -2.99,   -3.90,    4.13,    7.69,   16.54,   21.80,   21.27,   23.57,   15.03,    6.10,    4.88,   -0.48,    9.55
48.2076,16.37366,T2M,2004,   -4.14,    0.55,    2.21,    9.46,   12.56,   16.91,   19.47,   20.76,   15.02,   10.74,    3.65,   -1.20,    8.85
48.2076,16.37366,T2M,2005,   -0.52,   -3.84,    1.77,    9.37,   14.41,   18.06,   20.04,   18.03,   15.47,    9.63,    2.17,   -2.76,    8.56
48.2076,16.37366,T2M,2006,   -7.90,   -3.29,    1.16,    9.71,   13.53,   17.79,   22.92,   16.93,   16.86,   11.73,    5.95,    1.79,    8.99
48.2076,16.37366,T2M,2007,    3.28,    3.35,    5.80,   11.27,   15.75,   20.49,   21.45,   20.32,   12.84,    7.90,    1.96,   -1.47,   10.29
48.2076,16.37366,T2M,2008,    0.66,    2.33,    4.33,    9.31,   14.91,   19.34,   19.80,   19.59,   13.84,   10.26,    5.12,    0.26,   10.00
48.2076,16.37366,T2M,2009,   -3.93,   -1.33,    3.51,   12.38,   14.94,   17.15,   20.16,   20.42,   16.66,    8.60,    5.31,   -0.64,    9.49
48.2076,16.37366,T2M,2010,   -5.53,   -2.35,    3.75,    8.89,   13.35,   17.53,   21.51,   19.05,   13.22,    6.75,    5.60,   -4.66,    8.14
48.2076,16.37366,T2M,2011,   -1.28,   -1.77,    4.20,   11.33,   14.84,   18.70,   19.01,   21.01,   17.62,    8.91,    2.32,    1.43,    9.76
48.2076,16.37366,T2M,2012,   -0.02,   -4.42,    6.33,    9.40,   16.15,   19.95,   21.43,   21.25,   16.04,    9.36,    5.15,   -1.22,   10.00
48.2076,16.37366,T2M,2013,   -2.41,   -1.14,    0.83,    9.57,   13.42,   17.14,   21.69,   21.09,   14.36,   10.38,    4.51,    1.01,    9.27
48.2076,16.37366,T2M,2014,    0.68,    1.84,    7.26,   11.30,   13.66,   18.79,   21.15,   18.31,   15.09,   10.78,    6.30,    1.31,   10.59
48.2076,16.37366,T2M,2015,    0.66,   -0.15,    4.59,    9.16,   14.09,   18.81,   23.37,   23.27,   15.47,    8.74,    6.49,    3.28,   10.72
48.2076,16.37366,T2M,2016,   -1.13,    3.56,    4.50,    9.60,   14.05,   19.16,   21.38,   19.39,   18.10,    8.32,    3.35,   -0.71,    9.97
48.2076,16.37366,T2M,2017,   -5.58,    0.94,    6.92,    8.47,   15.10,   21.07,   21.58,   21.80,   13.97,   10.85,    4.07,    0.41,   10.02
48.2076,16.37366,T2M,2018,    1.77,   -2.91,    1.35,   13.68,   17.04,   19.62,   21.50,   22.99,   16.64,   11.74,    4.79,    0.97,   10.85
48.2076,16.37366,T2M,2019,   -1.29,    2.29,    7.04,   10.36,   11.89,   22.41,   21.95,   22.03,   16.11,   11.27,    6.00,    1.71,   11.02
48.2076,16.37366,RH2M,1981,   83.58,   83.72,   80.74,   70.80,   69.90,   63.76,   61.17,   60.19,   74.25,   80.33,   85.65,   90.03,   75.29
48.2076,16.37366,RH2M,1982,   89.30,   87.28,   79.25,   70.59,   72.80,   65.13,   65.87,   66.30,   65.27,   83.74,   89.79,   90.85,   77.15
48.2076,16.37366,RH2M,1983,   85.97,   87.25,   79.85,   77.22,   70.16,   65.35,   52.10,   54.57,   57.76,   70.77,   81.30,   86.05,   72.26
48.2076,16.37366,RH2M,1984,   84.75,   85.50,   75.44,   71.48,   74.31,   64.30,   61.01,   59.43,   72.55,   79.47,   88.19,   92.15,   75.68
48.2076,16.37366,RH2M,1985,   87.64,   79.00,   85.08,   73.34,   76.52,   71.01,   61.25,   69.26,   68.32,   74.84,   88.82,   90.34,   77.12
48.2076,16.37366,RH2M,1986,   87.74,   89.04,   86.63,   75.82,   73.67,   69.37,   58.48,   61.56,   64.17,   71.12,   85.64,   86.09,   75.69
48.2076,16.37366,RH2M,1987,   86.35,   89.35,   80.98,   75.61,   76.48,   76.12,   68.59,   70.83,   71.29,   76.16,   88.26,   89.18,   79.03
48.2076,16.37366,RH2M,1988,   91.94,   83.66,   81.50,   72.13,   69.28,   66.36,   56.00,   58.87,   69.90,   76.39,   83.44,   88.05,   74.76
48.2076,16.37366,RH2M,1989,   89.11,   84.45,   73.33,   71.98,   68.35,   68.78,   61.08,   66.48,   72.81,   75.58,   81.71,   88.83,   75.14
48.2076,16.37366,RH2M,1990,   86.65,   76.98,   68.38,   71.16,   62.92,   64.36,   56.99,   50.74,   64.23,   73.42,   88.59,   90.67,   71.20
48.2076,16.37366,RH2M,1991,   86.84,   82.14,   81.91,   71.83,   72.12,   68.45,   65.03,   66.20,   64.56,   71.04,   87.14,   87.14,   75.34
48.2076,16.37366,RH2M,1992,   87.24,   83.97,   75.63,   70.67,   63.53,   66.06,   53.04,   46.64,   59.09,   75.61,   88.28,   90.33,   71.61
48.2076,16.37366,RH2M,1993,   85.44,   83.19,   76.99,   70.99,   59.22,   57.44,   59.38,   52.77,   67.21,   79.83,   88.16,   90.67,   72.54
48.2076,16.37366,RH2M,1994,   87.89,   84.02,   77.82,   72.92,   71.26,   63.11,   48.90,   53.05,   66.11,   74.94,   87.32,   88.37,   72.89
