LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
47.00171,4.78112,T2M,1981,   -0.93,   -0.24,    7.26,    9.26,   11.92,   15.08,   17.01,   17.39,   14.74,    9.32,    3.91,    1.27,    8.88
47.00171,4.78112,T2M,1982,    2.55,    2.48,    4.06,    7.14,   12.73,   16.88,   19.22,   16.91,   16.61,    9.47,    6.25,    2.07,    9.73
47.00171,4.78112,T2M,1983,    2.49,   -0.67,    4.70,    7.86,   10.41,   16.81,   21.19,   18.08,   14.62,    9.49,    4.36,    1.34,    9.29
47.00171,4.78112,T2M,1984,    1.05,    0.32,    3.09,    7.55,    9.68,   14.97,   17.55,   17.49,   13.10,   10.01,    7.54,    1.93,    8.71
47.00171,4.78112,T2M,1985,   -5.23,    0.64,    2.90,    8.23,   12.05,   14.46,   18.63,   16.71,   15.77,   10.35,    0.98,    2.28,    8.19
47.00171,4.78112,T2M,1986,    0.75,   -3.90,    3.57,    5.72,   13.57,   16.82,   18.10,   17.01,   13.98,   11.53,    5.59,    1.81,    8.80
47.00171,4.78112,T2M,1987,   -4.50,    0.86,    2.30,    9.53,   10.47,   14.76,   18.23,   17.36,   16.78,   11.20,    4.50,    2.19,    8.67
47.00171,4.78112,T2M,1988,    4.23,    2.03,    4.10,    9.48,   13.85,   15.91,   17.25,   18.14,   14.17,   11.13,    3.58,    3.10,    9.78
47.00171,4.78112,T2M,1989,    1.25,    3.14,    7.67,    7.21,   14.88,   15.49,   18.88,   18.48,   15.06,   10.92,    4.01,    2.73,   10.03
47.00171,4.78112,T2M,1990,    1.59,    6.49,    6.86,    7.58,   15.31,   16.10,   19.59,   20.77,   14.68,   12.31,    4.69,   -0.74,   10.46
47.00171,4.78112,T2M,1991,    1.21,   -0.28,    7.93,    7.62,   10.79,   15.17,   20.91,   21.46,   17.90,    8.94,    4.25,   -0.01,    9.72
47.00171,4.78112,T2M,1992,   -0.79,    2.08,    5.85,    8.47,   14.83,   16.09,   19.75,   21.01,   14.88,    7.82,    6.78,    2.34,    9.95
47.00171,4.78112,T2M,1993,    2.95,    0.61,    4.88,   10.01,   14.06,   17.16,   17.60,   18.59,   13.51,    8.48,    1.55,    3.26,    9.45
47.00171,4.78112,T2M,1994,    2.25,    2.64,    7.85,    7.21,   13.03,   16.46,   21.01,   18.91,   13.76,   10.11,    7.82,    3.79,   10.46
47.00171,4.78112,T2M,1995,    1.11,    4.85,    3.95,    8.28,   12.70,   14.67,   20.26,   18.51,   12.44,   13.11,    4.33,    0.93,    9.63
