-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  44.6108   Longitude 7.9428 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 656.48 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.61085,7.94285,T2M,1981,   -0.46,    1.10,    7.50,   10.36,   13.34,   18.75,   19.66,   20.78,   16.32,   10.68,    5.67,   -0.71,   10.30
44.61085,7.94285,T2M,1982,    0.81,    0.81,    3.87,    8.55,   14.48,   20.04,   23.25,   21.00,   18.15,   10.51,    5.83,    2.23,   10.85
44.61085,7.94285,T2M,1983,    4.14,   -0.72,    6.16,    8.73,   12.80,   17.69,   23.46,   19.62,   17.14,   12.08,    4.91,    0.96,   10.66
44.61085,7.94285,T2M,1984,    0.01,   -0.03,    3.49,    8.57,   10.12,   16.69,   21.04,   19.01,   15.21,   11.18,    5.42,    2.18,    9.44
44.61085,7.94285,T2M,1985,   -4.42,    1.84,    3.52,    9.59,   12.83,   17.29,   22.48,   21.47,   19.43,   12.36,    2.78,    3.76,   10.29
44.61085,7.94285,T2M,1986,   -0.66,   -3.28,    4.28,    7.93,   15.82,   17.99,   20.62,   21.47,   17.28,   12.74,    6.23,    1.51,   10.25
44.61085,7.94285,T2M,1987,   -1.70,    1.42,    3.27,   10.10,   13.03,   18.12,   22.26,   22.18,   20.46,   10.79,    5.49,    2.90,   10.74
44.61085,7.94285,T2M,1988,    1.86,    2.54,    5.45,    9.38,   13.77,   16.52,   21.68,   21.77,   17.68,   13.11,    3.83,    2.89,   10.91
44.61085,7.94285,T2M,1989,    2.71,    4.89,    9.22,    8.03,   14.95,   18.06,   22.28,   21.76,   16.43,   12.10,    4.78,    2.15,   11.50
44.61085,7.94285,T2M,1990,    1.98,    6.84,    9.12,    8.75,   15.76,   18.92,   22.95,   21.91,   17.74,   11.89,    4.66,   -1.42,   11.62
44.61085,7.94285,T2M,1991,    0.27,   -0.19,    7.44,    8.02,   11.52,   18.27,   23.86,   23.32,   18.83,    9.10,    4.60,    1.09,   10.58
44.61085,7.94285,T2M,1992,    1.09,    3.50,    7.05,    9.65,   15.58,   15.74,   20.75,   23.41,   17.07,    9.06,    7.17,    1.64,   11.00
44.61085,7.94285,T2M,1993,    2.60,    2.16,    5.11,    9.36,   14.58,   19.22,   20.68,   22.87,   15.57,    9.68,    3.21,    2.49,   10.68
44.61085,7.94285,T2M,1994,    2.02,    1.22,    9.41,    8.38,   14.71,   18.30,   23.48,   23.58,   15.72,   10.12,    8.69,    3.50,   11.67
44.61085,7.94285,T2M,1995,   -0.18,    4.60,    4.58,   10.04,   13.89,   16.70,   22.81,   20.01,   14.45,   13.00,    4.61,    0.83,   10.48
44.61085,7.94285,T2M,1996,    0.22,   -0.60,    3.79,    9.66,   13.83,   18.63,   20.17,   19.52,   13.31,   10.53,    5.01,    0.50,    9.58
44.61085,7.94285,T2M,1997,    0.21,    4.46,    8.70,    9.45,   15.24,   17.82,   20.51,   21.43,   18.55,   11.86,    5.27,    1.31,   11.27
44.61085,7.94285,T2M,1998,    1.03,    5.54,    6.83,    9.19,   14.93,   19.50,   23.24,   22.73,   16.10,   10.97,    3.43,    0.82,   11.23
44.61085,7.94285,T2M,1999,    1.51,    1.92,    6.75,   10.02,   15.91,   18.38,   21.53,   21.48,   17.92,   11.48,    4.07,    0.81,   11.04
44.61085,7.94285,T2M,2000,    0.77,    4.54,    7.11,    9.61,   15.77,   19.44,   19.97,   21.96,   17.62,   11.47,    5.02,    2.62,   11.35
44.61085,7.94285,T2M,2001,    0.16,    3.58,    7.53,    8.75,   15.43,   18.49,   21.64,   23.12,   14.69,   14.33,    5.22,    0.13,   11.14
44.61085,7.94285,T2M,2002,    1.40,    4.00,    7.64,    9.54,   14.10,   20.64,   20.61,   19.57,   15.17,   11.43,    7.10,    2.51,   11.18
44.61085,7.94285,T2M,2003,    0.85,   -0.63,    7.07,    9.10,   16.17,   23.51,   23.98,   25.78,   16.67,    9.15,    5.77,    1.82,   11.68
44.61085,7.94285,T2M,2004,    0.48,    2.30,    4.85,    9.17,   12.97,   19.63,   21.98,   21.78,   18.12,   12.70,    6.23,    2.38,   11.07
44.61085,7.94285,T2M,2005,    1.12,   -0.16,    5.85,    9.36,   16.09,   21.19,   22.76,   20.33,   16.91,   10.95,    4.99,   -0.40,   10.81
44.61085,7.94285,T2M,2006,   -0.68,    1.35,    4.68,   10.81,   15.06,   20.28,   24.50,   19.84,   18.30,   13.18,    7.78,    3.45,   11.60
44.61085,7.94285,T2M,2007,    4.49,    4.97,    7.18,   13.39,   15.90,   18.50,   22.04,   20.66,   16.25,   11.18,    4.59,    1.88,   11.79
44.61085,7.94285,T2M,2008,    2.40,    3.67,    6.27,    9.43,   14.50,   18.75,   21.41,   21.76,   15.75,   12.40,    5.54,    0.15,   11.03
44.61085,7.94285,T2M,2009,   -0.88,    1.17,    5.92,   10.25,   16.53,   19.04,   22.00,   23.04,   17.52,   11.34,    6.54,    0.06,   11.10
44.61085,7.94285,T2M,2010,   -1.98,    0.37,    4.60,    9.82,   13.37,   18.17,   22.89,   20.22,   16.20,    9.66,    5.00,   -1.38,    9.79
44.61085,7.94285,T2M,2011,    0.35,    3.57,    5.63,   12.50,   16.12,   18.26,   19.61,   22.24,   19.42,   11.38,    6.45,    2.81,   11.56
44.61085,7.94285,T2M,2012,    1.77,   -0.87,    9.05,    9.08,   14.41,   20.41,   22.75,   23.79,   17.08,   12.16,    6.53,    0.56,   11.44
44.61085,7.94285,T2M,2013,    1.22,   -0.08,    3.55,    9.92,   12.34,   17.55,   21.72,   21.21,   17.76,   12.28,    5.52,    3.06,   10.57
44.61085,7.94285,T2M,2014,    1.81,    2.88,    7.38,   11.44,   13.58,   19.01,   19.61,   19.42,   17.08,   13.15,    7.77,    3.57,   11.43
44.61085,7.94285,T2M,2015,    2.12,    1.12,    6.27,   10.75,   15.69,   19.78,   24.86,   21.41,   16.12,   10.89,    8.43,    5.34,   11.97
44.61085,7.94285,T2M,2016,    2.01,    4.05,    5.51,   10.92,   13.64,   18.59,   22.54,   21.90,   18.90,   10.65,    5.66,    3.64,   11.52
44.61085,7.94285,T2M,2017,   -0.73,    3.82,    9.11,   11.05,   15.47,   21.96,   23.22,   23.94,   16.06,   13.93,    5.76,    0.71,   12.07
44.61085,7.94285,T2M,2018,    3.85,    0.30,    3.77,   11.72,   14.72,   19.22,   22.77,   22.73,   19.12,   13.25,    6.43,    3.25,   11.83
44.61085,7.94285,T2M,2019,    0.96,    4.49,    7.87,    9.74,   12.38,   21.60,   24.01,   23.17,   18.29,   13.71,    5.38,    3.45,   12.13
44.61085,7.94285,RH2M,1981,   60.22,   68.80,   69.04,   70.07,   67.36,   61.09,   59.74,   58.73,   75.82,   74.32,   66.27,   74.89,   67.17
44.61085,7.94285,RH2M,1982,   80.27,   78.06,   69.36,   67.09,   64.25,   54.06,   53.07,   56.35,   65.08,   74.81,   82.65,   77.67,   68.50
44.61085,7.94285,RH2M,1983,   65.26,   74.75,   71.89,   73.98,   72.17,   69.39,   60.05,   64.35,   61.41,   62.04,   72.83,   69.56,   68.07
44.61085,7.94285,RH2M,1984,   71.86,   72.51,   69.51,   67.91,   77.63,   70.88,   51.69,   66.70,   62.82,   75.72,   82.51,   79.26,   70.74
44.61085,7.94285,RH2M,1985,   76.08,   77.43,   76.73,   66.32,   75.19,   64.29,   53.58,   48.53,   53.48,   63.63,   76.77,   72.51,   66.98
