-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  45.6414   Longitude 10.6119 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 811.62 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.64142,10.61189,T2M,1981,   -3.30,   -0.90,    5.69,    8.70,   11.99,   17.02,   17.86,   18.55,   15.01,    9.20,    3.33,   -1.93,    8.48
45.64142,10.61189,T2M,1982,   -1.36,   -1.42,    2.47,    7.39,   13.15,   18.02,   20.63,   18.52,   16.75,    9.37,    5.36,    0.54,    9.18
45.64142,10.61189,T2M,1983,    1.47,   -2.36,    4.65,    7.95,   11.64,   16.70,   22.55,   19.04,   15.88,   10.61,    3.73,   -0.02,    9.40
45.64142,10.61189,T2M,1984,   -2.12,   -2.00,    1.47,    6.74,    9.24,   15.20,   19.18,   17.54,   13.54,   10.12,    4.77,    0.77,    7.90
45.64142,10.61189,T2M,1985,   -5.38,   -1.42,    1.98,    7.44,   12.08,   15.22,   20.40,   19.64,   17.76,   11.11,    1.44,    1.40,    8.53
45.64142,10.61189,T2M,1986,   -2.91,   -4.20,    2.41,    6.68,   14.97,   16.10,   18.33,   19.27,   15.37,   11.09,    4.86,   -0.11,    8.57
45.64142,10.61189,T2M,1987,   -3.52,   -0.28,   -0.13,    8.14,   10.91,   15.70,   19.92,   19.18,   18.29,    9.93,    4.51,    0.99,    8.68
45.64142,10.61189,T2M,1988,    0.41,   -0.14,    2.82,    8.20,   12.89,   15.16,   20.05,   20.17,   15.35,   11.47,    1.87,   -0.18,    9.04
45.64142,10.61189,T2M,1989,    0.89,    3.05,    6.88,    7.25,   13.02,   15.58,   18.74,   18.89,   14.25,   10.02,    3.33,    0.64,    9.42
45.64142,10.61189,T2M,1990,    0.32,    3.68,    7.00,    6.96,   14.22,   16.53,   19.96,   19.72,   14.93,   10.72,    3.50,   -3.52,    9.54
45.64142,10.61189,T2M,1991,   -1.68,   -2.74,    6.51,    6.52,    9.49,   15.86,   20.91,   20.97,   16.82,    8.33,    3.12,   -1.24,    8.65
45.64142,10.61189,T2M,1992,   -0.47,    1.41,    4.73,    7.72,   14.27,   15.36,   19.36,   21.77,   15.41,    8.05,    4.98,   -0.29,    9.39
45.64142,10.61189,T2M,1993,    0.09,    0.47,    3.24,    8.26,   14.10,   17.95,   18.66,   20.64,   13.88,    9.10,    2.65,    0.60,    9.19
45.64142,10.61189,T2M,1994,   -0.08,   -0.45,    7.19,    7.16,   13.29,   17.22,   21.88,   21.67,   14.61,    9.03,    6.62,    1.34,   10.03
45.64142,10.61189,T2M,1995,   -3.09,    2.03,    2.55,    8.25,   12.48,   14.92,   21.15,   18.33,   12.78,   11.88,    3.24,   -0.25,    8.73
45.64142,10.61189,T2M,1996,   -0.41,   -2.44,    1.54,    8.65,   12.87,   17.81,   18.23,   17.95,   11.63,    9.24,    4.02,   -0.70,    8.23
45.64142,10.61189,T2M,1997,    0.21,    2.01,    6.46,    6.90,   13.60,   16.43,   18.41,   19.42,   17.14,   10.15,    4.48,    0.57,    9.69
45.64142,10.61189,T2M,1998,   -0.92,    3.68,    4.21,    7.36,   13.45,   18.05,   20.57,   21.04,   14.27,    9.58,    2.25,   -0.86,    9.42
45.64142,10.61189,T2M,1999,   -0.10,   -1.01,    4.61,    8.59,   14.32,   16.69,   19.55,   19.17,   16.52,   10.46,    2.66,   -1.72,    9.21
45.64142,10.61189,T2M,2000,   -2.32,    1.92,    4.89,    9.29,   14.85,   18.67,   18.08,   20.22,   15.60,   10.48,    4.48,    1.66,    9.84
45.64142,10.61189,T2M,2001,   -0.92,    1.18,    5.42,    7.08,   14.69,   16.81,   19.98,   21.39,   12.78,   12.97,    3.76,   -1.88,    9.50
45.64142,10.61189,T2M,2002,   -0.51,    2.46,    6.55,    8.11,   13.34,   19.10,   19.38,   18.21,   13.77,   10.22,    6.40,    1.38,    9.91
45.64142,10.61189,T2M,2003,   -1.49,   -2.50,    5.46,    7.31,   15.62,   22.10,   21.70,   24.14,   15.36,    7.71,    5.40,    0.70,   10.20
45.64142,10.61189,T2M,2004,   -3.01,    0.01,    2.50,    8.18,   11.31,   17.25,   19.72,   19.87,   15.94,   11.56,    4.76,    0.99,    9.11
45.64142,10.61189,T2M,2005,   -1.90,   -2.41,    3.76,    7.78,   14.50,   19.05,   20.44,   17.95,   15.65,    9.87,    3.38,   -2.84,    8.83
45.64142,10.61189,T2M,2006,   -3.09,   -0.56,    2.02,    8.93,   13.36,   18.53,   22.53,   16.71,   16.82,   12.01,    6.02,    2.33,    9.69
45.64142,10.61189,T2M,2007,    1.74,    3.20,    5.67,   12.48,   14.94,   17.74,   20.85,   19.11,   14.30,    9.92,    3.15,   -0.09,   10.29
45.64142,10.61189,T2M,2008,    0.90,    2.11,    4.48,    7.95,   13.55,   17.76,   19.68,   20.19,   14.15,   11.45,    4.49,   -1.08,    9.66
45.64142,10.61189,T2M,2009,   -2.19,   -1.23,    3.10,    9.52,   15.62,   17.25,   20.10,   21.75,   16.80,    9.92,    5.25,   -1.76,    9.57
45.64142,10.61189,T2M,2010,   -3.68,   -1.44,    2.80,    8.66,   12.31,   17.26,   21.23,   18.45,   14.08,    8.21,    4.07,   -3.12,    8.28
45.64142,10.61189,T2M,2011,   -1.83,    1.58,    4.60,   11.06,   14.88,   17.53,   18.68,   21.33,   18.22,   10.31,    5.80,    0.86,   10.29
45.64142,10.61189,T2M,2012,   -1.53,   -2.39,    8.11,    7.81,   13.60,   19.17,   21.46,   22.44,   15.75,   10.59,    5.79,   -1.67,    9.97
45.64142,10.61189,T2M,2013,   -1.07,   -1.78,    2.36,    8.81,   11.20,   16.46,   20.62,   20.37,   16.15,   11.01,    4.41,    1.68,    9.25
45.64142,10.61189,T2M,2014,    1.14,    1.98,    5.93,   10.09,   12.50,   17.73,   18.38,   17.48,   15.02,   11.89,    7.63,    1.85,   10.17
