-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  45.7082   Longitude 11.5648 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 484.9 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.70815,11.56478,T2M,1981,   -1.32,    0.90,    7.26,   10.15,   13.81,   18.52,   19.64,   20.27,   16.73,   11.21,    4.68,    0.13,   10.21
45.70815,11.56478,T2M,1982,    0.13,    0.70,    4.77,    9.14,   15.04,   19.80,   22.07,   20.40,   18.60,   11.40,    7.05,    2.70,   11.04
45.70815,11.56478,T2M,1983,    3.04,   -0.20,    6.24,    9.94,   13.76,   18.35,   24.10,   20.72,   17.33,   12.04,    4.84,    1.38,   11.04
45.70815,11.56478,T2M,1984,    0.22,    0.58,    3.45,    8.64,   11.25,   16.80,   20.52,   19.23,   15.42,   11.68,    6.24,    2.61,    9.75
45.70815,11.56478,T2M,1985,   -3.41,    0.28,    4.30,    9.21,   14.21,   17.04,   21.90,   21.36,   19.06,   12.55,    3.55,    3.20,   10.33
45.70815,11.56478,T2M,1986,   -0.53,   -2.60,    4.17,    8.80,   16.99,   17.85,   20.08,   21.12,   16.71,   12.39,    6.31,    1.28,   10.30
45.70815,11.56478,T2M,1987,   -2.18,    1.20,    1.80,    9.93,   12.75,   17.50,   21.67,   20.58,   19.76,   11.62,    6.06,    2.35,   10.29
45.70815,11.56478,T2M,1988,    2.39,    2.18,    4.90,   10.00,   14.81,   17.14,   22.06,   21.89,   16.94,   12.92,    3.00,    1.69,   10.86
45.70815,11.56478,T2M,1989,    1.89,    4.22,    8.60,    9.74,   14.94,   17.32,   20.35,   20.38,   15.93,   11.07,    4.67,    2.03,   10.97
45.70815,11.56478,T2M,1990,    1.70,    5.35,    8.66,    8.88,   16.19,   18.28,   21.21,   21.21,   16.37,   12.07,    5.62,   -0.80,   11.27
45.70815,11.56478,T2M,1991,    0.14,   -0.22,    8.11,    8.40,   11.12,   17.49,   22.20,   22.12,   18.21,    9.91,    4.92,    0.22,   10.28
45.70815,11.56478,T2M,1992,    0.97,    2.97,    6.25,    9.71,   16.02,   17.62,   21.24,   23.57,   17.18,    9.97,    6.55,    1.12,   11.12
45.70815,11.56478,T2M,1993,    1.50,    2.09,    4.86,   10.11,   16.38,   19.63,   20.43,   22.41,   15.64,   11.02,    4.08,    2.22,   10.92
45.70815,11.56478,T2M,1994,    2.15,    1.51,    8.98,    9.23,   14.87,   18.92,   23.50,   23.50,   16.73,   10.61,    8.06,    2.76,   11.80
45.70815,11.56478,T2M,1995,   -0.41,    3.78,    4.46,   10.04,   14.32,   16.75,   22.78,   19.97,   14.56,   12.98,    4.82,    1.53,   10.51
45.70815,11.56478,T2M,1996,    1.31,   -0.38,    3.37,   10.30,   14.74,   19.54,   20.07,   19.92,   13.60,   11.11,    6.37,    0.92,   10.10
45.70815,11.56478,T2M,1997,    2.00,    3.84,    8.07,    8.39,   15.31,   18.41,   20.56,   21.01,   18.52,   11.57,    6.42,    2.50,   11.43
45.70815,11.56478,T2M,1998,    1.36,    5.35,    5.78,    9.48,   15.13,   19.88,   22.36,   23.08,   16.21,   11.36,    4.13,    0.77,   11.28
45.70815,11.56478,T2M,1999,    1.88,    0.97,    6.47,   10.52,   15.92,   18.45,   21.25,   20.99,   18.52,   12.16,    4.41,    0.36,   11.05
45.70815,11.56478,T2M,2000,   -0.13,    3.60,    6.58,   11.54,   16.75,   20.53,   19.85,   22.33,   17.38,   12.25,    7.01,    3.66,   11.80
45.70815,11.56478,T2M,2001,    1.51,    3.36,    7.42,    9.09,   16.64,   18.37,   21.55,   23.15,   14.58,   14.51,    5.31,   -0.30,   11.33
45.70815,11.56478,T2M,2002,    0.77,    4.23,    8.31,    9.85,   15.29,   20.66,   21.26,   20.27,   15.53,   11.85,    8.49,    3.04,   11.67
45.70815,11.56478,T2M,2003,    0.51,   -0.62,    6.91,    8.74,   17.31,   23.48,   23.28,   25.65,   16.89,    9.40,    7.11,    2.57,   11.85
45.70815,11.56478,T2M,2004,   -0.90,    1.68,    4.27,   10.04,   13.17,   18.69,   21.48,   21.59,   17.33,   13.27,    6.38,    3.06,   10.86
45.70815,11.56478,T2M,2005,   -0.08,   -0.35,    5.38,    9.52,   16.07,   20.41,   21.97,   19.55,   17.35,   11.48,    5.05,   -0.45,   10.55
45.70815,11.56478,T2M,2006,   -0.99,    1.28,    3.96,   10.66,   14.90,   20.02,   24.09,   18.34,   18.27,   13.63,    7.36,    3.76,   11.32
45.70815,11.56478,T2M,2007,    3.46,    4.98,    7.46,   13.96,   16.97,   19.76,   22.51,   20.77,   15.78,   11.26,    5.02,    1.89,   12.02
45.70815,11.56478,T2M,2008,    2.69,    3.63,    6.04,    9.99,   15.46,   19.67,   21.56,   21.89,   15.84,   13.06,    6.36,    1.13,   11.47
45.70815,11.56478,T2M,2009,   -0.04,    1.24,    5.44,   11.57,   17.25,   18.84,   21.80,   23.15,   18.41,   11.50,    6.85,    0.59,   11.44
45.70815,11.56478,T2M,2010,   -1.51,    0.92,    4.89,   10.45,   14.29,   19.09,   22.79,   20.45,   15.72,   10.05,    6.50,   -1.14,   10.25
45.70815,11.56478,T2M,2011,    0.30,    3.17,    6.24,   12.67,   16.60,   19.40,   20.49,   23.03,   19.96,   11.61,    6.95,    2.60,   11.96
45.70815,11.56478,T2M,2012,    0.24,   -0.42,    9.38,    9.82,   15.57,   21.06,   23.32,   24.00,   17.49,   12.17,    7.71,    0.65,   11.79
45.70815,11.56478,T2M,2013,    0.76,    0.27,    4.09,   10.69,   13.15,   18.32,   22.64,   22.02,   17.54,   12.55,    6.38,    3.62,   11.07
45.70815,11.56478,T2M,2014,    3.45,    4.26,    8.26,   11.86,   14.43,   19.54,   20.25,   19.36,   16.50,   13.40,    9.36,    3.72,   12.07
45.70815,11.56478,T2M,2015,    2.29,    2.19,    6.50,   10.47,   15.83,   20.12,   24.60,   22.76,   16.84,   11.56,    7.87,    4.57,   12.20
45.70815,11.56478,T2M,2016,    1.59,    4.02,    5.92,   11.20,   14.05,   18.79,   22.50,   21.05,   18.92,   10.95,    6.37,    3.25,   11.57
45.70815,11.56478,T2M,2017,   -1.37,    4.01,    8.97,   10.93,   15.81,   21.54,   22.64,   23.44,   15.20,   12.37,    5.78,    1.10,   11.75
45.70815,11.56478,T2M,2018,    3.28,    0.42,    4.31,   13.33,   16.86,   20.51,   22.83,   23.26,   18.73,   13.96,    8.00,    2.38,   12.39
45.70815,11.56478,T2M,2019,    0.21,    4.65,    8.14,   10.72,   12.32,   22.26,   23.14,   22.74,   17.81,   13.61,    7.78,    3.55,   12.28
45.70815,11.56478,RH2M,1981,   68.82,   76.13,   82.20,   74.07,   73.07,   67.82,   67.89,   65.44,   76.82,   80.05,   71.48,   80.54,   73.69
45.70815,11.56478,RH2M,1982,   78.06,   79.99,   72.20,   67.94,   68.35,   66.32,   64.51,   66.49,   71.69,   79.17,   83.40,   83.11,   73.39
45.70815,11.56478,RH2M,1983,   74.62,   76.89,   77.19,   77.37,   76.08,   67.33,   57.77,   60.14,   65.22,   67.64,   67.32,   74.85,   70.16
45.70815,11.56478,RH2M,1984,   74.76,   75.88,   75.72,   72.20,   79.41,   73.46,   60.68,   69.16,   70.59,   80.09,   81.68,   82.62,   74.68
45.70815,11.56478,RH2M,1985,   80.49,   80.30,   85.00,   75.88,   75.71,   72.79,   64.17,   57.82,   57.62,   63.60,   78.95,   82.44,   72.85
45.70815,11.56478,RH2M,1986,   78.32,   84.21,   80.62,   82.61,   73.28,   72.78,   65.53,   63.39,   64.78,   66.24,   76.18,   69.72,   73.04
45.70815,11.56478,RH2M,1987,   78.06,   84.25,   73.72,   72.96,   68.68,   66.65,   64.32,   64.79,   68.98,   80.94,   81.18,   80.61,   73.69
45.70815,11.56478,RH2M,1988,   84.66,   73.47,   70.34,   76.84,   76.09,   73.36,   63.63,   60.27,   63.95,   77.98,   71.64,   74.09,   72.20
45.70815,11.56478,RH2M,1989,   71.42,   74.04,   67.72,   77.03,   66.07,   67.20,   74.30,   67.70,   74.25,   68.62,   74.99,   79.52,   71.87
45.70815,11.56478,RH2M,1990,   74.44,   70.59,   62.23,   74.50,   64.76,   67.77,   59.41,   56.52,   65.65,   76.84,   79.16,   77.94,   69.11
45.70815,11.56478,RH2M,1991,   79.14,   76.17,   80.88,   73.30,   73.73,   72.01,   64.13,   60.80,   67.88,   74.18,   80.72,   67.64,   72.51
45.70815,11.56478,RH2M,1992,   80.99,   72.27,   71.15,   72.62,   66.13,   68.61,   64.96,   59.08,   64.20,   81.77,   80.01,   81.76,   71.97
45.70815,11.56478,RH2M,1993,   79.89,   68.41,   69.99,   73.10,   65.01,   63.57,   59.37,   53.86,   71.29,   84.78,   83.77,   78.93,   71.00
45.70815,11.56478,RH2M,1994,   80.17,   81.59,   73.42,   73.01,   73.53,   65.98,   58.41,   57.06,   77.88,   75.35,   83.89,   82.26,   73.46
45.70815,11.56478,RH2M,1995,   73.61,   79.04,   69.64,   68.90,   71.95,   73.42,   65.77,   65.62,   72.96,   71.32,   73.10,   84.98,   72.48
45.70815,11.56478,RH2M,1996,   87.23,   77.88,   75.56,   72.43,   73.13,   63.90,   62.09,   67.70,   70.98,   81.76,   84.51,   83.26,   75.04
45.70815,11.56478,RH2M,1997,   81.69,   77.15,   67.75,   62.90,   66.47,   71.88,   62.72,   65.46,   60.57,   64.05,   80.55,   82.45,   70.26
45.70815,11.56478,RH2M,1998,   78.93,   66.76,   62.89,   75.56,   67.27,   65.89,   60.40,   52.40,   70.42,   78.17,   74.92,   75.54,   69.09
45.70815,11.56478,RH2M,1999,   76.22,   64.97,   74.48,   73.37,   74.74,   67.24,   65.96,   69.73,   69.75,   76.04,   78.18,   77.73,   72.43
45.70815,11.56478,RH2M,2000,   74.52,   74.99,   72.16,   74.51,   70.67,   60.76,   61.71,   60.43,   67.97,   86.25,   87.60,   84.48,   73.00
45.70815,11.56478,RH2M,2001,   87.45,   75.75,   86.00,   75.48,   72.69,   64.30,   65.00,   59.34,   68.10,   77.12,   71.53,   68.29,   72.59
45.70815,11.56478,RH2M,2002,   72.13,   76.77,   66.02,   71.53,   75.85,   69.70,   67.69,   72.20,   73.87,   80.04,   88.55,   87.17,   75.10
45.70815,11.56478,RH2M,2003,   81.02,   72.33,   71.53,   74.02,   64.85,   63.47,   57.61,   54.23,   59.03,   73.65,   85.56,   77.04,   69.49
