-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  41.0847   Longitude 16.2709 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 195.3 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.08475,16.27095,T2M,1981,    5.34,    6.82,   11.20,   13.37,   17.67,   23.15,   24.11,   25.02,   21.99,   18.48,   10.70,    8.94,   15.62
41.08475,16.27095,T2M,1982,    8.62,    6.97,    9.47,   12.50,   17.69,   24.26,   25.90,   25.17,   23.14,   17.42,   12.72,    9.73,   16.19
41.08475,16.27095,T2M,1983,    8.31,    6.56,   10.13,   14.20,   19.02,   20.86,   25.91,   24.35,   21.68,   16.74,   11.39,    8.68,   15.71
41.08475,16.27095,T2M,1984,    8.01,    7.19,    8.70,   11.63,   16.36,   20.60,   24.59,   23.68,   20.74,   16.83,   13.02,    9.37,   15.09
41.08475,16.27095,T2M,1985,    6.07,    6.92,    9.69,   13.02,   17.91,   21.96,   25.72,   25.58,   22.18,   16.93,   12.50,    9.86,   15.75
41.08475,16.27095,T2M,1986,    7.70,    7.19,   10.52,   13.74,   19.83,   21.29,   24.18,   26.41,   21.93,   17.47,   12.41,    8.13,   15.96
41.08475,16.27095,T2M,1987,    7.32,    8.37,    6.78,   12.97,   16.09,   21.82,   26.43,   25.82,   24.29,   18.65,   12.54,    9.62,   15.93
41.08475,16.27095,T2M,1988,    9.64,    8.25,    9.76,   13.45,   18.73,   22.19,   27.92,   26.84,   21.18,   17.82,    9.75,    7.96,   16.16
41.08475,16.27095,T2M,1989,    7.88,    9.26,   12.13,   14.25,   16.82,   20.57,   24.73,   24.68,   21.14,   15.05,   10.94,    8.84,   15.56
41.08475,16.27095,T2M,1990,    7.87,   10.12,   11.80,   12.98,   18.30,   22.60,   25.62,   24.37,   21.36,   18.78,   12.77,    7.62,   16.22
41.08475,16.27095,T2M,1991,    7.25,    6.98,   11.73,   11.14,   14.34,   22.17,   24.98,   24.97,   22.29,   16.53,   12.09,    5.85,   15.07
41.08475,16.27095,T2M,1992,    7.25,    7.34,   10.01,   13.48,   17.62,   21.01,   23.73,   27.28,   22.22,   18.03,   13.59,    8.91,   15.90
41.08475,16.27095,T2M,1993,    7.22,    6.14,    8.84,   13.18,   18.74,   23.35,   25.50,   26.91,   21.68,   18.43,   12.07,   10.14,   16.08
41.08475,16.27095,T2M,1994,    8.79,    8.23,   11.54,   12.82,   18.65,   22.38,   25.97,   27.93,   23.85,   17.37,   13.13,    9.47,   16.73
41.08475,16.27095,T2M,1995,    7.25,    9.79,    9.06,   12.05,   17.43,   21.91,   25.76,   23.70,   20.05,   16.86,   10.48,   10.64,   15.45
41.08475,16.27095,T2M,1996,    8.87,    6.81,    8.33,   12.43,   17.71,   22.42,   24.24,   25.29,   18.84,   15.33,   12.73,    9.14,   15.21
41.08475,16.27095,T2M,1997,    8.92,    8.32,    9.84,   10.13,   18.65,   24.29,   25.19,   24.22,   22.02,   16.38,   12.83,    9.45,   15.90
41.08475,16.27095,T2M,1998,    8.44,    9.32,    8.37,   13.44,   17.15,   23.95,   27.01,   26.86,   21.31,   17.26,   11.15,    7.27,   16.00
41.08475,16.27095,T2M,1999,    8.10,    6.82,   10.33,   13.42,   19.47,   23.65,   24.77,   27.03,   22.26,   18.10,   12.51,    9.52,   16.39
41.08475,16.27095,T2M,2000,    6.80,    8.10,   10.24,   14.77,   20.31,   23.78,   25.64,   26.81,   21.93,   17.63,   14.06,   10.50,   16.74
41.08475,16.27095,T2M,2001,    9.55,    8.76,   13.44,   12.86,   19.16,   22.31,   25.85,   26.57,   20.87,   19.24,   12.22,    6.39,   16.49
41.08475,16.27095,T2M,2002,    6.25,   10.33,   12.23,   13.65,   18.69,   23.83,   25.93,   24.54,   20.20,   16.89,   14.35,   10.27,   16.46
41.08475,16.27095,T2M,2003,    9.16,    5.76,    9.51,   12.55,   20.17,   25.83,   27.49,   27.92,   20.85,   17.03,   13.37,    9.18,   16.64
41.08475,16.27095,T2M,2004,    7.23,    8.18,    9.55,   13.59,   15.84,   21.78,   25.75,   25.80,   21.94,   19.59,   12.79,   10.89,   16.11
41.08475,16.27095,T2M,2005,    7.14,    5.95,    9.79,   12.82,   18.79,   22.58,   26.32,   24.61,   21.54,   16.57,   12.30,    8.34,   15.62
41.08475,16.27095,T2M,2006,    6.87,    7.65,    9.54,   13.86,   18.57,   22.28,   25.20,   24.74,   21.84,   18.24,   12.08,    9.95,   15.95
41.08475,16.27095,T2M,2007,    9.52,    9.90,   11.31,   14.66,   19.45,   24.34,   27.46,   26.82,   20.30,   16.14,   11.02,    8.15,   16.63
