-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  -34.4294   Longitude -58.7282 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 12.24 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
-34.42943,-58.72816,T2M,1981,   23.33,   23.20,   20.83,   17.79,   16.67,    8.96,    9.80,   12.49,   12.75,   16.29,   19.73,   23.37,   17.08
-34.42943,-58.72816,T2M,1982,   24.60,   22.41,   22.40,   18.54,   14.25,    9.82,    9.88,   11.74,   14.38,   16.14,   18.74,   24.80,   17.29
-34.42943,-58.72816,T2M,1983,   26.06,   23.57,   21.00,   17.37,   13.25,    8.29,    8.21,   11.09,   12.44,   17.34,   19.71,   24.02,   16.83
-34.42943,-58.72816,T2M,1984,   24.94,   23.62,   20.36,   15.99,   12.41,    8.39,    8.78,    9.47,   13.60,   17.61,   18.99,   20.34,   16.19
-34.42943,-58.72816,T2M,1985,   24.81,   23.68,   21.27,   16.51,   14.11,   11.51,   10.64,   11.55,   13.71,   16.76,   20.67,   22.58,   17.28
-34.42943,-58.72816,T2M,1986,   25.12,   23.62,   20.25,   17.84,   12.82,   12.31,   10.73,   11.24,   14.04,   16.55,   18.91,   22.19,   17.10
-34.42943,-58.72816,T2M,1987,   25.26,   24.36,   21.40,   17.23,   10.85,   10.18,   12.07,   10.73,   12.25,   16.85,   19.73,   21.52,   16.83
-34.42943,-58.72816,T2M,1988,   24.22,   23.16,   22.44,   15.11,   10.59,    8.67,    8.32,   11.53,   12.92,   15.58,   20.73,   24.36,   16.46
-34.42943,-58.72816,T2M,1989,   27.33,   25.43,   21.07,   17.84,   13.69,   11.92,    9.42,   12.89,   12.59,   16.62,   20.08,   24.32,   17.73
-34.42943,-58.72816,T2M,1990,   25.77,   22.31,   19.62,   16.38,   12.05,    8.60,    8.94,   13.47,   12.66,   18.04,   20.07,   20.98,   16.55
-34.42943,-58.72816,T2M,1991,   23.88,   23.40,   23.06,   17.64,   15.56,   10.26,    8.88,   12.26,   14.57,   15.54,   18.71,   21.85,   17.10
-34.42943,-58.72816,T2M,1992,   23.49,   23.89,   22.60,   15.99,   12.62,   12.31,    7.26,   10.96,   13.01,   16.50,   17.81,   22.27,   16.54
-34.42943,-58.72816,T2M,1993,   25.36,   22.23,   22.49,   17.77,   12.59,    9.86,    8.11,   10.81,   12.17,   16.62,   18.47,   21.19,   16.44
-34.42943,-58.72816,T2M,1994,   23.32,   23.04,   21.31,   16.34,   14.69,   11.25,    9.56,   10.50,   14.24,   16.07,   20.71,   25.48,   17.18
-34.42943,-58.72816,T2M,1995,   24.72,   23.10,   20.95,   16.57,   13.10,    9.23,    8.58,   10.25,   13.88,   16.00,   20.71,   24.84,   16.80
-34.42943,-58.72816,T2M,1996,   25.09,   22.97,   22.89,   17.73,   13.72,    8.48,    7.85,   13.45,   12.84,   17.83,   20.90,   23.86,   17.29
-34.42943,-58.72816,T2M,1997,   26.27,   22.74,   22.54,   18.60,   15.17,   10.36,   11.27,   12.57,   13.78,   17.07,   19.79,   21.35,   17.61
-34.42943,-58.72816,T2M,1998,   22.32,   21.61,   19.87,   16.81,   14.46,   10.43,   11.63,   11.54,   12.86,   18.05,   20.13,   22.73,   16.85
-34.42943,-58.72816,T2M,1999,   22.62,   23.17,   22.37,   15.43,   12.91,    9.38,    8.86,   11.43,   13.92,   16.98,   20.59,   23.74,   16.75
-34.42943,-58.72816,T2M,2000,   26.03,   24.80,   21.17,   17.74,   12.95,   11.30,    7.12,   10.47,   12.77,   16.31,   17.68,   21.81,   16.65
-34.42943,-58.72816,T2M,2001,   24.65,   24.54,   22.06,   16.65,   12.97,   11.29,    9.32,   14.05,   13.47,   17.31,   18.52,   21.96,   17.20
-34.42943,-58.72816,T2M,2002,   24.22,   22.55,   21.77,   16.06,   14.53,    8.55,    9.11,   12.19,   13.20,   17.59,   19.92,   21.88,   16.78
-34.42943,-58.72816,T2M,2003,   24.65,   22.40,   20.92,   16.02,   13.27,   11.37,    9.11,   10.04,   12.85,   17.40,   19.62,   20.85,   16.51
-34.42943,-58.72816,T2M,2004,   25.71,   22.67,   23.31,   18.51,   12.07,   11.49,    9.84,   12.21,   14.33,   16.56,   19.63,   23.15,   17.44
-34.42943,-58.72816,T2M,2005,   25.95,   23.82,   20.86,   15.54,   13.35,   12.96,   10.60,   11.76,   12.62,   16.16,   21.57,   22.28,   17.25
-34.42943,-58.72816,T2M,2006,   24.42,   23.98,   19.61,   17.52,   12.45,   11.08,   12.48,   10.51,   13.57,   18.62,   19.95,   24.74,   17.38
-34.42943,-58.72816,T2M,2007,   24.94,   24.85,   20.84,   17.08,   10.41,    7.83,    6.53,    8.19,   15.54,   17.65,   17.74,   22.64,   16.13
-34.42943,-58.72816,T2M,2008,   24.78,   24.96,   20.82,   16.86,   13.73,    9.49,   12.76,   11.01,   13.61,   17.48,   24.91,   24.28,   17.87
-34.42943,-58.72816,T2M,2009,   25.59,   24.11,   22.62,   18.29,   14.77,    9.23,    8.20,   12.99,   12.29,   16.19,   20.91,   22.05,   17.24
-34.42943,-58.72816,T2M,2010,   25.02,   22.97,   21.35,   15.90,   14.17,   10.24,    8.72,    9.91,   13.42,   15.54,   19.80,   24.59,   16.77
-34.42943,-58.72816,T2M,2011,   25.13,   23.11,   21.28,   17.17,   12.80,    9.47,    8.31,   10.02,   14.00,   16.27,   22.30,   23.30,   16.89
-34.42943,-58.72816,T2M,2012,   26.56,   23.92,   20.69,   16.82,   15.02,    9.56,    7.01,   12.39,   13.96,   17.35,   20.66,   22.43,   17.18
-34.42943,-58.72816,T2M,2013,   24.41,   23.29,   19.08,   17.24,   12.80,    9.79,    9.76,    9.79,   13.01,   17.55,   20.14,   26.97,   16.95
-34.42943,-58.72816,T2M,2014,   25.51,   22.24,   18.93,   16.53,   13.23,    9.28,    9.94,   12.14,   14.26,   18.51,   19.12,   22.08,   16.79
