-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  41.2326   Longitude 13.0894 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 146.93 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.23263,13.08941,T2M,1981,    6.73,    8.01,   11.61,   14.21,   16.89,   21.69,   23.14,   24.62,   21.89,   18.32,   11.58,   10.68,   15.83
41.23263,13.08941,T2M,1982,   10.41,    8.70,   10.29,   13.19,   17.49,   22.23,   25.54,   24.63,   23.05,   18.07,   14.23,   11.16,   16.63
41.23263,13.08941,T2M,1983,    9.85,    8.00,   11.18,   13.80,   17.44,   21.19,   26.21,   24.50,   21.67,   17.48,   13.53,   10.36,   16.32
41.23263,13.08941,T2M,1984,    9.47,    8.56,    9.91,   12.83,   15.95,   19.81,   24.10,   23.47,   20.46,   17.52,   14.94,   11.35,   15.72
41.23263,13.08941,T2M,1985,    7.61,    9.12,   10.56,   13.41,   17.37,   21.00,   25.44,   24.64,   23.04,   18.15,   13.76,   11.74,   16.36
41.23263,13.08941,T2M,1986,    9.43,    8.44,   11.32,   13.29,   19.18,   20.46,   23.94,   25.48,   21.93,   18.85,   13.95,    9.60,   16.38
41.23263,13.08941,T2M,1987,    8.61,    9.20,    7.91,   13.45,   15.74,   20.69,   24.99,   25.09,   24.36,   19.30,   14.06,   11.57,   16.29
41.23263,13.08941,T2M,1988,   10.99,    9.63,   10.67,   13.77,   18.07,   21.11,   25.94,   25.62,   21.24,   19.25,   11.72,    9.49,   16.49
41.23263,13.08941,T2M,1989,    9.10,   10.28,   12.97,   13.67,   17.11,   20.26,   24.29,   24.78,   20.99,   16.67,   12.84,   10.87,   16.19
41.23263,13.08941,T2M,1990,    9.77,   11.73,   12.41,   13.25,   18.03,   21.52,   24.88,   24.39,   21.25,   19.30,   13.51,    8.92,   16.61
41.23263,13.08941,T2M,1991,    9.13,    8.56,   12.66,   12.25,   14.50,   20.41,   24.48,   25.31,   22.79,   17.34,   13.11,    7.62,   15.72
41.23263,13.08941,T2M,1992,    9.15,    9.02,   11.28,   13.28,   18.40,   20.45,   23.89,   26.33,   22.17,   18.19,   15.03,   10.83,   16.53
41.23263,13.08941,T2M,1993,    8.98,    8.25,    9.86,   13.57,   18.67,   22.36,   23.86,   26.11,   21.64,   18.33,   12.90,   11.54,   16.39
41.23263,13.08941,T2M,1994,   10.26,    9.97,   12.89,   12.93,   17.91,   21.56,   26.20,   27.24,   22.75,   18.21,   14.97,   11.51,   17.25
41.23263,13.08941,T2M,1995,    8.38,   10.94,   10.26,   12.67,   16.91,   20.46,   25.46,   24.39,   20.17,   18.40,   12.25,   11.79,   16.05
41.23263,13.08941,T2M,1996,   10.83,    8.61,   10.00,   13.82,   17.34,   21.83,   23.60,   24.81,   19.46,   16.57,   14.11,   10.57,   15.99
41.23263,13.08941,T2M,1997,   10.99,   10.30,   11.78,   11.89,   18.35,   22.31,   23.93,   24.71,   22.87,   18.04,   14.08,   11.27,   16.75
41.23263,13.08941,T2M,1998,   10.19,   11.00,   10.50,   13.79,   18.09,   22.58,   25.64,   25.79,   20.89,   17.53,   12.21,    8.97,   16.47
41.23263,13.08941,T2M,1999,    9.39,    8.08,   11.11,   13.30,   18.60,   22.06,   24.05,   25.15,   22.66,   18.67,   13.37,   10.10,   16.43
41.23263,13.08941,T2M,2000,    8.18,    9.58,   10.97,   14.10,   19.16,   22.63,   23.26,   25.72,   21.61,   18.13,   14.82,   12.29,   16.73
41.23263,13.08941,T2M,2001,   10.84,    9.88,   13.33,   13.09,   18.72,   21.45,   24.41,   25.62,   20.32,   19.74,   13.64,    8.18,   16.65
41.23263,13.08941,T2M,2002,    7.99,   11.15,   12.72,   13.93,   17.97,   23.41,   24.31,   23.82,   20.64,   17.83,   15.33,   11.59,   16.75
41.23263,13.08941,T2M,2003,    9.74,    7.17,   10.92,   13.61,   20.05,   25.26,   26.45,   27.79,   21.58,   17.73,   15.01,   10.77,   17.24
41.23263,13.08941,T2M,2004,    8.59,    9.64,   10.35,   13.46,   16.01,   21.37,   24.45,   24.60,   22.05,   19.59,   14.33,   12.23,   16.41
41.23263,13.08941,T2M,2005,    8.20,    6.96,   10.49,   13.07,   18.82,   22.35,   24.98,   23.57,   21.93,   17.88,   13.76,    9.73,   16.03
41.23263,13.08941,T2M,2006,    8.20,    8.87,   10.22,   14.18,   18.33,   21.60,   26.08,   23.91,   22.20,   19.10,   14.25,   11.84,   16.61
41.23263,13.08941,T2M,2007,   11.32,   11.27,   11.99,   15.83,   18.54,   21.92,   24.93,   24.97,   21.05,   17.62,   12.91,    9.69,   16.87
41.23263,13.08941,T2M,2008,   10.41,    9.69,   11.19,   13.91,   18.38,   22.38,   25.07,   25.75,   21.41,   18.59,   14.54,   10.71,   16.86
41.23263,13.08941,T2M,2009,   10.03,    8.52,   11.16,   14.53,   19.80,   21.85,   25.09,   26.80,   22.84,   17.23,   14.40,   10.97,   16.99
41.23263,13.08941,T2M,2010,    8.88,    9.48,   10.79,   14.25,   16.95,   21.37,   25.77,   24.89,   21.41,   17.50,   14.44,    9.82,   16.34
41.23263,13.08941,T2M,2011,    9.58,    9.51,   10.85,   14.83,   18.07,   22.20,   23.70,   25.41,   23.65,   17.88,   14.40,   11.32,   16.82
41.23263,13.08941,T2M,2012,    9.11,    7.21,   12.59,   13.87,   17.37,   23.15,   25.74,   27.03,   22.12,   19.14,   15.71,   10.16,   16.97
41.23263,13.08941,T2M,2013,    9.76,    8.51,   11.14,   14.95,   17.16,   20.97,   25.01,   26.04,   22.03,   19.42,   14.39,   11.23,   16.77
41.23263,13.08941,T2M,2014,   11.19,   11.64,   11.77,   14.27,   17.02,   22.16,   23.18,   24.32,   22.03,   19.39,   16.17,   11.48,   17.08
41.23263,13.08941,T2M,2015,    9.85,    9.27,   11.36,   13.74,   18.42,   22.88,   27.35,   26.14,   22.40,   18.12,   14.46,   11.72,   17.19
41.23263,13.08941,T2M,2016,   10.29,   11.79,   11.46,   15.31,   17.28,   21.68,   25.31,   25.05,   22.12,   18.29,   14.30,   10.63,   16.97
41.23263,13.08941,T2M,2017,    7.47,   11.19,   12.65,   14.44,   18.74,   23.90,   25.87,   27.05,   20.83,   18.16,   13.67,    9.98,   17.03
41.23263,13.08941,T2M,2018,   11.28,    8.65,   11.05,   16.00,   18.73,   22.62,   25.69,   26.18,   23.07,   19.66,   14.98,   11.47,   17.50
41.23263,13.08941,T2M,2019,    8.21,   10.06,   12.30,   13.99,   15.43,   23.94,   26.37,   26.90,   23.37,   19.61,   15.60,   12.26,   17.37
41.23263,13.08941,RH2M,1981,   70.78,   75.21,   79.49,   74.93,   69.48,   65.70,   62.92,   59.32,   70.44,   73.49,   66.82,   79.85,   70.68
41.23263,13.08941,RH2M,1982,   77.18,   71.52,   71.53,   71.11,   70.29,   68.03,   60.63,   62.61,   67.74,   72.91,   74.54,   76.20,   70.35
41.23263,13.08941,RH2M,1983,   72.71,   72.36,   76.17,   75.40,   70.22,   62.74,   56.78,   63.25,   65.37,   70.42,   74.49,   74.02,   69.47
41.23263,13.08941,RH2M,1984,   73.48,   74.21,   73.88,   74.25,   74.89,   69.33,   57.71,   63.21,   68.57,   76.70,   78.00,   76.76,   71.73
41.23263,13.08941,RH2M,1985,   79.92,   77.18,   79.11,   77.30,   74.47,   67.56,   59.98,   57.65,   62.49,   65.73,   80.54,   78.39,   71.65
41.23263,13.08941,RH2M,1986,   76.16,   80.64,   78.47,   76.38,   72.17,   68.62,   66.88,   62.00,   63.53,   67.50,   74.31,   70.30,   71.34
41.23263,13.08941,RH2M,1987,   77.26,   78.42,   67.47,   69.87,   67.77,   62.43,   66.37,   64.11,   66.93,   76.74,   75.74,   78.44,   70.93
41.23263,13.08941,RH2M,1988,   82.29,   72.58,   72.87,   75.82,   76.48,   68.28,   60.57,   60.32,   65.42,   75.15,   70.50,   72.65,   71.08
41.23263,13.08941,RH2M,1989,   72.59,   73.17,   71.50,   74.74,   66.75,   69.03,   66.52,   64.60,   71.69,   67.76,   74.63,   81.25,   71.15
41.23263,13.08941,RH2M,1990,   75.71,   77.78,   72.08,   73.02,   71.06,   66.27,   60.66,   63.67,   70.71,   80.49,   76.53,   77.24,   72.06
41.23263,13.08941,RH2M,1991,   74.61,   76.82,   78.41,   72.74,   71.64,   69.92,   64.94,   61.84,   70.45,   73.39,   78.48,   68.59,   71.77
41.23263,13.08941,RH2M,1992,   78.07,   74.65,   74.34,   79.14,   69.17,   70.68,   67.03,   62.98,   65.80,   81.18,   79.72,   79.01,   73.47
41.23263,13.08941,RH2M,1993,   75.91,   66.48,   72.45,   73.50,   71.11,   66.31,   59.78,   59.52,   70.81,   78.79,   80.60,   80.39,   71.33
41.23263,13.08941,RH2M,1994,   80.74,   78.96,   77.62,   75.20,   72.74,   67.26,   60.42,   60.52,   69.67,   69.42,   74.60,   79.06,   72.13
41.23263,13.08941,RH2M,1995,   75.87,   75.93,   70.87,   73.47,   72.11,   65.93,   64.30,   65.84,   72.48,   67.18,   74.43,   84.13,   71.85
41.23263,13.08941,RH2M,1996,   78.52,   72.52,   75.14,   73.05,   74.29,   64.70,   63.74,   64.09,   71.94,   75.38,   81.40,   81.72,   73.05
41.23263,13.08941,RH2M,1997,   81.34,   74.45,   67.99,   67.16,   66.40,   69.92,   62.61,   63.01,   64.07,   73.06,   82.07,   77.52,   70.77
