-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  39.3817   Longitude 17.0614 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 98.69 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
39.38174,17.06136,T2M,1981,    9.20,   10.12,   13.06,   15.00,   17.98,   23.16,   24.68,   25.54,   23.71,   21.00,   14.29,   12.91,   17.60
39.38174,17.06136,T2M,1982,   12.07,   10.54,   11.94,   13.99,   17.73,   23.61,   26.00,   26.16,   24.80,   20.78,   16.18,   12.96,   18.11
39.38174,17.06136,T2M,1983,   11.77,   10.09,   12.50,   14.97,   18.97,   21.48,   25.77,   25.59,   23.19,   19.27,   15.29,   12.04,   17.63
39.38174,17.06136,T2M,1984,   11.37,   10.62,   11.56,   13.67,   17.23,   21.11,   24.67,   24.64,   22.83,   19.51,   16.58,   12.86,   17.24
39.38174,17.06136,T2M,1985,   10.53,   10.75,   12.37,   14.75,   18.81,   22.80,   25.54,   25.83,   23.56,   19.63,   16.54,   13.62,   17.93
39.38174,17.06136,T2M,1986,   11.52,   10.95,   12.68,   14.78,   19.46,   22.36,   24.83,   26.80,   23.74,   20.33,   15.84,   11.95,   17.98
39.38174,17.06136,T2M,1987,   10.84,   11.34,    9.64,   14.14,   16.46,   21.45,   26.19,   26.08,   25.34,   20.82,   16.09,   13.25,   17.67
39.38174,17.06136,T2M,1988,   12.75,   11.49,   12.07,   14.59,   18.72,   22.50,   27.54,   27.03,   23.20,   20.42,   13.90,   11.37,   17.99
39.38174,17.06136,T2M,1989,   10.87,   11.91,   13.62,   15.03,   17.29,   21.00,   24.92,   25.24,   22.93,   18.09,   15.17,   13.05,   17.46
39.38174,17.06136,T2M,1990,   11.49,   12.85,   13.90,   14.98,   18.51,   21.96,   25.23,   25.21,   22.99,   20.94,   16.32,   11.53,   18.02
39.38174,17.06136,T2M,1991,   10.89,   10.29,   13.43,   13.64,   15.65,   21.39,   24.46,   25.40,   23.57,   19.64,   15.73,    9.76,   17.03
39.38174,17.06136,T2M,1992,   10.89,   10.27,   12.38,   14.80,   18.01,   21.12,   23.84,   26.82,   23.45,   20.55,   16.68,   12.75,   17.65
39.38174,17.06136,T2M,1993,   10.97,    9.84,   11.49,   14.63,   18.88,   22.71,   24.89,   26.87,   23.52,   20.40,   15.55,   13.64,   17.83
39.38174,17.06136,T2M,1994,   12.15,   11.53,   13.47,   14.38,   18.74,   22.34,   26.03,   27.86,   24.94,   20.23,   16.63,   13.01,   18.49
39.38174,17.06136,T2M,1995,   10.82,   12.43,   11.65,   13.40,   17.53,   22.04,   25.88,   25.54,   22.20,   19.32,   14.01,   13.74,   17.42
39.38174,17.06136,T2M,1996,   11.83,   10.26,   11.15,   13.86,   17.81,   21.96,   24.36,   25.94,   21.23,   17.70,   15.49,   12.86,   17.06
39.38174,17.06136,T2M,1997,   11.94,   11.26,   12.05,   11.99,   18.45,   23.03,   24.80,   24.70,   23.10,   19.22,   15.63,   12.80,   17.45
39.38174,17.06136,T2M,1998,   11.64,   11.99,   10.95,   14.65,   17.74,   23.29,   26.25,   27.13,   23.14,   19.82,   14.96,   11.30,   17.77
39.38174,17.06136,T2M,1999,   11.42,   10.15,   12.46,   14.62,   19.12,   23.39,   24.95,   26.74,   23.61,   20.78,   16.41,   13.15,   18.12
39.38174,17.06136,T2M,2000,   10.02,   10.99,   12.25,   15.29,   19.76,   23.39,   25.67,   26.44,   23.10,   19.74,   17.40,   14.11,   18.20
39.38174,17.06136,T2M,2001,   12.80,   11.66,   14.89,   14.61,   18.86,   22.41,   25.74,   26.44,   23.10,   21.26,   15.94,   10.63,   18.24
39.38174,17.06136,T2M,2002,   10.19,   12.48,   13.43,   14.63,   18.39,   23.41,   25.86,   25.50,   22.22,   19.46,   16.67,   13.27,   17.99
39.38174,17.06136,T2M,2003,   12.30,    9.05,   11.94,   13.97,   20.08,   25.45,   27.39,   27.61,   23.05,   19.96,   16.57,   12.77,   18.41
39.38174,17.06136,T2M,2004,   10.51,   11.22,   12.17,   14.63,   16.66,   21.99,   25.74,   25.92,   23.21,   21.43,   16.31,   14.08,   17.84
39.38174,17.06136,T2M,2005,   10.86,    9.87,   12.26,   14.14,   18.40,   22.03,   25.63,   25.08,   23.11,   19.28,   16.05,   12.46,   17.48
39.38174,17.06136,T2M,2006,   10.48,   10.79,   12.02,   15.08,   19.15,   22.79,   25.70,   25.94,   23.32,   20.43,   15.41,   13.72,   17.95
39.38174,17.06136,T2M,2007,   12.33,   12.45,   13.25,   15.53,   19.35,   23.68,   26.77,   26.63,   22.67,   19.15,   14.79,   11.79,   18.24
39.38174,17.06136,T2M,2008,   11.84,   11.08,   13.15,   14.66,   18.19,   23.17,   26.32,   27.14,   23.15,   20.00,   16.90,   12.97,   18.24
39.38174,17.06136,T2M,2009,   12.04,   10.03,   11.91,   14.65,   19.53,   22.58,   26.04,   27.09,   24.10,   19.24,   15.62,   13.33,   18.06
39.38174,17.06136,T2M,2010,   10.99,   11.28,   12.25,   14.77,   18.04,   22.23,   25.81,   26.58,   23.08,   19.33,   16.68,   12.04,   17.79
39.38174,17.06136,T2M,2011,   11.26,   10.85,   12.16,   14.97,   17.93,   22.82,   25.78,   26.68,   25.34,   19.40,   16.11,   13.41,   18.10
39.38174,17.06136,T2M,2012,   10.83,   10.34,   13.40,   14.98,   18.26,   24.19,   27.59,   27.92,   24.87,   21.57,   18.17,   12.61,   18.75
39.38174,17.06136,T2M,2013,   11.85,   10.82,   12.83,   15.33,   18.87,   22.40,   25.56,   26.83,   23.85,   21.10,   17.06,   13.17,   18.35
39.38174,17.06136,T2M,2014,   12.76,   12.89,   13.06,   14.72,   17.76,   22.77,   24.88,   26.20,   23.39,   20.28,   17.31,   13.54,   18.33
