-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  41.7223   Longitude 12.66 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 268.62 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.72229,12.65997,T2M,1981,    4.06,    6.04,   10.51,   13.31,   16.09,   21.47,   22.70,   24.22,   20.78,   16.72,    9.21,    8.42,   14.51
41.72229,12.65997,T2M,1982,    8.47,    6.92,    8.60,   11.96,   16.89,   22.34,   25.73,   24.29,   22.36,   16.37,   12.29,    8.90,   15.48
41.72229,12.65997,T2M,1983,    7.77,    5.70,    9.85,   12.75,   16.66,   21.07,   26.70,   23.81,   20.66,   15.96,   11.78,    8.18,   15.14
41.72229,12.65997,T2M,1984,    7.15,    6.37,    8.23,   11.58,   15.00,   19.49,   23.99,   22.80,   19.26,   15.94,   13.02,    8.91,   14.34
41.72229,12.65997,T2M,1985,    5.08,    7.46,    8.99,   12.39,   16.76,   20.52,   25.60,   24.59,   22.59,   16.73,   11.64,    9.56,   15.20
41.72229,12.65997,T2M,1986,    7.06,    6.28,    9.90,   12.09,   18.52,   19.64,   23.36,   24.89,   21.03,   17.54,   12.11,    7.16,   15.02
41.72229,12.65997,T2M,1987,    6.34,    7.38,    6.05,   12.36,   14.87,   20.28,   24.95,   24.81,   23.69,   17.85,   11.87,    9.47,   15.03
41.72229,12.65997,T2M,1988,    8.85,    7.58,    8.97,   12.78,   17.45,   20.27,   25.70,   25.34,   20.37,   18.08,    9.65,    7.34,   15.23
41.72229,12.65997,T2M,1989,    7.23,    8.72,   11.89,   12.47,   16.54,   19.78,   23.66,   24.36,   20.09,   14.97,   11.02,    8.78,   15.00
41.72229,12.65997,T2M,1990,    7.72,   10.17,   11.16,   11.93,   17.42,   21.14,   24.83,   23.94,   20.38,   18.03,   11.32,    6.47,   15.41
41.72229,12.65997,T2M,1991,    7.23,    6.68,   11.58,   10.91,   13.32,   19.86,   24.59,   25.27,   21.82,   15.52,   11.01,    5.12,   14.46
41.72229,12.65997,T2M,1992,    7.08,    7.27,    9.89,   12.30,   17.89,   19.57,   23.48,   26.13,   21.33,   16.51,   13.10,    8.65,   15.30
41.72229,12.65997,T2M,1993,    6.92,    6.28,    8.35,   12.57,   18.20,   22.18,   23.80,   26.32,   20.67,   16.75,   10.67,    9.42,   15.24
41.72229,12.65997,T2M,1994,    8.28,    7.91,   11.85,   11.71,   17.46,   21.24,   26.22,   27.12,   21.94,   16.74,   12.97,    9.37,   16.12
41.72229,12.65997,T2M,1995,    5.97,    9.14,    8.58,   11.75,   16.35,   19.84,   25.63,   23.53,   18.98,   17.20,   10.34,    9.85,   14.80
41.72229,12.65997,T2M,1996,    8.83,    6.47,    8.59,   12.94,   16.57,   21.41,   23.39,   24.04,   18.02,   14.95,   12.17,    8.27,   14.67
41.72229,12.65997,T2M,1997,    9.11,    8.57,   10.39,   10.63,   17.80,   21.92,   23.83,   24.25,   22.27,   16.64,   12.14,    9.03,   15.59
41.72229,12.65997,T2M,1998,    8.16,    9.29,    9.00,   12.88,   17.73,   22.81,   25.82,   25.64,   19.89,   15.73,    9.85,    6.73,   15.33
41.72229,12.65997,T2M,1999,    7.31,    5.98,    9.60,   12.34,   18.23,   21.53,   23.61,   25.05,   21.71,   17.38,   11.12,    7.80,   15.20
41.72229,12.65997,T2M,2000,    5.99,    7.82,    9.69,   13.31,   18.68,   22.27,   23.07,   25.74,   20.59,   16.65,   12.84,   10.16,   15.59
41.72229,12.65997,T2M,2001,    8.90,    7.95,   12.15,   11.74,   18.32,   20.87,   24.38,   25.79,   19.11,   18.61,   11.66,    5.70,   15.49
41.72229,12.65997,T2M,2002,    5.78,    9.67,   11.53,   13.12,   17.65,   23.54,   24.04,   23.18,   19.10,   16.24,   13.45,    9.52,   15.60
41.72229,12.65997,T2M,2003,    7.53,    4.89,    9.58,   12.52,   19.50,   25.31,   26.53,   27.81,   20.61,   16.15,   13.18,    8.43,   16.07
41.72229,12.65997,T2M,2004,    6.28,    8.03,    9.12,   12.48,   15.20,   20.84,   24.36,   24.28,   21.19,   18.38,   12.37,   10.10,   15.24
41.72229,12.65997,T2M,2005,    5.87,    4.75,    9.16,   12.14,   18.19,   22.07,   24.80,   22.98,   20.94,   16.35,   11.70,    7.36,   14.75
41.72229,12.65997,T2M,2006,    5.92,    7.02,    8.80,   13.47,   17.65,   21.21,   26.22,   23.29,   21.56,   17.79,   12.48,    9.83,   15.49
41.72229,12.65997,T2M,2007,    9.54,    9.58,   10.69,   15.33,   18.07,   21.82,   25.31,   24.81,   20.10,   16.28,   10.94,    7.39,   15.86
41.72229,12.65997,T2M,2008,    8.58,    8.00,    9.83,   12.90,   17.84,   22.16,   24.97,   25.88,   20.43,   17.40,   12.57,    8.30,   15.77
41.72229,12.65997,T2M,2009,    7.81,    6.53,    9.65,   13.80,   19.38,   21.27,   24.98,   26.72,   21.80,   15.66,   12.57,    8.56,   15.79
41.72229,12.65997,T2M,2010,    6.70,    7.52,    9.40,   13.29,   15.96,   20.73,   25.71,   24.56,   20.39,   15.96,   12.42,    7.50,   15.05
41.72229,12.65997,T2M,2011,    7.51,    7.60,    9.48,   14.08,   17.47,   21.90,   23.23,   25.51,   23.10,   16.56,   12.64,    9.05,   15.72
41.72229,12.65997,T2M,2012,    6.88,    4.83,   11.61,   12.89,   16.75,   23.22,   25.92,   27.12,   20.96,   17.63,   13.85,    7.56,   15.81
41.72229,12.65997,T2M,2013,    7.47,    6.31,    9.69,   14.14,   16.04,   20.41,   24.69,   25.74,   21.12,   18.15,   12.31,    9.00,   15.48
41.72229,12.65997,T2M,2014,    9.20,   10.02,   10.41,   13.30,   16.10,   21.59,   22.51,   23.69,   21.06,   17.93,   14.36,    9.27,   15.81
41.72229,12.65997,T2M,2015,    7.57,    7.40,    9.89,   12.79,   17.72,   22.34,   27.40,   25.76,   21.38,   16.52,   12.59,    9.57,   15.97
41.72229,12.65997,T2M,2016,    8.35,   10.23,   10.04,   14.53,   16.48,   21.16,   25.34,   24.79,   21.26,   16.66,   12.28,    8.26,   15.80
41.72229,12.65997,T2M,2017,    5.22,    9.65,   11.41,   13.55,   18.45,   24.18,   26.09,   27.42,   19.58,   16.80,   11.61,    7.61,   16.00
41.72229,12.65997,T2M,2018,    9.33,    6.48,    9.47,   15.40,   18.20,   22.05,   25.63,   25.73,   22.27,   18.30,   12.94,    8.86,   16.28
41.72229,12.65997,T2M,2019,    5.58,    8.30,   11.06,   13.02,   14.38,   23.93,   26.30,   26.87,   22.40,   18.28,   13.62,   10.06,   16.19
41.72229,12.65997,RH2M,1981,   74.24,   76.59,   79.28,   72.18,   66.30,   59.74,   57.68,   52.87,   67.87,   72.55,   67.89,   83.07,   69.15
41.72229,12.65997,RH2M,1982,   79.11,   72.87,   72.02,   70.99,   67.00,   60.04,   52.02,   54.71,   62.51,   72.02,   76.38,   80.31,   68.30
41.72229,12.65997,RH2M,1983,   74.43,   74.88,   76.00,   74.09,   66.45,   55.38,   46.11,   58.97,   61.69,   70.02,   75.82,   75.12,   67.36
