-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  45.887   Longitude 12.2906 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 288.62 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.88704,12.29063,T2M,1981,    0.43,    2.32,    8.21,   11.24,   15.09,   19.60,   21.02,   21.68,   18.14,   12.94,    6.17,    2.00,   11.62
45.88704,12.29063,T2M,1982,    1.68,    1.96,    6.03,   10.22,   16.07,   20.78,   23.17,   21.87,   20.14,   13.07,    8.49,    4.45,   12.38
45.88704,12.29063,T2M,1983,    4.37,    1.37,    7.38,   11.11,   15.18,   19.41,   25.04,   22.22,   18.70,   13.47,    6.16,    3.08,   12.36
45.88704,12.29063,T2M,1984,    2.04,    2.15,    5.01,    9.94,   12.59,   17.87,   21.50,   20.69,   16.97,   13.14,    7.65,    4.22,   11.18
45.88704,12.29063,T2M,1985,   -1.51,    1.68,    5.64,   10.37,   15.51,   18.26,   23.02,   22.76,   20.28,   14.02,    5.36,    4.72,   11.74
45.88704,12.29063,T2M,1986,    1.39,   -0.87,    5.46,   10.13,   18.14,   19.13,   21.45,   22.58,   17.94,   13.74,    7.82,    2.59,   11.70
45.88704,12.29063,T2M,1987,   -0.59,    2.49,    3.12,   11.02,   13.99,   18.68,   22.91,   21.70,   20.95,   13.08,    7.63,    3.87,   11.61
45.88704,12.29063,T2M,1988,    4.00,    3.84,    6.20,   11.19,   16.01,   18.47,   23.41,   23.23,   18.34,   14.22,    4.41,    3.27,   12.25
45.88704,12.29063,T2M,1989,    2.88,    5.21,    9.54,   11.19,   16.14,   18.53,   21.52,   21.57,   17.38,   12.48,    6.11,    3.46,   12.21
45.88704,12.29063,T2M,1990,    2.96,    6.35,    9.75,   10.13,   17.34,   19.37,   22.27,   22.35,   17.70,   13.41,    7.35,    1.32,   12.56
